start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(85, 176)",0.010477728701005162,135,0.01941616424710446,0.00031122475849088005,3.0203010960606155e-08,"[(0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (239, 2), (240, 1), (241, 0), (242, 249), (243, 248), (244, 247), (245, 246), (246, 245), (247, 244), (248, 243), (249, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (1, 225), (2, 224), (3, 223), (4, 222), (5, 221), (6, 220), (7, 219), (8, 218), (9, 217), (10, 216), (11, 215), (12, 214), (13, 213), (14, 212), (15, 211), (16, 210), (17, 209), (18, 208), (19, 207), (20, 206), (21, 205), (22, 204), (23, 203), (24, 202), (25, 201), (26, 200), (27, 199), (28, 198), (29, 197), (30, 196), (31, 195), (32, 194), (33, 193), (34, 192), (35, 191), (36, 190), (37, 189), (38, 188), (39, 187), (40, 187), (41, 187), (42, 187), (43, 187), (44, 187), (45, 187), (46, 187), (47, 187), (48, 187), (49, 187), (50, 187), (51, 187), (52, 187), (53, 187), (54, 187), (55, 187), (56, 187), (57, 187), (58, 187), (59, 187), (60, 187), (61, 187), (62, 187), (63, 187), (64, 187), (65, 187), (66, 187), (67, 187), (68, 187), (69, 187), (70, 187), (71, 187), (72, 187), (73, 187), (74, 187), (75, 187), (76, 187), (77, 187), (78, 187), (79, 187), (80, 187), (81, 187), (82, 187), (83, 187), (84, 187), (85, 186), (86, 185), (87, 184), (88, 183), (89, 182), (90, 181), (89, 180), (88, 179), (87, 178), (86, 177), (85, 176)]"
"(0, 15)","(100, 1)",0.008823257249446215,180,0.009561875705799139,0.0004327502662135885,5.46125854303929e-09,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 51), (205, 50), (204, 50), (203, 49), (202, 49), (201, 48), (200, 47), (199, 47), (198, 46), (197, 46), (196, 45), (195, 45), (194, 44), (193, 44), (192, 44), (191, 43), (190, 43), (189, 43), (188, 43), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 41), (153, 40), (153, 39), (153, 38), (153, 37), (153, 36), (153, 35), (153, 34), (153, 33), (153, 32), (153, 31), (153, 30), (153, 29), (153, 28), (153, 27), (153, 26), (153, 25), (153, 24), (153, 23), (153, 22), (153, 21), (153, 20), (153, 19), (153, 18), (152, 17), (151, 16), (150, 15), (149, 14), (148, 13), (147, 12), (146, 12), (145, 12), (144, 12), (143, 12), (142, 12), (141, 12), (140, 12), (139, 12), (138, 12), (137, 12), (136, 12), (135, 12), (134, 12), (133, 12), (132, 12), (131, 12), (130, 12), (129, 12), (128, 12), (127, 12), (126, 12), (125, 12), (124, 12), (123, 13), (122, 14), (121, 15), (120, 16), (119, 17), (118, 18), (117, 19), (116, 20), (115, 21), (114, 21), (113, 20), (112, 19), (111, 18), (110, 17), (109, 16), (108, 15), (107, 14), (106, 13), (105, 12), (104, 11), (104, 10), (104, 9), (103, 8), (103, 7), (103, 6), (103, 5), (103, 4), (102, 3), (101, 2), (100, 1)]"
"(0, 15)","(140, 36)",0.002707275345812832,112,0.0031501520721235465,0.00010493876726513918,9.401692363171657e-10,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 51), (205, 50), (204, 50), (203, 49), (202, 49), (201, 48), (200, 47), (199, 47), (198, 46), (197, 46), (196, 45), (195, 45), (194, 44), (193, 44), (192, 44), (191, 43), (190, 43), (189, 43), (188, 43), (187, 43), (186, 43), (185, 43), (184, 43), (183, 43), (182, 43), (181, 43), (180, 43), (179, 43), (178, 43), (177, 43), (176, 43), (175, 43), (174, 43), (173, 43), (172, 43), (171, 43), (170, 43), (169, 43), (168, 43), (167, 43), (166, 43), (165, 43), (164, 43), (163, 43), (162, 43), (161, 43), (160, 43), (159, 43), (158, 43), (157, 43), (156, 43), (155, 43), (154, 43), (153, 43), (152, 43), (151, 43), (150, 44), (149, 45), (148, 44), (147, 43), (146, 42), (145, 41), (144, 40), (143, 39), (142, 38), (141, 37), (140, 36)]"
"(0, 15)","(146, 170)",0.0107194484000388,164,0.015061585672924593,0.00022042171963221335,1.2254750395360792e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (25, 14), (26, 14), (27, 14), (28, 14), (29, 14), (30, 14), (31, 14), (32, 14), (33, 13), (34, 13), (35, 13), (36, 13), (37, 13), (38, 13), (39, 13), (40, 13), (41, 13), (42, 13), (43, 13), (44, 13), (45, 13), (46, 13), (47, 13), (48, 13), (49, 13), (50, 13), (51, 14), (52, 14), (53, 14), (54, 14), (55, 15), (56, 15), (57, 16), (58, 16), (59, 17), (60, 18), (61, 18), (62, 19), (63, 20), (64, 19), (65, 18), (66, 17), (67, 16), (68, 15), (69, 14), (70, 13), (71, 12), (72, 11), (73, 10), (74, 9), (75, 8), (76, 7), (77, 6), (78, 5), (79, 4), (80, 3), (80, 2), (80, 1), (80, 0), (80, 249), (80, 248), (80, 247), (80, 246), (81, 245), (82, 244), (83, 243), (84, 242), (85, 241), (86, 240), (87, 239), (88, 238), (89, 237), (90, 236), (91, 235), (92, 234), (93, 233), (94, 232), (95, 231), (96, 230), (97, 229), (98, 228), (99, 227), (100, 226), (101, 225), (102, 224), (103, 223), (104, 222), (105, 221), (106, 220), (106, 219), (106, 218), (107, 217), (108, 216), (109, 215), (110, 214), (111, 213), (112, 212), (113, 211), (114, 210), (115, 209), (116, 208), (117, 207), (118, 206), (119, 205), (120, 204), (121, 203), (122, 202), (123, 201), (124, 200), (125, 199), (126, 198), (127, 197), (128, 196), (129, 195), (130, 194), (131, 193), (132, 192), (133, 191), (134, 190), (135, 189), (136, 188), (137, 187), (138, 186), (139, 185), (140, 184), (141, 183), (142, 182), (143, 181), (144, 180), (145, 179), (146, 178), (147, 177), (148, 176), (149, 175), (150, 174), (149, 173), (148, 172), (147, 171), (146, 170)]"
"(0, 15)","(149, 249)",0.006670260738360412,141,0.007620356384450133,0.0003248525695767057,1.1871779560126685e-08,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 51), (205, 50), (204, 50), (203, 49), (202, 49), (201, 48), (200, 47), (199, 47), (198, 46), (197, 46), (196, 45), (195, 45), (194, 44), (193, 44), (192, 44), (191, 43), (190, 43), (189, 43), (188, 43), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 41), (154, 40), (154, 39), (154, 38), (154, 37), (154, 36), (154, 35), (154, 34), (154, 33), (154, 32), (154, 31), (154, 30), (154, 29), (154, 28), (154, 27), (154, 26), (154, 25), (154, 24), (154, 23), (154, 22), (154, 21), (154, 20), (154, 19), (154, 18), (154, 17), (153, 16), (152, 15), (151, 14), (150, 13), (149, 12), (149, 11), (150, 10), (151, 9), (152, 8), (153, 7), (154, 6), (155, 5), (155, 4), (154, 3), (153, 2), (152, 1), (151, 0), (150, 0), (149, 249)]"
"(0, 15)","(175, 67)",0.004130574301143497,77,0.005640370264359262,7.65437656582435e-05,1.1983727178704373e-08,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 33), (225, 34), (224, 35), (223, 36), (222, 37), (221, 38), (220, 39), (219, 40), (218, 41), (217, 42), (216, 43), (215, 44), (214, 45), (213, 46), (212, 47), (211, 48), (210, 49), (209, 50), (208, 51), (207, 52), (206, 52), (205, 52), (204, 52), (203, 52), (202, 52), (201, 52), (200, 52), (199, 52), (198, 52), (197, 52), (196, 52), (195, 52), (194, 52), (193, 52), (192, 52), (191, 52), (190, 52), (189, 53), (188, 54), (187, 55), (186, 56), (185, 57), (184, 58), (183, 59), (182, 60), (181, 61), (180, 62), (179, 63), (178, 64), (177, 65), (176, 66), (175, 67)]"
"(0, 15)","(236, 249)",0.000663186605095234,17,0.0006631993673522629,7.282998478785885e-05,7.713076202768261e-10,"[(0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (236, 0), (236, 249)]"
"(0, 15)","(237, 15)",0.0004347993532292094,14,0.0004347993696569574,1.6427748050773516e-11,1.3919386525936974e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 20), (241, 19), (240, 18), (239, 17), (238, 16), (237, 15)]"
"(85, 176)","(0, 15)",0.010477728701005162,164,0.01941616424710446,0.0002686203766302242,2.1521366323745557e-08,"[(85, 176), (84, 176), (83, 176), (82, 176), (81, 176), (80, 175), (79, 175), (78, 175), (77, 175), (76, 175), (75, 175), (74, 175), (73, 175), (72, 174), (71, 174), (70, 174), (69, 174), (68, 174), (67, 174), (66, 174), (65, 173), (64, 173), (63, 173), (62, 173), (61, 173), (60, 172), (59, 172), (58, 172), (57, 172), (56, 171), (55, 171), (54, 171), (53, 171), (52, 170), (51, 171), (50, 172), (49, 173), (48, 174), (47, 175), (46, 176), (45, 177), (44, 178), (43, 179), (42, 180), (41, 181), (40, 182), (39, 183), (38, 184), (37, 185), (36, 186), (35, 187), (34, 188), (33, 189), (33, 190), (32, 191), (32, 192), (32, 193), (31, 194), (30, 195), (30, 196), (29, 197), (28, 198), (27, 199), (26, 200), (25, 201), (24, 202), (23, 203), (23, 204), (24, 205), (25, 206), (25, 207), (26, 208), (27, 209), (27, 210), (28, 211), (28, 212), (29, 213), (30, 214), (30, 215), (31, 216), (31, 217), (32, 218), (32, 219), (33, 220), (33, 221), (33, 222), (34, 223), (34, 224), (34, 225), (34, 226), (34, 227), (34, 228), (34, 229), (34, 230), (34, 231), (34, 232), (34, 233), (35, 234), (35, 235), (35, 236), (36, 237), (36, 238), (37, 239), (37, 240), (37, 241), (37, 242), (37, 243), (37, 244), (37, 245), (37, 246), (37, 247), (37, 248), (37, 249), (37, 0), (37, 1), (37, 2), (37, 3), (37, 4), (37, 5), (37, 6), (37, 7), (37, 8), (37, 9), (37, 10), (37, 11), (37, 12), (37, 13), (36, 14), (35, 15), (34, 16), (33, 17), (32, 18), (31, 19), (30, 20), (29, 21), (28, 22), (27, 23), (26, 24), (25, 25), (24, 26), (23, 27), (22, 28), (21, 29), (20, 30), (19, 31), (18, 32), (17, 32), (16, 31), (15, 30), (14, 29), (13, 28), (12, 27), (11, 26), (10, 25), (9, 24), (8, 23), (7, 22), (6, 21), (5, 20), (4, 19), (3, 18), (2, 17), (1, 16), (0, 15)]"
"(85, 176)","(100, 1)",0.009180155245132937,84,0.011792179122494417,0.0005306930223127893,3.73741504199828e-08,"[(85, 176), (85, 177), (86, 178), (87, 179), (88, 180), (89, 181), (90, 182), (91, 183), (92, 184), (93, 185), (94, 186), (95, 187), (96, 188), (97, 189), (98, 190), (99, 191), (100, 192), (101, 193), (102, 194), (103, 195), (104, 196), (105, 197), (106, 198), (107, 199), (108, 200), (109, 201), (110, 202), (110, 203), (109, 204), (109, 205), (109, 206), (108, 207), (108, 208), (108, 209), (108, 210), (107, 211), (107, 212), (107, 213), (107, 214), (107, 215), (107, 216), (107, 217), (106, 218), (106, 219), (107, 220), (107, 221), (108, 222), (108, 223), (108, 224), (109, 225), (109, 226), (109, 227), (109, 228), (109, 229), (109, 230), (109, 231), (109, 232), (109, 233), (109, 234), (109, 235), (109, 236), (109, 237), (110, 238), (111, 239), (112, 240), (113, 241), (113, 242), (113, 243), (113, 244), (113, 245), (113, 246), (112, 247), (111, 248), (110, 248), (109, 249), (108, 249), (107, 249), (106, 249), (105, 249), (104, 0), (103, 1), (102, 2), (101, 2), (100, 1)]"
