start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(2, 14)","(2, 249)",0.0014424288340251223,16,0.0014427870015651933,0.0001501062705528966,2.482177824317048e-09,"[(2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (2, 249)]"
"(2, 14)","(8, 169)",0.013514260241777265,119,0.016452874312676613,0.00032210965230206057,2.372263060818012e-08,"[(2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (2, 224), (2, 223), (2, 222), (2, 221), (2, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (4, 210), (4, 209), (4, 208), (4, 207), (5, 206), (5, 205), (5, 204), (6, 203), (6, 202), (7, 201), (7, 200), (8, 199), (9, 198), (10, 197), (11, 196), (12, 195), (13, 194), (14, 193), (15, 192), (16, 191), (17, 190), (18, 189), (19, 188), (20, 187), (21, 186), (22, 185), (23, 184), (24, 183), (25, 182), (26, 181), (27, 180), (28, 179), (28, 178), (28, 177), (28, 176), (28, 175), (28, 174), (28, 173), (28, 172), (28, 171), (28, 170), (28, 169), (28, 168), (27, 167), (26, 166), (25, 165), (24, 164), (23, 163), (22, 163), (21, 163), (20, 163), (19, 163), (18, 163), (17, 163), (16, 163), (15, 163), (14, 163), (13, 163), (12, 163), (11, 164), (10, 165), (9, 166), (8, 167), (7, 168), (8, 169)]"
"(2, 14)","(68, 21)",0.014184382397388617,71,0.014826861856818141,0.00044275973402818636,2.501813569716329e-08,"[(2, 14), (3, 14), (4, 14), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 16), (35, 16), (36, 16), (37, 16), (38, 16), (39, 16), (40, 16), (41, 16), (42, 16), (43, 15), (44, 15), (45, 15), (46, 15), (47, 14), (48, 14), (49, 14), (50, 14), (51, 14), (52, 14), (53, 14), (54, 15), (55, 15), (56, 16), (57, 17), (58, 18), (59, 19), (60, 20), (61, 21), (62, 22), (63, 23), (64, 24), (65, 25), (66, 26), (67, 26), (68, 25), (69, 24), (70, 23), (69, 22), (68, 21)]"
"(2, 14)","(79, 175)",0.013673930009758806,147,0.020116595689501082,0.00032210965230206057,3.008363996517145e-08,"[(2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (2, 224), (2, 223), (2, 222), (2, 221), (2, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (4, 210), (4, 209), (4, 208), (4, 207), (5, 206), (5, 205), (5, 204), (6, 203), (6, 202), (7, 201), (8, 200), (9, 199), (10, 199), (11, 199), (12, 199), (13, 199), (14, 199), (15, 199), (16, 199), (17, 199), (18, 199), (19, 198), (20, 197), (21, 196), (22, 195), (23, 194), (24, 193), (25, 192), (26, 191), (27, 190), (28, 189), (29, 188), (30, 187), (31, 186), (32, 185), (33, 184), (34, 183), (35, 182), (36, 181), (37, 180), (38, 179), (39, 178), (40, 177), (41, 176), (42, 175), (43, 175), (44, 175), (45, 176), (46, 176), (47, 177), (48, 178), (49, 178), (50, 179), (51, 179), (52, 180), (53, 181), (54, 182), (55, 183), (56, 184), (57, 185), (58, 186), (59, 186), (60, 186), (61, 186), (62, 186), (63, 186), (64, 186), (65, 186), (66, 186), (67, 186), (68, 186), (69, 186), (70, 186), (71, 186), (72, 186), (73, 186), (74, 186), (75, 186), (76, 186), (77, 186), (78, 186), (79, 186), (80, 185), (81, 184), (82, 183), (83, 182), (84, 181), (84, 180), (83, 179), (82, 178), (81, 177), (80, 176), (79, 175)]"
"(2, 14)","(99, 3)",0.014184382397388617,98,0.015534566214569168,0.00044275973402818636,2.7829215580563363e-08,"[(2, 14), (3, 14), (4, 14), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 16), (35, 16), (36, 16), (37, 16), (38, 16), (39, 16), (40, 16), (41, 16), (42, 16), (43, 15), (44, 15), (45, 15), (46, 15), (47, 14), (48, 14), (49, 14), (50, 14), (51, 14), (52, 14), (53, 14), (54, 15), (55, 15), (56, 16), (57, 16), (58, 15), (59, 14), (60, 14), (61, 14), (62, 14), (63, 14), (64, 14), (65, 14), (66, 14), (67, 14), (68, 14), (69, 14), (70, 14), (71, 14), (72, 14), (73, 14), (74, 14), (75, 14), (76, 14), (77, 14), (78, 14), (79, 14), (80, 14), (81, 14), (82, 14), (83, 14), (84, 14), (85, 14), (86, 14), (87, 14), (88, 14), (89, 13), (90, 12), (91, 11), (92, 10), (93, 9), (94, 8), (95, 7), (96, 6), (97, 5), (98, 4), (99, 3)]"
"(2, 14)","(105, 173)",0.013673930009758806,167,0.02030476289451144,0.00032210965230206057,2.600883641301579e-08,"[(2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (2, 224), (2, 223), (2, 222), (2, 221), (2, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (4, 210), (4, 209), (4, 208), (4, 207), (5, 206), (5, 205), (5, 204), (6, 203), (6, 202), (7, 201), (8, 200), (9, 199), (10, 199), (11, 199), (12, 199), (13, 199), (14, 199), (15, 199), (16, 199), (17, 199), (18, 199), (19, 198), (20, 197), (21, 196), (22, 195), (23, 194), (24, 193), (25, 192), (26, 191), (27, 190), (28, 189), (29, 188), (30, 187), (31, 186), (32, 185), (33, 184), (34, 183), (35, 182), (36, 181), (37, 180), (38, 179), (39, 178), (40, 177), (41, 176), (42, 175), (43, 175), (44, 175), (45, 176), (46, 176), (47, 177), (48, 178), (49, 178), (50, 179), (51, 180), (52, 181), (53, 182), (54, 183), (55, 184), (56, 185), (57, 186), (58, 187), (59, 188), (60, 188), (61, 188), (62, 188), (63, 188), (64, 188), (65, 188), (66, 188), (67, 188), (68, 188), (69, 188), (70, 188), (71, 188), (72, 188), (73, 188), (74, 188), (75, 188), (76, 188), (77, 188), (78, 188), (79, 188), (80, 188), (81, 188), (82, 187), (83, 186), (84, 185), (85, 184), (86, 183), (87, 182), (88, 181), (89, 180), (90, 179), (91, 178), (92, 177), (93, 176), (94, 177), (95, 178), (96, 178), (97, 179), (98, 179), (99, 179), (100, 179), (101, 179), (102, 179), (103, 179), (104, 179), (105, 178), (106, 177), (107, 176), (107, 175), (106, 174), (105, 173)]"
"(2, 14)","(150, 168)",0.014566735310268086,156,0.02147107071505161,0.003074211204761923,7.952800575354e-08,"[(2, 14), (1, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (246, 21), (246, 22), (246, 23), (246, 24), (246, 25), (246, 26), (246, 27), (246, 28), (245, 29), (244, 30), (243, 31), (242, 32), (241, 33), (240, 34), (239, 35), (238, 36), (237, 37), (236, 38), (235, 39), (234, 40), (233, 41), (232, 42), (231, 43), (230, 44), (229, 45), (228, 46), (227, 47), (226, 48), (225, 49), (224, 50), (223, 51), (222, 52), (221, 53), (220, 54), (219, 55), (218, 56), (217, 57), (216, 58), (215, 59), (214, 60), (213, 61), (212, 62), (211, 63), (211, 64), (211, 65), (211, 66), (211, 67), (211, 68), (211, 69), (211, 70), (211, 71), (211, 72), (211, 73), (211, 74), (211, 75), (211, 76), (211, 77), (211, 78), (210, 79), (209, 80), (208, 81), (207, 82), (206, 83), (205, 84), (204, 85), (203, 86), (202, 87), (201, 88), (200, 89), (199, 90), (198, 91), (197, 92), (196, 93), (195, 94), (194, 95), (195, 96), (196, 97), (197, 98), (198, 99), (199, 100), (200, 101), (200, 102), (201, 103), (201, 104), (200, 105), (200, 106), (200, 107), (199, 108), (199, 109), (198, 110), (197, 111), (197, 112), (196, 113), (195, 114), (194, 115), (193, 116), (192, 117), (191, 118), (190, 119), (189, 120), (188, 121), (187, 122), (186, 123), (185, 124), (184, 124), (183, 125), (182, 126), (181, 127), (180, 128), (179, 129), (178, 130), (177, 131), (176, 132), (175, 133), (174, 134), (173, 135), (172, 136), (171, 137), (170, 138), (169, 139), (168, 140), (167, 141), (166, 142), (165, 143), (164, 144), (163, 145), (162, 146), (161, 147), (160, 148), (159, 149), (158, 150), (157, 151), (156, 152), (155, 153), (154, 154), (153, 155), (152, 156), (151, 157), (150, 158), (149, 159), (148, 160), (147, 161), (146, 162), (145, 163), (146, 164), (147, 165), (148, 166), (149, 167), (150, 168)]"
"(2, 14)","(150, 249)",0.00913073309243373,105,0.010771492912226677,0.003067342013309826,9.251068695287976e-08,"[(2, 14), (1, 14), (0, 14), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (238, 4), (237, 3), (236, 2), (235, 1), (234, 0), (234, 249), (233, 248), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 248), (221, 248), (220, 248), (219, 248), (218, 248), (217, 249), (217, 0), (216, 1), (215, 2), (214, 3), (213, 3), (212, 4), (211, 4), (210, 4), (209, 4), (208, 4), (207, 4), (206, 4), (205, 4), (204, 4), (203, 4), (202, 4), (201, 4), (200, 4), (199, 4), (198, 4), (197, 4), (196, 4), (195, 4), (194, 4), (193, 4), (192, 4), (191, 4), (190, 4), (189, 4), (188, 4), (187, 4), (186, 4), (185, 4), (184, 4), (183, 4), (182, 4), (181, 4), (180, 4), (179, 4), (178, 4), (177, 4), (176, 4), (175, 4), (174, 4), (173, 4), (172, 4), (171, 4), (170, 4), (169, 4), (168, 3), (167, 2), (166, 1), (165, 0), (164, 0), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(2, 14)","(175, 67)",0.004261643150471173,112,0.009465432546789998,0.003074211204761923,9.27297517494539e-08,"[(2, 14), (1, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (246, 21), (246, 22), (246, 23), (246, 24), (246, 25), (246, 26), (245, 27), (244, 28), (243, 29), (242, 30), (241, 31), (240, 32), (239, 33), (238, 34), (237, 35), (236, 36), (235, 37), (234, 38), (233, 39), (232, 40), (231, 41), (230, 42), (229, 42), (228, 42), (227, 42), (226, 42), (225, 42), (224, 42), (223, 42), (222, 42), (221, 42), (220, 42), (219, 42), (218, 42), (217, 42), (216, 42), (215, 42), (214, 42), (213, 42), (212, 42), (211, 42), (210, 42), (209, 42), (208, 42), (207, 42), (206, 41), (205, 40), (204, 41), (203, 42), (202, 43), (201, 44), (200, 45), (200, 46), (200, 47), (200, 48), (200, 49), (200, 50), (200, 51), (200, 52), (200, 53), (200, 54), (200, 55), (200, 56), (200, 57), (200, 58), (200, 59), (200, 60), (200, 61), (200, 62), (200, 63), (200, 64), (200, 65), (200, 66), (199, 67), (198, 68), (197, 69), (196, 70), (195, 71), (194, 72), (193, 73), (192, 74), (191, 75), (190, 76), (189, 76), (188, 76), (187, 76), (186, 76), (185, 76), (184, 76), (183, 76), (182, 76), (181, 76), (180, 76), (179, 76), (178, 76), (177, 76), (176, 75), (175, 74), (174, 73), (173, 72), (172, 71), (172, 70), (173, 69), (174, 68), (175, 67)]"
"(2, 14)","(192, 183)",0.01637747885342833,130,0.01661382746169693,0.001312359129201468,2.533523172634514e-08,"[(2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (2, 224), (2, 223), (2, 222), (2, 221), (2, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (4, 210), (4, 209), (4, 208), (4, 207), (5, 206), (5, 205), (5, 204), (6, 203), (6, 202), (7, 201), (7, 200), (6, 199), (5, 198), (4, 197), (3, 197), (2, 196), (1, 195), (0, 194), (249, 193), (248, 192), (247, 191), (246, 191), (245, 191), (244, 191), (243, 191), (242, 191), (241, 191), (240, 191), (239, 191), (238, 191), (237, 191), (236, 191), (235, 191), (234, 191), (233, 191), (232, 191), (231, 191), (230, 191), (229, 191), (228, 191), (227, 191), (226, 191), (225, 191), (224, 191), (223, 191), (222, 191), (221, 191), (220, 191), (219, 191), (218, 191), (217, 191), (216, 191), (215, 191), (214, 191), (213, 191), (212, 191), (211, 191), (210, 191), (209, 191), (208, 191), (207, 190), (206, 189), (205, 188), (204, 187), (203, 186), (202, 185), (201, 184), (200, 183), (199, 183), (198, 183), (197, 183), (196, 183), (195, 183), (194, 183), (193, 183), (192, 183)]"
