start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(2, 249)","(3, 13)",0.0010007986302298377,15,0.0010007994114857865,7.812559488229454e-10,1.6048412635828468e-09,"[(2, 249), (2, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12), (3, 13)]"
"(2, 249)","(4, 171)",0.011310620690323958,79,0.014479152311309917,0.000287664744405447,3.079379913521755e-08,"[(2, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (3, 224), (3, 223), (3, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (3, 210), (3, 209), (3, 208), (3, 207), (3, 206), (3, 205), (3, 204), (3, 203), (3, 202), (3, 201), (3, 200), (3, 199), (3, 198), (3, 197), (4, 196), (4, 195), (4, 194), (5, 193), (5, 192), (5, 191), (5, 190), (5, 189), (5, 188), (5, 187), (6, 186), (6, 185), (6, 184), (6, 183), (6, 182), (6, 181), (6, 180), (6, 179), (6, 178), (6, 177), (6, 176), (6, 175), (6, 174), (6, 173), (5, 172), (4, 171)]"
"(2, 249)","(88, 175)",0.0136395276699659,141,0.01713066737488589,0.000287664744405447,1.8962392662164824e-08,"[(2, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (3, 224), (3, 223), (3, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (3, 210), (3, 209), (3, 208), (3, 207), (3, 206), (3, 205), (3, 204), (3, 203), (3, 202), (3, 201), (3, 200), (3, 199), (3, 198), (4, 197), (5, 196), (6, 195), (7, 194), (8, 193), (9, 192), (10, 191), (11, 190), (12, 189), (13, 188), (14, 188), (15, 188), (16, 188), (17, 188), (18, 188), (19, 188), (20, 188), (21, 188), (22, 188), (23, 188), (24, 188), (25, 188), (26, 188), (27, 188), (28, 188), (29, 188), (30, 187), (31, 186), (32, 185), (33, 184), (34, 183), (35, 182), (36, 181), (37, 180), (38, 179), (39, 178), (40, 177), (41, 176), (42, 175), (43, 174), (44, 173), (45, 172), (46, 171), (47, 170), (48, 170), (49, 171), (50, 172), (51, 172), (52, 173), (53, 174), (54, 175), (55, 176), (56, 177), (57, 178), (58, 179), (59, 179), (60, 180), (61, 180), (62, 180), (63, 180), (64, 180), (65, 180), (66, 180), (67, 180), (68, 180), (69, 180), (70, 180), (71, 180), (72, 180), (73, 180), (74, 180), (75, 180), (76, 180), (77, 180), (78, 180), (79, 180), (80, 180), (81, 180), (82, 180), (83, 180), (84, 180), (85, 180), (86, 180), (87, 180), (88, 179), (89, 178), (90, 177), (89, 176), (88, 175)]"
"(2, 249)","(100, 1)",0.016721539180593936,103,0.01728230675496434,0.00032000979774693405,1.616266198638424e-08,"[(2, 249), (3, 0), (4, 1), (5, 2), (6, 3), (7, 4), (8, 5), (9, 6), (10, 7), (11, 8), (12, 9), (13, 10), (14, 11), (15, 12), (16, 13), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (25, 14), (26, 14), (27, 14), (28, 14), (29, 14), (30, 14), (31, 14), (32, 14), (33, 13), (34, 13), (35, 13), (36, 13), (37, 13), (38, 13), (39, 13), (40, 13), (41, 13), (42, 13), (43, 13), (44, 12), (45, 12), (46, 12), (47, 12), (48, 13), (49, 13), (50, 13), (51, 13), (52, 13), (53, 14), (54, 14), (55, 14), (56, 15), (57, 16), (58, 17), (59, 17), (60, 18), (61, 19), (62, 20), (63, 20), (64, 20), (65, 20), (66, 20), (67, 20), (68, 20), (69, 19), (70, 19), (71, 18), (72, 18), (73, 18), (74, 17), (75, 17), (76, 16), (77, 16), (78, 15), (79, 15), (80, 15), (81, 14), (82, 14), (83, 13), (84, 12), (85, 12), (86, 12), (87, 11), (88, 11), (89, 11), (90, 11), (91, 11), (92, 11), (93, 11), (94, 11), (95, 10), (96, 9), (97, 8), (97, 7), (97, 6), (97, 5), (97, 4), (98, 3), (99, 2), (100, 1)]"
"(2, 249)","(147, 170)",0.014474486377253015,201,0.01915721037187268,0.000287664744405447,1.2338867005455793e-08,"[(2, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (3, 224), (3, 223), (3, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (3, 213), (3, 212), (3, 211), (3, 210), (3, 209), (3, 208), (3, 207), (3, 206), (3, 205), (3, 204), (3, 203), (3, 202), (3, 201), (3, 200), (3, 199), (3, 198), (4, 197), (5, 196), (6, 195), (7, 194), (8, 193), (9, 192), (10, 191), (11, 190), (12, 189), (13, 188), (14, 188), (15, 188), (16, 188), (17, 188), (18, 188), (19, 188), (20, 188), (21, 188), (22, 188), (23, 188), (24, 188), (25, 188), (26, 188), (27, 188), (28, 188), (29, 188), (30, 187), (31, 186), (32, 185), (33, 184), (34, 183), (35, 182), (36, 181), (37, 180), (38, 179), (39, 178), (40, 177), (41, 176), (42, 175), (43, 174), (44, 173), (45, 172), (46, 171), (47, 170), (48, 169), (49, 168), (50, 168), (51, 167), (52, 166), (53, 165), (54, 164), (55, 163), (56, 162), (57, 161), (58, 160), (59, 160), (60, 160), (61, 160), (62, 160), (63, 160), (64, 160), (65, 160), (66, 160), (67, 160), (68, 160), (69, 160), (70, 160), (71, 160), (72, 160), (73, 160), (74, 160), (75, 160), (76, 160), (77, 160), (78, 160), (79, 160), (80, 160), (81, 160), (82, 160), (83, 160), (84, 160), (85, 160), (86, 160), (87, 160), (88, 160), (89, 160), (90, 160), (91, 160), (92, 160), (93, 160), (94, 160), (95, 160), (96, 160), (97, 160), (98, 160), (99, 160), (100, 160), (101, 160), (102, 160), (103, 160), (104, 160), (105, 160), (106, 160), (107, 160), (108, 160), (109, 160), (110, 160), (111, 160), (112, 160), (113, 160), (114, 160), (115, 160), (116, 160), (117, 160), (118, 160), (119, 161), (120, 162), (121, 163), (122, 164), (123, 165), (124, 166), (125, 167), (126, 168), (126, 169), (126, 170), (126, 171), (127, 172), (128, 173), (129, 174), (129, 175), (130, 176), (131, 177), (132, 178), (133, 179), (134, 179), (135, 179), (136, 179), (137, 179), (138, 179), (139, 179), (140, 178), (141, 177), (142, 176), (143, 175), (144, 174), (145, 173), (146, 172), (147, 171), (147, 170)]"
"(2, 249)","(148, 32)",0.010189060784341564,133,0.011594876713729718,0.005881885746248372,2.6277549223637284e-07,"[(2, 249), (2, 0), (1, 1), (0, 2), (249, 3), (248, 4), (247, 5), (246, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 242), (239, 241), (238, 240), (237, 239), (236, 239), (235, 239), (234, 239), (233, 239), (232, 239), (231, 239), (230, 239), (229, 239), (228, 239), (227, 239), (226, 240), (225, 241), (224, 242), (223, 243), (222, 244), (221, 245), (220, 246), (219, 247), (218, 248), (217, 249), (217, 0), (216, 1), (215, 2), (214, 3), (213, 4), (212, 5), (211, 6), (210, 7), (209, 8), (208, 9), (207, 10), (206, 11), (205, 12), (204, 13), (203, 14), (202, 15), (202, 16), (202, 17), (202, 18), (202, 19), (202, 20), (202, 21), (202, 22), (202, 23), (202, 24), (202, 25), (202, 26), (202, 27), (202, 28), (201, 29), (200, 30), (199, 31), (198, 32), (197, 33), (196, 34), (195, 35), (194, 36), (193, 37), (192, 38), (191, 38), (190, 38), (189, 38), (188, 38), (187, 38), (186, 38), (185, 38), (184, 38), (183, 38), (182, 38), (181, 38), (180, 38), (179, 38), (178, 38), (177, 38), (176, 38), (175, 38), (174, 38), (173, 38), (172, 38), (171, 38), (170, 38), (169, 38), (168, 38), (167, 38), (166, 38), (165, 38), (164, 38), (163, 38), (162, 38), (161, 38), (160, 38), (159, 38), (158, 38), (157, 38), (156, 38), (155, 37), (155, 36), (155, 35), (155, 34), (155, 33), (154, 32), (153, 31), (152, 30), (151, 29), (150, 29), (149, 29), (148, 30), (147, 31), (148, 32)]"
"(2, 249)","(150, 249)",0.013033418810323383,113,0.014661523876839055,0.005881885746248372,3.1219218676010723e-07,"[(2, 249), (2, 0), (1, 1), (0, 2), (249, 3), (248, 4), (247, 5), (246, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 240), (238, 239), (237, 238), (236, 238), (235, 238), (234, 238), (233, 238), (232, 238), (231, 238), (230, 238), (229, 238), (228, 238), (227, 238), (226, 238), (225, 238), (224, 238), (223, 238), (222, 238), (221, 238), (220, 238), (219, 238), (218, 238), (217, 238), (216, 239), (215, 240), (214, 241), (213, 242), (212, 243), (211, 244), (210, 245), (209, 246), (208, 247), (207, 248), (206, 249), (206, 0), (205, 1), (204, 2), (203, 3), (202, 4), (201, 5), (200, 6), (199, 7), (198, 8), (197, 9), (196, 10), (195, 11), (194, 12), (193, 13), (192, 14), (191, 15), (190, 16), (189, 17), (188, 18), (187, 19), (186, 20), (185, 21), (184, 22), (183, 22), (182, 22), (181, 22), (180, 22), (179, 22), (178, 22), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 6), (160, 5), (159, 4), (158, 3), (157, 2), (156, 2), (155, 1), (154, 0), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(2, 249)","(172, 67)",0.009491602075740957,144,0.014995509500636217,0.005881885746248372,2.50168503593997e-07,"[(2, 249), (2, 0), (1, 1), (0, 2), (249, 3), (248, 4), (247, 5), (246, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 242), (239, 241), (238, 240), (237, 239), (236, 239), (235, 239), (234, 239), (233, 239), (232, 239), (231, 239), (230, 239), (229, 239), (228, 240), (227, 241), (226, 242), (225, 243), (224, 244), (223, 245), (222, 246), (221, 247), (220, 248), (219, 249), (219, 0), (218, 1), (217, 2), (216, 3), (215, 4), (214, 5), (213, 6), (212, 7), (211, 8), (210, 9), (209, 10), (208, 11), (207, 12), (206, 13), (205, 14), (204, 15), (204, 16), (204, 17), (204, 18), (204, 19), (204, 20), (204, 21), (204, 22), (204, 23), (204, 24), (204, 25), (204, 26), (204, 27), (204, 28), (204, 29), (204, 30), (204, 31), (204, 32), (204, 33), (204, 34), (204, 35), (204, 36), (204, 37), (204, 38), (204, 39), (204, 40), (204, 41), (204, 42), (204, 43), (204, 44), (204, 45), (204, 46), (204, 47), (204, 48), (204, 49), (204, 50), (203, 51), (202, 52), (201, 53), (201, 54), (201, 55), (201, 56), (201, 57), (201, 58), (201, 59), (201, 60), (201, 61), (201, 62), (201, 63), (201, 64), (200, 65), (199, 66), (198, 67), (197, 68), (196, 69), (195, 70), (194, 71), (193, 72), (192, 73), (191, 74), (190, 75), (189, 76), (188, 76), (187, 76), (186, 76), (185, 76), (184, 76), (183, 76), (182, 76), (181, 76), (180, 76), (179, 76), (178, 76), (177, 76), (176, 76), (175, 76), (174, 76), (173, 76), (172, 75), (171, 74), (170, 73), (169, 72), (168, 71), (169, 70), (170, 69), (171, 68), (172, 67)]"
"(2, 249)","(235, 249)",0.006214617623982122,21,0.007426040909763287,0.005879077539020727,1.762489691392594e-06,"[(2, 249), (2, 0), (3, 1), (2, 2), (1, 3), (0, 4), (249, 5), (248, 6), (247, 7), (246, 8), (245, 8), (244, 7), (243, 6), (242, 5), (241, 4), (240, 3), (239, 2), (238, 1), (237, 0), (236, 0), (235, 249)]"
"(2, 249)","(236, 12)",0.006214617623982122,20,0.008060659201191811,0.005879077539020727,1.8879795509760538e-06,"[(2, 249), (2, 0), (3, 1), (2, 2), (1, 3), (0, 4), (249, 5), (248, 6), (247, 7), (246, 8), (245, 8), (244, 7), (243, 6), (242, 6), (241, 7), (240, 8), (239, 9), (238, 10), (237, 11), (236, 12)]"
