start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(1, 30)","(5, 174)",0.009750572272764657,107,0.01159876811277627,0.00022402361162221496,1.0938533869558385e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (0, 17), (0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (1, 3), (1, 2), (2, 1), (1, 0), (0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (1, 232), (1, 231), (1, 230), (1, 229), (1, 228), (1, 227), (1, 226), (1, 225), (2, 224), (2, 223), (2, 222), (2, 221), (2, 220), (2, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (4, 213), (4, 212), (4, 211), (4, 210), (4, 209), (4, 208), (5, 207), (4, 206), (4, 205), (4, 204), (4, 203), (4, 202), (4, 201), (4, 200), (4, 199), (4, 198), (4, 197), (4, 196), (4, 195), (4, 194), (4, 193), (4, 192), (4, 191), (4, 190), (4, 189), (4, 188), (4, 187), (4, 186), (4, 185), (4, 184), (4, 183), (4, 182), (4, 181), (4, 180), (4, 179), (4, 178), (4, 177), (4, 176), (4, 175), (5, 174)]"
"(1, 30)","(21, 14)",0.005579424818279222,29,0.0072442909436176706,0.0002737306965627795,1.21692420955535e-07,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 29), (11, 28), (12, 27), (13, 26), (14, 25), (14, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (16, 15), (17, 14), (18, 13), (19, 12), (20, 13), (21, 14)]"
"(1, 30)","(21, 246)",0.006271880513281758,75,0.011174827731679216,0.0003259726443047839,4.8926140970666276e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (34, 24), (34, 23), (34, 22), (34, 21), (34, 20), (34, 19), (34, 18), (34, 17), (34, 16), (34, 15), (34, 14), (34, 13), (34, 12), (34, 11), (34, 10), (34, 9), (34, 8), (34, 7), (34, 6), (34, 5), (34, 4), (34, 3), (34, 2), (34, 1), (33, 0), (32, 0), (31, 249), (30, 248), (29, 247), (28, 246), (27, 245), (26, 244), (25, 243), (24, 242), (23, 242), (22, 242), (21, 242), (20, 243), (20, 244), (20, 245), (21, 246)]"
"(1, 30)","(33, 169)",0.009210134278305304,156,0.011802941793916943,0.0003259726443047839,9.735210951909983e-09,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (35, 24), (36, 23), (37, 22), (38, 21), (39, 20), (40, 19), (41, 18), (42, 17), (43, 16), (43, 15), (43, 14), (43, 13), (43, 12), (43, 11), (43, 10), (43, 9), (42, 8), (42, 7), (42, 6), (42, 5), (42, 4), (42, 3), (42, 2), (42, 1), (42, 0), (43, 249), (43, 248), (43, 247), (42, 246), (41, 245), (40, 244), (39, 244), (38, 244), (37, 243), (36, 242), (35, 241), (34, 240), (33, 239), (32, 238), (32, 237), (32, 236), (32, 235), (32, 234), (32, 233), (32, 232), (32, 231), (32, 230), (32, 229), (32, 228), (32, 227), (32, 226), (32, 225), (32, 224), (32, 223), (32, 222), (32, 221), (32, 220), (32, 219), (32, 218), (32, 217), (32, 216), (32, 215), (32, 214), (32, 213), (32, 212), (32, 211), (32, 210), (31, 209), (30, 208), (30, 207), (31, 206), (32, 205), (33, 205), (34, 204), (35, 203), (36, 202), (37, 201), (38, 200), (38, 199), (39, 198), (39, 197), (39, 196), (39, 195), (39, 194), (40, 193), (41, 192), (42, 191), (43, 190), (44, 189), (45, 188), (46, 187), (47, 186), (48, 185), (49, 184), (50, 183), (51, 182), (51, 181), (50, 180), (50, 179), (50, 178), (49, 177), (49, 176), (49, 175), (49, 174), (49, 173), (49, 172), (48, 171), (47, 170), (46, 169), (45, 168), (44, 168), (43, 167), (42, 167), (41, 167), (40, 167), (39, 167), (38, 167), (37, 167), (36, 167), (35, 167), (34, 168), (33, 169)]"
"(1, 30)","(87, 175)",0.009210134278305304,179,0.017813139351574137,0.0003259726443047839,1.8957750254247256e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (35, 24), (36, 23), (37, 22), (38, 21), (39, 20), (40, 19), (41, 18), (42, 17), (43, 16), (43, 15), (43, 14), (43, 13), (43, 12), (43, 11), (43, 10), (43, 9), (42, 8), (42, 7), (42, 6), (42, 5), (42, 4), (42, 3), (42, 2), (42, 1), (42, 0), (43, 249), (43, 248), (43, 247), (42, 246), (41, 245), (40, 244), (39, 244), (38, 244), (37, 243), (36, 242), (35, 241), (34, 240), (33, 239), (32, 238), (32, 237), (32, 236), (32, 235), (32, 234), (32, 233), (32, 232), (32, 231), (32, 230), (32, 229), (32, 228), (32, 227), (32, 226), (32, 225), (32, 224), (32, 223), (32, 222), (32, 221), (32, 220), (32, 219), (32, 218), (32, 217), (32, 216), (32, 215), (32, 214), (32, 213), (32, 212), (32, 211), (32, 210), (31, 209), (30, 208), (30, 207), (31, 206), (32, 205), (33, 205), (34, 204), (35, 203), (36, 202), (37, 201), (38, 200), (38, 199), (39, 198), (39, 197), (39, 196), (39, 195), (39, 194), (40, 193), (41, 192), (42, 191), (43, 190), (44, 189), (45, 188), (46, 187), (47, 186), (48, 185), (49, 184), (50, 183), (51, 182), (52, 181), (53, 181), (54, 181), (55, 181), (56, 181), (57, 181), (58, 181), (59, 181), (60, 181), (61, 181), (62, 181), (63, 181), (64, 181), (65, 181), (66, 181), (67, 181), (68, 181), (69, 181), (70, 182), (71, 183), (72, 184), (73, 185), (74, 186), (75, 187), (76, 188), (77, 189), (78, 189), (79, 189), (80, 189), (81, 189), (82, 189), (83, 189), (84, 189), (85, 189), (86, 189), (87, 188), (88, 187), (89, 186), (90, 185), (91, 184), (92, 183), (93, 182), (93, 181), (92, 180), (91, 179), (90, 178), (89, 177), (88, 176), (87, 175)]"
"(1, 30)","(95, 12)",0.009783907256178281,95,0.011426098392917083,0.00030981240354321926,1.4898384149916937e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 31), (10, 32), (11, 33), (12, 34), (13, 35), (14, 36), (15, 37), (16, 38), (17, 39), (18, 40), (19, 41), (20, 41), (21, 41), (22, 41), (23, 40), (24, 39), (25, 38), (26, 37), (27, 36), (28, 35), (29, 34), (30, 33), (31, 32), (32, 31), (33, 30), (34, 29), (35, 29), (36, 29), (37, 29), (38, 29), (39, 29), (40, 29), (41, 29), (42, 29), (43, 29), (44, 29), (45, 28), (46, 27), (47, 26), (48, 25), (49, 24), (50, 23), (51, 22), (52, 21), (53, 20), (54, 19), (55, 18), (56, 18), (57, 19), (58, 20), (59, 21), (60, 21), (61, 22), (62, 22), (63, 22), (64, 22), (65, 22), (66, 21), (67, 21), (68, 20), (69, 19), (70, 19), (71, 18), (72, 18), (73, 17), (74, 17), (75, 17), (76, 16), (77, 15), (78, 14), (79, 13), (80, 12), (81, 11), (82, 10), (83, 9), (84, 8), (85, 7), (86, 6), (87, 6), (88, 6), (89, 6), (90, 7), (91, 8), (92, 9), (93, 10), (94, 11), (95, 12)]"
"(1, 30)","(144, 35)",0.004216061132297,129,0.007396374882659984,0.0027552135785526843,6.273047804584307e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (0, 17), (249, 16), (248, 15), (247, 14), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 3), (235, 2), (234, 1), (233, 0), (232, 0), (231, 0), (230, 0), (229, 0), (228, 249), (227, 249), (226, 0), (225, 0), (224, 0), (223, 0), (222, 0), (221, 0), (220, 1), (219, 2), (218, 3), (217, 4), (216, 5), (215, 6), (214, 7), (213, 8), (212, 9), (211, 10), (210, 11), (209, 12), (208, 13), (207, 14), (206, 15), (205, 16), (205, 17), (205, 18), (205, 19), (205, 20), (205, 21), (205, 22), (205, 23), (205, 24), (205, 25), (204, 26), (203, 27), (202, 28), (201, 29), (200, 30), (199, 31), (198, 32), (197, 33), (196, 34), (195, 35), (194, 35), (193, 35), (192, 35), (191, 35), (190, 35), (189, 35), (188, 35), (187, 35), (186, 35), (185, 35), (184, 35), (183, 35), (182, 35), (181, 35), (180, 35), (179, 35), (178, 35), (177, 35), (176, 35), (175, 35), (174, 35), (173, 35), (172, 35), (171, 35), (170, 35), (169, 35), (168, 35), (167, 35), (166, 35), (165, 35), (164, 35), (163, 35), (162, 35), (161, 35), (160, 35), (159, 35), (158, 35), (157, 35), (156, 36), (155, 37), (154, 38), (153, 39), (152, 40), (151, 41), (150, 40), (149, 40), (148, 39), (147, 38), (146, 37), (145, 36), (144, 35)]"
"(1, 30)","(149, 169)",0.009210134278305304,249,0.017107159241504633,0.0003259726443047839,8.406854652344016e-09,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (35, 24), (36, 23), (37, 22), (38, 21), (39, 20), (40, 19), (41, 18), (42, 17), (43, 16), (43, 15), (43, 14), (43, 13), (43, 12), (43, 11), (43, 10), (43, 9), (42, 8), (42, 7), (42, 6), (42, 5), (42, 4), (42, 3), (42, 2), (42, 1), (42, 0), (43, 249), (43, 248), (43, 247), (42, 246), (41, 245), (40, 244), (39, 244), (38, 244), (37, 243), (36, 242), (35, 241), (34, 240), (33, 239), (32, 238), (32, 237), (32, 236), (32, 235), (32, 234), (32, 233), (32, 232), (32, 231), (32, 230), (32, 229), (32, 228), (32, 227), (32, 226), (32, 225), (32, 224), (32, 223), (32, 222), (32, 221), (32, 220), (32, 219), (32, 218), (32, 217), (32, 216), (32, 215), (32, 214), (32, 213), (32, 212), (32, 211), (32, 210), (31, 209), (30, 208), (30, 207), (31, 206), (32, 205), (33, 205), (34, 204), (35, 203), (36, 202), (37, 201), (38, 200), (38, 199), (39, 198), (39, 197), (39, 196), (39, 195), (39, 194), (40, 193), (41, 192), (42, 191), (43, 190), (44, 189), (45, 188), (46, 187), (47, 186), (48, 185), (49, 184), (50, 183), (51, 182), (51, 181), (50, 180), (50, 179), (50, 178), (49, 177), (49, 176), (49, 175), (49, 174), (49, 173), (49, 172), (50, 171), (51, 170), (52, 170), (53, 169), (54, 169), (55, 168), (56, 167), (57, 166), (58, 165), (59, 165), (60, 165), (61, 165), (62, 165), (63, 165), (64, 165), (65, 165), (66, 165), (67, 165), (68, 165), (69, 165), (70, 164), (71, 163), (72, 162), (73, 161), (74, 160), (75, 159), (76, 158), (77, 157), (78, 156), (79, 155), (80, 154), (81, 153), (82, 152), (83, 151), (84, 150), (85, 149), (86, 149), (87, 149), (88, 149), (89, 149), (90, 149), (91, 149), (92, 149), (93, 149), (94, 149), (95, 149), (96, 149), (97, 149), (98, 149), (99, 149), (100, 149), (101, 149), (102, 149), (103, 149), (104, 149), (105, 149), (106, 149), (107, 149), (108, 149), (109, 149), (110, 149), (111, 149), (112, 150), (113, 151), (114, 152), (115, 153), (116, 154), (117, 155), (118, 156), (119, 157), (120, 158), (121, 159), (122, 160), (123, 161), (124, 162), (125, 163), (126, 164), (127, 165), (127, 166), (127, 167), (127, 168), (127, 169), (127, 170), (127, 171), (127, 172), (128, 173), (129, 174), (130, 175), (131, 176), (132, 177), (133, 178), (134, 178), (135, 178), (136, 178), (137, 178), (138, 178), (139, 178), (140, 178), (141, 178), (142, 177), (143, 176), (144, 175), (145, 175), (146, 174), (147, 173), (148, 172), (149, 171), (150, 170), (149, 169)]"
"(1, 30)","(150, 249)",0.00711741883162631,116,0.010885540713729824,0.0027552135785526843,7.231204963249839e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (0, 17), (249, 16), (248, 15), (247, 14), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 3), (235, 2), (234, 1), (233, 0), (233, 249), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 248), (221, 248), (220, 248), (219, 248), (218, 248), (217, 248), (216, 248), (215, 248), (214, 248), (213, 248), (212, 248), (211, 248), (210, 248), (209, 248), (208, 248), (207, 248), (206, 249), (206, 0), (205, 1), (204, 2), (203, 3), (202, 3), (201, 3), (200, 3), (199, 3), (198, 3), (197, 3), (196, 3), (195, 3), (194, 3), (193, 3), (192, 3), (191, 3), (190, 3), (189, 3), (188, 3), (187, 3), (186, 3), (185, 3), (184, 3), (183, 3), (182, 3), (181, 3), (180, 3), (179, 3), (178, 3), (177, 3), (176, 3), (175, 3), (174, 3), (173, 3), (172, 3), (171, 3), (170, 3), (169, 3), (168, 2), (167, 1), (166, 0), (165, 249), (164, 249), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 0), (154, 0), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(1, 30)","(174, 67)",0.007777232129569711,117,0.012042877253406914,0.00294523127672619,8.667426842939085e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (249, 17), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 34), (229, 34), (228, 34), (227, 35), (226, 36), (225, 37), (224, 38), (223, 39), (222, 40), (221, 41), (220, 42), (219, 43), (218, 44), (217, 45), (216, 46), (215, 46), (214, 46), (213, 46), (212, 46), (211, 46), (210, 46), (209, 46), (208, 47), (208, 48), (208, 49), (208, 50), (208, 51), (208, 52), (208, 53), (208, 54), (208, 55), (208, 56), (208, 57), (208, 58), (208, 59), (208, 60), (208, 61), (208, 62), (208, 63), (208, 64), (208, 65), (207, 66), (207, 67), (206, 68), (205, 69), (204, 70), (203, 71), (202, 72), (201, 73), (200, 74), (199, 75), (198, 76), (197, 77), (196, 78), (195, 79), (194, 79), (193, 79), (192, 79), (191, 79), (190, 79), (189, 79), (188, 79), (187, 79), (186, 79), (185, 79), (184, 79), (183, 79), (182, 79), (181, 79), (180, 79), (179, 79), (178, 79), (177, 79), (176, 78), (175, 77), (174, 76), (173, 75), (172, 74), (171, 73), (170, 72), (170, 71), (171, 70), (172, 69), (173, 68), (174, 67)]"
