start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(75, 182)","(100, 0)",0.007784774148717588,76,0.00842640142190021,0.0003532700767436836,1.7486213538981894e-08,"[(75, 182), (76, 182), (77, 182), (78, 182), (79, 182), (80, 183), (81, 183), (82, 183), (83, 183), (84, 184), (85, 185), (86, 186), (87, 187), (88, 188), (89, 189), (90, 190), (91, 191), (92, 192), (93, 193), (94, 194), (95, 195), (96, 196), (97, 197), (98, 198), (99, 199), (100, 200), (101, 201), (102, 202), (101, 203), (100, 204), (100, 205), (100, 206), (99, 207), (99, 208), (99, 209), (99, 210), (99, 211), (99, 212), (99, 213), (99, 214), (99, 215), (99, 216), (99, 217), (99, 218), (99, 219), (99, 220), (99, 221), (99, 222), (99, 223), (100, 224), (101, 225), (102, 226), (103, 227), (104, 228), (105, 229), (105, 230), (104, 231), (104, 232), (104, 233), (103, 234), (103, 235), (103, 236), (103, 237), (103, 238), (103, 239), (104, 240), (105, 241), (106, 242), (106, 243), (105, 244), (104, 245), (103, 246), (102, 247), (101, 248), (100, 249), (100, 0)]"
"(75, 182)","(109, 209)",0.004354708804214624,36,0.0046065102895340715,0.00035518175639026595,1.9286573417708454e-08,"[(75, 182), (76, 182), (77, 182), (78, 182), (79, 182), (80, 183), (81, 183), (82, 183), (83, 183), (84, 183), (85, 184), (86, 185), (87, 186), (88, 187), (89, 188), (90, 189), (91, 190), (92, 191), (93, 192), (94, 193), (95, 194), (96, 195), (97, 196), (98, 197), (99, 198), (100, 199), (101, 200), (102, 201), (103, 202), (103, 203), (104, 204), (105, 205), (106, 206), (107, 207), (108, 208), (109, 209)]"
"(75, 182)","(140, 39)",0.004753345074561821,222,0.010174973332084392,0.00016842610244793832,3.7464060905352246e-09,"[(75, 182), (74, 181), (73, 181), (72, 181), (71, 181), (70, 181), (69, 181), (68, 181), (67, 180), (66, 180), (65, 180), (64, 180), (63, 180), (62, 180), (61, 180), (60, 180), (59, 180), (58, 180), (57, 180), (56, 180), (55, 180), (54, 180), (53, 180), (52, 180), (51, 180), (50, 181), (49, 182), (48, 183), (47, 184), (46, 185), (45, 186), (44, 187), (43, 188), (42, 189), (41, 190), (40, 191), (39, 191), (38, 191), (37, 191), (36, 191), (35, 191), (34, 191), (33, 191), (32, 191), (31, 191), (30, 191), (29, 191), (28, 191), (27, 191), (26, 191), (25, 191), (24, 191), (23, 191), (22, 191), (21, 191), (20, 191), (19, 191), (18, 191), (17, 192), (16, 193), (15, 194), (14, 195), (13, 196), (12, 197), (11, 198), (10, 199), (9, 200), (8, 201), (7, 202), (6, 203), (5, 204), (4, 205), (3, 206), (2, 207), (1, 208), (0, 209), (249, 209), (248, 210), (247, 211), (246, 212), (246, 213), (246, 214), (245, 215), (244, 216), (243, 217), (242, 218), (241, 219), (240, 220), (239, 221), (238, 222), (237, 223), (236, 224), (235, 225), (234, 226), (233, 227), (232, 228), (231, 229), (230, 230), (229, 231), (228, 232), (227, 233), (226, 234), (225, 235), (224, 236), (223, 237), (222, 238), (221, 239), (221, 240), (221, 241), (221, 242), (221, 243), (221, 244), (221, 245), (221, 246), (221, 247), (221, 248), (221, 249), (221, 0), (221, 1), (221, 2), (221, 3), (221, 4), (221, 5), (221, 6), (221, 7), (221, 8), (221, 9), (221, 10), (221, 11), (221, 12), (221, 13), (221, 14), (221, 15), (221, 16), (221, 17), (221, 18), (221, 19), (221, 20), (221, 21), (221, 22), (221, 23), (220, 24), (219, 25), (218, 26), (217, 27), (216, 28), (215, 29), (214, 30), (213, 31), (212, 32), (211, 33), (210, 34), (209, 35), (208, 36), (207, 37), (206, 38), (205, 39), (204, 40), (203, 41), (202, 42), (201, 43), (200, 44), (199, 44), (198, 44), (197, 44), (196, 44), (195, 44), (194, 44), (193, 44), (192, 44), (191, 44), (190, 44), (189, 44), (188, 44), (187, 44), (186, 44), (185, 44), (184, 44), (183, 44), (182, 44), (181, 44), (180, 44), (179, 44), (178, 44), (177, 44), (176, 44), (175, 44), (174, 44), (173, 44), (172, 44), (171, 44), (170, 44), (169, 44), (168, 44), (167, 44), (166, 44), (165, 44), (164, 44), (163, 44), (162, 44), (161, 44), (160, 44), (159, 44), (158, 44), (157, 44), (156, 44), (155, 44), (154, 44), (153, 44), (152, 44), (151, 43), (150, 44), (149, 45), (148, 46), (147, 46), (146, 45), (145, 44), (144, 43), (143, 42), (142, 41), (141, 40), (140, 39)]"
"(75, 182)","(149, 249)",0.007901725617955435,183,0.01074225135027973,0.00016842610244793832,6.201562631429466e-09,"[(75, 182), (74, 181), (73, 181), (72, 181), (71, 181), (70, 181), (69, 181), (68, 181), (67, 180), (66, 180), (65, 180), (64, 180), (63, 180), (62, 180), (61, 180), (60, 180), (59, 180), (58, 180), (57, 180), (56, 180), (55, 180), (54, 180), (53, 180), (52, 180), (51, 180), (50, 181), (49, 182), (48, 183), (47, 184), (46, 185), (45, 186), (44, 187), (43, 188), (42, 189), (41, 190), (40, 191), (39, 190), (38, 190), (37, 189), (36, 188), (35, 187), (34, 187), (33, 187), (32, 187), (31, 187), (30, 187), (29, 187), (28, 187), (27, 187), (26, 187), (25, 187), (24, 187), (23, 187), (22, 187), (21, 187), (20, 187), (19, 187), (18, 187), (17, 187), (16, 187), (15, 187), (14, 187), (13, 187), (12, 188), (11, 189), (10, 190), (9, 191), (8, 192), (7, 193), (6, 194), (5, 195), (4, 196), (3, 197), (2, 198), (1, 199), (0, 200), (249, 200), (248, 201), (247, 202), (246, 203), (245, 204), (244, 205), (243, 206), (242, 207), (241, 208), (240, 209), (239, 210), (238, 211), (237, 212), (236, 213), (235, 214), (234, 215), (233, 216), (232, 217), (231, 218), (230, 219), (229, 220), (228, 221), (227, 222), (226, 223), (225, 224), (224, 225), (223, 226), (222, 227), (221, 228), (220, 229), (219, 230), (218, 231), (217, 232), (216, 233), (215, 234), (214, 235), (213, 236), (212, 237), (211, 238), (210, 239), (209, 240), (208, 241), (207, 242), (206, 243), (205, 244), (204, 245), (203, 246), (202, 247), (201, 248), (201, 249), (201, 0), (201, 1), (201, 2), (200, 3), (199, 4), (198, 5), (197, 6), (196, 7), (195, 8), (194, 9), (193, 10), (192, 11), (191, 12), (190, 13), (189, 14), (188, 15), (187, 16), (186, 17), (185, 18), (184, 19), (183, 20), (182, 20), (181, 20), (180, 20), (179, 20), (178, 20), (177, 20), (176, 20), (175, 20), (174, 20), (173, 19), (172, 18), (171, 17), (170, 16), (169, 15), (168, 14), (167, 13), (166, 12), (165, 11), (164, 10), (163, 9), (162, 8), (161, 7), (160, 6), (159, 5), (158, 4), (157, 3), (156, 2), (155, 2), (154, 2), (153, 2), (152, 2), (151, 2), (150, 2), (149, 1), (150, 0), (149, 249)]"
"(75, 182)","(172, 68)",0.003995396147672636,219,0.012482182230598937,0.00016842610244793832,6.112001651944997e-09,"[(75, 182), (74, 181), (73, 181), (72, 181), (71, 181), (70, 181), (69, 181), (68, 181), (67, 180), (66, 180), (65, 180), (64, 180), (63, 180), (62, 180), (61, 180), (60, 180), (59, 180), (58, 180), (57, 180), (56, 180), (55, 180), (54, 180), (53, 180), (52, 180), (51, 180), (50, 181), (49, 182), (48, 183), (47, 184), (46, 185), (45, 186), (44, 187), (43, 188), (42, 189), (41, 190), (40, 191), (39, 191), (38, 191), (37, 191), (36, 191), (35, 191), (34, 191), (33, 191), (32, 191), (31, 191), (30, 191), (29, 191), (28, 191), (27, 191), (26, 191), (25, 191), (24, 191), (23, 191), (22, 191), (21, 191), (20, 191), (19, 191), (18, 191), (17, 192), (16, 193), (15, 194), (14, 195), (13, 196), (12, 197), (11, 198), (10, 199), (9, 200), (8, 201), (7, 202), (6, 203), (5, 204), (4, 205), (3, 206), (2, 207), (1, 208), (0, 209), (249, 209), (248, 210), (247, 211), (246, 212), (246, 213), (246, 214), (246, 215), (245, 216), (244, 217), (243, 218), (242, 219), (241, 220), (240, 221), (239, 222), (238, 223), (237, 224), (236, 225), (235, 226), (234, 227), (233, 228), (232, 229), (231, 230), (230, 231), (229, 232), (228, 233), (227, 234), (226, 235), (225, 236), (224, 237), (224, 238), (224, 239), (224, 240), (224, 241), (224, 242), (224, 243), (224, 244), (224, 245), (224, 246), (224, 247), (224, 248), (224, 249), (224, 0), (224, 1), (224, 2), (224, 3), (224, 4), (224, 5), (224, 6), (224, 7), (224, 8), (224, 9), (224, 10), (224, 11), (224, 12), (224, 13), (224, 14), (224, 15), (224, 16), (224, 17), (224, 18), (224, 19), (224, 20), (224, 21), (224, 22), (224, 23), (224, 24), (224, 25), (224, 26), (224, 27), (224, 28), (224, 29), (224, 30), (224, 31), (224, 32), (224, 33), (224, 34), (224, 35), (224, 36), (224, 37), (224, 38), (224, 39), (224, 40), (224, 41), (224, 42), (224, 43), (223, 44), (222, 45), (221, 46), (220, 47), (219, 48), (218, 49), (217, 50), (216, 51), (215, 52), (214, 53), (213, 54), (212, 55), (211, 56), (210, 57), (209, 58), (208, 59), (208, 60), (208, 61), (208, 62), (208, 63), (208, 64), (207, 65), (207, 66), (206, 67), (205, 68), (204, 69), (203, 70), (202, 71), (201, 72), (200, 73), (199, 74), (198, 75), (197, 76), (196, 77), (195, 77), (194, 77), (193, 77), (192, 77), (191, 77), (190, 77), (189, 77), (188, 77), (187, 77), (186, 77), (185, 77), (184, 77), (183, 77), (182, 77), (181, 77), (180, 76), (179, 75), (178, 74), (177, 73), (176, 72), (175, 71), (174, 70), (173, 69), (172, 68)]"
"(75, 182)","(249, 0)",0.003930974309071189,121,0.00657298197864975,0.00016842610244793832,5.412551077194102e-09,"[(75, 182), (74, 181), (73, 181), (72, 181), (71, 181), (70, 181), (69, 181), (68, 181), (67, 180), (66, 180), (65, 180), (64, 180), (63, 180), (62, 180), (61, 180), (60, 180), (59, 180), (58, 180), (57, 180), (56, 180), (55, 180), (54, 180), (53, 180), (52, 180), (51, 180), (50, 181), (49, 182), (48, 183), (47, 184), (46, 185), (45, 186), (44, 187), (43, 188), (42, 189), (41, 190), (40, 191), (39, 191), (38, 191), (37, 191), (36, 191), (35, 191), (34, 191), (33, 191), (32, 191), (31, 191), (30, 191), (29, 191), (28, 191), (27, 191), (26, 191), (25, 191), (24, 191), (23, 191), (22, 191), (21, 191), (20, 191), (19, 191), (18, 191), (17, 192), (16, 193), (15, 194), (14, 195), (13, 196), (12, 197), (11, 198), (10, 199), (9, 200), (8, 201), (7, 202), (6, 203), (5, 204), (4, 205), (3, 206), (2, 207), (1, 208), (0, 209), (249, 209), (248, 210), (247, 211), (246, 212), (246, 213), (246, 214), (246, 215), (246, 216), (246, 217), (246, 218), (246, 219), (246, 220), (246, 221), (246, 222), (246, 223), (246, 224), (246, 225), (246, 226), (246, 227), (246, 228), (246, 229), (246, 230), (246, 231), (246, 232), (246, 233), (246, 234), (246, 235), (246, 236), (246, 237), (246, 238), (246, 239), (246, 240), (246, 241), (246, 242), (246, 243), (246, 244), (246, 245), (246, 246), (246, 247), (246, 248), (246, 249), (246, 0), (247, 1), (248, 1), (249, 0)]"
"(100, 0)","(75, 182)",0.007784774148717588,72,0.00842640142190021,0.0006416272731826211,1.3939272000599903e-08,"[(100, 0), (100, 249), (99, 248), (98, 247), (97, 246), (96, 245), (95, 244), (94, 243), (93, 242), (92, 241), (91, 240), (90, 239), (89, 238), (88, 237), (87, 236), (87, 235), (87, 234), (87, 233), (87, 232), (87, 231), (87, 230), (87, 229), (87, 228), (87, 227), (87, 226), (87, 225), (87, 224), (87, 223), (87, 222), (87, 221), (87, 220), (87, 219), (87, 218), (87, 217), (87, 216), (87, 215), (87, 214), (86, 213), (85, 212), (84, 211), (83, 210), (82, 209), (81, 208), (80, 207), (79, 207), (78, 207), (77, 207), (76, 206), (75, 205), (74, 204), (73, 203), (72, 202), (71, 201), (70, 200), (69, 199), (68, 198), (67, 197), (66, 196), (65, 195), (64, 194), (64, 193), (65, 192), (66, 191), (67, 190), (68, 189), (69, 188), (70, 187), (71, 186), (72, 185), (73, 184), (74, 183), (75, 182)]"
"(100, 0)","(109, 209)",0.003681866829822411,56,0.004323494103005032,0.0006416272731826211,1.0136132004837974e-08,"[(100, 0), (100, 249), (99, 248), (98, 247), (97, 246), (96, 245), (95, 244), (94, 243), (93, 242), (92, 241), (91, 240), (90, 239), (89, 238), (88, 237), (87, 236), (87, 235), (87, 234), (87, 233), (87, 232), (87, 231), (87, 230), (87, 229), (87, 228), (87, 227), (87, 226), (87, 225), (87, 224), (87, 223), (87, 222), (87, 221), (87, 220), (87, 219), (87, 218), (87, 217), (88, 216), (89, 215), (90, 214), (91, 213), (92, 212), (93, 211), (94, 210), (95, 209), (96, 208), (97, 207), (98, 206), (99, 205), (100, 204), (101, 203), (102, 202), (103, 203), (104, 204), (105, 205), (106, 206), (107, 207), (108, 208), (109, 209)]"
"(100, 0)","(140, 39)",0.004461629472359618,215,0.008523196966507385,0.0003732658145736423,3.1946223507465634e-09,"[(100, 0), (99, 0), (98, 0), (97, 0), (96, 0), (95, 249), (94, 248), (93, 247), (92, 246), (91, 245), (90, 244), (89, 243), (88, 242), (87, 241), (86, 240), (85, 239), (84, 238), (83, 237), (82, 236), (81, 235), (80, 234), (79, 233), (78, 232), (77, 231), (76, 230), (75, 229), (74, 229), (73, 229), (72, 229), (71, 229), (70, 229), (69, 229), (68, 229), (67, 229), (66, 229), (65, 230), (64, 231), (63, 232), (62, 233), (61, 234), (60, 235), (59, 236), (58, 237), (57, 238), (56, 239), (55, 240), (54, 241), (53, 242), (52, 243), (51, 244), (50, 245), (49, 246), (48, 247), (48, 248), (48, 249), (48, 0), (48, 1), (47, 2), (46, 3), (45, 4), (44, 5), (43, 6), (42, 7), (41, 8), (40, 9), (39, 10), (38, 11), (37, 12), (36, 13), (35, 14), (34, 15), (33, 16), (32, 17), (31, 18), (30, 19), (29, 20), (28, 21), (27, 22), (26, 23), (25, 24), (24, 25), (23, 26), (22, 27), (21, 28), (20, 29), (19, 30), (18, 31), (17, 32), (16, 33), (15, 34), (14, 35), (13, 36), (12, 37), (11, 38), (10, 39), (9, 40), (8, 41), (7, 42), (6, 43), (5, 44), (4, 45), (3, 46), (2, 47), (1, 48), (0, 49), (249, 49), (248, 50), (247, 51), (246, 52), (245, 53), (244, 54), (243, 55), (242, 56), (241, 57), (240, 58), (239, 59), (238, 60), (237, 61), (236, 62), (235, 62), (234, 62), (233, 62), (232, 62), (231, 62), (230, 62), (229, 62), (228, 62), (227, 62), (226, 62), (225, 62), (224, 62), (223, 62), (222, 62), (221, 62), (220, 62), (219, 62), (218, 62), (217, 62), (216, 62), (215, 62), (214, 62), (213, 61), (212, 60), (211, 59), (210, 59), (209, 58), (208, 57), (207, 56), (206, 55), (205, 54), (204, 53), (203, 53), (202, 52), (201, 51), (200, 50), (199, 49), (198, 48), (197, 47), (196, 46), (195, 46), (194, 45), (193, 44), (192, 44), (191, 44), (190, 44), (189, 44), (188, 44), (187, 44), (186, 44), (185, 44), (184, 44), (183, 44), (182, 44), (181, 44), (180, 44), (179, 44), (178, 44), (177, 44), (176, 44), (175, 44), (174, 44), (173, 44), (172, 44), (171, 44), (170, 44), (169, 44), (168, 44), (167, 44), (166, 44), (165, 44), (164, 44), (163, 44), (162, 44), (161, 44), (160, 44), (159, 44), (158, 44), (157, 44), (156, 44), (155, 44), (154, 44), (153, 44), (152, 44), (151, 43), (150, 44), (149, 45), (148, 46), (147, 46), (146, 45), (145, 44), (144, 43), (143, 42), (142, 41), (141, 40), (140, 39)]"
"(100, 0)","(149, 249)",0.0035724033446058456,58,0.007243919197719606,0.00040584272795740617,3.368224324734099e-08,"[(100, 0), (100, 1), (100, 2), (100, 3), (100, 4), (100, 5), (100, 6), (101, 7), (102, 8), (103, 9), (104, 10), (105, 11), (106, 12), (107, 13), (108, 14), (109, 15), (110, 15), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (117, 15), (118, 14), (119, 13), (120, 12), (121, 11), (122, 10), (123, 9), (124, 8), (125, 7), (126, 6), (127, 5), (128, 4), (129, 3), (130, 2), (131, 2), (132, 2), (133, 2), (134, 2), (135, 2), (136, 2), (137, 2), (138, 2), (139, 2), (140, 2), (141, 2), (142, 2), (143, 2), (144, 2), (145, 2), (146, 2), (147, 2), (148, 1), (149, 1), (150, 0), (149, 249)]"
