start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(249, 249)","(10, 170)",0.011598817955814411,95,0.013525180616852595,0.00030133276163724076,2.1351728564111596e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (13, 195), (14, 194), (15, 193), (16, 192), (17, 191), (18, 190), (19, 189), (20, 188), (21, 187), (21, 186), (21, 185), (21, 184), (21, 183), (21, 182), (21, 181), (21, 180), (21, 179), (21, 178), (21, 177), (21, 176), (21, 175), (21, 174), (21, 173), (21, 172), (21, 171), (21, 170), (21, 169), (20, 168), (19, 167), (18, 166), (17, 165), (16, 165), (15, 165), (14, 165), (13, 165), (12, 165), (11, 166), (10, 167), (9, 168), (9, 169), (10, 170)]"
"(249, 249)","(86, 177)",0.014935074060872466,133,0.0201303264013859,0.00030133276163724076,2.8355194866798395e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (14, 195), (15, 195), (16, 194), (17, 194), (18, 193), (19, 192), (20, 191), (21, 190), (22, 189), (23, 188), (24, 187), (25, 186), (26, 185), (27, 184), (28, 183), (29, 182), (30, 181), (31, 180), (32, 179), (33, 178), (34, 177), (35, 176), (36, 175), (37, 174), (38, 175), (39, 175), (40, 175), (41, 176), (42, 176), (43, 176), (44, 177), (45, 177), (46, 177), (47, 177), (48, 177), (49, 177), (50, 177), (51, 177), (52, 177), (53, 178), (54, 179), (55, 180), (56, 181), (57, 181), (58, 181), (59, 181), (60, 181), (61, 181), (62, 181), (63, 180), (64, 179), (65, 178), (66, 177), (67, 176), (68, 175), (69, 174), (70, 174), (71, 174), (72, 174), (73, 174), (74, 174), (75, 175), (76, 176), (77, 177), (78, 178), (79, 179), (80, 180), (81, 181), (82, 182), (83, 183), (84, 183), (85, 183), (86, 183), (87, 182), (88, 181), (88, 180), (88, 179), (87, 178), (86, 177)]"
"(249, 249)","(100, 74)",0.013983198160190113,164,0.014146380955708082,0.00027796911945188185,7.351682249282503e-09,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (234, 18), (234, 19), (234, 20), (234, 21), (234, 22), (234, 23), (234, 24), (233, 25), (232, 26), (231, 27), (230, 28), (229, 29), (228, 30), (227, 31), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 52), (205, 53), (204, 54), (203, 55), (202, 54), (201, 53), (200, 52), (199, 51), (198, 50), (197, 49), (196, 48), (195, 47), (194, 46), (193, 45), (192, 44), (191, 43), (190, 42), (189, 41), (188, 40), (187, 40), (186, 40), (185, 40), (184, 40), (183, 40), (182, 40), (181, 40), (180, 40), (179, 40), (178, 40), (177, 40), (176, 40), (175, 40), (174, 40), (173, 40), (172, 40), (171, 40), (170, 40), (169, 40), (168, 40), (167, 40), (166, 40), (165, 40), (164, 40), (163, 40), (162, 40), (161, 40), (160, 40), (159, 40), (158, 40), (157, 40), (156, 40), (155, 40), (154, 40), (153, 40), (152, 40), (151, 41), (150, 42), (149, 43), (148, 43), (147, 42), (146, 41), (145, 40), (144, 40), (143, 40), (142, 40), (141, 40), (140, 40), (139, 41), (138, 41), (137, 42), (136, 43), (135, 44), (134, 45), (133, 46), (132, 47), (131, 48), (130, 49), (129, 50), (128, 51), (127, 52), (126, 53), (125, 54), (124, 55), (123, 56), (122, 57), (121, 58), (120, 59), (119, 60), (118, 61), (117, 62), (116, 63), (115, 64), (114, 64), (113, 65), (112, 65), (111, 66), (110, 67), (109, 68), (108, 69), (107, 70), (106, 71), (105, 71), (104, 71), (103, 71), (102, 71), (101, 71), (100, 72), (100, 73), (100, 74)]"
"(249, 249)","(111, 68)",0.01397970863683895,152,0.014008626965278381,0.00027796911945188185,7.1980659708743566e-09,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (234, 18), (234, 19), (234, 20), (234, 21), (234, 22), (234, 23), (234, 24), (233, 25), (232, 26), (231, 27), (230, 28), (229, 29), (228, 30), (227, 31), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 52), (205, 53), (204, 54), (203, 55), (202, 54), (201, 53), (200, 52), (199, 51), (198, 50), (197, 49), (196, 48), (195, 47), (194, 46), (193, 45), (192, 44), (191, 43), (190, 42), (189, 41), (188, 40), (187, 40), (186, 40), (185, 40), (184, 40), (183, 40), (182, 40), (181, 40), (180, 40), (179, 40), (178, 40), (177, 40), (176, 40), (175, 40), (174, 40), (173, 40), (172, 40), (171, 40), (170, 40), (169, 40), (168, 40), (167, 40), (166, 40), (165, 40), (164, 40), (163, 40), (162, 40), (161, 40), (160, 40), (159, 40), (158, 40), (157, 40), (156, 40), (155, 40), (154, 40), (153, 40), (152, 40), (151, 41), (150, 42), (149, 43), (148, 43), (147, 42), (146, 41), (145, 40), (144, 40), (143, 40), (142, 40), (141, 40), (140, 40), (139, 41), (138, 41), (137, 42), (136, 43), (135, 44), (134, 45), (133, 46), (132, 47), (131, 48), (130, 49), (129, 50), (128, 51), (127, 52), (126, 53), (125, 54), (124, 55), (123, 56), (122, 57), (121, 58), (120, 59), (119, 60), (118, 61), (117, 62), (116, 63), (115, 64), (114, 64), (113, 65), (112, 66), (111, 67), (111, 68)]"
"(249, 249)","(150, 249)",0.01764148816357647,105,0.017979715997512358,0.00029932395364085096,1.0041386126072855e-08,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (233, 18), (232, 19), (231, 20), (230, 21), (229, 22), (228, 23), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 47), (201, 46), (200, 45), (199, 44), (198, 43), (197, 42), (196, 41), (195, 40), (194, 39), (193, 38), (192, 37), (191, 36), (190, 35), (189, 34), (188, 33), (187, 32), (186, 31), (185, 30), (184, 29), (183, 28), (182, 27), (181, 26), (180, 25), (179, 24), (178, 23), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 6), (160, 5), (159, 4), (158, 3), (157, 2), (156, 1), (155, 0), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(249, 249)","(151, 169)",0.017312434453288006,200,0.02315187089743631,0.00030133276163724076,1.6306241645853965e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (14, 195), (15, 195), (16, 194), (17, 194), (18, 193), (19, 192), (20, 191), (21, 190), (22, 189), (23, 188), (24, 187), (25, 186), (26, 185), (27, 184), (28, 183), (29, 182), (30, 181), (31, 180), (32, 179), (33, 178), (34, 177), (35, 176), (36, 175), (37, 174), (38, 175), (39, 175), (40, 175), (41, 176), (42, 176), (43, 176), (44, 177), (45, 177), (46, 177), (47, 177), (48, 177), (49, 176), (50, 175), (51, 174), (52, 173), (53, 172), (54, 171), (55, 170), (56, 169), (57, 168), (58, 167), (59, 166), (60, 165), (61, 164), (62, 163), (63, 162), (64, 161), (65, 160), (66, 159), (67, 158), (68, 157), (69, 156), (70, 155), (71, 155), (72, 155), (73, 155), (74, 155), (75, 155), (76, 155), (77, 155), (78, 155), (79, 155), (80, 155), (81, 155), (82, 155), (83, 155), (84, 155), (85, 155), (86, 155), (87, 155), (88, 155), (89, 155), (90, 155), (91, 155), (92, 155), (93, 155), (94, 155), (95, 155), (96, 155), (97, 155), (98, 155), (99, 155), (100, 155), (101, 155), (102, 155), (103, 155), (104, 155), (105, 155), (106, 155), (107, 155), (108, 155), (109, 155), (110, 155), (111, 155), (112, 155), (113, 156), (114, 157), (115, 158), (116, 159), (117, 160), (118, 161), (119, 162), (120, 163), (121, 164), (122, 165), (123, 166), (124, 167), (125, 168), (125, 169), (125, 170), (125, 171), (125, 172), (126, 173), (127, 174), (128, 175), (128, 176), (129, 177), (130, 178), (131, 179), (132, 180), (133, 181), (134, 181), (135, 181), (136, 181), (137, 181), (138, 181), (139, 181), (140, 181), (141, 181), (142, 181), (143, 180), (144, 179), (145, 178), (146, 177), (147, 176), (148, 175), (149, 174), (150, 173), (151, 172), (152, 171), (152, 170), (151, 169)]"
"(249, 249)","(176, 67)",0.008918189896576223,107,0.01327744354830429,0.0002773332220158409,2.305052334097023e-08,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (234, 18), (234, 19), (234, 20), (234, 21), (234, 22), (234, 23), (234, 24), (234, 25), (233, 26), (232, 27), (231, 28), (230, 29), (229, 30), (228, 31), (227, 32), (226, 33), (225, 34), (224, 35), (223, 36), (222, 37), (221, 38), (220, 39), (219, 40), (218, 41), (217, 42), (216, 43), (215, 44), (214, 45), (213, 46), (212, 47), (211, 48), (210, 49), (209, 50), (208, 51), (207, 52), (206, 53), (205, 54), (204, 55), (203, 56), (203, 57), (203, 58), (203, 59), (203, 60), (203, 61), (203, 62), (203, 63), (203, 64), (203, 65), (203, 66), (203, 67), (203, 68), (202, 69), (201, 70), (200, 71), (199, 72), (198, 73), (197, 74), (196, 75), (195, 76), (194, 77), (193, 78), (192, 78), (191, 78), (190, 78), (189, 78), (188, 78), (187, 78), (186, 78), (185, 78), (184, 78), (183, 78), (182, 78), (181, 78), (180, 78), (179, 78), (178, 77), (177, 76), (176, 75), (175, 74), (174, 73), (173, 72), (172, 71), (173, 70), (174, 69), (175, 68), (176, 67)]"
"(249, 249)","(249, 12)",0.0007720216009374781,14,0.0007720216011648517,2.2737367544323206e-13,3.577195977262088e-09,"[(249, 249), (249, 0), (248, 1), (247, 2), (246, 3), (245, 4), (244, 5), (243, 6), (244, 7), (245, 8), (246, 9), (247, 10), (248, 11), (249, 12)]"
"(249, 249)","(249, 172)",0.011598817955814411,78,0.013246485649688111,0.00030133276163724076,2.2766044109542745e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (13, 195), (12, 194), (11, 193), (10, 192), (9, 191), (8, 190), (7, 189), (6, 188), (5, 187), (4, 186), (3, 185), (2, 184), (1, 183), (0, 182), (249, 181), (248, 180), (247, 179), (246, 178), (245, 177), (245, 176), (246, 175), (247, 174), (248, 173), (249, 172)]"
"(10, 170)","(249, 249)",0.011598817955814411,81,0.013525180616852595,0.00011663037946618715,3.6922748435296463e-08,"[(10, 170), (10, 171), (10, 172), (10, 173), (9, 174), (9, 175), (9, 176), (9, 177), (10, 178), (10, 179), (10, 180), (10, 181), (11, 182), (11, 183), (11, 184), (12, 185), (12, 186), (12, 187), (13, 188), (13, 189), (13, 190), (13, 191), (13, 192), (13, 193), (13, 194), (13, 195), (13, 196), (12, 197), (11, 198), (10, 199), (9, 200), (8, 201), (7, 202), (6, 203), (5, 204), (4, 205), (3, 206), (2, 207), (1, 208), (0, 209), (249, 209), (248, 210), (247, 211), (246, 212), (245, 213), (244, 214), (243, 215), (242, 216), (241, 217), (240, 218), (239, 219), (238, 220), (237, 221), (236, 222), (235, 223), (234, 224), (233, 225), (232, 226), (231, 227), (230, 228), (229, 229), (230, 230), (231, 231), (232, 232), (233, 233), (234, 234), (235, 235), (236, 236), (237, 237), (238, 238), (239, 239), (240, 240), (241, 241), (242, 242), (243, 243), (244, 244), (245, 245), (246, 246), (247, 247), (248, 248), (249, 249)]"
