start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 249)","(80, 19)",0.005106768865175582,81,0.006751850488058153,0.0001426452084842822,9.091622324583128e-09,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 20), (60, 20), (61, 20), (62, 19), (63, 19), (64, 18), (65, 17), (66, 16), (67, 15), (68, 14), (69, 13), (70, 12), (71, 12), (72, 11), (73, 12), (74, 13), (75, 14), (76, 15), (77, 16), (78, 17), (79, 18), (80, 19)]"
"(0, 249)","(85, 175)",0.010710746691756867,200,0.01745423249792566,0.0001426452084842822,1.2059657430607231e-08,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 19), (60, 18), (61, 17), (62, 16), (63, 15), (64, 14), (65, 13), (66, 12), (67, 11), (68, 10), (69, 9), (70, 8), (71, 7), (72, 6), (73, 5), (74, 4), (75, 3), (75, 2), (75, 1), (75, 0), (75, 249), (75, 248), (75, 247), (75, 246), (76, 245), (77, 244), (78, 243), (79, 242), (80, 241), (81, 240), (82, 239), (83, 238), (84, 237), (85, 236), (86, 235), (87, 234), (88, 233), (89, 232), (90, 231), (91, 230), (92, 229), (93, 228), (94, 227), (95, 226), (96, 225), (97, 224), (98, 223), (99, 222), (99, 221), (99, 220), (100, 219), (101, 218), (102, 217), (103, 216), (104, 215), (105, 214), (106, 213), (107, 212), (108, 211), (109, 210), (110, 209), (111, 208), (112, 207), (113, 206), (114, 205), (115, 204), (116, 203), (117, 202), (118, 201), (119, 200), (120, 199), (121, 198), (122, 197), (123, 196), (124, 195), (125, 194), (126, 193), (127, 192), (128, 191), (129, 190), (130, 189), (131, 188), (132, 187), (131, 186), (130, 185), (129, 184), (128, 183), (128, 182), (128, 181), (128, 180), (128, 179), (128, 178), (128, 177), (129, 176), (129, 175), (128, 174), (127, 173), (127, 172), (126, 171), (126, 170), (125, 169), (124, 168), (123, 167), (122, 166), (121, 165), (120, 164), (119, 163), (118, 162), (117, 161), (116, 161), (115, 161), (114, 161), (113, 161), (112, 161), (111, 161), (110, 161), (109, 161), (108, 161), (107, 161), (106, 161), (105, 161), (104, 161), (103, 161), (102, 161), (101, 161), (100, 161), (99, 161), (98, 162), (97, 163), (96, 164), (95, 165), (94, 166), (93, 167), (92, 168), (91, 169), (90, 170), (89, 171), (88, 172), (87, 173), (86, 174), (85, 175)]"
"(0, 249)","(96, 8)",0.005106768865175582,122,0.007435416380985771,0.0001426452084842822,6.0887310225643905e-09,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 21), (59, 22), (60, 23), (61, 24), (62, 25), (63, 26), (64, 27), (65, 28), (66, 29), (67, 30), (68, 31), (69, 32), (70, 33), (71, 33), (72, 33), (73, 33), (74, 33), (75, 33), (76, 32), (77, 32), (78, 32), (79, 32), (80, 32), (81, 32), (82, 32), (83, 32), (84, 32), (85, 32), (86, 32), (87, 31), (86, 30), (85, 29), (85, 28), (85, 27), (85, 26), (85, 25), (85, 24), (85, 23), (85, 22), (85, 21), (85, 20), (85, 19), (85, 18), (85, 17), (85, 16), (85, 15), (85, 14), (86, 13), (87, 12), (88, 12), (89, 12), (90, 12), (91, 12), (92, 12), (93, 12), (94, 12), (95, 12), (96, 12), (97, 12), (98, 12), (99, 11), (98, 10), (97, 9), (96, 8)]"
"(0, 249)","(146, 36)",0.0024859564836106074,114,0.004564419709254253,7.036368606350152e-05,3.6731518477125983e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (248, 249), (247, 248), (246, 247), (245, 246), (244, 246), (243, 245), (242, 244), (241, 243), (240, 243), (239, 243), (238, 243), (237, 243), (236, 243), (235, 243), (234, 243), (233, 243), (232, 243), (231, 243), (230, 243), (229, 243), (228, 243), (227, 243), (226, 243), (225, 243), (224, 243), (223, 243), (222, 243), (221, 243), (220, 243), (219, 243), (218, 244), (217, 245), (216, 246), (215, 247), (214, 248), (213, 249), (213, 0), (212, 1), (211, 2), (210, 3), (209, 4), (208, 5), (207, 6), (206, 7), (205, 8), (204, 9), (203, 10), (202, 11), (201, 12), (200, 13), (199, 14), (198, 15), (197, 16), (196, 17), (195, 18), (194, 19), (193, 20), (192, 21), (191, 22), (190, 23), (189, 24), (188, 25), (187, 26), (186, 27), (185, 28), (184, 29), (183, 30), (182, 31), (181, 31), (180, 31), (179, 31), (178, 31), (177, 31), (176, 31), (175, 31), (174, 31), (173, 31), (172, 31), (171, 31), (170, 31), (169, 31), (168, 31), (167, 31), (166, 31), (165, 31), (164, 31), (163, 31), (162, 31), (161, 31), (160, 31), (159, 31), (158, 31), (157, 31), (156, 31), (155, 31), (154, 31), (153, 31), (152, 31), (151, 31), (150, 31), (149, 31), (148, 31), (147, 31), (146, 32), (145, 33), (144, 34), (144, 35), (144, 36), (145, 37), (146, 36)]"
"(0, 249)","(149, 169)",0.0067406226090724886,173,0.011659211426717775,0.0001426452084842822,7.112042672243529e-09,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 19), (60, 18), (61, 17), (62, 16), (63, 15), (64, 14), (65, 13), (66, 12), (67, 11), (68, 10), (69, 9), (70, 8), (71, 7), (72, 6), (73, 5), (74, 4), (75, 3), (75, 2), (75, 1), (75, 0), (75, 249), (75, 248), (75, 247), (75, 246), (76, 245), (77, 244), (78, 243), (79, 242), (80, 241), (81, 240), (82, 239), (83, 238), (84, 237), (85, 236), (86, 235), (87, 234), (88, 233), (89, 232), (90, 231), (91, 230), (92, 229), (93, 228), (94, 227), (95, 226), (96, 225), (97, 224), (98, 223), (99, 222), (99, 221), (99, 220), (100, 219), (101, 218), (102, 217), (103, 216), (104, 215), (105, 214), (106, 213), (107, 212), (108, 211), (109, 210), (110, 209), (111, 208), (112, 207), (113, 206), (114, 205), (115, 204), (116, 203), (117, 202), (118, 201), (119, 200), (120, 199), (121, 198), (122, 197), (123, 196), (124, 195), (125, 194), (126, 193), (127, 192), (128, 191), (129, 190), (130, 189), (131, 188), (132, 187), (131, 186), (130, 185), (129, 184), (128, 183), (128, 182), (128, 181), (128, 180), (128, 179), (128, 178), (128, 177), (129, 176), (130, 175), (131, 175), (132, 175), (133, 175), (134, 175), (135, 174), (136, 174), (137, 174), (138, 173), (139, 172), (140, 171), (141, 170), (142, 169), (143, 168), (144, 167), (145, 167), (146, 167), (147, 167), (148, 168), (149, 169)]"
"(0, 249)","(150, 249)",0.003223761014965021,104,0.00786207592284427,0.00018333575360429677,9.357607561971034e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (248, 249), (247, 248), (246, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 241), (238, 241), (237, 241), (236, 241), (235, 241), (234, 241), (233, 241), (232, 241), (231, 241), (230, 241), (229, 241), (228, 241), (227, 241), (226, 241), (225, 241), (224, 241), (223, 241), (222, 241), (221, 241), (220, 241), (219, 241), (218, 241), (217, 241), (216, 241), (215, 241), (214, 241), (213, 241), (212, 241), (211, 241), (210, 241), (209, 242), (208, 243), (207, 244), (206, 245), (205, 246), (204, 247), (203, 248), (202, 249), (202, 0), (201, 1), (200, 2), (199, 3), (198, 3), (197, 3), (196, 3), (195, 3), (194, 3), (193, 3), (192, 3), (191, 3), (190, 3), (189, 3), (188, 3), (187, 3), (186, 3), (185, 3), (184, 3), (183, 3), (182, 3), (181, 3), (180, 3), (179, 3), (178, 3), (177, 3), (176, 3), (175, 3), (174, 3), (173, 3), (172, 3), (171, 3), (170, 3), (169, 3), (168, 2), (167, 1), (166, 0), (165, 0), (164, 0), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(0, 249)","(169, 249)",0.0032427389518261407,84,0.006818600545557274,0.00020352184731109446,9.518494844630098e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (248, 249), (247, 248), (246, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 241), (238, 241), (237, 241), (236, 241), (235, 241), (234, 241), (233, 241), (232, 241), (231, 241), (230, 241), (229, 241), (228, 241), (227, 241), (226, 241), (225, 241), (224, 241), (223, 241), (222, 241), (221, 241), (220, 241), (219, 241), (218, 241), (217, 241), (216, 241), (215, 241), (214, 241), (213, 241), (212, 241), (211, 241), (210, 241), (209, 241), (208, 242), (207, 243), (206, 244), (205, 245), (204, 246), (203, 247), (202, 248), (201, 249), (200, 0), (199, 1), (198, 2), (197, 2), (196, 2), (195, 2), (194, 2), (193, 2), (192, 2), (191, 2), (190, 2), (189, 2), (188, 2), (187, 2), (186, 2), (185, 2), (184, 2), (183, 2), (182, 2), (181, 2), (180, 2), (179, 2), (178, 1), (177, 0), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249)]"
"(0, 249)","(176, 67)",0.00865269396945223,100,0.008652693969679603,2.2737367544323206e-13,8.454639861561395e-09,"[(0, 249), (0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (9, 15), (8, 16), (7, 17), (6, 18), (5, 19), (4, 20), (3, 21), (2, 22), (1, 23), (0, 24), (249, 23), (248, 24), (247, 25), (246, 26), (245, 27), (244, 28), (243, 29), (242, 30), (241, 31), (240, 32), (239, 33), (238, 34), (237, 35), (236, 36), (235, 37), (234, 38), (233, 39), (232, 40), (231, 41), (230, 42), (229, 43), (228, 44), (227, 45), (226, 46), (225, 47), (224, 48), (223, 49), (222, 50), (221, 51), (220, 52), (219, 53), (218, 54), (217, 55), (216, 55), (215, 54), (214, 53), (213, 52), (212, 51), (211, 50), (210, 49), (209, 48), (208, 47), (207, 48), (206, 48), (205, 48), (204, 48), (203, 48), (202, 48), (201, 48), (200, 48), (199, 48), (198, 48), (197, 48), (196, 48), (195, 48), (194, 49), (193, 50), (192, 51), (191, 52), (190, 53), (189, 54), (188, 55), (187, 56), (186, 57), (185, 58), (184, 59), (183, 60), (182, 61), (181, 62), (180, 63), (179, 64), (178, 65), (177, 66), (176, 67)]"
"(0, 249)","(225, 16)",0.004415160542748708,27,0.004415160542976082,2.2737367544323206e-13,8.67828021315962e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (247, 0), (246, 0), (245, 0), (244, 0), (243, 0), (242, 0), (241, 0), (240, 1), (239, 2), (238, 3), (237, 4), (236, 5), (235, 6), (234, 7), (233, 8), (232, 9), (231, 10), (230, 11), (229, 12), (228, 13), (227, 14), (226, 15), (225, 16)]"
"(0, 249)","(238, 174)",0.00880741986634348,93,0.009241096624350575,0.0003858890032688578,1.8189745219744246e-08,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 0), (6, 249), (7, 248), (8, 247), (9, 246), (10, 245), (11, 244), (12, 243), (13, 242), (14, 241), (15, 240), (16, 239), (17, 238), (18, 237), (19, 236), (20, 235), (21, 234), (22, 233), (23, 232), (24, 231), (25, 230), (26, 229), (27, 228), (28, 227), (29, 226), (30, 225), (31, 224), (32, 223), (33, 222), (34, 221), (35, 220), (36, 219), (37, 218), (38, 217), (39, 216), (40, 215), (39, 214), (38, 213), (37, 212), (36, 211), (35, 210), (34, 209), (33, 208), (32, 207), (31, 206), (30, 205), (29, 204), (28, 203), (27, 202), (26, 201), (25, 200), (24, 199), (23, 198), (22, 197), (21, 196), (20, 195), (19, 194), (18, 193), (17, 192), (16, 191), (15, 190), (14, 189), (13, 188), (12, 187), (11, 186), (10, 185), (9, 184), (8, 183), (7, 182), (6, 181), (5, 180), (4, 179), (3, 178), (2, 177), (1, 176), (0, 175), (249, 174), (248, 174), (247, 174), (246, 174), (245, 174), (244, 174), (243, 174), (242, 174), (241, 174), (240, 174), (239, 174), (238, 174)]"
