start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(9, 15)","(10, 172)",0.00810562039089291,94,0.009044657051390459,0.00021675499783668783,8.309641097660377e-09,"[(9, 15), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6), (9, 5), (9, 4), (9, 3), (9, 2), (8, 1), (8, 0), (9, 249), (9, 248), (8, 247), (8, 246), (8, 245), (8, 244), (8, 243), (8, 242), (8, 241), (8, 240), (8, 239), (8, 238), (8, 237), (8, 236), (8, 235), (9, 234), (9, 233), (9, 232), (9, 231), (9, 230), (9, 229), (10, 228), (10, 227), (10, 226), (10, 225), (10, 224), (10, 223), (11, 222), (11, 221), (11, 220), (11, 219), (11, 218), (11, 217), (12, 216), (12, 215), (12, 214), (12, 213), (12, 212), (12, 211), (12, 210), (12, 209), (12, 208), (13, 207), (13, 206), (13, 205), (13, 204), (12, 203), (12, 202), (12, 201), (12, 200), (12, 199), (12, 198), (12, 197), (12, 196), (11, 195), (12, 194), (13, 193), (13, 192), (13, 191), (13, 190), (13, 189), (13, 188), (13, 187), (13, 186), (13, 185), (13, 184), (13, 183), (13, 182), (13, 181), (13, 180), (13, 179), (13, 178), (13, 177), (13, 176), (13, 175), (12, 174), (11, 173), (10, 172)]"
"(9, 15)","(67, 171)",0.008425338224355983,344,0.019363618784836945,0.00029503447444767517,9.507607845175442e-09,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 36), (207, 35), (206, 34), (205, 33), (204, 32), (203, 31), (202, 30), (201, 29), (200, 28), (199, 27), (198, 27), (197, 27), (196, 27), (195, 27), (194, 27), (193, 27), (192, 27), (191, 27), (190, 27), (189, 27), (188, 27), (187, 27), (186, 27), (185, 27), (184, 27), (183, 27), (182, 27), (181, 26), (180, 25), (179, 24), (178, 23), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 7), (160, 7), (159, 7), (158, 7), (157, 7), (156, 7), (155, 7), (154, 7), (153, 7), (152, 7), (151, 7), (150, 7), (149, 7), (148, 7), (147, 7), (146, 7), (145, 7), (144, 7), (143, 7), (142, 7), (141, 7), (140, 7), (139, 7), (138, 7), (137, 8), (136, 9), (135, 10), (134, 11), (133, 12), (132, 13), (131, 14), (130, 15), (129, 16), (128, 17), (127, 18), (126, 19), (125, 20), (124, 21), (123, 22), (122, 23), (121, 24), (120, 25), (119, 26), (118, 27), (117, 28), (116, 29), (116, 30), (116, 31), (116, 32), (116, 33), (116, 34), (116, 35), (116, 36), (116, 37), (116, 38), (116, 39), (116, 40), (116, 41), (116, 42), (116, 43), (116, 44), (116, 45), (115, 46), (114, 47), (114, 48), (114, 49), (114, 50), (114, 51), (114, 52), (114, 53), (114, 54), (114, 55), (114, 56), (114, 57), (114, 58), (114, 59), (114, 60), (114, 61), (114, 62), (114, 63), (114, 64), (114, 65), (114, 66), (114, 67), (114, 68), (114, 69), (114, 70), (114, 71), (114, 72), (114, 73), (115, 74), (116, 75), (117, 76), (118, 77), (119, 78), (119, 79), (119, 80), (119, 81), (119, 82), (119, 83), (119, 84), (119, 85), (119, 86), (119, 87), (119, 88), (119, 89), (119, 90), (119, 91), (119, 92), (119, 93), (119, 94), (119, 95), (119, 96), (119, 97), (119, 98), (119, 99), (119, 100), (119, 101), (119, 102), (119, 103), (119, 104), (119, 105), (120, 106), (121, 107), (122, 108), (123, 109), (124, 110), (125, 111), (126, 112), (127, 113), (128, 114), (129, 115), (130, 116), (131, 117), (131, 118), (130, 119), (130, 120), (130, 121), (129, 122), (128, 123), (127, 124), (126, 125), (125, 126), (124, 127), (123, 128), (122, 129), (121, 130), (120, 131), (119, 132), (118, 133), (117, 134), (116, 135), (115, 136), (114, 137), (113, 138), (112, 139), (111, 140), (110, 141), (109, 142), (108, 143), (107, 144), (106, 145), (105, 146), (104, 147), (103, 148), (102, 149), (101, 150), (100, 151), (99, 152), (98, 153), (97, 154), (96, 155), (95, 156), (94, 157), (93, 158), (92, 159), (91, 160), (90, 161), (89, 162), (88, 163), (87, 164), (86, 165), (85, 166), (84, 167), (83, 168), (82, 169), (81, 170), (80, 171), (79, 172), (79, 173), (78, 174), (77, 175), (76, 175), (75, 175), (74, 176), (73, 176), (72, 176), (71, 176), (70, 176), (69, 176), (68, 176), (67, 175), (66, 174), (66, 173), (66, 172), (67, 171)]"
"(9, 15)","(110, 170)",0.008419484766932328,343,0.02146466869407959,0.00029503447444767517,1.0644255892663068e-08,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 36), (207, 35), (206, 34), (205, 33), (204, 32), (203, 31), (202, 30), (201, 29), (200, 28), (199, 27), (198, 27), (197, 27), (196, 27), (195, 27), (194, 27), (193, 27), (192, 27), (191, 27), (190, 27), (189, 27), (188, 27), (187, 27), (186, 27), (185, 27), (184, 27), (183, 27), (182, 27), (181, 26), (180, 25), (179, 24), (178, 23), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 7), (160, 7), (159, 7), (158, 7), (157, 7), (156, 7), (155, 7), (154, 7), (153, 7), (152, 7), (151, 7), (150, 7), (149, 7), (148, 7), (147, 7), (146, 7), (145, 7), (144, 7), (143, 7), (142, 7), (141, 7), (140, 7), (139, 7), (138, 7), (137, 8), (136, 9), (135, 10), (134, 11), (133, 12), (132, 13), (131, 14), (130, 15), (129, 16), (128, 17), (127, 18), (126, 19), (125, 20), (124, 21), (123, 22), (122, 23), (121, 24), (120, 25), (119, 26), (118, 27), (117, 28), (116, 29), (116, 30), (116, 31), (116, 32), (116, 33), (116, 34), (116, 35), (116, 36), (116, 37), (116, 38), (116, 39), (116, 40), (116, 41), (116, 42), (116, 43), (116, 44), (116, 45), (115, 46), (114, 47), (114, 48), (114, 49), (114, 50), (114, 51), (114, 52), (114, 53), (114, 54), (114, 55), (114, 56), (114, 57), (114, 58), (114, 59), (114, 60), (114, 61), (114, 62), (114, 63), (114, 64), (114, 65), (114, 66), (114, 67), (114, 68), (114, 69), (114, 70), (114, 71), (114, 72), (114, 73), (115, 74), (116, 75), (117, 76), (118, 77), (119, 78), (119, 79), (119, 80), (119, 81), (119, 82), (119, 83), (119, 84), (119, 85), (119, 86), (119, 87), (119, 88), (119, 89), (119, 90), (119, 91), (119, 92), (119, 93), (119, 94), (119, 95), (119, 96), (119, 97), (119, 98), (119, 99), (119, 100), (119, 101), (119, 102), (119, 103), (119, 104), (119, 105), (120, 106), (121, 107), (122, 108), (123, 109), (124, 110), (125, 111), (126, 112), (127, 113), (128, 114), (129, 115), (130, 116), (131, 117), (131, 118), (130, 119), (130, 120), (130, 121), (129, 122), (129, 123), (128, 124), (129, 125), (130, 126), (131, 127), (131, 128), (132, 129), (133, 130), (133, 131), (134, 132), (135, 133), (135, 134), (135, 135), (135, 136), (135, 137), (135, 138), (135, 139), (135, 140), (135, 141), (135, 142), (135, 143), (135, 144), (135, 145), (135, 146), (135, 147), (135, 148), (135, 149), (135, 150), (136, 151), (137, 152), (138, 153), (139, 154), (140, 155), (139, 156), (138, 157), (137, 158), (136, 159), (136, 160), (135, 161), (134, 162), (134, 163), (133, 164), (133, 165), (132, 166), (131, 167), (130, 168), (129, 169), (128, 170), (127, 171), (126, 171), (125, 171), (124, 171), (123, 171), (122, 171), (121, 171), (120, 172), (119, 172), (118, 172), (117, 172), (116, 172), (115, 172), (114, 172), (113, 172), (112, 172), (111, 171), (110, 170)]"
"(9, 15)","(112, 245)",0.012285385264021897,197,0.01772235725388782,0.0008591413085241584,2.475533282742141e-08,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 33), (211, 34), (210, 35), (209, 36), (208, 35), (207, 34), (206, 33), (205, 32), (204, 31), (203, 30), (202, 29), (201, 28), (200, 27), (199, 26), (198, 26), (197, 26), (196, 26), (195, 26), (194, 26), (193, 26), (192, 26), (191, 26), (190, 26), (189, 26), (188, 26), (187, 26), (186, 26), (185, 25), (184, 24), (183, 23), (182, 22), (181, 21), (180, 20), (179, 19), (178, 18), (177, 17), (176, 16), (175, 15), (174, 14), (173, 13), (172, 12), (171, 11), (170, 10), (169, 9), (168, 8), (167, 7), (166, 6), (165, 5), (164, 4), (163, 3), (162, 2), (161, 1), (160, 1), (159, 1), (158, 1), (157, 1), (156, 1), (155, 1), (154, 1), (153, 1), (152, 1), (151, 1), (150, 1), (149, 1), (148, 1), (147, 1), (146, 1), (145, 1), (144, 1), (143, 1), (142, 1), (141, 1), (140, 1), (139, 1), (138, 1), (137, 1), (136, 1), (135, 1), (134, 1), (133, 1), (132, 1), (131, 1), (130, 1), (129, 1), (128, 1), (127, 1), (126, 1), (125, 1), (124, 2), (123, 3), (122, 2), (121, 1), (120, 0), (119, 249), (118, 249), (117, 249), (116, 249), (115, 249), (114, 249), (113, 249), (112, 249), (111, 249), (110, 249), (109, 248), (109, 247), (109, 246), (109, 245), (110, 244), (111, 244), (112, 245)]"
"(9, 15)","(142, 36)",0.0058932380403575735,158,0.013122822980335513,0.0001637718210076855,1.88080382204001e-08,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 36), (207, 35), (206, 34), (205, 33), (204, 32), (203, 31), (202, 30), (201, 29), (200, 29), (199, 29), (198, 29), (197, 29), (196, 29), (195, 29), (194, 29), (193, 29), (192, 29), (191, 29), (190, 29), (189, 29), (188, 29), (187, 29), (186, 29), (185, 29), (184, 29), (183, 29), (182, 29), (181, 29), (180, 29), (179, 29), (178, 29), (177, 29), (176, 29), (175, 29), (174, 29), (173, 28), (172, 27), (171, 26), (170, 25), (169, 25), (168, 26), (167, 27), (166, 28), (165, 29), (164, 30), (163, 31), (162, 32), (161, 33), (160, 34), (159, 35), (158, 36), (157, 37), (156, 38), (155, 39), (154, 40), (153, 41), (152, 42), (151, 43), (150, 44), (149, 43), (148, 42), (147, 41), (146, 40), (145, 39), (144, 38), (143, 37), (142, 36)]"
"(9, 15)","(146, 169)",0.008419484766932328,324,0.0216450432989177,0.00029503447444767517,1.2369981137228823e-08,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 36), (207, 35), (206, 34), (205, 33), (204, 32), (203, 31), (202, 30), (201, 29), (200, 28), (199, 27), (198, 27), (197, 27), (196, 27), (195, 27), (194, 27), (193, 27), (192, 27), (191, 27), (190, 27), (189, 27), (188, 27), (187, 27), (186, 27), (185, 27), (184, 27), (183, 27), (182, 27), (181, 26), (180, 25), (179, 24), (178, 23), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 7), (160, 7), (159, 7), (158, 7), (157, 7), (156, 7), (155, 7), (154, 7), (153, 7), (152, 7), (151, 7), (150, 7), (149, 7), (148, 7), (147, 7), (146, 7), (145, 7), (144, 7), (143, 7), (142, 7), (141, 7), (140, 7), (139, 7), (138, 7), (137, 8), (136, 9), (135, 10), (134, 11), (133, 12), (132, 13), (131, 14), (130, 15), (129, 16), (128, 17), (127, 18), (126, 19), (125, 20), (124, 21), (123, 22), (122, 23), (121, 24), (120, 25), (119, 26), (118, 27), (117, 28), (116, 29), (116, 30), (116, 31), (116, 32), (116, 33), (116, 34), (116, 35), (116, 36), (116, 37), (116, 38), (116, 39), (116, 40), (116, 41), (116, 42), (116, 43), (116, 44), (116, 45), (115, 46), (114, 47), (114, 48), (114, 49), (114, 50), (114, 51), (114, 52), (114, 53), (114, 54), (114, 55), (114, 56), (114, 57), (114, 58), (114, 59), (114, 60), (114, 61), (114, 62), (114, 63), (114, 64), (114, 65), (114, 66), (114, 67), (114, 68), (114, 69), (114, 70), (114, 71), (114, 72), (114, 73), (115, 74), (116, 75), (117, 76), (118, 77), (119, 78), (119, 79), (119, 80), (119, 81), (119, 82), (119, 83), (119, 84), (119, 85), (119, 86), (119, 87), (119, 88), (119, 89), (119, 90), (119, 91), (119, 92), (119, 93), (119, 94), (119, 95), (119, 96), (119, 97), (119, 98), (119, 99), (119, 100), (119, 101), (119, 102), (119, 103), (119, 104), (119, 105), (120, 106), (121, 107), (122, 108), (123, 109), (124, 110), (125, 111), (126, 112), (127, 113), (128, 114), (129, 115), (130, 116), (131, 117), (131, 118), (130, 119), (130, 120), (130, 121), (129, 122), (129, 123), (128, 124), (129, 125), (130, 126), (131, 127), (131, 128), (132, 129), (133, 130), (133, 131), (134, 132), (135, 133), (135, 134), (135, 135), (135, 136), (135, 137), (135, 138), (135, 139), (135, 140), (135, 141), (135, 142), (135, 143), (135, 144), (135, 145), (135, 146), (135, 147), (135, 148), (135, 149), (135, 150), (136, 151), (137, 152), (138, 153), (139, 154), (140, 155), (139, 156), (138, 157), (137, 158), (136, 159), (137, 160), (138, 161), (139, 162), (140, 163), (141, 164), (142, 165), (143, 166), (144, 167), (145, 168), (146, 169)]"
"(9, 15)","(151, 249)",0.006498926781091541,150,0.011409949690005305,0.0001637718210076855,1.7812143219127874e-08,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 33), (211, 34), (210, 35), (209, 36), (208, 35), (207, 34), (206, 33), (205, 32), (204, 31), (203, 30), (202, 29), (201, 28), (200, 27), (199, 26), (198, 26), (197, 26), (196, 26), (195, 26), (194, 26), (193, 26), (192, 26), (191, 26), (190, 26), (189, 26), (188, 26), (187, 26), (186, 26), (185, 25), (184, 24), (183, 23), (182, 22), (181, 21), (180, 20), (179, 19), (178, 18), (177, 17), (176, 16), (175, 15), (174, 14), (173, 13), (172, 12), (171, 11), (170, 10), (169, 9), (168, 8), (167, 7), (166, 6), (165, 5), (164, 4), (163, 3), (162, 2), (161, 1), (160, 1), (159, 1), (158, 1), (157, 1), (156, 1), (155, 1), (154, 1), (153, 1), (152, 1), (151, 0), (151, 249)]"
"(9, 15)","(168, 67)",0.008982225960721735,132,0.017446780506361392,0.0001637718210076855,3.9973030246867494e-08,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 16), (3, 17), (2, 18), (2, 19), (2, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 35), (0, 36), (0, 37), (0, 38), (0, 39), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 46), (0, 47), (0, 48), (0, 49), (0, 50), (0, 51), (0, 52), (0, 53), (0, 54), (0, 55), (0, 56), (0, 57), (0, 58), (0, 59), (249, 60), (248, 60), (247, 60), (246, 60), (245, 60), (244, 60), (243, 60), (242, 60), (241, 60), (240, 59), (239, 58), (238, 57), (237, 57), (236, 56), (235, 55), (234, 54), (233, 53), (232, 52), (231, 51), (230, 50), (229, 49), (228, 48), (227, 47), (226, 46), (225, 45), (224, 44), (223, 43), (222, 42), (221, 41), (220, 40), (219, 39), (218, 38), (217, 37), (216, 36), (215, 35), (214, 34), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 36), (207, 35), (206, 34), (205, 33), (204, 32), (203, 32), (202, 33), (201, 34), (200, 35), (199, 36), (198, 37), (197, 38), (196, 39), (195, 40), (194, 41), (193, 42), (192, 43), (191, 44), (190, 45), (189, 46), (188, 47), (187, 48), (186, 49), (185, 50), (184, 51), (183, 52), (182, 53), (181, 54), (180, 55), (179, 56), (178, 57), (177, 58), (176, 59), (175, 60), (174, 61), (173, 62), (172, 63), (171, 64), (170, 65), (169, 66), (168, 67)]"
"(9, 15)","(248, 15)",0.002393102343830833,12,0.0025139651097561,3.20557801387622e-05,4.186796793654467e-07,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 15), (2, 16), (1, 17), (0, 17), (249, 16), (248, 15)]"
"(10, 172)","(9, 15)",0.00810562039089291,110,0.009044657051390459,6.252055879940599e-05,6.441639124300876e-09,"[(10, 172), (9, 173), (9, 174), (9, 175), (9, 176), (9, 177), (9, 178), (9, 179), (9, 180), (9, 181), (9, 182), (9, 183), (10, 184), (10, 185), (10, 186), (10, 187), (10, 188), (11, 189), (11, 190), (11, 191), (11, 192), (11, 193), (12, 194), (12, 195), (12, 196), (12, 197), (12, 198), (13, 199), (13, 200), (13, 201), (14, 202), (14, 203), (14, 204), (15, 205), (15, 206), (15, 207), (15, 208), (16, 209), (16, 210), (16, 211), (16, 212), (17, 213), (17, 214), (17, 215), (17, 216), (18, 217), (18, 218), (18, 219), (19, 220), (19, 221), (19, 222), (19, 223), (19, 224), (19, 225), (19, 226), (19, 227), (19, 228), (19, 229), (19, 230), (19, 231), (19, 232), (19, 233), (19, 234), (19, 235), (20, 236), (20, 237), (20, 238), (21, 239), (21, 240), (21, 241), (21, 242), (21, 243), (21, 244), (21, 245), (21, 246), (21, 247), (21, 248), (21, 249), (20, 0), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5), (20, 6), (20, 7), (20, 8), (20, 9), (20, 10), (20, 11), (20, 12), (20, 13), (20, 14), (19, 15), (18, 16), (17, 17), (16, 18), (15, 19), (14, 20), (13, 21), (12, 21), (11, 21), (10, 21), (9, 21), (8, 20), (7, 19), (6, 18), (7, 17), (8, 16), (9, 15)]"
