start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(1, 249)","(2, 16)",0.0017699772286050575,18,0.0017700276093819411,5.038077688368503e-08,2.6005820251004557e-09,"[(1, 249), (1, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 15), (2, 16)]"
"(1, 249)","(13, 159)",0.014966476023346331,96,0.01603364848608635,0.001660628643662676,3.964963207618339e-08,"[(1, 249), (1, 248), (1, 247), (1, 246), (1, 245), (1, 244), (1, 243), (1, 242), (1, 241), (1, 240), (1, 239), (1, 238), (1, 237), (1, 236), (1, 235), (1, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (0, 219), (0, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (249, 212), (249, 211), (249, 210), (249, 209), (249, 208), (249, 207), (249, 206), (249, 205), (249, 204), (249, 203), (249, 202), (249, 201), (249, 200), (249, 199), (249, 198), (248, 197), (248, 196), (247, 195), (247, 194), (246, 193), (246, 192), (245, 191), (245, 190), (244, 189), (244, 188), (244, 187), (244, 186), (243, 185), (243, 184), (243, 183), (244, 182), (244, 181), (244, 180), (245, 179), (246, 178), (246, 177), (246, 176), (247, 175), (247, 174), (248, 173), (249, 172), (0, 171), (0, 170), (1, 169), (2, 168), (3, 167), (4, 166), (3, 165), (3, 164), (4, 163), (5, 162), (6, 161), (7, 160), (8, 159), (9, 158), (10, 157), (11, 157), (12, 158), (13, 159)]"
"(1, 249)","(83, 21)",0.017180987679125792,176,0.01959960359965862,0.0010806725249494775,1.8368569064769108e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 42), (202, 41), (201, 40), (200, 39), (199, 38), (198, 37), (197, 36), (196, 35), (195, 34), (194, 34), (193, 34), (192, 34), (191, 34), (190, 33), (189, 32), (188, 31), (187, 30), (186, 29), (185, 28), (184, 27), (183, 26), (182, 25), (181, 24), (180, 23), (179, 22), (178, 21), (177, 20), (176, 19), (175, 18), (174, 17), (173, 16), (172, 15), (171, 14), (170, 13), (169, 12), (168, 11), (167, 10), (166, 9), (165, 8), (164, 7), (163, 6), (162, 5), (161, 4), (160, 3), (159, 2), (158, 1), (157, 1), (156, 1), (155, 1), (154, 1), (153, 1), (152, 0), (151, 0), (150, 1), (149, 1), (148, 1), (147, 1), (146, 1), (145, 0), (144, 0), (143, 0), (142, 0), (141, 0), (140, 0), (139, 0), (138, 0), (137, 0), (136, 0), (135, 0), (134, 0), (133, 0), (132, 0), (131, 0), (130, 0), (129, 0), (128, 0), (127, 0), (126, 0), (125, 0), (124, 1), (123, 2), (122, 3), (121, 4), (120, 5), (119, 6), (118, 6), (117, 6), (116, 6), (115, 6), (114, 6), (113, 6), (112, 6), (111, 6), (110, 6), (109, 6), (108, 6), (107, 6), (106, 6), (105, 7), (104, 6), (103, 5), (102, 4), (101, 4), (100, 4), (99, 4), (98, 5), (97, 5), (96, 6), (95, 6), (94, 7), (93, 8), (92, 9), (91, 10), (90, 11), (89, 12), (88, 13), (87, 14), (86, 15), (85, 16), (84, 17), (83, 18), (84, 19), (84, 20), (83, 21)]"
"(1, 249)","(113, 163)",0.0099177588214161,201,0.020767967493043216,0.0010806725249494775,2.336834914592716e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 43), (203, 44), (203, 45), (203, 46), (203, 47), (203, 48), (203, 49), (203, 50), (203, 51), (203, 52), (203, 53), (203, 54), (203, 55), (203, 56), (203, 57), (203, 58), (203, 59), (203, 60), (203, 61), (203, 62), (203, 63), (203, 64), (203, 65), (203, 66), (203, 67), (203, 68), (203, 69), (203, 70), (203, 71), (203, 72), (203, 73), (203, 74), (202, 75), (201, 76), (200, 77), (199, 78), (198, 79), (197, 80), (196, 81), (195, 82), (194, 83), (193, 84), (192, 85), (191, 86), (190, 87), (189, 88), (188, 89), (187, 90), (186, 91), (185, 92), (184, 93), (183, 94), (182, 95), (181, 95), (180, 95), (179, 95), (178, 95), (177, 95), (176, 95), (175, 95), (174, 95), (173, 95), (172, 95), (171, 95), (170, 95), (169, 95), (168, 95), (167, 96), (166, 97), (165, 98), (164, 99), (163, 100), (162, 101), (161, 102), (160, 103), (159, 104), (158, 105), (157, 106), (156, 107), (155, 108), (154, 109), (153, 110), (152, 111), (151, 112), (150, 113), (149, 114), (148, 115), (147, 116), (146, 117), (145, 118), (144, 119), (143, 120), (142, 121), (141, 122), (140, 123), (139, 124), (138, 125), (137, 126), (136, 126), (135, 126), (134, 125), (133, 125), (132, 125), (131, 124), (130, 124), (129, 124), (128, 123), (127, 123), (126, 123), (125, 124), (124, 125), (123, 126), (122, 127), (121, 128), (120, 129), (119, 130), (118, 131), (117, 132), (116, 133), (115, 134), (114, 135), (113, 136), (112, 137), (111, 138), (110, 139), (109, 140), (108, 141), (107, 142), (106, 143), (105, 144), (105, 145), (104, 146), (104, 147), (103, 148), (103, 149), (103, 150), (103, 151), (103, 152), (103, 153), (104, 154), (105, 155), (106, 156), (107, 157), (108, 158), (109, 159), (110, 160), (111, 161), (112, 162), (113, 163)]"
"(1, 249)","(114, 245)",0.013075583925797218,144,0.01592299247874962,0.0010806725249494775,2.616284207957448e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 42), (202, 41), (201, 40), (200, 39), (199, 38), (198, 37), (197, 36), (196, 35), (195, 34), (194, 34), (193, 34), (192, 34), (191, 34), (190, 33), (189, 32), (188, 31), (187, 30), (186, 29), (185, 28), (184, 27), (183, 26), (182, 25), (181, 24), (180, 23), (179, 22), (178, 21), (177, 20), (176, 19), (175, 18), (174, 17), (173, 16), (172, 15), (171, 14), (170, 13), (169, 12), (168, 11), (167, 10), (166, 9), (165, 8), (164, 7), (163, 6), (162, 5), (161, 4), (160, 3), (159, 2), (158, 1), (157, 1), (156, 1), (155, 1), (154, 1), (153, 1), (152, 0), (151, 0), (150, 1), (149, 1), (148, 1), (147, 1), (146, 1), (145, 0), (144, 0), (143, 0), (142, 0), (141, 0), (140, 0), (139, 0), (138, 0), (137, 0), (136, 0), (135, 0), (134, 0), (133, 0), (132, 0), (131, 0), (130, 0), (129, 0), (128, 0), (127, 0), (126, 0), (125, 0), (124, 1), (123, 2), (122, 1), (121, 0), (120, 249), (119, 249), (118, 249), (117, 249), (116, 249), (115, 248), (114, 247), (113, 246), (114, 245)]"
"(1, 249)","(115, 222)",0.013078259679446091,163,0.016113859881329518,0.0010806725249494775,2.389969219247427e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 42), (202, 41), (201, 40), (200, 39), (199, 38), (198, 37), (197, 36), (196, 35), (195, 34), (194, 34), (193, 34), (192, 34), (191, 34), (190, 33), (189, 32), (188, 31), (187, 30), (186, 29), (185, 28), (184, 27), (183, 26), (182, 25), (181, 24), (180, 23), (179, 22), (178, 21), (177, 20), (176, 19), (175, 18), (174, 17), (173, 16), (172, 15), (171, 14), (170, 13), (169, 12), (168, 11), (167, 10), (166, 9), (165, 8), (164, 7), (163, 6), (162, 5), (161, 4), (160, 3), (159, 2), (158, 1), (157, 1), (156, 1), (155, 1), (154, 1), (153, 1), (152, 0), (151, 0), (150, 1), (149, 1), (148, 1), (147, 1), (146, 1), (145, 0), (144, 0), (143, 0), (142, 0), (141, 0), (140, 0), (139, 0), (138, 0), (137, 0), (136, 0), (135, 0), (134, 0), (133, 0), (132, 0), (131, 0), (130, 0), (129, 0), (128, 0), (127, 0), (126, 0), (125, 0), (124, 1), (123, 2), (122, 1), (121, 0), (120, 249), (120, 248), (120, 247), (120, 246), (120, 245), (120, 244), (119, 243), (118, 242), (117, 241), (116, 240), (115, 239), (114, 238), (113, 237), (113, 236), (113, 235), (112, 234), (112, 233), (112, 232), (112, 231), (112, 230), (112, 229), (112, 228), (112, 227), (112, 226), (112, 225), (113, 224), (114, 223), (115, 222)]"
"(1, 249)","(139, 38)",0.007917040279153298,117,0.01352388283851269,0.0010806725249494775,2.75300025097417e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 42), (202, 41), (201, 40), (200, 39), (199, 38), (198, 37), (197, 36), (196, 36), (195, 36), (194, 36), (193, 36), (192, 36), (191, 36), (190, 36), (189, 36), (188, 36), (187, 36), (186, 36), (185, 36), (184, 36), (183, 36), (182, 36), (181, 36), (180, 36), (179, 36), (178, 36), (177, 36), (176, 36), (175, 36), (174, 36), (173, 36), (172, 36), (171, 36), (170, 35), (169, 34), (168, 33), (167, 32), (166, 31), (165, 31), (164, 32), (163, 33), (162, 34), (161, 35), (160, 36), (159, 37), (158, 38), (157, 39), (156, 40), (155, 41), (154, 42), (153, 43), (152, 44), (151, 45), (150, 46), (149, 47), (148, 47), (147, 46), (146, 45), (145, 44), (144, 43), (143, 42), (142, 41), (141, 40), (140, 39), (139, 38)]"
"(1, 249)","(149, 249)",0.008564303002344786,107,0.011226636775404586,0.0010806725249494775,3.265166641126029e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 42), (202, 41), (201, 40), (200, 39), (199, 38), (198, 37), (197, 36), (196, 35), (195, 34), (194, 34), (193, 34), (192, 34), (191, 34), (190, 33), (189, 32), (188, 31), (187, 30), (186, 29), (185, 28), (184, 27), (183, 26), (182, 25), (181, 24), (180, 23), (179, 22), (178, 21), (177, 20), (176, 19), (175, 18), (174, 17), (173, 16), (172, 15), (171, 14), (170, 13), (169, 12), (168, 11), (167, 10), (166, 9), (165, 8), (164, 7), (163, 6), (162, 5), (161, 4), (160, 3), (159, 2), (158, 1), (157, 1), (156, 1), (155, 1), (154, 1), (153, 1), (152, 0), (151, 0), (150, 0), (149, 249)]"
"(1, 249)","(164, 67)",0.008444763233683261,126,0.01636180351283656,0.0010806725249494775,3.255248749130818e-08,"[(1, 249), (0, 0), (249, 1), (248, 2), (247, 2), (246, 2), (245, 2), (244, 2), (243, 2), (242, 2), (241, 2), (240, 2), (239, 3), (238, 4), (237, 5), (236, 6), (235, 7), (234, 8), (233, 9), (232, 10), (231, 11), (230, 12), (229, 13), (228, 14), (227, 15), (226, 16), (225, 17), (225, 18), (225, 19), (225, 20), (225, 21), (224, 22), (223, 23), (222, 24), (221, 25), (220, 26), (219, 27), (218, 28), (217, 29), (216, 30), (215, 31), (214, 32), (213, 33), (212, 34), (211, 35), (210, 36), (209, 37), (208, 38), (207, 39), (206, 40), (205, 41), (204, 42), (203, 42), (202, 41), (201, 40), (200, 39), (199, 38), (198, 37), (197, 36), (196, 36), (195, 36), (194, 36), (193, 36), (192, 36), (191, 36), (190, 36), (189, 36), (188, 36), (187, 36), (186, 36), (185, 36), (184, 36), (183, 36), (182, 36), (181, 36), (180, 36), (179, 36), (178, 36), (177, 36), (176, 36), (175, 36), (174, 36), (173, 36), (172, 36), (171, 36), (170, 35), (169, 34), (168, 33), (167, 32), (166, 31), (165, 32), (164, 33), (163, 34), (162, 35), (161, 36), (160, 37), (159, 38), (158, 39), (157, 40), (156, 41), (155, 42), (154, 43), (153, 44), (152, 45), (151, 46), (150, 47), (149, 48), (148, 49), (147, 50), (148, 51), (149, 52), (150, 53), (151, 54), (152, 55), (153, 56), (154, 57), (155, 58), (156, 59), (157, 60), (158, 61), (159, 62), (160, 63), (161, 64), (162, 65), (163, 66), (164, 67)]"
"(1, 249)","(247, 168)",0.013391534170864361,82,0.013768428732987559,0.00027190050627723394,1.2490190298997845e-08,"[(1, 249), (1, 248), (1, 247), (1, 246), (1, 245), (1, 244), (1, 243), (1, 242), (1, 241), (1, 240), (1, 239), (1, 238), (1, 237), (1, 236), (1, 235), (1, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (0, 219), (0, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (249, 212), (249, 211), (249, 210), (249, 209), (249, 208), (249, 207), (249, 206), (249, 205), (249, 204), (249, 203), (249, 202), (249, 201), (249, 200), (249, 199), (249, 198), (248, 197), (248, 196), (247, 195), (247, 194), (246, 193), (246, 192), (245, 191), (245, 190), (244, 189), (244, 188), (244, 187), (244, 186), (243, 185), (243, 184), (243, 183), (244, 182), (244, 181), (243, 180), (243, 179), (243, 178), (243, 177), (243, 176), (243, 175), (243, 174), (243, 173), (243, 172), (244, 171), (245, 170), (246, 169), (247, 168)]"
