start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(249, 249)",0.0016716146134285736,18,0.0016716146134285736,0.00019382985067295522,4.86710591946867e-09,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (242, 6), (243, 5), (244, 4), (245, 3), (246, 2), (247, 1), (248, 0), (249, 249)]"
"(0, 15)","(11, 169)",0.013739619060970654,113,0.016249459051323356,0.0003799127580350614,2.581770342927323e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (238, 4), (238, 3), (238, 2), (238, 1), (238, 0), (239, 249), (240, 248), (241, 247), (242, 246), (243, 245), (244, 244), (245, 243), (246, 242), (247, 241), (248, 240), (249, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (0, 219), (0, 218), (249, 217), (0, 216), (1, 215), (2, 214), (3, 213), (4, 212), (5, 211), (6, 210), (7, 209), (8, 208), (9, 207), (10, 206), (11, 205), (11, 204), (12, 203), (13, 202), (13, 201), (14, 200), (13, 199), (12, 198), (11, 197), (10, 196), (9, 195), (8, 194), (7, 193), (6, 192), (5, 191), (4, 190), (3, 189), (2, 188), (1, 187), (0, 186), (249, 185), (248, 184), (247, 183), (246, 182), (245, 181), (244, 180), (243, 179), (242, 178), (242, 177), (242, 176), (242, 175), (242, 174), (242, 173), (243, 172), (244, 171), (245, 170), (246, 169), (247, 168), (248, 168), (249, 168), (0, 169), (1, 169), (2, 169), (3, 169), (4, 168), (5, 168), (6, 168), (7, 167), (8, 167), (9, 167), (10, 168), (11, 169)]"
"(0, 15)","(78, 175)",0.013739619060970654,147,0.02127604337294997,0.0003799127580350614,3.347322571860359e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (238, 4), (238, 3), (238, 2), (238, 1), (238, 0), (239, 249), (240, 248), (241, 247), (242, 246), (243, 245), (244, 244), (245, 243), (246, 242), (247, 241), (248, 240), (249, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (0, 219), (0, 218), (249, 217), (0, 216), (1, 215), (2, 214), (3, 213), (4, 212), (5, 211), (6, 210), (7, 209), (8, 208), (9, 207), (10, 206), (11, 205), (11, 204), (12, 203), (13, 202), (13, 201), (14, 200), (15, 199), (16, 198), (17, 197), (18, 196), (19, 195), (20, 194), (21, 193), (22, 192), (23, 191), (24, 190), (25, 189), (26, 188), (27, 187), (28, 186), (29, 185), (30, 184), (31, 183), (32, 182), (33, 181), (34, 180), (35, 179), (36, 178), (37, 177), (38, 176), (39, 175), (40, 174), (40, 173), (40, 172), (40, 171), (40, 170), (41, 169), (42, 168), (43, 167), (44, 166), (45, 165), (46, 164), (47, 164), (48, 164), (49, 163), (50, 163), (51, 163), (52, 163), (53, 163), (54, 162), (55, 162), (56, 162), (57, 162), (58, 162), (59, 162), (60, 162), (61, 162), (62, 162), (63, 162), (64, 162), (65, 162), (66, 162), (67, 162), (68, 162), (69, 162), (70, 162), (71, 162), (72, 162), (73, 162), (74, 162), (75, 162), (76, 162), (77, 162), (78, 163), (79, 164), (80, 165), (81, 166), (82, 167), (83, 168), (84, 169), (83, 170), (82, 171), (81, 172), (80, 173), (79, 174), (78, 175)]"
"(0, 15)","(89, 16)",0.01345928455577905,91,0.014370846905762846,0.00031437361815278564,1.979937406864391e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (26, 16), (27, 16), (28, 16), (29, 16), (30, 16), (31, 16), (32, 16), (33, 16), (34, 16), (35, 16), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 16), (47, 16), (48, 16), (49, 16), (50, 17), (51, 17), (52, 17), (53, 18), (54, 19), (55, 20), (56, 21), (57, 21), (58, 22), (59, 23), (60, 23), (61, 23), (62, 23), (63, 24), (64, 25), (65, 26), (66, 26), (67, 26), (68, 26), (69, 26), (70, 26), (71, 26), (72, 26), (73, 26), (74, 26), (75, 26), (76, 26), (77, 26), (78, 26), (79, 25), (80, 24), (81, 23), (82, 22), (83, 21), (84, 21), (85, 21), (86, 20), (87, 19), (88, 18), (89, 17), (89, 16)]"
"(0, 15)","(92, 249)",0.014126829188512602,95,0.014556899081867414,0.00031437361815278564,1.597950703258681e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (26, 16), (27, 16), (28, 16), (29, 16), (30, 16), (31, 16), (32, 16), (33, 16), (34, 16), (35, 16), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 16), (47, 16), (48, 16), (49, 16), (50, 17), (51, 17), (52, 17), (53, 18), (54, 19), (55, 20), (56, 21), (57, 21), (58, 22), (59, 23), (60, 23), (61, 23), (62, 22), (63, 21), (64, 20), (65, 19), (66, 18), (67, 17), (68, 16), (69, 15), (70, 14), (71, 13), (72, 12), (73, 11), (74, 10), (75, 9), (76, 8), (77, 7), (78, 6), (79, 5), (80, 4), (81, 3), (82, 2), (83, 2), (84, 2), (85, 2), (86, 2), (87, 2), (88, 2), (89, 2), (90, 2), (91, 2), (92, 1), (93, 0), (92, 249)]"
"(0, 15)","(94, 79)",0.012817032266298156,165,0.015115143524667474,0.0005572610331228134,1.4712847271669779e-08,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 25), (228, 25), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 50), (199, 49), (198, 49), (197, 48), (196, 48), (195, 47), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 48), (164, 49), (163, 50), (162, 51), (161, 52), (160, 53), (159, 54), (158, 55), (157, 56), (156, 57), (155, 58), (154, 59), (153, 60), (152, 61), (151, 62), (150, 63), (149, 64), (148, 65), (147, 66), (146, 67), (145, 68), (144, 68), (143, 68), (142, 67), (141, 66), (140, 65), (139, 64), (138, 63), (137, 62), (136, 61), (135, 60), (134, 61), (133, 61), (132, 62), (131, 62), (130, 63), (130, 64), (129, 65), (129, 66), (129, 67), (128, 68), (128, 69), (128, 70), (128, 71), (128, 72), (127, 73), (126, 74), (125, 75), (124, 76), (123, 77), (123, 78), (122, 79), (121, 80), (120, 81), (119, 82), (118, 82), (117, 82), (116, 82), (115, 81), (114, 80), (113, 79), (112, 78), (111, 77), (110, 76), (109, 75), (108, 74), (107, 73), (106, 72), (105, 71), (104, 71), (103, 71), (102, 72), (101, 73), (100, 74), (99, 75), (98, 76), (97, 77), (96, 78), (95, 79), (94, 79)]"
"(0, 15)","(116, 171)",0.010497586755150223,229,0.01750737732345442,0.00023431980173427291,8.59466033005215e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 25), (228, 25), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 50), (199, 49), (198, 49), (197, 48), (196, 48), (195, 47), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 48), (164, 49), (163, 50), (162, 51), (161, 52), (160, 53), (159, 54), (158, 55), (157, 56), (156, 57), (155, 58), (154, 59), (153, 60), (152, 61), (151, 62), (150, 63), (149, 64), (148, 65), (147, 66), (146, 67), (145, 68), (144, 68), (143, 68), (142, 67), (141, 66), (140, 65), (139, 64), (138, 63), (137, 62), (136, 61), (135, 60), (134, 61), (133, 61), (132, 62), (131, 62), (130, 63), (130, 64), (129, 65), (129, 66), (129, 67), (128, 68), (128, 69), (128, 70), (128, 71), (128, 72), (127, 73), (127, 74), (126, 75), (126, 76), (125, 77), (125, 78), (125, 79), (125, 80), (125, 81), (125, 82), (125, 83), (125, 84), (125, 85), (124, 86), (123, 87), (122, 88), (121, 89), (120, 90), (120, 91), (120, 92), (119, 93), (119, 94), (119, 95), (119, 96), (119, 97), (119, 98), (119, 99), (118, 100), (118, 101), (118, 102), (118, 103), (118, 104), (118, 105), (118, 106), (118, 107), (118, 108), (118, 109), (118, 110), (118, 111), (118, 112), (118, 113), (118, 114), (118, 115), (118, 116), (118, 117), (118, 118), (118, 119), (118, 120), (118, 121), (118, 122), (118, 123), (118, 124), (118, 125), (118, 126), (118, 127), (118, 128), (118, 129), (118, 130), (118, 131), (118, 132), (119, 133), (119, 134), (119, 135), (119, 136), (119, 137), (119, 138), (119, 139), (119, 140), (119, 141), (119, 142), (120, 143), (120, 144), (120, 145), (120, 146), (120, 147), (120, 148), (120, 149), (120, 150), (120, 151), (120, 152), (120, 153), (120, 154), (120, 155), (120, 156), (120, 157), (120, 158), (120, 159), (120, 160), (120, 161), (120, 162), (120, 163), (120, 164), (120, 165), (120, 166), (120, 167), (119, 168), (118, 169), (117, 170), (116, 171)]"
"(0, 15)","(118, 63)",0.007174958980840529,133,0.008979533560932396,0.00023431980173427291,5.9865750809401104e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 25), (228, 25), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 50), (199, 49), (198, 49), (197, 48), (196, 48), (195, 47), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 48), (164, 49), (163, 50), (162, 51), (161, 52), (160, 53), (159, 54), (158, 55), (157, 56), (156, 57), (155, 58), (154, 59), (153, 60), (152, 61), (151, 62), (150, 63), (149, 64), (148, 65), (147, 66), (146, 67), (145, 68), (144, 68), (143, 68), (142, 67), (141, 66), (140, 65), (139, 64), (138, 63), (137, 62), (136, 61), (135, 60), (134, 61), (133, 61), (132, 62), (131, 62), (130, 61), (129, 60), (128, 59), (127, 58), (126, 58), (125, 58), (124, 59), (123, 60), (122, 61), (121, 62), (120, 63), (119, 64), (118, 63)]"
"(0, 15)","(132, 45)",0.007174958980840529,135,0.00903804336326175,0.00023431980173427291,5.978034822392867e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 25), (228, 25), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 50), (199, 49), (198, 49), (197, 48), (196, 48), (195, 47), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 48), (164, 49), (163, 50), (162, 51), (161, 52), (160, 53), (159, 54), (158, 55), (157, 56), (156, 57), (155, 58), (154, 59), (153, 60), (152, 61), (151, 62), (150, 63), (149, 64), (148, 65), (147, 66), (146, 67), (145, 68), (144, 68), (143, 68), (142, 67), (141, 66), (140, 65), (139, 64), (138, 63), (137, 62), (136, 61), (135, 60), (135, 59), (135, 58), (135, 57), (135, 56), (135, 55), (135, 54), (135, 53), (135, 52), (135, 51), (135, 50), (135, 49), (135, 48), (135, 47), (135, 46), (135, 45), (135, 44), (134, 43), (133, 44), (132, 45)]"
"(0, 15)","(134, 75)",0.007174958980840529,132,0.009263388154863605,0.00023431980173427291,6.716058470532009e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 25), (228, 25), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 50), (199, 49), (198, 49), (197, 48), (196, 48), (195, 47), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 48), (164, 49), (163, 50), (162, 51), (161, 52), (160, 53), (159, 54), (158, 55), (157, 56), (156, 57), (155, 58), (154, 59), (153, 60), (152, 61), (151, 62), (150, 63), (149, 64), (148, 65), (147, 66), (146, 67), (145, 68), (144, 68), (143, 68), (142, 67), (141, 66), (140, 65), (139, 64), (138, 63), (137, 62), (136, 61), (135, 60), (134, 61), (133, 61), (132, 62), (131, 63), (131, 64), (131, 65), (131, 66), (131, 67), (131, 68), (131, 69), (131, 70), (131, 71), (131, 72), (132, 73), (133, 74), (134, 75)]"
