start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(85, 176)",0.010477728701005162,180,0.010477728701005162,0.00031122475849088005,2.112889570711793e-08,"[(0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (239, 2), (240, 1), (241, 0), (242, 249), (243, 248), (244, 247), (245, 246), (246, 245), (247, 244), (248, 243), (249, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (1, 225), (2, 224), (3, 223), (4, 222), (5, 221), (6, 220), (7, 219), (8, 218), (9, 217), (10, 216), (11, 215), (12, 214), (13, 213), (14, 212), (15, 211), (16, 210), (17, 209), (18, 208), (19, 207), (20, 206), (21, 205), (22, 204), (23, 203), (23, 202), (22, 201), (22, 200), (21, 199), (20, 198), (20, 197), (19, 196), (18, 195), (17, 194), (16, 193), (15, 192), (14, 191), (13, 190), (12, 189), (11, 188), (10, 187), (9, 186), (8, 185), (7, 184), (6, 183), (5, 182), (4, 181), (3, 180), (2, 179), (1, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (0, 171), (1, 170), (2, 169), (3, 168), (4, 167), (5, 166), (6, 165), (7, 164), (8, 163), (9, 162), (10, 162), (11, 162), (12, 162), (13, 162), (14, 162), (15, 162), (16, 162), (17, 162), (18, 162), (19, 162), (20, 162), (21, 162), (22, 162), (23, 162), (24, 162), (25, 162), (26, 162), (27, 162), (28, 162), (29, 162), (30, 162), (31, 162), (32, 162), (33, 162), (34, 162), (35, 162), (36, 162), (37, 162), (38, 162), (39, 162), (40, 162), (41, 162), (42, 162), (43, 162), (44, 162), (45, 162), (46, 162), (47, 162), (48, 162), (49, 162), (50, 162), (51, 162), (52, 162), (53, 162), (54, 162), (55, 162), (56, 162), (57, 162), (58, 162), (59, 162), (60, 162), (61, 162), (62, 162), (63, 162), (64, 162), (65, 162), (66, 162), (67, 162), (68, 162), (69, 162), (70, 162), (71, 162), (72, 163), (73, 164), (74, 165), (75, 166), (76, 167), (77, 168), (78, 169), (79, 170), (80, 171), (81, 172), (82, 173), (83, 174), (84, 175), (85, 176)]"
"(0, 15)","(100, 1)",0.008823257249446215,180,0.00883465011423823,0.0004327502662135885,5.360085235921087e-09,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 51), (205, 50), (204, 50), (203, 49), (202, 49), (201, 48), (200, 47), (199, 47), (198, 46), (197, 46), (196, 45), (195, 45), (194, 44), (193, 44), (192, 44), (191, 43), (190, 43), (189, 43), (188, 43), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 41), (153, 40), (153, 39), (153, 38), (153, 37), (153, 36), (153, 35), (153, 34), (153, 33), (153, 32), (153, 31), (153, 30), (153, 29), (153, 28), (153, 27), (153, 26), (153, 25), (153, 24), (153, 23), (153, 22), (153, 21), (153, 20), (153, 19), (153, 18), (152, 17), (151, 16), (150, 15), (149, 14), (148, 13), (147, 12), (146, 12), (145, 12), (144, 12), (143, 12), (142, 12), (141, 12), (140, 12), (139, 12), (138, 12), (137, 12), (136, 12), (135, 12), (134, 12), (133, 12), (132, 12), (131, 12), (130, 12), (129, 12), (128, 12), (127, 12), (126, 12), (125, 12), (124, 12), (123, 13), (122, 14), (121, 15), (120, 16), (119, 17), (118, 18), (117, 19), (116, 20), (115, 21), (114, 21), (113, 20), (112, 19), (111, 18), (110, 17), (109, 16), (108, 15), (107, 14), (106, 13), (105, 12), (104, 11), (103, 10), (102, 9), (101, 8), (100, 7), (99, 6), (99, 5), (99, 4), (99, 3), (99, 2), (100, 1)]"
"(0, 15)","(140, 36)",0.002707275345812832,114,0.0027324784861093576,0.00010493876726513918,9.185272535769297e-10,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 51), (205, 50), (204, 50), (203, 49), (202, 49), (201, 48), (200, 47), (199, 47), (198, 46), (197, 46), (196, 45), (195, 45), (194, 44), (193, 44), (192, 44), (191, 43), (190, 43), (189, 43), (188, 43), (187, 43), (186, 43), (185, 43), (184, 43), (183, 43), (182, 43), (181, 43), (180, 43), (179, 43), (178, 43), (177, 43), (176, 43), (175, 43), (174, 43), (173, 43), (172, 43), (171, 43), (170, 43), (169, 43), (168, 43), (167, 43), (166, 43), (165, 43), (164, 43), (163, 43), (162, 43), (161, 43), (160, 43), (159, 43), (158, 43), (157, 43), (156, 43), (155, 43), (154, 43), (153, 43), (152, 43), (151, 43), (150, 42), (149, 41), (148, 40), (147, 39), (146, 38), (145, 37), (144, 36), (143, 35), (142, 34), (141, 34), (140, 34), (139, 35), (140, 36)]"
"(0, 15)","(146, 170)",0.0107194484000388,182,0.010815915044247504,0.00022042171963221335,1.1452484845448406e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (25, 14), (26, 14), (27, 14), (28, 14), (29, 14), (30, 14), (31, 14), (32, 14), (33, 13), (34, 13), (35, 13), (36, 13), (37, 13), (38, 13), (39, 13), (40, 13), (41, 13), (42, 13), (43, 13), (44, 13), (45, 13), (46, 13), (47, 13), (48, 13), (49, 13), (50, 13), (51, 14), (52, 14), (53, 14), (54, 14), (55, 15), (56, 15), (57, 16), (58, 16), (59, 17), (60, 18), (61, 18), (62, 19), (63, 20), (64, 19), (65, 18), (66, 17), (67, 16), (68, 15), (69, 14), (70, 13), (71, 12), (72, 11), (73, 10), (74, 9), (75, 8), (76, 7), (77, 6), (78, 5), (79, 4), (80, 3), (80, 2), (80, 1), (80, 0), (80, 249), (80, 248), (80, 247), (80, 246), (81, 245), (82, 244), (83, 243), (84, 242), (85, 241), (86, 240), (87, 239), (88, 238), (89, 237), (90, 236), (91, 235), (92, 234), (93, 233), (94, 232), (95, 231), (96, 230), (97, 229), (98, 228), (99, 227), (100, 226), (101, 225), (102, 224), (103, 223), (104, 222), (105, 221), (106, 220), (106, 219), (106, 218), (106, 217), (105, 216), (104, 215), (104, 214), (103, 213), (102, 212), (101, 211), (100, 210), (99, 209), (98, 208), (97, 207), (96, 206), (95, 205), (94, 204), (95, 203), (96, 203), (97, 203), (98, 203), (99, 203), (100, 203), (101, 203), (102, 203), (103, 203), (104, 202), (105, 201), (106, 200), (107, 199), (108, 198), (109, 197), (110, 196), (111, 195), (112, 194), (113, 193), (114, 192), (115, 191), (116, 190), (117, 189), (118, 188), (119, 187), (120, 186), (121, 185), (122, 184), (123, 183), (124, 182), (125, 181), (126, 180), (127, 179), (128, 178), (129, 177), (130, 176), (131, 175), (132, 175), (133, 175), (134, 175), (135, 175), (136, 175), (137, 174), (138, 174), (139, 173), (140, 172), (141, 171), (142, 170), (143, 170), (144, 170), (145, 170), (146, 170)]"
"(0, 15)","(149, 249)",0.006670260738360412,141,0.006670260738360412,0.0003248525695767057,1.1871779560126685e-08,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 51), (205, 50), (204, 50), (203, 49), (202, 49), (201, 48), (200, 47), (199, 47), (198, 46), (197, 46), (196, 45), (195, 45), (194, 44), (193, 44), (192, 44), (191, 43), (190, 43), (189, 43), (188, 43), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 41), (154, 40), (154, 39), (154, 38), (154, 37), (154, 36), (154, 35), (154, 34), (154, 33), (154, 32), (154, 31), (154, 30), (154, 29), (154, 28), (154, 27), (154, 26), (154, 25), (154, 24), (154, 23), (154, 22), (154, 21), (154, 20), (154, 19), (154, 18), (154, 17), (153, 16), (152, 15), (151, 14), (150, 13), (149, 12), (149, 11), (150, 10), (151, 9), (152, 8), (153, 7), (154, 6), (155, 5), (155, 4), (154, 3), (153, 2), (152, 1), (151, 0), (150, 0), (149, 249)]"
"(0, 15)","(175, 67)",0.004130574301143497,92,0.0015097959632157654,7.65437656582435e-05,6.519985091522497e-09,"[(0, 15), (0, 16), (249, 17), (248, 18), (247, 19), (246, 20), (245, 21), (244, 22), (243, 23), (242, 24), (241, 25), (240, 26), (239, 27), (238, 28), (237, 29), (236, 30), (235, 31), (234, 32), (233, 32), (232, 32), (231, 32), (230, 32), (229, 32), (228, 32), (227, 32), (226, 33), (225, 34), (224, 35), (223, 36), (222, 37), (221, 38), (220, 39), (219, 40), (218, 41), (217, 42), (216, 43), (215, 44), (214, 45), (213, 46), (212, 47), (211, 48), (210, 49), (209, 50), (208, 51), (207, 52), (206, 52), (205, 52), (204, 52), (203, 52), (202, 52), (201, 52), (200, 52), (199, 52), (198, 52), (197, 52), (196, 52), (195, 52), (194, 52), (193, 52), (192, 52), (191, 52), (190, 52), (189, 52), (188, 52), (187, 52), (186, 52), (185, 52), (184, 52), (183, 52), (182, 52), (181, 52), (180, 52), (179, 52), (178, 52), (177, 52), (176, 52), (175, 52), (174, 53), (173, 54), (172, 55), (171, 56), (170, 57), (169, 58), (168, 59), (168, 60), (169, 61), (170, 62), (171, 63), (172, 64), (173, 65), (174, 66), (175, 67)]"
"(0, 15)","(236, 249)",0.000663186605095234,17,0.000663186605095234,7.282998478785885e-05,7.713076202768261e-10,"[(0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (236, 0), (236, 249)]"
"(0, 15)","(237, 15)",0.0004347993532292094,17,1.6427748050773516e-11,1.6427748050773516e-11,3.740494294047237e-10,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 12), (244, 12), (243, 12), (242, 12), (241, 12), (240, 12), (239, 12), (238, 12), (237, 12), (236, 13), (236, 14), (237, 15)]"
"(85, 176)","(0, 15)",0.010477728701005162,138,0.0089384355460993,0.0002686203766302242,2.8706394816173283e-08,"[(85, 176), (84, 176), (83, 176), (82, 176), (81, 176), (80, 175), (79, 175), (78, 175), (77, 175), (76, 175), (75, 175), (74, 175), (73, 175), (72, 174), (71, 174), (70, 174), (69, 174), (68, 174), (67, 174), (66, 174), (65, 173), (64, 173), (63, 173), (62, 173), (61, 173), (60, 172), (59, 172), (58, 172), (57, 172), (56, 171), (55, 171), (54, 171), (53, 171), (52, 170), (51, 171), (50, 172), (49, 173), (48, 174), (47, 175), (46, 176), (45, 177), (44, 178), (43, 179), (42, 180), (41, 181), (40, 182), (39, 183), (38, 184), (37, 185), (36, 186), (35, 187), (34, 188), (33, 189), (33, 190), (32, 191), (32, 192), (32, 193), (31, 194), (30, 195), (30, 196), (29, 197), (28, 198), (27, 199), (26, 200), (25, 201), (24, 202), (23, 203), (22, 204), (21, 205), (20, 206), (19, 207), (18, 208), (17, 209), (16, 210), (15, 211), (14, 212), (13, 213), (12, 214), (11, 214), (10, 215), (9, 215), (8, 216), (7, 216), (6, 216), (5, 216), (4, 216), (3, 216), (2, 216), (1, 216), (0, 217), (0, 218), (0, 219), (0, 220), (0, 221), (0, 222), (0, 223), (0, 224), (0, 225), (0, 226), (0, 227), (0, 228), (0, 229), (0, 230), (0, 231), (0, 232), (0, 233), (0, 234), (0, 235), (0, 236), (0, 237), (0, 238), (0, 239), (0, 240), (0, 241), (0, 242), (0, 243), (0, 244), (0, 245), (0, 246), (0, 247), (0, 248), (0, 249), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15)]"
"(85, 176)","(100, 1)",0.009180155245132937,89,0.009180155245132937,0.0005306930223127893,3.532758683853711e-08,"[(85, 176), (85, 177), (86, 178), (87, 179), (88, 180), (89, 181), (90, 182), (91, 183), (92, 184), (93, 185), (94, 186), (95, 187), (96, 188), (97, 189), (98, 190), (99, 191), (100, 192), (101, 193), (102, 194), (103, 195), (104, 196), (105, 197), (106, 198), (107, 199), (108, 200), (109, 201), (110, 202), (110, 203), (109, 204), (109, 205), (109, 206), (108, 207), (108, 208), (108, 209), (108, 210), (107, 211), (107, 212), (107, 213), (107, 214), (107, 215), (107, 216), (107, 217), (106, 218), (106, 219), (105, 220), (104, 221), (103, 222), (102, 223), (101, 224), (100, 225), (99, 226), (98, 227), (97, 228), (96, 229), (95, 230), (94, 231), (93, 232), (93, 233), (92, 234), (92, 235), (91, 236), (90, 237), (89, 238), (88, 239), (87, 240), (86, 241), (85, 242), (85, 243), (85, 244), (85, 245), (85, 246), (85, 247), (85, 248), (85, 249), (86, 0), (87, 0), (88, 0), (89, 0), (90, 0), (91, 0), (92, 0), (93, 0), (94, 0), (95, 0), (96, 0), (97, 0), (98, 0), (99, 0), (100, 1)]"
