start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(1, 30)","(5, 174)",0.009750572272764657,107,0.009750572272764657,0.00022402361162221496,1.0936985645070237e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (0, 17), (0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (1, 3), (1, 2), (2, 1), (1, 0), (0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (1, 232), (1, 231), (1, 230), (1, 229), (1, 228), (1, 227), (1, 226), (1, 225), (2, 224), (2, 223), (2, 222), (2, 221), (2, 220), (2, 219), (3, 218), (3, 217), (3, 216), (3, 215), (3, 214), (4, 213), (4, 212), (4, 211), (4, 210), (4, 209), (4, 208), (4, 207), (4, 206), (4, 205), (4, 204), (4, 203), (4, 202), (4, 201), (4, 200), (4, 199), (4, 198), (4, 197), (4, 196), (4, 195), (4, 194), (4, 193), (4, 192), (4, 191), (4, 190), (4, 189), (4, 188), (4, 187), (4, 186), (4, 185), (4, 184), (4, 183), (4, 182), (4, 181), (4, 180), (4, 179), (4, 178), (4, 177), (4, 176), (4, 175), (5, 174)]"
"(1, 30)","(21, 14)",0.005579424818279222,29,0.001664866125338449,0.0002737306965627795,1.21692420955535e-07,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 29), (11, 28), (12, 27), (13, 26), (14, 25), (14, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (16, 15), (17, 14), (18, 13), (19, 12), (20, 13), (21, 14)]"
"(1, 30)","(21, 246)",0.006271880513281758,75,0.004556783682915011,0.0003259726443047839,4.8926140970666276e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (34, 24), (34, 23), (34, 22), (34, 21), (34, 20), (34, 19), (34, 18), (34, 17), (34, 16), (34, 15), (34, 14), (34, 13), (34, 12), (34, 11), (34, 10), (34, 9), (34, 8), (34, 7), (34, 6), (34, 5), (34, 4), (34, 3), (34, 2), (34, 1), (33, 0), (32, 0), (31, 249), (30, 248), (29, 247), (28, 246), (27, 245), (26, 244), (25, 243), (24, 242), (23, 242), (22, 242), (21, 242), (20, 243), (20, 244), (20, 245), (21, 246)]"
"(1, 30)","(33, 169)",0.009210134278305304,151,0.009620686247217236,0.0003259726443047839,9.975337529681945e-09,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (35, 24), (36, 23), (37, 22), (38, 21), (39, 20), (40, 19), (41, 18), (42, 17), (43, 16), (43, 15), (43, 14), (43, 13), (43, 12), (43, 11), (43, 10), (43, 9), (42, 8), (42, 7), (42, 6), (42, 5), (42, 4), (42, 3), (42, 2), (42, 1), (42, 0), (43, 249), (43, 248), (43, 247), (42, 246), (41, 245), (40, 244), (39, 244), (38, 244), (37, 243), (36, 242), (35, 241), (34, 240), (33, 239), (32, 238), (32, 237), (32, 236), (32, 235), (32, 234), (32, 233), (32, 232), (32, 231), (32, 230), (32, 229), (32, 228), (32, 227), (32, 226), (32, 225), (32, 224), (32, 223), (32, 222), (32, 221), (32, 220), (32, 219), (32, 218), (32, 217), (32, 216), (32, 215), (32, 214), (32, 213), (32, 212), (32, 211), (32, 210), (31, 209), (30, 208), (30, 207), (31, 206), (32, 205), (32, 204), (32, 203), (32, 202), (32, 201), (32, 200), (32, 199), (32, 198), (32, 197), (32, 196), (32, 195), (32, 194), (32, 193), (32, 192), (32, 191), (32, 190), (32, 189), (32, 188), (32, 187), (32, 186), (32, 185), (32, 184), (32, 183), (32, 182), (32, 181), (31, 180), (31, 179), (30, 178), (29, 177), (28, 176), (27, 175), (26, 174), (25, 173), (24, 172), (24, 171), (24, 170), (24, 169), (25, 168), (26, 167), (27, 167), (28, 167), (29, 167), (30, 167), (31, 167), (32, 168), (33, 169)]"
"(1, 30)","(87, 175)",0.009210134278305304,179,0.009620686247217236,0.0003259726443047839,2.501166963441033e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (35, 24), (36, 23), (37, 22), (38, 21), (39, 20), (40, 19), (41, 18), (42, 17), (43, 16), (43, 15), (43, 14), (43, 13), (43, 12), (43, 11), (43, 10), (43, 9), (42, 8), (42, 7), (42, 6), (42, 5), (42, 4), (42, 3), (42, 2), (42, 1), (42, 0), (43, 249), (43, 248), (43, 247), (42, 246), (41, 245), (40, 244), (39, 244), (38, 244), (37, 243), (36, 242), (35, 241), (34, 240), (33, 239), (32, 238), (32, 237), (32, 236), (32, 235), (32, 234), (32, 233), (32, 232), (32, 231), (32, 230), (32, 229), (32, 228), (32, 227), (32, 226), (32, 225), (32, 224), (32, 223), (32, 222), (32, 221), (32, 220), (32, 219), (32, 218), (32, 217), (32, 216), (32, 215), (32, 214), (32, 213), (32, 212), (32, 211), (32, 210), (31, 209), (30, 208), (30, 207), (31, 206), (32, 205), (32, 204), (32, 203), (32, 202), (32, 201), (32, 200), (32, 199), (32, 198), (32, 197), (32, 196), (32, 195), (32, 194), (32, 193), (32, 192), (32, 191), (32, 190), (32, 189), (32, 188), (32, 187), (33, 186), (34, 186), (35, 186), (36, 185), (37, 184), (38, 183), (39, 182), (40, 181), (41, 180), (42, 179), (43, 178), (44, 177), (45, 176), (46, 175), (47, 174), (48, 173), (49, 172), (50, 171), (51, 170), (52, 170), (53, 169), (54, 169), (55, 169), (56, 168), (57, 168), (58, 168), (59, 168), (60, 168), (61, 168), (62, 168), (63, 168), (64, 168), (65, 168), (66, 168), (67, 168), (68, 168), (69, 168), (70, 168), (71, 167), (72, 166), (73, 165), (74, 164), (75, 163), (76, 164), (77, 165), (78, 166), (79, 167), (80, 168), (81, 169), (82, 170), (83, 171), (84, 172), (85, 173), (86, 174), (87, 175)]"
"(1, 30)","(95, 12)",0.009783907256178281,95,0.009783907256178281,0.00030981240354321926,1.4898384149916937e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 31), (10, 32), (11, 33), (12, 34), (13, 35), (14, 36), (15, 37), (16, 38), (17, 39), (18, 40), (19, 41), (20, 41), (21, 41), (22, 41), (23, 40), (24, 39), (25, 38), (26, 37), (27, 36), (28, 35), (29, 34), (30, 33), (31, 32), (32, 31), (33, 30), (34, 29), (35, 29), (36, 29), (37, 29), (38, 29), (39, 29), (40, 29), (41, 29), (42, 29), (43, 29), (44, 29), (45, 28), (46, 27), (47, 26), (48, 25), (49, 24), (50, 23), (51, 22), (52, 21), (53, 20), (54, 19), (55, 18), (56, 18), (57, 19), (58, 20), (59, 21), (60, 21), (61, 22), (62, 22), (63, 22), (64, 22), (65, 22), (66, 21), (67, 21), (68, 20), (69, 19), (70, 19), (71, 18), (72, 18), (73, 17), (74, 17), (75, 17), (76, 16), (77, 15), (78, 14), (79, 13), (80, 12), (81, 11), (82, 10), (83, 9), (84, 8), (85, 7), (86, 6), (87, 6), (88, 6), (89, 6), (90, 7), (91, 8), (92, 9), (93, 10), (94, 11), (95, 12)]"
"(1, 30)","(144, 35)",0.004216061132297,134,0.004838835078658121,0.0027552135785526843,6.035211384847544e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (0, 17), (249, 16), (248, 15), (247, 14), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 3), (235, 2), (234, 1), (233, 0), (232, 0), (231, 0), (230, 0), (229, 0), (228, 249), (227, 249), (226, 0), (225, 0), (224, 0), (223, 0), (222, 0), (221, 0), (220, 1), (219, 2), (218, 3), (217, 4), (216, 5), (215, 6), (214, 7), (213, 8), (212, 9), (211, 10), (210, 11), (209, 12), (208, 13), (207, 14), (206, 15), (205, 16), (205, 17), (205, 18), (205, 19), (205, 20), (205, 21), (205, 22), (205, 23), (205, 24), (205, 25), (204, 26), (203, 27), (202, 28), (201, 29), (200, 30), (199, 31), (198, 32), (197, 33), (196, 34), (195, 35), (194, 35), (193, 35), (192, 35), (191, 35), (190, 35), (189, 35), (188, 35), (187, 35), (186, 35), (185, 35), (184, 35), (183, 35), (182, 35), (181, 35), (180, 35), (179, 35), (178, 35), (177, 35), (176, 35), (175, 35), (174, 35), (173, 35), (172, 35), (171, 35), (170, 35), (169, 35), (168, 35), (167, 35), (166, 35), (165, 35), (164, 35), (163, 35), (162, 35), (161, 35), (160, 35), (159, 35), (158, 35), (157, 35), (156, 34), (155, 33), (154, 32), (153, 31), (152, 30), (151, 30), (150, 30), (149, 30), (148, 30), (147, 30), (146, 30), (145, 30), (144, 30), (143, 31), (142, 32), (142, 33), (143, 34), (144, 35)]"
"(1, 30)","(149, 169)",0.009210134278305304,248,0.01192458356501902,0.0003259726443047839,8.589503655883785e-09,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 31), (11, 32), (12, 33), (13, 34), (14, 35), (15, 36), (16, 37), (17, 38), (18, 38), (19, 38), (20, 38), (21, 38), (22, 37), (23, 36), (24, 35), (25, 34), (26, 33), (27, 32), (28, 31), (29, 30), (30, 29), (31, 28), (32, 27), (33, 26), (34, 25), (35, 24), (36, 23), (37, 22), (38, 21), (39, 20), (40, 19), (41, 18), (42, 17), (43, 16), (43, 15), (43, 14), (43, 13), (43, 12), (43, 11), (43, 10), (43, 9), (42, 8), (42, 7), (42, 6), (42, 5), (42, 4), (42, 3), (42, 2), (42, 1), (42, 0), (43, 249), (43, 248), (43, 247), (42, 246), (41, 245), (40, 244), (39, 244), (38, 244), (37, 243), (36, 242), (35, 241), (34, 240), (33, 239), (32, 238), (32, 237), (32, 236), (32, 235), (32, 234), (32, 233), (32, 232), (32, 231), (32, 230), (32, 229), (32, 228), (32, 227), (32, 226), (32, 225), (32, 224), (32, 223), (32, 222), (32, 221), (32, 220), (32, 219), (32, 218), (32, 217), (32, 216), (32, 215), (32, 214), (32, 213), (32, 212), (32, 211), (32, 210), (31, 209), (30, 208), (30, 207), (31, 206), (32, 205), (32, 204), (32, 203), (32, 202), (32, 201), (32, 200), (32, 199), (32, 198), (32, 197), (32, 196), (32, 195), (32, 194), (32, 193), (32, 192), (32, 191), (32, 190), (32, 189), (32, 188), (32, 187), (33, 186), (34, 186), (35, 186), (36, 185), (37, 184), (38, 183), (39, 182), (40, 181), (41, 180), (42, 179), (43, 178), (44, 177), (45, 176), (46, 175), (47, 174), (48, 173), (49, 172), (50, 171), (51, 170), (52, 170), (53, 169), (54, 169), (55, 168), (56, 167), (57, 166), (58, 165), (59, 165), (60, 165), (61, 165), (62, 165), (63, 165), (64, 165), (65, 165), (66, 165), (67, 165), (68, 165), (69, 165), (70, 164), (71, 163), (72, 162), (73, 161), (74, 160), (75, 159), (76, 158), (77, 157), (78, 156), (79, 155), (80, 154), (81, 153), (82, 152), (83, 151), (84, 150), (85, 149), (86, 149), (87, 149), (88, 149), (89, 149), (90, 149), (91, 149), (92, 149), (93, 149), (94, 149), (95, 149), (96, 149), (97, 149), (98, 149), (99, 149), (100, 149), (101, 149), (102, 149), (103, 149), (104, 149), (105, 149), (106, 149), (107, 149), (108, 149), (109, 149), (110, 149), (111, 149), (112, 150), (113, 151), (114, 152), (115, 153), (116, 154), (117, 155), (118, 156), (119, 157), (120, 158), (121, 159), (122, 160), (123, 161), (124, 162), (125, 163), (126, 164), (127, 165), (127, 166), (127, 167), (127, 168), (127, 169), (127, 170), (127, 171), (127, 172), (128, 173), (129, 174), (130, 175), (131, 175), (132, 174), (133, 174), (134, 174), (135, 174), (136, 173), (137, 173), (138, 172), (139, 171), (140, 170), (141, 169), (142, 168), (143, 167), (144, 166), (145, 166), (146, 166), (147, 167), (148, 168), (149, 169)]"
"(1, 30)","(150, 249)",0.00711741883162631,116,0.008527226077490013,0.0027552135785526843,7.222742535432656e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (0, 17), (249, 16), (248, 15), (247, 14), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 3), (235, 2), (234, 1), (233, 0), (233, 249), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 248), (221, 248), (220, 248), (219, 248), (218, 248), (217, 248), (216, 248), (215, 248), (214, 248), (213, 248), (212, 248), (211, 248), (210, 248), (209, 248), (208, 248), (207, 248), (206, 249), (206, 0), (205, 1), (204, 2), (203, 3), (202, 3), (201, 3), (200, 3), (199, 3), (198, 3), (197, 3), (196, 3), (195, 3), (194, 3), (193, 3), (192, 3), (191, 3), (190, 3), (189, 3), (188, 3), (187, 3), (186, 3), (185, 3), (184, 3), (183, 3), (182, 3), (181, 3), (180, 3), (179, 3), (178, 3), (177, 3), (176, 3), (175, 3), (174, 3), (173, 3), (172, 3), (171, 3), (170, 3), (169, 3), (168, 2), (167, 1), (166, 0), (165, 0), (164, 0), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 0), (154, 0), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(1, 30)","(174, 67)",0.007777232129569711,108,0.004240505179723186,0.00294523127672619,9.498051594644658e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (0, 21), (0, 20), (0, 19), (0, 18), (249, 17), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 34), (229, 34), (228, 34), (227, 35), (226, 36), (225, 37), (224, 38), (223, 39), (222, 40), (221, 41), (220, 42), (219, 43), (218, 44), (217, 45), (216, 46), (215, 46), (214, 46), (213, 46), (212, 46), (211, 46), (210, 46), (209, 46), (208, 47), (207, 47), (206, 47), (205, 47), (204, 47), (203, 47), (202, 47), (201, 47), (200, 47), (199, 47), (198, 47), (197, 47), (196, 47), (195, 47), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 48), (173, 49), (172, 50), (171, 51), (170, 52), (169, 53), (168, 54), (167, 55), (166, 56), (165, 57), (165, 58), (166, 59), (167, 60), (168, 61), (169, 62), (170, 63), (171, 64), (172, 65), (173, 66), (174, 67)]"
