start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(12, 169)",0.0134309278469118,108,0.0134309278469118,0.00036338386610168527,2.704075074295641e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (238, 4), (237, 3), (236, 2), (236, 1), (236, 0), (235, 249), (236, 248), (236, 247), (236, 246), (235, 245), (235, 244), (235, 243), (235, 242), (235, 241), (235, 240), (235, 239), (235, 238), (235, 237), (235, 236), (235, 235), (235, 234), (236, 233), (236, 232), (237, 231), (238, 230), (239, 229), (240, 228), (241, 227), (242, 226), (243, 225), (244, 224), (245, 223), (246, 222), (247, 221), (248, 220), (249, 219), (249, 218), (0, 217), (1, 216), (2, 215), (3, 214), (4, 213), (5, 212), (6, 211), (7, 210), (8, 209), (9, 208), (10, 207), (10, 206), (11, 205), (12, 204), (12, 203), (13, 202), (14, 201), (14, 200), (13, 199), (12, 198), (11, 197), (10, 196), (9, 195), (8, 194), (7, 193), (6, 192), (5, 191), (4, 190), (3, 189), (2, 188), (1, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (0, 171), (1, 170), (2, 170), (3, 169), (4, 169), (5, 168), (6, 168), (7, 167), (8, 167), (9, 167), (10, 167), (11, 168), (12, 169)]"
"(0, 15)","(78, 175)",0.010180902696788507,289,0.013219202021446108,0.0002596024138483699,8.412854086955769e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 68), (144, 69), (145, 70), (145, 71), (145, 72), (146, 73), (146, 74), (145, 75), (145, 76), (144, 77), (144, 78), (144, 79), (143, 80), (143, 81), (142, 82), (141, 83), (140, 84), (139, 85), (138, 86), (138, 87), (138, 88), (138, 89), (138, 90), (138, 91), (138, 92), (138, 93), (138, 94), (138, 95), (138, 96), (138, 97), (138, 98), (138, 99), (138, 100), (138, 101), (137, 102), (136, 102), (135, 102), (134, 102), (133, 102), (132, 102), (131, 102), (130, 102), (129, 102), (128, 102), (127, 102), (126, 103), (125, 104), (124, 105), (123, 106), (122, 107), (121, 108), (120, 109), (119, 110), (118, 111), (118, 112), (118, 113), (118, 114), (118, 115), (118, 116), (118, 117), (118, 118), (118, 119), (118, 120), (118, 121), (118, 122), (118, 123), (118, 124), (118, 125), (118, 126), (118, 127), (118, 128), (118, 129), (118, 130), (118, 131), (118, 132), (118, 133), (117, 134), (117, 135), (117, 136), (117, 137), (117, 138), (117, 139), (117, 140), (117, 141), (118, 142), (119, 143), (120, 144), (121, 145), (122, 146), (123, 147), (124, 148), (125, 149), (126, 150), (127, 151), (128, 152), (129, 153), (129, 154), (129, 155), (129, 156), (129, 157), (129, 158), (129, 159), (129, 160), (129, 161), (129, 162), (129, 163), (129, 164), (129, 165), (129, 166), (129, 167), (129, 168), (129, 169), (129, 170), (129, 171), (129, 172), (129, 173), (129, 174), (129, 175), (129, 176), (129, 177), (128, 178), (128, 179), (127, 180), (127, 181), (127, 182), (126, 183), (125, 184), (124, 185), (123, 186), (122, 187), (121, 188), (120, 189), (119, 190), (118, 190), (117, 190), (116, 190), (115, 189), (114, 188), (113, 187), (112, 186), (111, 185), (110, 184), (109, 183), (108, 182), (107, 181), (106, 180), (105, 179), (104, 178), (103, 177), (102, 176), (101, 175), (100, 174), (99, 173), (98, 172), (97, 171), (96, 170), (95, 169), (94, 168), (93, 167), (92, 167), (91, 167), (90, 167), (89, 167), (88, 167), (87, 167), (86, 167), (85, 167), (84, 167), (83, 167), (82, 167), (81, 167), (80, 167), (79, 167), (78, 167), (77, 167), (76, 168), (75, 169), (74, 170), (74, 171), (75, 172), (76, 173), (77, 174), (78, 175)]"
"(0, 15)","(89, 16)",0.013321452448849413,90,0.013321452448849413,0.00030655263242351793,1.9093504717011073e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (26, 16), (27, 16), (28, 16), (29, 16), (30, 16), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 16), (47, 16), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 21), (58, 21), (59, 22), (60, 22), (61, 23), (62, 23), (63, 23), (64, 22), (65, 21), (66, 20), (67, 19), (68, 18), (69, 17), (70, 16), (71, 15), (72, 14), (73, 13), (74, 13), (75, 13), (76, 13), (77, 13), (78, 13), (79, 13), (80, 13), (81, 13), (82, 13), (83, 13), (84, 13), (85, 13), (86, 13), (87, 14), (88, 15), (89, 16)]"
"(0, 15)","(95, 78)",0.01260875730247335,169,0.01378754895245038,0.0005193080321532761,1.332099448954633e-08,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 68), (144, 69), (145, 70), (145, 71), (145, 72), (146, 73), (146, 74), (145, 75), (145, 76), (144, 77), (144, 78), (143, 79), (142, 80), (141, 81), (140, 82), (139, 83), (138, 84), (137, 85), (136, 86), (135, 87), (134, 88), (133, 89), (132, 90), (131, 90), (130, 90), (129, 90), (128, 89), (127, 88), (126, 87), (125, 86), (124, 85), (123, 85), (122, 85), (121, 85), (120, 85), (119, 85), (118, 85), (117, 85), (116, 84), (115, 83), (114, 82), (113, 81), (112, 80), (111, 79), (110, 78), (109, 77), (108, 76), (107, 75), (106, 74), (105, 73), (104, 72), (103, 72), (102, 73), (101, 74), (100, 75), (99, 75), (98, 76), (97, 75), (96, 75), (95, 75), (94, 76), (94, 77), (95, 78)]"
"(0, 15)","(116, 171)",0.010180902696788507,220,0.011088786493587577,0.0002596024138483699,9.766006677314482e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 68), (144, 69), (145, 70), (145, 71), (145, 72), (146, 73), (146, 74), (145, 75), (145, 76), (144, 77), (144, 78), (144, 79), (143, 80), (143, 81), (142, 82), (141, 83), (140, 84), (139, 85), (138, 86), (138, 87), (138, 88), (138, 89), (138, 90), (138, 91), (138, 92), (138, 93), (138, 94), (138, 95), (138, 96), (138, 97), (138, 98), (138, 99), (138, 100), (138, 101), (137, 102), (136, 102), (135, 102), (134, 102), (133, 102), (132, 102), (131, 102), (130, 102), (129, 102), (128, 102), (127, 102), (126, 103), (125, 104), (124, 105), (123, 106), (122, 107), (121, 108), (120, 109), (119, 110), (118, 111), (118, 112), (118, 113), (118, 114), (118, 115), (118, 116), (118, 117), (118, 118), (118, 119), (118, 120), (118, 121), (118, 122), (118, 123), (118, 124), (118, 125), (118, 126), (118, 127), (118, 128), (118, 129), (118, 130), (118, 131), (118, 132), (118, 133), (117, 134), (117, 135), (117, 136), (117, 137), (117, 138), (117, 139), (117, 140), (117, 141), (117, 142), (116, 143), (116, 144), (116, 145), (116, 146), (116, 147), (116, 148), (116, 149), (116, 150), (116, 151), (115, 152), (115, 153), (115, 154), (115, 155), (115, 156), (115, 157), (115, 158), (115, 159), (115, 160), (115, 161), (115, 162), (115, 163), (115, 164), (115, 165), (115, 166), (115, 167), (115, 168), (115, 169), (115, 170), (116, 171)]"
"(0, 15)","(118, 62)",0.006938631923617322,142,0.007056427041334246,0.0002186386768698867,6.132043508710144e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 67), (143, 67), (142, 66), (141, 65), (140, 64), (139, 63), (138, 62), (137, 61), (136, 60), (135, 59), (134, 58), (133, 58), (132, 59), (131, 59), (130, 59), (129, 58), (128, 57), (127, 56), (126, 55), (125, 54), (124, 53), (123, 52), (122, 51), (121, 51), (120, 51), (119, 52), (119, 53), (119, 54), (119, 55), (119, 56), (119, 57), (119, 58), (119, 59), (118, 60), (118, 61), (118, 62)]"
"(0, 15)","(132, 45)",0.006938631923617322,132,0.007056427041334246,0.0002186386768698867,6.910192192865193e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 67), (143, 67), (142, 66), (141, 65), (140, 64), (139, 63), (138, 62), (137, 61), (136, 60), (135, 59), (134, 58), (133, 57), (132, 56), (131, 55), (130, 54), (129, 53), (129, 52), (129, 51), (129, 50), (129, 49), (129, 48), (129, 47), (129, 46), (130, 45), (131, 44), (132, 45)]"
"(0, 15)","(135, 75)",0.006938631923617322,132,0.007056427041334246,0.0002186386768698867,6.769505808659931e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 67), (143, 67), (142, 66), (141, 65), (140, 64), (139, 63), (138, 62), (137, 61), (136, 60), (135, 59), (134, 60), (133, 61), (132, 62), (132, 63), (132, 64), (132, 65), (132, 66), (132, 67), (132, 68), (132, 69), (132, 70), (132, 71), (132, 72), (133, 73), (134, 74), (135, 75)]"
"(0, 15)","(140, 104)",0.00913422416465437,143,0.009859674031645227,0.0002596024138483699,6.052924197136991e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 68), (144, 69), (145, 70), (145, 71), (145, 72), (146, 73), (146, 74), (145, 75), (145, 76), (144, 77), (144, 78), (144, 79), (143, 80), (143, 81), (142, 82), (141, 83), (140, 84), (139, 85), (138, 86), (138, 87), (138, 88), (138, 89), (138, 90), (138, 91), (138, 92), (138, 93), (138, 94), (138, 95), (138, 96), (138, 97), (138, 98), (138, 99), (138, 100), (138, 101), (138, 102), (139, 103), (140, 104)]"
"(0, 15)","(141, 175)",0.010180902696788507,232,0.011392300391094068,0.0002596024138483699,7.176901658147647e-09,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 28), (234, 28), (233, 28), (232, 28), (231, 28), (230, 28), (229, 28), (228, 28), (227, 28), (226, 28), (225, 28), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 49), (198, 49), (197, 48), (196, 48), (195, 48), (194, 47), (193, 47), (192, 47), (191, 47), (190, 47), (189, 47), (188, 47), (187, 47), (186, 47), (185, 47), (184, 47), (183, 47), (182, 47), (181, 47), (180, 47), (179, 47), (178, 47), (177, 47), (176, 47), (175, 47), (174, 47), (173, 47), (172, 47), (171, 47), (170, 47), (169, 47), (168, 47), (167, 47), (166, 47), (165, 47), (164, 48), (163, 49), (162, 50), (161, 51), (160, 52), (159, 53), (158, 54), (157, 55), (156, 56), (155, 57), (154, 58), (153, 59), (152, 60), (151, 61), (150, 62), (149, 63), (148, 64), (147, 65), (146, 66), (145, 67), (144, 68), (144, 69), (145, 70), (145, 71), (145, 72), (146, 73), (146, 74), (145, 75), (145, 76), (144, 77), (144, 78), (144, 79), (143, 80), (143, 81), (142, 82), (141, 83), (140, 84), (139, 85), (138, 86), (138, 87), (138, 88), (138, 89), (138, 90), (138, 91), (138, 92), (138, 93), (138, 94), (138, 95), (138, 96), (138, 97), (138, 98), (138, 99), (138, 100), (138, 101), (137, 102), (136, 102), (135, 102), (134, 102), (133, 102), (132, 102), (131, 102), (130, 102), (129, 102), (128, 102), (127, 102), (126, 103), (125, 104), (124, 105), (123, 106), (122, 107), (121, 108), (120, 109), (119, 110), (118, 111), (118, 112), (118, 113), (118, 114), (118, 115), (118, 116), (118, 117), (118, 118), (118, 119), (118, 120), (118, 121), (118, 122), (118, 123), (118, 124), (118, 125), (118, 126), (118, 127), (118, 128), (118, 129), (118, 130), (118, 131), (118, 132), (118, 133), (117, 134), (117, 135), (117, 136), (117, 137), (117, 138), (117, 139), (117, 140), (117, 141), (118, 142), (119, 143), (120, 144), (121, 145), (122, 146), (123, 147), (124, 148), (125, 149), (126, 150), (127, 151), (128, 152), (129, 153), (129, 154), (129, 155), (129, 156), (129, 157), (129, 158), (129, 159), (129, 160), (129, 161), (129, 162), (129, 163), (129, 164), (129, 165), (129, 166), (129, 167), (129, 168), (129, 169), (129, 170), (129, 171), (130, 172), (131, 173), (132, 173), (133, 173), (134, 173), (135, 173), (136, 173), (137, 172), (138, 172), (139, 173), (140, 174), (141, 175)]"
