start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(249, 249)","(10, 170)",0.011598817955814411,88,0.011598817955814411,0.00030133276163724076,2.270836411756126e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (13, 195), (12, 194), (11, 193), (10, 192), (9, 191), (8, 190), (7, 189), (6, 188), (5, 187), (4, 186), (3, 185), (2, 184), (1, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (1, 171), (2, 170), (3, 170), (4, 170), (5, 169), (6, 169), (7, 169), (8, 169), (9, 169), (10, 170)]"
"(249, 249)","(86, 177)",0.014935074060872466,127,0.014935074060872466,0.00030133276163724076,2.9440169802319115e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (14, 195), (15, 195), (16, 194), (17, 194), (18, 193), (19, 192), (20, 191), (21, 190), (22, 189), (23, 188), (24, 187), (25, 186), (26, 185), (27, 184), (28, 183), (29, 182), (30, 181), (31, 180), (32, 179), (33, 178), (34, 177), (35, 176), (36, 175), (37, 174), (38, 175), (39, 175), (40, 175), (41, 176), (42, 176), (43, 176), (44, 177), (45, 177), (46, 177), (47, 177), (48, 177), (49, 177), (50, 177), (51, 177), (52, 177), (53, 176), (54, 175), (55, 174), (56, 173), (57, 172), (58, 171), (59, 170), (60, 169), (61, 168), (62, 167), (63, 166), (64, 165), (65, 164), (66, 163), (67, 163), (68, 163), (69, 163), (70, 163), (71, 163), (72, 163), (73, 164), (74, 165), (75, 166), (76, 167), (77, 168), (78, 169), (79, 170), (80, 171), (81, 172), (82, 173), (83, 174), (84, 175), (85, 176), (86, 177)]"
"(249, 249)","(100, 74)",0.013983198160190113,164,0.014007892243853348,0.00027796911945188185,7.351682249282503e-09,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (234, 18), (234, 19), (234, 20), (234, 21), (234, 22), (234, 23), (234, 24), (233, 25), (232, 26), (231, 27), (230, 28), (229, 29), (228, 30), (227, 31), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 52), (205, 53), (204, 54), (203, 55), (202, 54), (201, 53), (200, 52), (199, 51), (198, 50), (197, 49), (196, 48), (195, 47), (194, 46), (193, 45), (192, 44), (191, 43), (190, 42), (189, 41), (188, 40), (187, 40), (186, 40), (185, 40), (184, 40), (183, 40), (182, 40), (181, 40), (180, 40), (179, 40), (178, 40), (177, 40), (176, 40), (175, 40), (174, 40), (173, 40), (172, 40), (171, 40), (170, 40), (169, 40), (168, 40), (167, 40), (166, 40), (165, 40), (164, 40), (163, 40), (162, 40), (161, 40), (160, 40), (159, 40), (158, 40), (157, 40), (156, 40), (155, 40), (154, 40), (153, 40), (152, 40), (151, 41), (150, 42), (149, 43), (148, 43), (147, 42), (146, 41), (145, 40), (144, 40), (143, 40), (142, 40), (141, 40), (140, 40), (139, 41), (138, 41), (137, 42), (136, 43), (135, 44), (134, 45), (133, 46), (132, 47), (131, 48), (130, 49), (129, 50), (128, 51), (127, 52), (126, 53), (125, 54), (124, 55), (123, 56), (122, 57), (121, 58), (120, 59), (119, 60), (118, 61), (117, 62), (116, 63), (115, 64), (114, 64), (113, 65), (112, 65), (111, 66), (110, 67), (109, 68), (108, 69), (107, 70), (106, 71), (105, 71), (104, 71), (103, 71), (102, 71), (101, 71), (100, 72), (100, 73), (100, 74)]"
"(249, 249)","(111, 68)",0.01397970863683895,152,0.01397970863683895,0.00027796911945188185,7.1980659708743566e-09,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (234, 18), (234, 19), (234, 20), (234, 21), (234, 22), (234, 23), (234, 24), (233, 25), (232, 26), (231, 27), (230, 28), (229, 29), (228, 30), (227, 31), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 52), (205, 53), (204, 54), (203, 55), (202, 54), (201, 53), (200, 52), (199, 51), (198, 50), (197, 49), (196, 48), (195, 47), (194, 46), (193, 45), (192, 44), (191, 43), (190, 42), (189, 41), (188, 40), (187, 40), (186, 40), (185, 40), (184, 40), (183, 40), (182, 40), (181, 40), (180, 40), (179, 40), (178, 40), (177, 40), (176, 40), (175, 40), (174, 40), (173, 40), (172, 40), (171, 40), (170, 40), (169, 40), (168, 40), (167, 40), (166, 40), (165, 40), (164, 40), (163, 40), (162, 40), (161, 40), (160, 40), (159, 40), (158, 40), (157, 40), (156, 40), (155, 40), (154, 40), (153, 40), (152, 40), (151, 41), (150, 42), (149, 43), (148, 43), (147, 42), (146, 41), (145, 40), (144, 40), (143, 40), (142, 40), (141, 40), (140, 40), (139, 41), (138, 41), (137, 42), (136, 43), (135, 44), (134, 45), (133, 46), (132, 47), (131, 48), (130, 49), (129, 50), (128, 51), (127, 52), (126, 53), (125, 54), (124, 55), (123, 56), (122, 57), (121, 58), (120, 59), (119, 60), (118, 61), (117, 62), (116, 63), (115, 64), (114, 64), (113, 65), (112, 66), (111, 67), (111, 68)]"
"(249, 249)","(150, 249)",0.01764148816357647,105,0.01764148816357647,0.00029932395364085096,1.0041386126072855e-08,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (233, 18), (232, 19), (231, 20), (230, 21), (229, 22), (228, 23), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 47), (201, 46), (200, 45), (199, 44), (198, 43), (197, 42), (196, 41), (195, 40), (194, 39), (193, 38), (192, 37), (191, 36), (190, 35), (189, 34), (188, 33), (187, 32), (186, 31), (185, 30), (184, 29), (183, 28), (182, 27), (181, 26), (180, 25), (179, 24), (178, 23), (177, 22), (176, 21), (175, 20), (174, 19), (173, 18), (172, 17), (171, 16), (170, 15), (169, 14), (168, 13), (167, 12), (166, 11), (165, 10), (164, 9), (163, 8), (162, 7), (161, 6), (160, 5), (159, 4), (158, 3), (157, 2), (156, 1), (155, 0), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(249, 249)","(151, 169)",0.017312434453288006,196,0.018780446854407273,0.00030133276163724076,1.7225637888131014e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (14, 195), (15, 195), (16, 194), (17, 194), (18, 193), (19, 192), (20, 191), (21, 190), (22, 189), (23, 188), (24, 187), (25, 186), (26, 185), (27, 184), (28, 183), (29, 182), (30, 181), (31, 180), (32, 179), (33, 178), (34, 177), (35, 176), (36, 175), (37, 174), (38, 175), (39, 175), (40, 175), (41, 176), (42, 176), (43, 176), (44, 177), (45, 177), (46, 177), (47, 177), (48, 177), (49, 176), (50, 175), (51, 174), (52, 173), (53, 172), (54, 171), (55, 170), (56, 169), (57, 168), (58, 167), (59, 166), (60, 165), (61, 164), (62, 163), (63, 162), (64, 161), (65, 160), (66, 159), (67, 158), (68, 157), (69, 156), (70, 155), (71, 155), (72, 155), (73, 155), (74, 155), (75, 155), (76, 155), (77, 155), (78, 155), (79, 155), (80, 155), (81, 155), (82, 155), (83, 155), (84, 155), (85, 155), (86, 155), (87, 155), (88, 155), (89, 155), (90, 155), (91, 155), (92, 155), (93, 155), (94, 155), (95, 155), (96, 155), (97, 155), (98, 155), (99, 155), (100, 155), (101, 155), (102, 155), (103, 155), (104, 155), (105, 155), (106, 155), (107, 155), (108, 155), (109, 155), (110, 155), (111, 155), (112, 155), (113, 156), (114, 157), (115, 158), (116, 159), (117, 160), (118, 161), (119, 162), (120, 163), (121, 164), (122, 165), (123, 166), (124, 167), (125, 168), (125, 169), (125, 170), (125, 171), (125, 172), (126, 173), (127, 174), (128, 173), (129, 173), (130, 173), (131, 172), (132, 172), (133, 172), (134, 172), (135, 172), (136, 171), (137, 170), (138, 169), (139, 168), (140, 167), (141, 166), (142, 165), (143, 165), (144, 165), (145, 165), (146, 165), (147, 165), (148, 166), (149, 167), (150, 168), (151, 169)]"
"(249, 249)","(176, 67)",0.008918189896576223,100,0.008918189896576223,0.0002773332220158409,2.438956375938962e-08,"[(249, 249), (248, 0), (247, 0), (246, 1), (245, 1), (244, 2), (243, 3), (242, 4), (241, 5), (240, 6), (239, 7), (238, 8), (237, 9), (236, 10), (235, 11), (234, 12), (234, 13), (234, 14), (234, 15), (234, 16), (234, 17), (234, 18), (234, 19), (234, 20), (234, 21), (234, 22), (234, 23), (234, 24), (234, 25), (233, 26), (232, 27), (231, 28), (230, 29), (229, 30), (228, 31), (227, 32), (226, 33), (225, 34), (224, 35), (223, 36), (222, 37), (221, 38), (220, 39), (219, 40), (218, 41), (217, 42), (216, 43), (215, 44), (214, 45), (213, 46), (212, 47), (211, 48), (210, 49), (209, 50), (208, 51), (207, 52), (206, 53), (205, 54), (204, 55), (203, 56), (202, 55), (201, 55), (200, 55), (199, 55), (198, 55), (197, 55), (196, 54), (195, 54), (194, 54), (193, 54), (192, 54), (191, 54), (190, 54), (189, 54), (188, 54), (187, 54), (186, 54), (185, 54), (184, 54), (183, 54), (182, 54), (181, 54), (180, 54), (179, 54), (178, 54), (177, 54), (176, 54), (175, 55), (174, 56), (173, 57), (172, 58), (171, 59), (170, 60), (170, 61), (171, 62), (172, 63), (173, 64), (174, 65), (175, 66), (176, 67)]"
"(249, 249)","(249, 12)",0.0007720216009374781,14,2.2737367544323206e-13,2.2737367544323206e-13,8.899520443962492e-10,"[(249, 249), (249, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (249, 12)]"
"(249, 249)","(249, 172)",0.011598817955814411,78,0.011598817955814411,0.00030133276163724076,2.2788786154350163e-08,"[(249, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (1, 219), (2, 218), (3, 217), (4, 216), (5, 215), (5, 214), (6, 213), (7, 212), (7, 211), (8, 210), (8, 209), (9, 208), (9, 207), (9, 206), (10, 205), (10, 204), (11, 203), (11, 202), (11, 201), (12, 200), (12, 199), (13, 198), (13, 197), (13, 196), (13, 195), (12, 194), (11, 193), (10, 192), (9, 191), (8, 190), (7, 189), (6, 188), (5, 187), (4, 186), (3, 185), (2, 184), (1, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (249, 172)]"
"(10, 170)","(249, 249)",0.011598817955814411,80,0.0019263626610381834,0.00011663037946618715,2.4323332676416e-08,"[(10, 170), (10, 171), (10, 172), (10, 173), (9, 174), (9, 175), (9, 176), (9, 177), (10, 178), (10, 179), (10, 180), (10, 181), (11, 182), (11, 183), (11, 184), (12, 185), (12, 186), (12, 187), (13, 188), (13, 189), (13, 190), (13, 191), (13, 192), (13, 193), (13, 194), (13, 195), (13, 196), (12, 197), (11, 198), (10, 199), (9, 200), (8, 201), (7, 202), (6, 203), (5, 204), (4, 205), (3, 206), (2, 207), (1, 208), (0, 209), (0, 210), (0, 211), (0, 212), (0, 213), (0, 214), (0, 215), (0, 216), (0, 217), (0, 218), (0, 219), (0, 220), (0, 221), (0, 222), (0, 223), (0, 224), (0, 225), (0, 226), (0, 227), (0, 228), (0, 229), (0, 230), (0, 231), (0, 232), (0, 233), (0, 234), (0, 235), (0, 236), (0, 237), (0, 238), (0, 239), (0, 240), (0, 241), (0, 242), (0, 243), (0, 244), (0, 245), (0, 246), (0, 247), (0, 248), (249, 249)]"
