start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(43, 247)",0.01772423346847063,44,0.01772423346847063,0.00087096680454124,2.792549097417728e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 14), (7, 13), (8, 12), (9, 11), (10, 10), (11, 9), (12, 8), (13, 7), (14, 6), (15, 5), (16, 4), (17, 3), (18, 2), (19, 1), (20, 0), (21, 249), (22, 249), (23, 249), (24, 249), (25, 249), (26, 249), (27, 249), (28, 249), (29, 248), (30, 248), (31, 248), (32, 247), (33, 246), (34, 245), (35, 244), (36, 243), (37, 242), (38, 242), (39, 243), (40, 244), (41, 245), (42, 246), (43, 247)]"
"(0, 15)","(55, 34)",0.01302692327180921,261,0.016433766141631168,0.00038053257526371453,1.123273163690613e-08,"[(0, 15), (0, 14), (0, 13), (0, 12), (249, 11), (248, 10), (248, 9), (247, 8), (247, 7), (247, 6), (247, 5), (247, 4), (247, 3), (247, 2), (247, 1), (247, 0), (248, 249), (248, 248), (247, 247), (246, 246), (245, 245), (244, 244), (243, 243), (242, 242), (241, 241), (240, 240), (239, 239), (238, 238), (237, 237), (236, 236), (235, 236), (234, 236), (233, 236), (232, 236), (231, 236), (230, 236), (229, 236), (228, 236), (227, 236), (226, 236), (225, 236), (224, 236), (223, 236), (222, 236), (221, 236), (220, 236), (219, 237), (218, 238), (217, 239), (216, 240), (215, 241), (214, 242), (213, 243), (212, 244), (211, 245), (210, 246), (209, 247), (208, 248), (207, 249), (207, 0), (207, 1), (206, 2), (205, 3), (204, 4), (203, 5), (202, 6), (201, 7), (200, 8), (199, 9), (198, 10), (197, 11), (196, 12), (195, 13), (195, 14), (195, 15), (195, 16), (195, 17), (195, 18), (195, 19), (195, 20), (195, 21), (195, 22), (195, 23), (195, 24), (195, 25), (195, 26), (195, 27), (195, 28), (195, 29), (195, 30), (195, 31), (195, 32), (195, 33), (195, 34), (195, 35), (195, 36), (195, 37), (195, 38), (195, 39), (195, 40), (195, 41), (195, 42), (195, 43), (195, 44), (195, 45), (195, 46), (194, 47), (193, 48), (192, 49), (191, 50), (190, 50), (189, 50), (188, 50), (187, 50), (186, 50), (185, 49), (184, 49), (183, 49), (182, 49), (181, 49), (180, 49), (179, 49), (178, 49), (177, 49), (176, 49), (175, 49), (174, 49), (173, 49), (172, 49), (171, 49), (170, 49), (169, 49), (168, 49), (167, 49), (166, 49), (165, 49), (164, 49), (163, 49), (162, 49), (161, 49), (160, 49), (159, 49), (158, 49), (157, 49), (156, 49), (155, 49), (154, 49), (153, 49), (152, 49), (151, 49), (150, 49), (149, 49), (148, 49), (147, 48), (146, 47), (146, 46), (146, 45), (146, 44), (146, 43), (146, 42), (146, 41), (146, 40), (146, 39), (146, 38), (146, 37), (145, 36), (144, 35), (143, 34), (142, 33), (141, 32), (140, 31), (139, 30), (138, 29), (137, 28), (136, 27), (135, 27), (134, 27), (133, 27), (132, 27), (131, 27), (130, 27), (129, 27), (128, 27), (127, 27), (126, 27), (125, 27), (124, 27), (123, 27), (122, 27), (121, 27), (120, 27), (119, 27), (118, 28), (117, 29), (116, 30), (115, 31), (114, 32), (113, 33), (112, 34), (111, 35), (110, 36), (109, 37), (108, 38), (107, 38), (106, 38), (105, 38), (104, 38), (103, 38), (102, 38), (101, 38), (100, 38), (99, 38), (98, 38), (97, 38), (96, 38), (95, 38), (94, 38), (93, 38), (92, 38), (91, 38), (90, 37), (89, 37), (88, 37), (87, 37), (86, 37), (85, 37), (84, 38), (83, 39), (82, 40), (81, 41), (80, 42), (79, 43), (78, 43), (77, 43), (76, 43), (75, 43), (74, 43), (73, 43), (72, 43), (71, 42), (70, 41), (69, 40), (68, 39), (67, 38), (66, 37), (65, 36), (64, 35), (63, 34), (62, 33), (61, 32), (60, 31), (59, 30), (58, 29), (57, 28), (56, 28), (55, 29), (55, 30), (55, 31), (55, 32), (55, 33), (55, 34)]"
"(0, 15)","(79, 18)",0.010822110677963792,240,0.014226662008582025,0.00038053257526371453,1.2366842085108345e-08,"[(0, 15), (0, 14), (0, 13), (0, 12), (249, 11), (248, 10), (248, 9), (247, 8), (247, 7), (247, 6), (247, 5), (247, 4), (247, 3), (247, 2), (247, 1), (247, 0), (248, 249), (248, 248), (247, 247), (246, 246), (245, 245), (244, 244), (243, 243), (242, 242), (241, 241), (240, 240), (239, 239), (238, 238), (237, 237), (236, 236), (235, 236), (234, 236), (233, 236), (232, 236), (231, 236), (230, 236), (229, 236), (228, 236), (227, 236), (226, 236), (225, 236), (224, 236), (223, 236), (222, 236), (221, 236), (220, 236), (219, 237), (218, 238), (217, 239), (216, 240), (215, 241), (214, 242), (213, 243), (212, 244), (211, 245), (210, 246), (209, 247), (208, 248), (207, 249), (207, 0), (207, 1), (206, 2), (205, 3), (204, 4), (203, 5), (202, 6), (201, 7), (200, 8), (199, 9), (198, 10), (197, 11), (196, 12), (195, 13), (195, 14), (195, 15), (195, 16), (195, 17), (195, 18), (195, 19), (195, 20), (195, 21), (195, 22), (195, 23), (195, 24), (195, 25), (195, 26), (195, 27), (195, 28), (195, 29), (195, 30), (195, 31), (195, 32), (195, 33), (195, 34), (195, 35), (195, 36), (195, 37), (195, 38), (195, 39), (195, 40), (195, 41), (195, 42), (195, 43), (195, 44), (195, 45), (195, 46), (194, 47), (193, 48), (192, 49), (191, 50), (190, 50), (189, 50), (188, 50), (187, 50), (186, 50), (185, 49), (184, 49), (183, 49), (182, 49), (181, 49), (180, 49), (179, 49), (178, 49), (177, 49), (176, 49), (175, 49), (174, 49), (173, 49), (172, 49), (171, 49), (170, 49), (169, 49), (168, 49), (167, 49), (166, 49), (165, 49), (164, 49), (163, 49), (162, 49), (161, 49), (160, 49), (159, 49), (158, 49), (157, 49), (156, 49), (155, 49), (154, 49), (153, 49), (152, 49), (151, 49), (150, 49), (149, 49), (148, 49), (147, 48), (146, 47), (146, 46), (146, 45), (146, 44), (146, 43), (146, 42), (146, 41), (146, 40), (146, 39), (146, 38), (146, 37), (145, 36), (144, 35), (143, 34), (142, 33), (141, 32), (140, 31), (139, 30), (138, 29), (137, 28), (136, 27), (135, 27), (134, 27), (133, 27), (132, 27), (131, 27), (130, 27), (129, 27), (128, 27), (127, 27), (126, 27), (125, 27), (124, 27), (123, 27), (122, 27), (121, 27), (120, 27), (119, 27), (118, 28), (117, 29), (116, 30), (115, 31), (114, 32), (113, 33), (112, 34), (111, 35), (110, 36), (109, 37), (108, 38), (107, 38), (106, 38), (105, 38), (104, 38), (103, 38), (102, 38), (101, 38), (100, 38), (99, 38), (98, 38), (97, 38), (96, 38), (95, 38), (94, 38), (93, 38), (92, 38), (91, 38), (90, 37), (89, 36), (88, 35), (87, 34), (86, 33), (85, 32), (84, 31), (83, 30), (82, 29), (81, 28), (80, 27), (79, 26), (78, 25), (78, 24), (78, 23), (78, 22), (78, 21), (78, 20), (78, 19), (79, 18)]"
"(0, 15)","(90, 176)",0.01236687853111107,223,0.014278147283334874,0.00036781285700726585,1.5780344831129953e-08,"[(0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (249, 20), (248, 21), (248, 22), (248, 23), (248, 24), (248, 25), (247, 26), (247, 27), (247, 28), (247, 29), (246, 30), (245, 31), (244, 32), (243, 33), (242, 34), (241, 35), (240, 36), (239, 37), (238, 38), (237, 39), (236, 40), (235, 41), (234, 42), (233, 43), (232, 44), (231, 44), (230, 44), (229, 44), (228, 44), (227, 44), (226, 44), (225, 44), (224, 44), (223, 45), (222, 46), (221, 47), (220, 48), (219, 49), (218, 50), (217, 51), (216, 52), (215, 53), (214, 54), (213, 55), (212, 56), (211, 57), (210, 58), (209, 59), (208, 60), (207, 61), (206, 62), (205, 63), (204, 64), (203, 65), (202, 66), (201, 67), (200, 68), (200, 69), (200, 70), (200, 71), (200, 72), (200, 73), (200, 74), (200, 75), (199, 76), (198, 77), (197, 78), (196, 79), (195, 80), (194, 81), (193, 82), (192, 83), (191, 84), (190, 85), (189, 86), (188, 87), (187, 87), (186, 87), (185, 87), (184, 87), (183, 87), (182, 87), (181, 87), (180, 87), (179, 87), (178, 87), (177, 87), (176, 87), (175, 87), (174, 87), (173, 87), (172, 87), (171, 87), (170, 87), (169, 87), (168, 87), (167, 87), (166, 87), (165, 87), (164, 87), (163, 87), (162, 87), (161, 87), (160, 87), (159, 87), (158, 87), (157, 87), (156, 87), (155, 87), (154, 87), (153, 87), (152, 87), (151, 87), (150, 87), (149, 87), (148, 87), (147, 87), (146, 87), (145, 87), (144, 87), (143, 87), (142, 87), (141, 87), (140, 87), (139, 87), (138, 87), (137, 88), (136, 89), (135, 90), (134, 91), (133, 92), (132, 93), (131, 94), (130, 95), (129, 96), (128, 97), (127, 98), (126, 99), (125, 100), (124, 101), (123, 102), (122, 103), (121, 104), (120, 105), (119, 106), (118, 107), (117, 108), (116, 109), (115, 110), (114, 111), (113, 112), (112, 113), (112, 114), (112, 115), (113, 116), (113, 117), (113, 118), (113, 119), (113, 120), (113, 121), (113, 122), (112, 123), (112, 124), (112, 125), (112, 126), (112, 127), (112, 128), (111, 129), (111, 130), (111, 131), (111, 132), (111, 133), (111, 134), (111, 135), (111, 136), (111, 137), (111, 138), (110, 139), (109, 140), (108, 141), (107, 142), (106, 143), (106, 144), (105, 145), (105, 146), (104, 147), (104, 148), (104, 149), (103, 150), (102, 151), (101, 152), (100, 153), (99, 154), (98, 155), (97, 156), (96, 156), (95, 156), (94, 156), (93, 157), (92, 158), (91, 159), (90, 160), (89, 161), (88, 162), (87, 163), (86, 164), (85, 165), (84, 166), (83, 167), (82, 168), (83, 169), (84, 170), (85, 171), (86, 172), (87, 173), (88, 174), (89, 175), (90, 176)]"
"(0, 15)","(90, 249)",0.016235382337299598,238,0.017536287187112976,0.0003932205522687582,1.4101999485903164e-08,"[(0, 15), (0, 14), (0, 13), (0, 12), (249, 11), (248, 10), (248, 9), (247, 8), (247, 7), (247, 6), (247, 5), (247, 4), (247, 3), (247, 2), (247, 1), (247, 0), (248, 249), (248, 248), (247, 247), (246, 246), (245, 245), (244, 244), (243, 243), (242, 242), (241, 241), (240, 240), (239, 239), (238, 238), (237, 237), (236, 236), (235, 236), (234, 236), (233, 236), (232, 236), (231, 236), (230, 236), (229, 236), (228, 236), (227, 236), (226, 236), (225, 236), (224, 236), (223, 236), (222, 236), (221, 236), (220, 236), (219, 237), (218, 238), (217, 239), (216, 240), (215, 241), (214, 242), (213, 243), (212, 244), (211, 245), (210, 246), (209, 247), (208, 248), (207, 249), (207, 0), (207, 1), (206, 2), (205, 3), (204, 4), (203, 5), (202, 6), (201, 7), (200, 8), (199, 9), (198, 10), (197, 11), (196, 12), (195, 13), (194, 14), (194, 15), (194, 16), (194, 17), (194, 18), (194, 19), (194, 20), (194, 21), (194, 22), (194, 23), (194, 24), (194, 25), (194, 26), (194, 27), (194, 28), (194, 29), (194, 30), (194, 31), (194, 32), (194, 33), (194, 34), (194, 35), (194, 36), (194, 37), (194, 38), (194, 39), (194, 40), (194, 41), (193, 42), (192, 43), (191, 44), (190, 45), (189, 46), (188, 46), (187, 46), (186, 46), (185, 46), (184, 45), (183, 45), (182, 45), (181, 45), (180, 45), (179, 45), (178, 45), (177, 45), (176, 45), (175, 45), (174, 45), (173, 45), (172, 45), (171, 45), (170, 45), (169, 45), (168, 45), (167, 45), (166, 45), (165, 45), (164, 45), (163, 45), (162, 45), (161, 45), (160, 45), (159, 45), (158, 45), (157, 45), (156, 44), (155, 43), (154, 42), (153, 41), (153, 40), (153, 39), (153, 38), (153, 37), (153, 36), (153, 35), (153, 34), (153, 33), (153, 32), (153, 31), (153, 30), (153, 29), (153, 28), (153, 27), (153, 26), (152, 25), (151, 24), (150, 23), (149, 22), (148, 21), (147, 20), (146, 19), (145, 18), (144, 17), (143, 16), (142, 15), (141, 14), (140, 13), (139, 12), (138, 12), (137, 12), (136, 11), (135, 11), (134, 11), (133, 11), (132, 11), (131, 11), (130, 11), (129, 11), (128, 11), (127, 11), (126, 11), (125, 11), (124, 11), (123, 11), (122, 11), (121, 11), (120, 11), (119, 11), (118, 11), (117, 11), (116, 11), (115, 11), (114, 11), (113, 11), (112, 11), (111, 11), (110, 11), (109, 12), (108, 13), (107, 14), (106, 15), (105, 16), (104, 17), (103, 18), (102, 19), (101, 19), (100, 19), (99, 19), (98, 20), (97, 19), (97, 18), (97, 17), (97, 16), (97, 15), (97, 14), (96, 13), (95, 12), (94, 11), (93, 10), (92, 9), (91, 8), (90, 7), (89, 6), (88, 5), (87, 4), (86, 3), (85, 2), (84, 1), (84, 0), (85, 249), (86, 249), (87, 249), (88, 249), (89, 248), (90, 249)]"
"(0, 15)","(109, 68)",0.009366999047642821,200,0.010570992953830682,0.0003133623716848888,1.2935106311487256e-08,"[(0, 15), (0, 14), (0, 13), (0, 12), (249, 11), (248, 10), (248, 9), (247, 8), (247, 7), (247, 6), (247, 5), (247, 4), (247, 3), (247, 2), (247, 1), (247, 0), (248, 249), (248, 248), (247, 247), (246, 246), (245, 245), (244, 244), (243, 243), (242, 242), (241, 241), (240, 240), (239, 239), (238, 238), (237, 237), (236, 236), (235, 236), (234, 236), (233, 236), (232, 236), (231, 236), (230, 236), (229, 236), (228, 236), (227, 236), (226, 236), (225, 236), (224, 236), (223, 236), (222, 236), (221, 236), (220, 236), (219, 237), (218, 238), (217, 239), (216, 240), (215, 241), (214, 242), (213, 243), (212, 244), (211, 245), (210, 246), (209, 247), (208, 248), (207, 249), (207, 0), (207, 1), (206, 2), (205, 3), (204, 4), (203, 5), (202, 6), (201, 7), (200, 8), (199, 9), (198, 10), (197, 11), (196, 12), (195, 13), (195, 14), (195, 15), (195, 16), (195, 17), (195, 18), (195, 19), (195, 20), (195, 21), (195, 22), (195, 23), (195, 24), (195, 25), (195, 26), (195, 27), (195, 28), (195, 29), (195, 30), (195, 31), (195, 32), (195, 33), (195, 34), (195, 35), (195, 36), (195, 37), (195, 38), (195, 39), (195, 40), (195, 41), (195, 42), (195, 43), (195, 44), (195, 45), (195, 46), (194, 47), (193, 48), (192, 49), (191, 50), (190, 50), (189, 50), (188, 50), (187, 50), (186, 50), (185, 49), (184, 49), (183, 49), (182, 49), (181, 49), (180, 49), (179, 49), (178, 49), (177, 49), (176, 49), (175, 49), (174, 49), (173, 49), (172, 49), (171, 49), (170, 49), (169, 49), (168, 49), (167, 49), (166, 49), (165, 49), (164, 49), (163, 49), (162, 49), (161, 49), (160, 49), (159, 49), (158, 49), (157, 49), (156, 49), (155, 49), (154, 50), (153, 51), (152, 52), (151, 53), (150, 54), (149, 55), (148, 56), (147, 57), (146, 58), (145, 59), (144, 60), (143, 61), (142, 62), (141, 63), (140, 64), (139, 65), (138, 66), (137, 67), (136, 68), (135, 68), (134, 67), (133, 66), (132, 65), (131, 64), (130, 63), (129, 62), (128, 61), (127, 60), (126, 59), (125, 58), (124, 57), (123, 56), (122, 55), (121, 54), (120, 54), (119, 54), (118, 54), (117, 54), (116, 54), (115, 54), (114, 55), (113, 56), (112, 57), (111, 58), (110, 59), (109, 60), (108, 61), (107, 62), (106, 63), (106, 64), (106, 65), (107, 66), (108, 67), (109, 68)]"
"(0, 15)","(114, 171)",0.01236687853111107,215,0.013967391201276769,0.00036781285700726585,1.9714312183897388e-08,"[(0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (249, 20), (248, 21), (248, 22), (248, 23), (248, 24), (248, 25), (247, 26), (247, 27), (247, 28), (247, 29), (246, 30), (245, 31), (244, 32), (243, 33), (242, 34), (241, 35), (240, 36), (239, 37), (238, 38), (237, 39), (236, 40), (235, 41), (234, 42), (233, 43), (232, 44), (231, 44), (230, 44), (229, 44), (228, 44), (227, 44), (226, 44), (225, 44), (224, 44), (223, 45), (222, 46), (221, 47), (220, 48), (219, 49), (218, 50), (217, 51), (216, 52), (215, 53), (214, 54), (213, 55), (212, 56), (211, 57), (210, 58), (209, 59), (208, 60), (207, 61), (206, 62), (205, 63), (204, 64), (203, 65), (202, 66), (201, 67), (200, 68), (200, 69), (200, 70), (200, 71), (200, 72), (200, 73), (200, 74), (200, 75), (199, 76), (198, 77), (197, 78), (196, 79), (195, 80), (194, 81), (193, 82), (192, 83), (191, 84), (190, 85), (189, 86), (188, 87), (187, 87), (186, 87), (185, 87), (184, 87), (183, 87), (182, 87), (181, 87), (180, 87), (179, 87), (178, 87), (177, 87), (176, 87), (175, 87), (174, 87), (173, 87), (172, 87), (171, 87), (170, 87), (169, 87), (168, 87), (167, 87), (166, 87), (165, 87), (164, 87), (163, 87), (162, 87), (161, 87), (160, 87), (159, 87), (158, 87), (157, 87), (156, 87), (155, 87), (154, 87), (153, 87), (152, 87), (151, 87), (150, 87), (149, 87), (148, 87), (147, 87), (146, 87), (145, 87), (144, 87), (143, 87), (142, 87), (141, 87), (140, 87), (139, 87), (138, 87), (137, 88), (136, 89), (135, 90), (134, 91), (133, 92), (132, 93), (131, 94), (130, 95), (129, 96), (128, 97), (127, 98), (126, 99), (125, 100), (124, 101), (123, 102), (122, 103), (121, 104), (120, 105), (119, 106), (118, 107), (117, 108), (116, 109), (115, 110), (114, 111), (113, 112), (112, 113), (112, 114), (112, 115), (113, 116), (113, 117), (113, 118), (113, 119), (113, 120), (113, 121), (113, 122), (112, 123), (112, 124), (112, 125), (112, 126), (112, 127), (112, 128), (111, 129), (111, 130), (111, 131), (111, 132), (111, 133), (111, 134), (111, 135), (111, 136), (111, 137), (111, 138), (111, 139), (111, 140), (110, 141), (110, 142), (110, 143), (110, 144), (110, 145), (110, 146), (110, 147), (110, 148), (110, 149), (110, 150), (110, 151), (110, 152), (110, 153), (110, 154), (110, 155), (110, 156), (110, 157), (110, 158), (110, 159), (110, 160), (110, 161), (110, 162), (110, 163), (110, 164), (110, 165), (110, 166), (110, 167), (111, 168), (112, 169), (113, 170), (114, 171)]"
"(0, 15)","(116, 246)",0.016964099838219227,162,0.017022576354520425,0.00039054658509485307,2.209336098083325e-08,"[(0, 15), (0, 14), (0, 13), (0, 12), (249, 11), (248, 10), (248, 9), (247, 8), (247, 7), (247, 6), (247, 5), (247, 4), (247, 3), (247, 2), (247, 1), (247, 0), (248, 249), (248, 248), (248, 247), (247, 246), (246, 245), (245, 244), (244, 243), (243, 242), (242, 241), (241, 240), (240, 239), (239, 238), (238, 237), (237, 236), (236, 235), (235, 234), (234, 233), (233, 233), (232, 233), (231, 233), (230, 233), (229, 233), (228, 233), (227, 233), (226, 233), (225, 233), (224, 233), (223, 233), (222, 233), (221, 233), (220, 233), (219, 233), (218, 233), (217, 233), (216, 233), (215, 233), (214, 234), (213, 235), (212, 236), (211, 237), (210, 238), (209, 239), (208, 240), (207, 241), (206, 242), (205, 243), (204, 244), (203, 245), (202, 246), (201, 247), (200, 248), (199, 249), (198, 0), (197, 1), (196, 2), (195, 3), (194, 4), (193, 5), (192, 6), (191, 7), (190, 8), (189, 9), (188, 10), (187, 11), (186, 12), (185, 13), (184, 14), (183, 15), (182, 16), (181, 17), (180, 18), (179, 19), (178, 20), (177, 21), (176, 22), (175, 23), (174, 24), (173, 25), (172, 26), (171, 27), (170, 28), (169, 29), (168, 29), (167, 29), (166, 29), (165, 28), (164, 27), (164, 26), (164, 25), (164, 24), (164, 23), (164, 22), (164, 21), (164, 20), (164, 19), (164, 18), (163, 17), (163, 16), (162, 15), (161, 14), (160, 13), (159, 12), (158, 11), (157, 10), (156, 9), (155, 8), (154, 7), (153, 6), (152, 5), (151, 4), (150, 3), (149, 3), (148, 3), (147, 2), (146, 1), (145, 0), (144, 0), (143, 0), (142, 0), (141, 0), (140, 0), (139, 0), (138, 0), (137, 0), (136, 0), (135, 0), (134, 0), (133, 0), (132, 0), (131, 0), (130, 0), (129, 0), (128, 0), (127, 0), (126, 0), (125, 0), (124, 0), (123, 0), (122, 249), (121, 248), (120, 247), (119, 246), (118, 245), (117, 244), (116, 245), (116, 246)]"
"(0, 15)","(148, 249)",0.015991253431934638,135,0.016022518530235175,0.00039054658509485307,1.099136843434678e-08,"[(0, 15), (0, 14), (0, 13), (0, 12), (249, 11), (248, 10), (248, 9), (247, 8), (247, 7), (247, 6), (247, 5), (247, 4), (247, 3), (247, 2), (247, 1), (247, 0), (248, 249), (248, 248), (248, 247), (247, 246), (246, 245), (245, 244), (244, 243), (243, 242), (242, 241), (241, 240), (240, 239), (239, 238), (238, 237), (237, 236), (236, 235), (235, 234), (234, 233), (233, 233), (232, 233), (231, 233), (230, 233), (229, 233), (228, 233), (227, 233), (226, 233), (225, 233), (224, 233), (223, 233), (222, 233), (221, 233), (220, 233), (219, 233), (218, 233), (217, 233), (216, 233), (215, 233), (214, 234), (213, 235), (212, 236), (211, 237), (210, 238), (209, 239), (208, 240), (207, 241), (206, 242), (205, 243), (204, 244), (203, 245), (202, 246), (201, 247), (200, 248), (199, 249), (198, 0), (197, 1), (196, 2), (195, 3), (194, 4), (193, 5), (192, 6), (191, 7), (190, 8), (189, 9), (188, 10), (187, 11), (186, 12), (185, 13), (184, 14), (183, 15), (182, 16), (181, 17), (180, 18), (179, 19), (178, 20), (177, 21), (176, 22), (175, 23), (174, 24), (173, 25), (172, 26), (171, 27), (170, 28), (169, 29), (168, 29), (167, 29), (166, 29), (165, 28), (164, 27), (164, 26), (164, 25), (164, 24), (164, 23), (164, 22), (164, 21), (164, 20), (164, 19), (164, 18), (163, 17), (163, 16), (162, 15), (161, 14), (160, 13), (159, 12), (158, 11), (157, 10), (156, 9), (155, 8), (154, 7), (153, 6), (152, 5), (151, 4), (150, 3), (149, 3), (148, 3), (147, 2), (146, 1), (145, 0), (146, 249), (147, 249), (148, 249)]"
"(0, 15)","(177, 67)",0.007901701622927249,96,0.008451783587702266,0.00036781285700726585,2.697267604120207e-08,"[(0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (249, 20), (248, 21), (248, 22), (248, 23), (248, 24), (248, 25), (247, 26), (247, 27), (247, 28), (247, 29), (246, 30), (245, 31), (244, 32), (243, 33), (242, 34), (241, 35), (240, 36), (239, 37), (238, 38), (237, 39), (236, 40), (235, 41), (234, 42), (233, 43), (232, 44), (231, 44), (230, 44), (229, 44), (228, 44), (227, 44), (226, 44), (225, 44), (224, 44), (223, 45), (222, 46), (221, 47), (220, 48), (219, 49), (218, 50), (217, 51), (216, 52), (215, 53), (214, 54), (213, 55), (212, 56), (211, 57), (210, 58), (209, 59), (208, 60), (207, 61), (206, 62), (205, 63), (204, 64), (203, 65), (202, 66), (201, 67), (200, 68), (199, 67), (198, 67), (197, 66), (196, 65), (195, 64), (194, 63), (193, 62), (192, 61), (191, 60), (190, 59), (189, 58), (188, 57), (187, 57), (186, 57), (185, 57), (184, 57), (183, 57), (182, 57), (181, 57), (180, 57), (179, 57), (178, 57), (177, 57), (176, 57), (175, 58), (174, 59), (173, 60), (172, 61), (172, 62), (173, 63), (174, 64), (175, 65), (176, 66), (177, 67)]"
