start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 249)","(80, 19)",0.005106768865175582,81,0.005106768865175582,0.0001426452084842822,9.091622324583128e-09,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 20), (60, 20), (61, 20), (62, 19), (63, 19), (64, 18), (65, 17), (66, 16), (67, 15), (68, 14), (69, 13), (70, 12), (71, 12), (72, 11), (73, 12), (74, 13), (75, 14), (76, 15), (77, 16), (78, 17), (79, 18), (80, 19)]"
"(0, 249)","(85, 175)",0.010710746691756867,178,0.00674205420762064,0.0001426452084842822,1.8199852410563642e-08,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 19), (60, 18), (61, 17), (62, 16), (63, 15), (64, 14), (65, 13), (66, 12), (67, 11), (68, 10), (69, 9), (70, 8), (71, 7), (72, 6), (73, 5), (74, 4), (75, 3), (75, 2), (75, 1), (75, 0), (75, 249), (75, 248), (75, 247), (75, 246), (76, 245), (77, 244), (78, 243), (79, 242), (80, 241), (81, 240), (82, 239), (83, 238), (84, 237), (85, 236), (86, 235), (87, 234), (88, 233), (89, 232), (90, 231), (91, 230), (92, 229), (93, 228), (94, 227), (95, 226), (96, 225), (97, 224), (98, 223), (99, 222), (99, 221), (99, 220), (99, 219), (98, 218), (97, 217), (96, 216), (95, 215), (94, 214), (93, 213), (92, 212), (91, 211), (90, 210), (89, 209), (88, 208), (87, 207), (86, 206), (85, 205), (84, 204), (83, 203), (82, 202), (81, 201), (80, 200), (79, 199), (78, 198), (77, 197), (76, 196), (75, 195), (74, 194), (73, 193), (72, 192), (71, 191), (70, 190), (69, 189), (68, 188), (67, 187), (66, 186), (65, 185), (64, 184), (63, 183), (63, 182), (63, 181), (63, 180), (63, 179), (63, 178), (63, 177), (63, 176), (63, 175), (63, 174), (63, 173), (64, 172), (65, 171), (66, 170), (67, 169), (68, 168), (69, 168), (70, 168), (71, 168), (72, 168), (73, 168), (74, 168), (75, 168), (76, 168), (77, 168), (78, 168), (79, 169), (80, 170), (81, 171), (82, 172), (83, 173), (84, 174), (85, 175)]"
"(0, 249)","(96, 8)",0.005106768865175582,97,0.005106768865175582,0.0001426452084842822,8.016640590360487e-09,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 20), (60, 20), (61, 20), (62, 19), (63, 19), (64, 18), (65, 17), (66, 16), (67, 15), (68, 14), (69, 13), (70, 12), (71, 12), (72, 11), (73, 11), (74, 11), (75, 11), (76, 11), (77, 11), (78, 11), (79, 11), (80, 11), (81, 11), (82, 11), (83, 10), (84, 9), (85, 8), (86, 7), (87, 6), (88, 5), (89, 5), (90, 5), (91, 5), (92, 5), (93, 5), (94, 6), (95, 7), (96, 8)]"
"(0, 249)","(146, 36)",0.0024859564836106074,111,0.0012110234365536598,7.036368606350152e-05,3.5915785800162826e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (247, 249), (246, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 243), (239, 243), (238, 243), (237, 243), (236, 243), (235, 243), (234, 243), (233, 243), (232, 243), (231, 243), (230, 243), (229, 243), (228, 243), (227, 243), (226, 243), (225, 243), (224, 243), (223, 243), (222, 243), (221, 243), (220, 243), (219, 243), (218, 244), (217, 245), (216, 246), (215, 247), (214, 248), (213, 249), (213, 0), (212, 1), (211, 2), (210, 3), (209, 4), (208, 5), (207, 6), (206, 7), (205, 8), (204, 9), (203, 10), (202, 11), (201, 12), (200, 13), (199, 14), (198, 15), (197, 16), (196, 17), (195, 18), (194, 19), (193, 20), (192, 21), (191, 22), (190, 23), (189, 24), (188, 25), (187, 26), (186, 27), (185, 28), (184, 29), (183, 30), (182, 31), (181, 31), (180, 31), (179, 31), (178, 31), (177, 31), (176, 31), (175, 31), (174, 31), (173, 31), (172, 31), (171, 31), (170, 31), (169, 31), (168, 31), (167, 31), (166, 31), (165, 31), (164, 31), (163, 31), (162, 31), (161, 31), (160, 31), (159, 31), (158, 31), (157, 31), (156, 31), (155, 31), (154, 31), (153, 31), (152, 31), (151, 31), (150, 31), (149, 31), (148, 31), (147, 31), (146, 32), (145, 33), (144, 34), (145, 35), (146, 36)]"
"(0, 249)","(149, 169)",0.0067406226090724886,182,0.00674205420762064,0.0001426452084842822,7.00805562443313e-09,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (6, 2), (7, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 3), (22, 3), (23, 3), (24, 3), (25, 3), (26, 3), (27, 3), (28, 3), (29, 3), (30, 3), (31, 4), (32, 4), (33, 4), (34, 4), (35, 5), (36, 5), (37, 6), (38, 7), (39, 8), (40, 9), (41, 10), (42, 11), (43, 12), (44, 13), (45, 14), (46, 15), (47, 15), (48, 16), (49, 16), (50, 16), (51, 17), (52, 17), (53, 18), (54, 18), (55, 19), (56, 20), (57, 20), (58, 20), (59, 19), (60, 18), (61, 17), (62, 16), (63, 15), (64, 14), (65, 13), (66, 12), (67, 11), (68, 10), (69, 9), (70, 8), (71, 7), (72, 6), (73, 5), (74, 4), (75, 3), (75, 2), (75, 1), (75, 0), (75, 249), (75, 248), (75, 247), (75, 246), (76, 245), (77, 244), (78, 243), (79, 242), (80, 241), (81, 240), (82, 239), (83, 238), (84, 237), (85, 236), (86, 235), (87, 234), (88, 233), (89, 232), (90, 231), (91, 230), (92, 229), (93, 228), (94, 227), (95, 226), (96, 225), (97, 224), (98, 223), (99, 222), (99, 221), (99, 220), (99, 219), (98, 218), (97, 217), (96, 216), (95, 215), (94, 214), (93, 213), (92, 212), (91, 211), (90, 210), (89, 209), (88, 208), (89, 207), (90, 207), (91, 207), (92, 207), (93, 207), (94, 207), (95, 207), (96, 207), (97, 207), (98, 207), (99, 206), (100, 205), (101, 204), (102, 203), (103, 202), (104, 201), (105, 200), (106, 199), (107, 198), (108, 197), (109, 196), (110, 195), (111, 194), (112, 193), (113, 192), (114, 191), (115, 190), (116, 189), (117, 188), (118, 187), (119, 186), (120, 185), (121, 184), (122, 183), (123, 182), (124, 181), (125, 180), (126, 179), (127, 178), (128, 177), (129, 176), (130, 175), (131, 175), (132, 175), (133, 175), (134, 175), (135, 174), (136, 174), (137, 174), (138, 173), (139, 172), (140, 171), (141, 170), (142, 169), (143, 168), (144, 167), (145, 167), (146, 167), (147, 167), (148, 168), (149, 169)]"
"(0, 249)","(150, 249)",0.003223761014965021,104,0.004545283771790309,0.00018333575360429677,9.357607561971034e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (248, 249), (247, 248), (246, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 241), (238, 241), (237, 241), (236, 241), (235, 241), (234, 241), (233, 241), (232, 241), (231, 241), (230, 241), (229, 241), (228, 241), (227, 241), (226, 241), (225, 241), (224, 241), (223, 241), (222, 241), (221, 241), (220, 241), (219, 241), (218, 241), (217, 241), (216, 241), (215, 241), (214, 241), (213, 241), (212, 241), (211, 241), (210, 241), (209, 242), (208, 243), (207, 244), (206, 245), (205, 246), (204, 247), (203, 248), (202, 249), (202, 0), (201, 1), (200, 2), (199, 3), (198, 3), (197, 3), (196, 3), (195, 3), (194, 3), (193, 3), (192, 3), (191, 3), (190, 3), (189, 3), (188, 3), (187, 3), (186, 3), (185, 3), (184, 3), (183, 3), (182, 3), (181, 3), (180, 3), (179, 3), (178, 3), (177, 3), (176, 3), (175, 3), (174, 3), (173, 3), (172, 3), (171, 3), (170, 3), (169, 3), (168, 2), (167, 1), (166, 0), (165, 0), (164, 0), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(0, 249)","(169, 249)",0.0032427389518261407,84,0.004523053333969074,0.00020352184731109446,9.518494844630098e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (248, 249), (247, 248), (246, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 241), (238, 241), (237, 241), (236, 241), (235, 241), (234, 241), (233, 241), (232, 241), (231, 241), (230, 241), (229, 241), (228, 241), (227, 241), (226, 241), (225, 241), (224, 241), (223, 241), (222, 241), (221, 241), (220, 241), (219, 241), (218, 241), (217, 241), (216, 241), (215, 241), (214, 241), (213, 241), (212, 241), (211, 241), (210, 241), (209, 241), (208, 242), (207, 243), (206, 244), (205, 245), (204, 246), (203, 247), (202, 248), (201, 249), (200, 0), (199, 1), (198, 2), (197, 2), (196, 2), (195, 2), (194, 2), (193, 2), (192, 2), (191, 2), (190, 2), (189, 2), (188, 2), (187, 2), (186, 2), (185, 2), (184, 2), (183, 2), (182, 2), (181, 2), (180, 2), (179, 2), (178, 1), (177, 0), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249)]"
"(0, 249)","(176, 67)",0.00865269396945223,113,2.2737367544323206e-13,2.2737367544323206e-13,5.398760912027092e-09,"[(0, 249), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 10), (2, 11), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (2, 17), (1, 18), (0, 19), (249, 19), (248, 20), (247, 21), (246, 22), (245, 23), (244, 24), (243, 25), (242, 26), (241, 27), (240, 28), (239, 29), (238, 30), (237, 31), (236, 32), (235, 33), (234, 34), (233, 35), (232, 36), (231, 37), (230, 38), (229, 39), (228, 40), (227, 41), (226, 42), (225, 43), (224, 44), (223, 45), (222, 46), (221, 47), (220, 48), (219, 48), (218, 48), (217, 48), (216, 48), (215, 48), (214, 48), (213, 48), (212, 48), (211, 48), (210, 48), (209, 48), (208, 47), (207, 48), (206, 48), (205, 48), (204, 48), (203, 48), (202, 48), (201, 48), (200, 48), (199, 48), (198, 48), (197, 48), (196, 48), (195, 48), (194, 48), (193, 48), (192, 48), (191, 48), (190, 48), (189, 48), (188, 48), (187, 48), (186, 48), (185, 48), (184, 48), (183, 48), (182, 48), (181, 48), (180, 48), (179, 48), (178, 48), (177, 48), (176, 49), (175, 50), (174, 51), (173, 52), (172, 53), (171, 54), (170, 55), (169, 56), (168, 57), (167, 58), (168, 59), (169, 60), (170, 61), (171, 62), (172, 63), (173, 64), (174, 65), (175, 66), (176, 67)]"
"(0, 249)","(225, 16)",0.004415160542748708,42,2.2737367544323206e-13,2.2737367544323206e-13,4.523533492855751e-09,"[(0, 249), (0, 0), (249, 1), (248, 0), (247, 0), (246, 0), (245, 0), (244, 0), (243, 0), (242, 0), (241, 0), (240, 0), (239, 0), (238, 0), (237, 0), (236, 0), (235, 0), (234, 0), (233, 0), (232, 0), (231, 0), (230, 0), (229, 0), (228, 0), (227, 0), (226, 0), (225, 1), (224, 2), (223, 3), (222, 4), (221, 5), (220, 6), (219, 7), (218, 8), (218, 9), (219, 10), (220, 11), (221, 12), (222, 13), (223, 14), (224, 15), (225, 16)]"
"(0, 249)","(238, 174)",0.00880741986634348,93,0.00888331987505353,0.0003858890032688578,1.8189843630909138e-08,"[(0, 249), (1, 0), (2, 0), (3, 0), (4, 1), (5, 0), (6, 249), (7, 248), (8, 247), (9, 246), (10, 245), (11, 244), (12, 243), (13, 242), (14, 241), (15, 240), (16, 239), (17, 238), (18, 237), (19, 236), (20, 235), (21, 234), (22, 233), (23, 232), (24, 231), (25, 230), (26, 229), (27, 228), (28, 227), (29, 226), (30, 225), (31, 224), (32, 223), (33, 222), (34, 221), (35, 220), (36, 219), (37, 218), (38, 217), (39, 216), (40, 215), (39, 214), (38, 213), (37, 212), (36, 211), (35, 210), (34, 209), (33, 208), (32, 207), (31, 206), (30, 205), (29, 204), (28, 203), (27, 202), (26, 201), (25, 200), (24, 199), (23, 198), (22, 197), (21, 196), (20, 195), (19, 194), (18, 193), (17, 192), (16, 191), (15, 190), (14, 189), (13, 188), (12, 187), (11, 186), (10, 185), (9, 184), (8, 183), (7, 182), (6, 181), (5, 180), (4, 179), (3, 178), (2, 177), (1, 176), (0, 175), (249, 174), (248, 174), (247, 174), (246, 174), (245, 174), (244, 174), (243, 174), (242, 174), (241, 174), (240, 174), (239, 173), (238, 174)]"
