start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 17)","(99, 14)",0.00753292226454505,158,0.007929961505169558,0.0003786351387589093,5.023921431941922e-09,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249), (234, 248), (233, 247), (232, 247), (231, 247), (230, 247), (229, 247), (228, 247), (227, 247), (226, 247), (225, 247), (224, 247), (223, 247), (222, 247), (221, 247), (220, 247), (219, 247), (218, 247), (217, 247), (216, 247), (215, 248), (214, 249), (214, 0), (213, 1), (212, 2), (211, 3), (210, 4), (209, 5), (208, 6), (207, 7), (206, 8), (205, 9), (204, 10), (203, 11), (202, 12), (201, 13), (200, 14), (199, 15), (198, 16), (197, 17), (196, 18), (195, 19), (194, 20), (193, 21), (192, 22), (191, 23), (190, 24), (189, 25), (188, 26), (187, 27), (186, 28), (185, 29), (184, 29), (183, 29), (182, 29), (181, 29), (180, 29), (179, 29), (178, 29), (177, 29), (176, 29), (175, 29), (174, 29), (173, 29), (172, 28), (171, 27), (170, 26), (169, 25), (168, 24), (167, 23), (166, 22), (165, 21), (164, 20), (163, 19), (162, 18), (161, 17), (160, 16), (159, 15), (158, 14), (157, 13), (156, 12), (155, 11), (154, 10), (153, 9), (152, 9), (151, 9), (150, 9), (149, 9), (148, 9), (147, 9), (146, 9), (145, 9), (144, 9), (143, 9), (142, 9), (141, 9), (140, 9), (139, 9), (138, 9), (137, 9), (136, 9), (135, 9), (134, 9), (133, 9), (132, 9), (131, 9), (130, 9), (129, 10), (128, 11), (127, 11), (126, 11), (125, 12), (124, 13), (123, 14), (122, 15), (121, 16), (120, 17), (119, 18), (118, 19), (117, 20), (116, 21), (115, 22), (114, 23), (113, 23), (112, 22), (111, 21), (110, 20), (109, 19), (108, 18), (107, 17), (106, 16), (105, 15), (104, 14), (103, 13), (102, 12), (101, 11), (100, 11), (99, 12), (98, 13), (99, 14)]"
"(0, 17)","(101, 168)",0.01061036579494612,244,0.011245450410456215,0.00033086620169342496,1.2896748659332508e-08,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249), (234, 248), (233, 248), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 248), (221, 249), (221, 0), (220, 1), (219, 2), (218, 3), (217, 4), (216, 5), (215, 6), (214, 7), (213, 8), (212, 9), (211, 10), (210, 11), (209, 12), (208, 13), (207, 14), (206, 15), (205, 16), (204, 17), (204, 18), (204, 19), (204, 20), (204, 21), (204, 22), (204, 23), (204, 24), (204, 25), (204, 26), (203, 27), (202, 28), (201, 29), (201, 30), (201, 31), (201, 32), (201, 33), (201, 34), (201, 35), (200, 36), (199, 37), (198, 38), (197, 39), (196, 40), (195, 41), (194, 42), (193, 42), (192, 42), (191, 42), (190, 42), (189, 42), (188, 42), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 42), (153, 42), (152, 42), (151, 43), (150, 44), (150, 45), (149, 46), (149, 47), (148, 48), (147, 49), (146, 50), (145, 51), (144, 52), (143, 53), (142, 54), (141, 55), (140, 56), (140, 57), (140, 58), (139, 59), (139, 60), (138, 61), (137, 62), (136, 63), (135, 64), (134, 65), (133, 66), (133, 67), (133, 68), (133, 69), (133, 70), (133, 71), (133, 72), (133, 73), (133, 74), (133, 75), (133, 76), (133, 77), (133, 78), (133, 79), (133, 80), (133, 81), (133, 82), (134, 83), (135, 84), (134, 85), (133, 86), (132, 87), (131, 88), (130, 89), (129, 90), (128, 91), (127, 92), (126, 93), (125, 94), (124, 95), (123, 96), (122, 97), (121, 98), (120, 99), (119, 100), (118, 101), (117, 102), (116, 103), (115, 104), (115, 105), (115, 106), (114, 107), (113, 108), (113, 109), (112, 110), (111, 111), (110, 112), (109, 113), (109, 114), (108, 115), (108, 116), (107, 117), (107, 118), (107, 119), (106, 120), (105, 121), (104, 122), (103, 123), (102, 124), (101, 125), (100, 126), (99, 127), (98, 128), (97, 129), (96, 130), (95, 131), (94, 132), (93, 133), (92, 134), (91, 135), (90, 136), (89, 137), (88, 138), (87, 139), (86, 140), (85, 141), (84, 142), (83, 143), (82, 144), (81, 145), (80, 146), (80, 147), (81, 148), (82, 149), (83, 150), (84, 151), (85, 152), (86, 153), (87, 154), (88, 155), (89, 156), (90, 157), (91, 158), (92, 159), (93, 160), (94, 161), (95, 162), (96, 163), (97, 164), (98, 165), (99, 166), (100, 167), (101, 168)]"
"(0, 17)","(141, 34)",0.0026473094433185906,131,0.0032627537351572755,0.0001292284765668228,1.879313278933627e-09,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249), (234, 248), (233, 248), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 248), (221, 249), (221, 0), (220, 1), (219, 2), (218, 3), (217, 4), (216, 5), (215, 6), (214, 7), (213, 8), (212, 9), (211, 10), (210, 11), (209, 12), (208, 13), (207, 14), (206, 15), (205, 16), (204, 17), (204, 18), (204, 19), (204, 20), (204, 21), (204, 22), (204, 23), (204, 24), (204, 25), (204, 26), (203, 27), (202, 28), (201, 29), (201, 30), (201, 31), (201, 32), (201, 33), (201, 34), (201, 35), (200, 36), (199, 37), (198, 38), (197, 39), (196, 40), (195, 41), (194, 42), (193, 42), (192, 42), (191, 42), (190, 42), (189, 42), (188, 42), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 42), (153, 42), (152, 41), (151, 40), (150, 39), (149, 38), (148, 37), (147, 36), (146, 35), (145, 34), (144, 33), (143, 32), (142, 32), (141, 32), (140, 33), (141, 34)]"
"(0, 17)","(149, 249)",0.0072239136893585965,113,0.007339607238463941,0.0003501546206052808,1.777629228689734e-08,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249), (234, 248), (233, 247), (232, 247), (231, 247), (230, 247), (229, 247), (228, 247), (227, 247), (226, 247), (225, 247), (224, 247), (223, 247), (222, 247), (221, 247), (220, 247), (219, 247), (218, 247), (217, 247), (216, 247), (215, 248), (214, 249), (214, 0), (213, 1), (212, 2), (211, 3), (210, 4), (209, 5), (208, 6), (207, 7), (206, 8), (205, 9), (204, 10), (203, 11), (202, 12), (201, 13), (200, 14), (199, 15), (198, 16), (197, 17), (196, 18), (195, 19), (194, 20), (193, 21), (192, 22), (191, 23), (190, 24), (189, 25), (188, 26), (187, 27), (186, 28), (185, 29), (184, 29), (183, 29), (182, 29), (181, 29), (180, 29), (179, 29), (178, 29), (177, 29), (176, 29), (175, 29), (174, 29), (173, 29), (172, 28), (171, 27), (170, 26), (169, 25), (168, 24), (167, 23), (166, 22), (166, 21), (166, 20), (166, 19), (165, 18), (164, 17), (163, 16), (162, 15), (161, 14), (160, 13), (159, 12), (158, 11), (157, 10), (156, 9), (155, 8), (154, 7), (155, 6), (155, 5), (155, 4), (154, 3), (153, 2), (152, 1), (151, 0), (150, 249), (149, 249)]"
"(0, 17)","(156, 158)",0.01061036579494612,257,0.011500303729917505,0.00033086620169342496,6.126523212543289e-09,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249), (234, 248), (233, 248), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 248), (221, 249), (221, 0), (220, 1), (219, 2), (218, 3), (217, 4), (216, 5), (215, 6), (214, 7), (213, 8), (212, 9), (211, 10), (210, 11), (209, 12), (208, 13), (207, 14), (206, 15), (205, 16), (204, 17), (204, 18), (204, 19), (204, 20), (204, 21), (204, 22), (204, 23), (204, 24), (204, 25), (204, 26), (203, 27), (202, 28), (201, 29), (201, 30), (201, 31), (201, 32), (201, 33), (201, 34), (201, 35), (200, 36), (199, 37), (198, 38), (197, 39), (196, 40), (195, 41), (194, 42), (193, 42), (192, 42), (191, 42), (190, 42), (189, 42), (188, 42), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 42), (167, 42), (166, 42), (165, 42), (164, 42), (163, 42), (162, 42), (161, 42), (160, 42), (159, 42), (158, 42), (157, 42), (156, 42), (155, 42), (154, 42), (153, 42), (152, 42), (151, 43), (150, 44), (150, 45), (149, 46), (149, 47), (148, 48), (147, 49), (146, 50), (145, 51), (144, 52), (143, 53), (142, 54), (141, 55), (140, 56), (140, 57), (140, 58), (139, 59), (139, 60), (138, 61), (137, 62), (136, 63), (135, 64), (134, 65), (133, 66), (133, 67), (133, 68), (133, 69), (133, 70), (133, 71), (133, 72), (133, 73), (133, 74), (133, 75), (133, 76), (133, 77), (133, 78), (133, 79), (133, 80), (133, 81), (133, 82), (134, 83), (135, 84), (134, 85), (133, 86), (132, 87), (131, 88), (130, 89), (129, 90), (128, 91), (127, 92), (126, 93), (125, 94), (124, 95), (123, 96), (122, 97), (121, 98), (120, 99), (119, 100), (118, 101), (117, 102), (116, 103), (115, 104), (115, 105), (115, 106), (114, 107), (113, 108), (113, 109), (112, 110), (111, 111), (110, 112), (109, 113), (109, 114), (108, 115), (108, 116), (107, 117), (107, 118), (107, 119), (106, 120), (107, 121), (108, 122), (109, 123), (110, 124), (111, 125), (112, 126), (113, 127), (114, 128), (115, 129), (116, 130), (117, 131), (118, 132), (119, 133), (120, 134), (121, 135), (122, 136), (123, 137), (124, 138), (125, 139), (126, 140), (127, 141), (128, 142), (129, 143), (130, 144), (131, 145), (132, 146), (133, 147), (134, 148), (135, 149), (136, 150), (137, 151), (137, 152), (137, 153), (137, 154), (137, 155), (137, 156), (137, 157), (137, 158), (137, 159), (137, 160), (137, 161), (137, 162), (138, 163), (139, 164), (140, 164), (141, 164), (142, 164), (143, 164), (144, 164), (145, 164), (146, 164), (147, 163), (148, 163), (149, 162), (150, 161), (151, 160), (152, 159), (153, 158), (154, 157), (155, 157), (156, 158)]"
"(0, 17)","(174, 66)",0.0035085275627579904,131,0.0015742894867116775,0.00013178408812564157,3.7584628301099996e-09,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (235, 249), (234, 248), (233, 248), (232, 248), (231, 248), (230, 248), (229, 248), (228, 248), (227, 248), (226, 248), (225, 248), (224, 248), (223, 248), (222, 249), (222, 0), (221, 1), (220, 2), (219, 3), (218, 4), (217, 5), (216, 6), (215, 7), (214, 8), (213, 9), (212, 10), (211, 11), (210, 12), (209, 13), (208, 14), (207, 15), (206, 16), (206, 17), (206, 18), (206, 19), (206, 20), (206, 21), (206, 22), (206, 23), (206, 24), (206, 25), (206, 26), (206, 27), (206, 28), (205, 29), (205, 30), (205, 31), (205, 32), (205, 33), (205, 34), (205, 35), (205, 36), (205, 37), (205, 38), (205, 39), (205, 40), (205, 41), (205, 42), (205, 43), (205, 44), (205, 45), (205, 46), (205, 47), (205, 48), (205, 49), (205, 50), (205, 51), (205, 52), (205, 53), (205, 54), (205, 55), (205, 56), (205, 57), (204, 58), (203, 57), (202, 57), (201, 57), (200, 57), (199, 57), (198, 56), (197, 56), (196, 56), (195, 56), (194, 56), (193, 56), (192, 56), (191, 56), (190, 56), (189, 56), (188, 56), (187, 56), (186, 56), (185, 56), (184, 56), (183, 56), (182, 56), (181, 56), (180, 56), (179, 56), (178, 56), (177, 56), (176, 56), (175, 56), (174, 56), (173, 57), (172, 58), (171, 59), (170, 60), (169, 61), (170, 62), (171, 63), (172, 64), (173, 65), (174, 66)]"
"(0, 17)","(232, 17)",0.0019364102738563815,28,1.052285369951278e-09,1.052285369951278e-09,1.7404746420061112e-09,"[(0, 17), (249, 17), (248, 16), (247, 15), (246, 14), (245, 13), (244, 12), (243, 11), (242, 10), (241, 9), (240, 8), (239, 8), (238, 8), (237, 8), (236, 8), (235, 8), (234, 8), (233, 8), (232, 8), (231, 9), (230, 10), (229, 11), (228, 12), (228, 13), (229, 14), (230, 15), (231, 16), (232, 17)]"
"(0, 17)","(232, 249)",0.0002734134843649372,21,9.750860249368998e-05,4.640173256120761e-05,4.78731131979013e-10,"[(0, 17), (0, 16), (0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (234, 0), (233, 0), (232, 249)]"
"(0, 17)","(236, 177)",0.01454031561240754,95,0.01454031561240754,0.00037383849553407345,2.1235025518233024e-08,"[(0, 17), (0, 16), (0, 15), (0, 14), (249, 13), (248, 12), (248, 11), (247, 10), (246, 9), (245, 8), (245, 7), (245, 6), (245, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (245, 246), (244, 245), (243, 244), (242, 243), (241, 242), (240, 241), (239, 240), (238, 239), (237, 238), (236, 237), (235, 236), (234, 235), (233, 234), (233, 233), (233, 232), (233, 231), (233, 230), (233, 229), (233, 228), (234, 227), (234, 226), (234, 225), (234, 224), (234, 223), (234, 222), (234, 221), (234, 220), (235, 219), (235, 218), (235, 217), (235, 216), (235, 215), (235, 214), (235, 213), (235, 212), (235, 211), (235, 210), (235, 209), (235, 208), (235, 207), (234, 206), (234, 205), (234, 204), (233, 203), (233, 202), (233, 201), (232, 200), (232, 199), (232, 198), (231, 197), (231, 196), (231, 195), (231, 194), (231, 193), (230, 192), (229, 191), (229, 190), (229, 189), (229, 188), (229, 187), (229, 186), (229, 185), (229, 184), (229, 183), (229, 182), (229, 181), (229, 180), (230, 179), (231, 178), (232, 177), (233, 176), (234, 175), (235, 176), (236, 177)]"
"(99, 14)","(0, 17)",0.00753292226454505,156,0.0007347980165377521,5.100566079363489e-05,4.131750849676609e-09,"[(99, 14), (100, 13), (101, 13), (102, 13), (103, 14), (104, 14), (105, 15), (106, 16), (107, 17), (108, 17), (109, 17), (110, 17), (111, 17), (112, 17), (113, 17), (114, 17), (115, 17), (116, 17), (117, 17), (118, 17), (119, 17), (120, 16), (121, 16), (122, 15), (123, 14), (124, 13), (125, 12), (126, 11), (127, 11), (128, 11), (129, 10), (130, 9), (131, 9), (132, 9), (133, 9), (134, 9), (135, 9), (136, 9), (137, 9), (138, 9), (139, 9), (140, 9), (141, 9), (142, 9), (143, 9), (144, 9), (145, 9), (146, 9), (147, 9), (148, 9), (149, 9), (150, 9), (151, 9), (152, 9), (153, 9), (154, 10), (155, 11), (156, 12), (157, 13), (158, 14), (159, 15), (160, 16), (161, 17), (162, 18), (163, 19), (164, 20), (165, 21), (166, 22), (167, 23), (168, 24), (169, 25), (170, 26), (171, 27), (172, 28), (173, 29), (174, 29), (175, 29), (176, 29), (177, 29), (178, 29), (179, 29), (180, 29), (181, 29), (182, 29), (183, 29), (184, 29), (185, 29), (186, 28), (187, 27), (188, 26), (189, 25), (190, 24), (191, 23), (192, 22), (193, 21), (194, 20), (195, 19), (196, 18), (197, 17), (198, 16), (199, 15), (200, 14), (201, 13), (202, 12), (203, 11), (204, 10), (205, 9), (206, 8), (207, 7), (208, 6), (209, 5), (210, 4), (211, 3), (212, 2), (213, 1), (214, 0), (214, 249), (215, 248), (216, 247), (217, 247), (218, 247), (219, 247), (220, 247), (221, 247), (222, 247), (223, 247), (224, 247), (225, 247), (226, 247), (227, 247), (228, 247), (229, 247), (230, 247), (231, 247), (232, 247), (233, 247), (234, 248), (235, 249), (235, 0), (236, 1), (237, 2), (238, 3), (239, 4), (240, 5), (241, 6), (242, 7), (243, 8), (244, 9), (245, 10), (246, 11), (247, 12), (248, 13), (249, 14), (0, 15), (0, 16), (0, 17)]"
