start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(85, 176)",0.012128789833923292,90,124.20815562534638,0.000349001666620552,8.95617140150036e-08,"[(0, 15), (1, 14), (2, 13), (3, 12), (4, 11), (5, 10), (6, 9), (7, 8), (8, 7), (9, 6), (10, 5), (11, 4), (12, 3), (13, 2), (14, 1), (15, 0), (16, 249), (17, 248), (18, 247), (19, 246), (20, 245), (21, 244), (22, 243), (22, 242), (22, 241), (22, 240), (22, 239), (23, 238), (24, 237), (25, 236), (26, 235), (27, 234), (28, 233), (29, 232), (30, 231), (31, 230), (32, 229), (33, 228), (34, 227), (35, 226), (36, 225), (37, 224), (38, 223), (39, 222), (40, 221), (41, 220), (42, 219), (43, 218), (44, 217), (45, 216), (46, 215), (47, 214), (48, 213), (49, 212), (50, 211), (51, 210), (52, 209), (53, 208), (54, 207), (55, 206), (56, 205), (57, 204), (58, 203), (59, 202), (60, 201), (61, 200), (62, 199), (63, 198), (64, 197), (65, 196), (66, 195), (67, 194), (68, 193), (69, 192), (70, 191), (71, 190), (72, 189), (73, 188), (74, 187), (75, 186), (76, 185), (77, 184), (78, 183), (79, 182), (80, 181), (81, 180), (82, 179), (83, 178), (84, 177), (85, 176)]"
"(0, 15)","(100, 1)",0.009984207013872037,101,105.79899079371131,0.00022084573646452554,1.2080280541750896e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 15), (47, 15), (48, 15), (49, 15), (50, 15), (51, 15), (52, 15), (53, 15), (54, 15), (55, 15), (56, 15), (57, 15), (58, 15), (59, 15), (60, 15), (61, 15), (62, 15), (63, 15), (64, 15), (65, 15), (66, 15), (67, 15), (68, 15), (69, 15), (70, 15), (71, 15), (72, 15), (73, 15), (74, 15), (75, 15), (76, 15), (77, 15), (78, 15), (79, 15), (80, 15), (81, 15), (82, 15), (83, 15), (84, 15), (85, 14), (86, 13), (87, 12), (88, 11), (89, 10), (90, 10), (91, 10), (92, 9), (93, 8), (94, 7), (95, 6), (96, 5), (97, 4), (98, 3), (99, 2), (100, 1)]"
"(0, 15)","(140, 36)",0.0032276882728297096,111,118.69848490683385,7.037064750647914e-05,1.4189265133220613e-09,"[(0, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 34), (229, 34), (228, 34), (227, 34), (226, 34), (225, 34), (224, 34), (223, 34), (222, 34), (221, 34), (220, 34), (219, 35), (218, 35), (217, 35), (216, 35), (215, 36), (214, 36), (213, 36), (212, 36), (211, 36), (210, 36), (209, 36), (208, 36), (207, 36), (206, 36), (205, 36), (204, 36), (203, 36), (202, 36), (201, 36), (200, 36), (199, 36), (198, 36), (197, 36), (196, 36), (195, 36), (194, 36), (193, 36), (192, 36), (191, 36), (190, 36), (189, 36), (188, 36), (187, 36), (186, 36), (185, 36), (184, 36), (183, 36), (182, 36), (181, 36), (180, 36), (179, 36), (178, 36), (177, 36), (176, 36), (175, 36), (174, 36), (173, 36), (172, 36), (171, 36), (170, 36), (169, 36), (168, 36), (167, 36), (166, 36), (165, 36), (164, 36), (163, 36), (162, 36), (161, 36), (160, 36), (159, 36), (158, 36), (157, 36), (156, 36), (155, 36), (154, 36), (153, 36), (152, 36), (151, 36), (150, 36), (149, 36), (148, 36), (147, 36), (146, 36), (145, 36), (144, 36), (143, 36), (142, 36), (141, 36), (140, 36)]"
"(0, 15)","(146, 170)",0.016597166112603645,105,143.3502923299527,0.000577501679345005,1.0063981183042242e-07,"[(0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (234, 249), (233, 248), (232, 247), (231, 246), (230, 245), (229, 244), (228, 243), (227, 242), (226, 241), (225, 240), (224, 239), (223, 238), (222, 237), (221, 236), (220, 235), (219, 234), (218, 233), (217, 232), (216, 231), (215, 230), (214, 229), (213, 228), (212, 227), (211, 226), (210, 225), (209, 224), (208, 223), (207, 222), (206, 221), (205, 220), (204, 219), (203, 218), (202, 217), (201, 216), (200, 215), (199, 214), (198, 213), (197, 212), (196, 211), (195, 210), (194, 209), (193, 208), (192, 207), (191, 206), (190, 205), (189, 204), (188, 203), (187, 202), (186, 201), (185, 200), (184, 199), (183, 198), (182, 197), (181, 196), (180, 195), (179, 194), (178, 193), (177, 192), (176, 191), (175, 190), (174, 189), (173, 188), (172, 187), (171, 186), (170, 185), (169, 184), (168, 183), (167, 183), (166, 183), (165, 183), (164, 183), (163, 183), (162, 183), (161, 183), (160, 183), (159, 183), (158, 182), (157, 181), (156, 180), (155, 179), (154, 178), (153, 177), (152, 176), (151, 175), (150, 174), (149, 173), (148, 172), (147, 171), (146, 170)]"
"(0, 15)","(149, 249)",0.007239683498596605,102,107.62741747809935,0.00017122483194498272,7.2556974430417725e-09,"[(0, 15), (249, 15), (248, 15), (247, 15), (246, 15), (245, 15), (244, 15), (243, 15), (242, 15), (241, 15), (240, 15), (239, 15), (238, 15), (237, 15), (236, 15), (235, 15), (234, 15), (233, 15), (232, 15), (231, 15), (230, 15), (229, 15), (228, 15), (227, 15), (226, 15), (225, 15), (224, 15), (223, 15), (222, 15), (221, 15), (220, 15), (219, 15), (218, 15), (217, 15), (216, 15), (215, 15), (214, 15), (213, 15), (212, 15), (211, 15), (210, 15), (209, 15), (208, 15), (207, 15), (206, 15), (205, 15), (204, 15), (203, 15), (202, 15), (201, 15), (200, 15), (199, 15), (198, 15), (197, 15), (196, 15), (195, 15), (194, 15), (193, 15), (192, 15), (191, 15), (190, 15), (189, 15), (188, 15), (187, 15), (186, 15), (185, 15), (184, 15), (183, 15), (182, 15), (181, 15), (180, 15), (179, 15), (178, 15), (177, 15), (176, 15), (175, 15), (174, 15), (173, 15), (172, 15), (171, 15), (170, 14), (169, 13), (168, 12), (167, 11), (166, 10), (165, 9), (164, 8), (163, 7), (162, 6), (161, 5), (160, 4), (159, 3), (158, 2), (157, 1), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249), (149, 249)]"
"(0, 15)","(175, 67)",0.00413529311106231,76,96.53910553184998,7.243016744951092e-05,7.776182744441412e-09,"[(0, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 35), (229, 35), (228, 35), (227, 35), (226, 35), (225, 36), (224, 37), (223, 38), (222, 39), (221, 40), (220, 41), (219, 42), (218, 43), (217, 44), (216, 45), (215, 46), (214, 47), (213, 48), (212, 49), (211, 50), (210, 51), (209, 52), (208, 53), (207, 54), (206, 55), (205, 56), (204, 57), (203, 58), (202, 59), (201, 60), (200, 61), (199, 61), (198, 61), (197, 61), (196, 61), (195, 61), (194, 61), (193, 61), (192, 61), (191, 61), (190, 61), (189, 61), (188, 61), (187, 61), (186, 61), (185, 61), (184, 61), (183, 61), (182, 61), (181, 61), (180, 62), (179, 63), (178, 64), (177, 65), (176, 66), (175, 67)]"
"(0, 15)","(236, 249)",0.0006660833125806676,17,21.798989884960587,6.115943068607521e-05,3.6416074984108945e-10,"[(0, 15), (0, 14), (0, 13), (249, 12), (248, 11), (247, 10), (246, 9), (245, 8), (244, 7), (243, 6), (242, 5), (241, 4), (240, 3), (239, 2), (238, 1), (237, 0), (236, 249)]"
"(0, 15)","(237, 15)",0.0004347993532292094,14,13.000000009022209,1.6427748050773516e-11,2.918396378840027e-10,"[(0, 15), (249, 15), (248, 15), (247, 15), (246, 15), (245, 15), (244, 15), (243, 15), (242, 15), (241, 15), (240, 15), (239, 15), (238, 15), (237, 15)]"
"(85, 176)","(0, 15)",0.012128789833923292,90,124.2081556253463,0.0006275995128248724,8.95617140150036e-08,"[(85, 176), (84, 177), (83, 178), (82, 179), (81, 180), (80, 181), (79, 182), (78, 183), (77, 184), (76, 185), (75, 186), (74, 187), (73, 188), (72, 189), (71, 190), (70, 191), (69, 192), (68, 193), (67, 194), (66, 195), (65, 196), (64, 197), (63, 198), (62, 199), (61, 200), (60, 201), (59, 202), (58, 203), (57, 204), (56, 205), (55, 206), (54, 207), (53, 208), (52, 209), (51, 210), (50, 211), (49, 212), (48, 213), (47, 214), (46, 215), (45, 216), (44, 217), (43, 218), (42, 219), (41, 220), (40, 221), (39, 222), (38, 223), (37, 224), (36, 225), (35, 226), (34, 227), (33, 228), (32, 229), (31, 230), (30, 231), (29, 232), (28, 233), (27, 234), (26, 235), (25, 236), (24, 237), (23, 238), (22, 239), (22, 240), (22, 241), (22, 242), (22, 243), (21, 244), (20, 245), (19, 246), (18, 247), (17, 248), (16, 249), (15, 0), (14, 1), (13, 2), (12, 3), (11, 4), (10, 5), (9, 6), (8, 7), (7, 8), (6, 9), (5, 10), (4, 11), (3, 12), (2, 13), (1, 14), (0, 15)]"
"(85, 176)","(100, 1)",0.009422798876016714,76,81.21320486444797,0.000517443622754854,4.248191723281948e-08,"[(85, 176), (85, 177), (85, 178), (85, 179), (85, 180), (85, 181), (85, 182), (85, 183), (85, 184), (85, 185), (85, 186), (86, 187), (87, 188), (88, 189), (89, 190), (90, 191), (91, 192), (92, 193), (93, 194), (94, 195), (95, 196), (96, 197), (97, 198), (98, 199), (99, 200), (99, 201), (99, 202), (99, 203), (99, 204), (99, 205), (99, 206), (99, 207), (99, 208), (99, 209), (99, 210), (99, 211), (99, 212), (99, 213), (99, 214), (99, 215), (99, 216), (99, 217), (99, 218), (99, 219), (99, 220), (99, 221), (99, 222), (99, 223), (99, 224), (99, 225), (99, 226), (99, 227), (99, 228), (99, 229), (99, 230), (99, 231), (99, 232), (99, 233), (99, 234), (99, 235), (99, 236), (99, 237), (99, 238), (99, 239), (99, 240), (99, 241), (99, 242), (99, 243), (99, 244), (99, 245), (99, 246), (99, 247), (99, 248), (99, 249), (100, 0), (100, 1)]"
