start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(2, 249)","(3, 13)",0.0010007986302298377,15,14.414213605563166,7.812559488229454e-10,1.3770161038356715e-09,"[(2, 249), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13)]"
"(2, 249)","(4, 171)",0.011327228778100107,79,78.82842870902132,0.00038690030680754717,3.0995939757277106e-08,"[(2, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (3, 225), (4, 224), (4, 223), (4, 222), (4, 221), (4, 220), (4, 219), (4, 218), (4, 217), (4, 216), (4, 215), (4, 214), (4, 213), (4, 212), (4, 211), (4, 210), (4, 209), (4, 208), (4, 207), (4, 206), (4, 205), (4, 204), (4, 203), (4, 202), (4, 201), (4, 200), (4, 199), (4, 198), (4, 197), (4, 196), (4, 195), (4, 194), (4, 193), (4, 192), (4, 191), (4, 190), (4, 189), (4, 188), (4, 187), (4, 186), (4, 185), (4, 184), (4, 183), (4, 182), (4, 181), (4, 180), (4, 179), (4, 178), (4, 177), (4, 176), (4, 175), (4, 174), (4, 173), (4, 172), (4, 171)]"
"(2, 249)","(88, 175)",0.017324953734259907,87,116.65180689682167,0.0006265993700935724,9.352358082064157e-08,"[(2, 249), (3, 248), (4, 247), (5, 246), (6, 245), (7, 244), (8, 243), (9, 242), (10, 241), (11, 240), (12, 239), (13, 238), (14, 237), (15, 236), (16, 235), (17, 234), (18, 233), (19, 232), (20, 231), (21, 230), (22, 229), (23, 228), (24, 227), (25, 226), (26, 225), (27, 224), (28, 223), (29, 222), (30, 221), (31, 220), (32, 219), (33, 218), (34, 217), (35, 216), (36, 215), (37, 214), (38, 213), (39, 212), (40, 211), (41, 210), (42, 209), (43, 208), (44, 207), (45, 206), (46, 205), (47, 204), (48, 203), (49, 202), (50, 201), (51, 200), (52, 199), (53, 198), (54, 197), (55, 196), (56, 195), (57, 194), (58, 193), (59, 192), (60, 191), (61, 190), (62, 189), (63, 189), (64, 189), (65, 189), (66, 189), (67, 189), (68, 189), (69, 189), (70, 189), (71, 189), (72, 189), (73, 189), (74, 189), (75, 188), (76, 187), (77, 186), (78, 185), (79, 184), (80, 183), (81, 182), (82, 181), (83, 180), (84, 179), (85, 178), (86, 177), (87, 176), (88, 175)]"
"(2, 249)","(100, 1)",0.01801599827751943,99,98.82842963784016,0.0003709212579678933,2.5048063861190012e-08,"[(2, 249), (3, 249), (4, 249), (5, 249), (6, 249), (7, 249), (8, 249), (9, 0), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (39, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (47, 1), (48, 1), (49, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 1), (76, 1), (77, 1), (78, 1), (79, 1), (80, 1), (81, 1), (82, 1), (83, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1), (92, 1), (93, 1), (94, 1), (95, 1), (96, 1), (97, 1), (98, 1), (99, 1), (100, 1)]"
"(2, 249)","(147, 170)",0.022074453451750742,106,137.72288800413472,0.006034086359250068,4.275145016632063e-07,"[(2, 249), (1, 249), (0, 249), (249, 248), (248, 247), (247, 246), (246, 245), (245, 244), (244, 243), (243, 242), (242, 241), (241, 240), (240, 239), (239, 238), (238, 237), (237, 236), (236, 235), (235, 234), (234, 233), (233, 232), (232, 231), (231, 230), (230, 229), (229, 228), (228, 227), (227, 226), (226, 225), (225, 224), (224, 223), (223, 222), (222, 221), (221, 220), (220, 219), (219, 218), (218, 217), (217, 216), (216, 215), (215, 214), (214, 213), (213, 212), (212, 211), (211, 210), (210, 209), (209, 208), (208, 207), (207, 206), (206, 205), (205, 204), (204, 203), (203, 202), (202, 201), (201, 200), (200, 199), (199, 198), (198, 197), (197, 196), (196, 195), (195, 194), (194, 193), (193, 192), (192, 191), (191, 190), (190, 189), (189, 188), (188, 187), (187, 186), (186, 185), (185, 184), (184, 183), (183, 182), (182, 181), (181, 180), (180, 179), (179, 178), (178, 177), (177, 177), (176, 177), (175, 177), (174, 177), (173, 177), (172, 177), (171, 177), (170, 177), (169, 177), (168, 177), (167, 177), (166, 177), (165, 177), (164, 177), (163, 177), (162, 177), (161, 177), (160, 177), (159, 177), (158, 177), (157, 177), (156, 177), (155, 177), (154, 177), (153, 176), (152, 175), (151, 174), (150, 173), (149, 172), (148, 171), (147, 170)]"
"(2, 249)","(148, 32)",0.01068905303725387,105,117.66906032636805,0.005891361467092793,3.3948011956380935e-07,"[(2, 249), (1, 0), (0, 1), (249, 2), (248, 3), (247, 4), (246, 4), (245, 4), (244, 4), (243, 4), (242, 4), (241, 4), (240, 4), (239, 4), (238, 4), (237, 4), (236, 4), (235, 4), (234, 4), (233, 4), (232, 4), (231, 4), (230, 5), (229, 6), (228, 7), (227, 8), (226, 9), (225, 10), (224, 11), (223, 12), (222, 13), (221, 14), (220, 15), (219, 16), (218, 17), (217, 18), (216, 19), (215, 20), (214, 21), (213, 22), (212, 23), (211, 24), (210, 25), (209, 26), (208, 27), (207, 28), (206, 29), (205, 30), (204, 31), (203, 32), (202, 32), (201, 32), (200, 32), (199, 32), (198, 32), (197, 32), (196, 32), (195, 32), (194, 32), (193, 32), (192, 32), (191, 32), (190, 32), (189, 32), (188, 32), (187, 32), (186, 32), (185, 32), (184, 32), (183, 32), (182, 32), (181, 32), (180, 32), (179, 32), (178, 32), (177, 32), (176, 32), (175, 32), (174, 32), (173, 32), (172, 32), (171, 32), (170, 32), (169, 32), (168, 32), (167, 32), (166, 32), (165, 32), (164, 32), (163, 32), (162, 32), (161, 32), (160, 32), (159, 32), (158, 32), (157, 32), (156, 32), (155, 32), (154, 32), (153, 32), (152, 32), (151, 32), (150, 32), (149, 32), (148, 32)]"
"(2, 249)","(150, 249)",0.01374490279283691,103,102.00001879740361,0.00594800000021678,3.579004682119123e-07,"[(2, 249), (1, 249), (0, 249), (249, 249), (248, 249), (247, 249), (246, 249), (245, 249), (244, 249), (243, 249), (242, 249), (241, 249), (240, 249), (239, 249), (238, 249), (237, 249), (236, 249), (235, 249), (234, 249), (233, 249), (232, 249), (231, 249), (230, 249), (229, 249), (228, 249), (227, 249), (226, 249), (225, 249), (224, 249), (223, 249), (222, 249), (221, 249), (220, 249), (219, 249), (218, 249), (217, 249), (216, 249), (215, 249), (214, 249), (213, 249), (212, 249), (211, 249), (210, 249), (209, 249), (208, 249), (207, 249), (206, 249), (205, 249), (204, 249), (203, 249), (202, 249), (201, 249), (200, 249), (199, 249), (198, 249), (197, 249), (196, 249), (195, 249), (194, 249), (193, 249), (192, 249), (191, 249), (190, 249), (189, 249), (188, 249), (187, 249), (186, 249), (185, 249), (184, 249), (183, 249), (182, 249), (181, 249), (180, 249), (179, 249), (178, 249), (177, 249), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249), (168, 249), (167, 249), (166, 249), (165, 249), (164, 249), (163, 249), (162, 249), (161, 249), (160, 249), (159, 249), (158, 249), (157, 249), (156, 249), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(2, 249)","(172, 67)",0.009499794065277456,81,108.16653529731144,0.005891361467092793,4.6161415569352024e-07,"[(2, 249), (1, 0), (0, 1), (249, 2), (248, 3), (247, 4), (246, 5), (245, 6), (244, 7), (243, 8), (242, 9), (241, 10), (240, 11), (239, 12), (238, 13), (237, 14), (236, 15), (235, 16), (234, 17), (233, 18), (232, 19), (231, 20), (230, 21), (229, 22), (228, 23), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 51), (199, 52), (198, 53), (197, 54), (196, 55), (195, 56), (194, 57), (193, 58), (192, 59), (191, 59), (190, 59), (189, 59), (188, 59), (187, 59), (186, 59), (185, 59), (184, 59), (183, 59), (182, 59), (181, 59), (180, 59), (179, 60), (178, 61), (177, 62), (176, 63), (175, 64), (174, 65), (173, 66), (172, 67)]"
"(2, 249)","(235, 249)",0.0066495624207618675,18,17.00001791434136,0.00594800000021678,2.147282928524954e-06,"[(2, 249), (1, 249), (0, 249), (249, 249), (248, 249), (247, 249), (246, 249), (245, 249), (244, 249), (243, 249), (242, 249), (241, 249), (240, 249), (239, 249), (238, 249), (237, 249), (236, 249), (235, 249)]"
"(2, 249)","(236, 12)",0.0063794989953294134,17,21.384788770135376,0.005891361467092793,2.269111963086642e-06,"[(2, 249), (1, 0), (0, 1), (249, 2), (248, 3), (247, 4), (246, 5), (245, 6), (244, 7), (243, 8), (242, 9), (241, 10), (240, 11), (239, 12), (238, 12), (237, 12), (236, 12)]"
