start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(1, 30)","(5, 174)",0.009750572272764657,107,107.65685510768681,0.00033705953342177963,1.1141791224638476e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (1, 21), (1, 20), (1, 19), (1, 18), (1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1), (1, 0), (1, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (2, 224), (2, 223), (2, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (4, 214), (4, 213), (4, 212), (4, 211), (4, 210), (4, 209), (4, 208), (4, 207), (4, 206), (4, 205), (4, 204), (4, 203), (4, 202), (4, 201), (4, 200), (4, 199), (4, 198), (4, 197), (4, 196), (4, 195), (4, 194), (4, 193), (4, 192), (4, 191), (4, 190), (4, 189), (4, 188), (4, 187), (4, 186), (4, 185), (4, 184), (4, 183), (4, 182), (4, 181), (4, 180), (4, 179), (4, 178), (4, 177), (4, 176), (4, 175), (5, 174)]"
"(1, 30)","(21, 14)",0.00578706095382131,21,26.62741859445024,0.00032496901314971183,1.955700903335587e-07,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 29), (6, 28), (7, 27), (8, 26), (9, 26), (10, 25), (11, 24), (12, 23), (13, 22), (14, 21), (15, 20), (16, 19), (17, 18), (18, 17), (19, 16), (20, 15), (21, 14)]"
"(1, 30)","(21, 246)",0.010247400470120738,35,42.284296080623875,0.0006218628399210502,2.1158850382615973e-06,"[(1, 30), (2, 29), (3, 28), (4, 27), (5, 26), (6, 25), (7, 24), (8, 23), (9, 22), (9, 21), (10, 20), (10, 19), (10, 18), (10, 17), (10, 16), (10, 15), (10, 14), (10, 13), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7), (11, 6), (12, 5), (13, 4), (14, 3), (15, 2), (16, 1), (17, 0), (18, 249), (19, 248), (20, 247), (21, 246)]"
"(1, 30)","(33, 169)",0.009750572272764657,112,124.25483495174139,0.00033705953342177963,1.4307508594400744e-08,"[(1, 30), (1, 29), (1, 28), (1, 27), (1, 26), (1, 25), (1, 24), (1, 23), (1, 22), (1, 21), (1, 20), (1, 19), (1, 18), (1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1), (1, 0), (1, 249), (2, 248), (2, 247), (2, 246), (2, 245), (2, 244), (2, 243), (2, 242), (2, 241), (2, 240), (2, 239), (2, 238), (2, 237), (2, 236), (2, 235), (2, 234), (2, 233), (2, 232), (2, 231), (2, 230), (2, 229), (2, 228), (2, 227), (2, 226), (2, 225), (2, 224), (2, 223), (2, 222), (3, 221), (3, 220), (3, 219), (3, 218), (3, 217), (3, 216), (3, 215), (4, 214), (4, 213), (4, 212), (4, 211), (4, 210), (4, 209), (4, 208), (4, 207), (4, 206), (4, 205), (5, 204), (5, 203), (5, 202), (5, 201), (5, 200), (5, 199), (5, 198), (5, 197), (6, 196), (7, 195), (8, 194), (9, 193), (10, 192), (11, 191), (12, 190), (13, 189), (14, 188), (15, 187), (16, 186), (17, 185), (18, 184), (19, 183), (20, 182), (21, 181), (22, 180), (23, 179), (24, 178), (25, 177), (26, 176), (27, 175), (28, 174), (29, 173), (30, 172), (31, 171), (32, 170), (33, 169)]"
"(1, 30)","(87, 175)",0.014205715359480564,106,140.62237309207626,0.0012871249574573085,1.811472358810866e-07,"[(1, 30), (2, 29), (3, 28), (4, 27), (5, 26), (6, 25), (7, 24), (8, 23), (9, 22), (10, 21), (11, 20), (12, 19), (13, 18), (14, 17), (15, 16), (16, 15), (17, 14), (18, 13), (19, 12), (20, 11), (21, 10), (22, 9), (23, 8), (24, 7), (25, 6), (26, 5), (27, 4), (28, 3), (29, 2), (30, 1), (31, 0), (32, 249), (33, 248), (34, 247), (35, 246), (36, 245), (37, 244), (38, 243), (39, 242), (40, 241), (41, 240), (42, 239), (42, 238), (42, 237), (42, 236), (42, 235), (42, 234), (42, 233), (42, 232), (42, 231), (42, 230), (42, 229), (42, 228), (42, 227), (42, 226), (42, 225), (42, 224), (42, 223), (42, 222), (42, 221), (42, 220), (43, 219), (44, 218), (45, 217), (46, 216), (47, 215), (48, 214), (49, 213), (50, 212), (51, 211), (52, 210), (53, 209), (54, 208), (55, 207), (56, 206), (57, 205), (58, 204), (59, 203), (60, 202), (61, 201), (62, 200), (63, 199), (64, 198), (65, 197), (66, 196), (67, 195), (68, 194), (69, 193), (70, 192), (71, 191), (72, 190), (73, 189), (74, 188), (75, 187), (76, 186), (77, 185), (78, 184), (79, 183), (80, 182), (81, 181), (82, 180), (83, 179), (84, 178), (85, 177), (86, 176), (87, 175)]"
"(1, 30)","(95, 12)",0.009906737661026455,95,101.45584554496831,0.0003475236985650554,2.7275711440860263e-08,"[(1, 30), (2, 30), (3, 30), (4, 30), (5, 30), (6, 30), (7, 30), (8, 30), (9, 30), (10, 30), (11, 30), (12, 30), (13, 30), (14, 30), (15, 30), (16, 30), (17, 30), (18, 30), (19, 30), (20, 30), (21, 30), (22, 30), (23, 30), (24, 29), (25, 28), (26, 27), (27, 26), (28, 25), (29, 24), (30, 23), (31, 22), (32, 21), (33, 20), (34, 20), (35, 20), (36, 20), (37, 20), (38, 20), (39, 20), (40, 20), (41, 20), (42, 20), (43, 20), (44, 20), (45, 20), (46, 20), (47, 20), (48, 20), (49, 20), (50, 20), (51, 20), (52, 20), (53, 20), (54, 20), (55, 20), (56, 20), (57, 20), (58, 20), (59, 20), (60, 20), (61, 20), (62, 20), (63, 20), (64, 20), (65, 19), (66, 18), (67, 17), (68, 16), (69, 16), (70, 16), (71, 16), (72, 16), (73, 16), (74, 16), (75, 16), (76, 16), (77, 16), (78, 16), (79, 16), (80, 15), (81, 14), (82, 13), (83, 12), (84, 12), (85, 12), (86, 12), (87, 12), (88, 12), (89, 12), (90, 12), (91, 12), (92, 12), (93, 12), (94, 12), (95, 12)]"
"(1, 30)","(144, 35)",0.005191657567706898,108,109.07107668821683,0.004911295726174103,2.3441329362361215e-07,"[(1, 30), (0, 30), (249, 31), (248, 31), (247, 31), (246, 31), (245, 31), (244, 31), (243, 31), (242, 32), (241, 33), (240, 34), (239, 35), (238, 35), (237, 35), (236, 35), (235, 35), (234, 35), (233, 35), (232, 35), (231, 35), (230, 35), (229, 35), (228, 35), (227, 35), (226, 35), (225, 35), (224, 35), (223, 35), (222, 35), (221, 35), (220, 35), (219, 35), (218, 35), (217, 35), (216, 35), (215, 35), (214, 35), (213, 35), (212, 35), (211, 35), (210, 35), (209, 35), (208, 35), (207, 35), (206, 35), (205, 35), (204, 35), (203, 35), (202, 35), (201, 35), (200, 35), (199, 35), (198, 35), (197, 35), (196, 35), (195, 35), (194, 35), (193, 35), (192, 35), (191, 35), (190, 35), (189, 35), (188, 35), (187, 35), (186, 35), (185, 35), (184, 35), (183, 35), (182, 35), (181, 35), (180, 35), (179, 35), (178, 35), (177, 35), (176, 35), (175, 35), (174, 35), (173, 35), (172, 35), (171, 35), (170, 35), (169, 35), (168, 35), (167, 35), (166, 35), (165, 35), (164, 35), (163, 35), (162, 35), (161, 35), (160, 35), (159, 35), (158, 35), (157, 35), (156, 35), (155, 35), (154, 35), (153, 35), (152, 35), (151, 35), (150, 35), (149, 35), (148, 35), (147, 35), (146, 35), (145, 35), (144, 35)]"
"(1, 30)","(149, 169)",0.017893582856004286,112,153.2497916370635,0.0033273289344606383,2.087597118124147e-07,"[(1, 30), (0, 29), (0, 28), (0, 27), (0, 26), (0, 25), (0, 24), (0, 23), (0, 22), (0, 21), (0, 20), (249, 19), (248, 18), (247, 17), (246, 16), (245, 15), (244, 14), (243, 13), (242, 12), (241, 11), (240, 10), (239, 9), (238, 8), (237, 7), (236, 6), (235, 5), (234, 4), (233, 3), (232, 2), (231, 1), (230, 0), (229, 249), (228, 248), (227, 247), (226, 246), (225, 245), (224, 244), (223, 243), (222, 242), (221, 241), (220, 240), (219, 239), (218, 238), (217, 237), (216, 236), (215, 235), (214, 234), (213, 233), (212, 232), (211, 231), (210, 230), (209, 229), (208, 228), (207, 227), (206, 226), (205, 225), (204, 224), (203, 223), (202, 222), (201, 221), (200, 220), (199, 219), (198, 218), (197, 217), (196, 216), (195, 215), (194, 214), (193, 213), (192, 212), (191, 211), (190, 210), (189, 209), (188, 208), (187, 207), (186, 206), (185, 205), (184, 204), (183, 203), (182, 202), (181, 201), (180, 200), (179, 199), (178, 198), (177, 197), (176, 196), (175, 195), (174, 194), (173, 193), (172, 192), (171, 191), (170, 190), (169, 189), (168, 188), (167, 187), (166, 186), (165, 185), (164, 184), (163, 183), (162, 182), (161, 181), (160, 180), (159, 179), (158, 178), (157, 177), (156, 176), (155, 175), (154, 174), (153, 173), (152, 172), (151, 171), (150, 170), (149, 169)]"
"(1, 30)","(150, 249)",0.006986488359075338,102,113.84062861295865,0.004621040710048874,2.2563403834050084e-07,"[(1, 30), (0, 29), (249, 28), (248, 27), (247, 26), (246, 25), (245, 24), (244, 23), (243, 22), (242, 21), (241, 20), (240, 19), (239, 18), (238, 17), (237, 16), (236, 15), (235, 14), (234, 13), (233, 12), (232, 11), (231, 10), (230, 9), (229, 8), (228, 7), (227, 6), (226, 6), (225, 6), (224, 6), (223, 6), (222, 6), (221, 6), (220, 6), (219, 6), (218, 6), (217, 6), (216, 6), (215, 6), (214, 6), (213, 6), (212, 6), (211, 6), (210, 6), (209, 6), (208, 6), (207, 6), (206, 6), (205, 6), (204, 6), (203, 6), (202, 6), (201, 6), (200, 6), (199, 6), (198, 6), (197, 6), (196, 6), (195, 6), (194, 6), (193, 6), (192, 6), (191, 6), (190, 6), (189, 6), (188, 6), (187, 6), (186, 6), (185, 6), (184, 6), (183, 6), (182, 6), (181, 6), (180, 6), (179, 6), (178, 6), (177, 6), (176, 6), (175, 6), (174, 6), (173, 6), (172, 6), (171, 6), (170, 6), (169, 6), (168, 5), (167, 4), (166, 3), (165, 2), (164, 1), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(1, 30)","(174, 67)",0.008753524461667439,78,92.32591098114787,0.004911295726174103,3.3559247337330566e-07,"[(1, 30), (0, 30), (249, 31), (248, 31), (247, 31), (246, 31), (245, 32), (244, 33), (243, 34), (242, 35), (241, 36), (240, 37), (239, 38), (238, 39), (237, 40), (236, 41), (235, 42), (234, 43), (233, 44), (232, 45), (231, 45), (230, 45), (229, 45), (228, 45), (227, 45), (226, 45), (225, 46), (224, 47), (223, 48), (222, 49), (221, 50), (220, 51), (219, 52), (218, 52), (217, 52), (216, 52), (215, 52), (214, 52), (213, 52), (212, 52), (211, 52), (210, 52), (209, 52), (208, 52), (207, 53), (206, 54), (205, 55), (204, 56), (203, 57), (202, 58), (201, 59), (200, 59), (199, 59), (198, 59), (197, 59), (196, 59), (195, 59), (194, 59), (193, 59), (192, 59), (191, 59), (190, 59), (189, 59), (188, 59), (187, 59), (186, 59), (185, 59), (184, 59), (183, 59), (182, 59), (181, 60), (180, 61), (179, 62), (178, 63), (177, 64), (176, 65), (175, 66), (174, 67)]"
