start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(12, 169)",0.013445768186898022,97,100.97056435750412,0.0003322580397480124,2.316531425068651e-08,"[(0, 15), (1, 14), (2, 13), (3, 12), (4, 11), (5, 10), (6, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (8, 2), (9, 1), (10, 0), (11, 249), (12, 248), (12, 247), (12, 246), (12, 245), (12, 244), (12, 243), (12, 242), (12, 241), (12, 240), (12, 239), (12, 238), (12, 237), (12, 236), (12, 235), (12, 234), (12, 233), (12, 232), (12, 231), (12, 230), (12, 229), (12, 228), (12, 227), (12, 226), (12, 225), (12, 224), (12, 223), (12, 222), (12, 221), (12, 220), (12, 219), (12, 218), (12, 217), (12, 216), (12, 215), (12, 214), (12, 213), (12, 212), (12, 211), (12, 210), (12, 209), (12, 208), (12, 207), (12, 206), (12, 205), (12, 204), (12, 203), (12, 202), (12, 201), (12, 200), (12, 199), (12, 198), (12, 197), (12, 196), (12, 195), (12, 194), (12, 193), (12, 192), (12, 191), (12, 190), (12, 189), (12, 188), (12, 187), (12, 186), (12, 185), (12, 184), (12, 183), (12, 182), (12, 181), (12, 180), (12, 179), (12, 178), (12, 177), (12, 176), (12, 175), (12, 174), (12, 173), (12, 172), (12, 171), (12, 170), (12, 169)]"
"(0, 15)","(78, 175)",0.016148019425372695,91,122.3086615269043,0.00041231800003060926,1.0856026228449597e-07,"[(0, 15), (1, 14), (2, 13), (3, 12), (4, 11), (5, 10), (6, 9), (7, 8), (8, 7), (9, 6), (10, 5), (11, 4), (12, 3), (13, 2), (14, 1), (15, 0), (16, 249), (17, 248), (18, 247), (19, 246), (19, 245), (19, 244), (19, 243), (19, 242), (19, 241), (19, 240), (19, 239), (19, 238), (19, 237), (19, 236), (19, 235), (19, 234), (20, 233), (21, 232), (22, 231), (23, 230), (24, 229), (25, 228), (26, 227), (27, 226), (28, 225), (29, 224), (30, 223), (31, 222), (32, 221), (33, 220), (34, 219), (35, 218), (36, 217), (37, 216), (38, 215), (39, 214), (40, 213), (41, 212), (42, 211), (43, 210), (44, 209), (45, 208), (46, 207), (47, 206), (48, 205), (49, 204), (50, 203), (51, 202), (52, 201), (53, 200), (54, 199), (55, 198), (56, 197), (57, 196), (58, 195), (59, 194), (60, 193), (61, 192), (62, 191), (63, 190), (64, 189), (65, 188), (66, 187), (67, 186), (68, 185), (69, 184), (70, 183), (71, 182), (72, 181), (73, 180), (74, 179), (75, 178), (76, 177), (77, 176), (78, 175)]"
"(0, 15)","(89, 16)",0.013507145167750423,90,89.41421527283256,0.0003082305742054814,1.9610546813585215e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 16), (36, 16), (37, 16), (38, 16), (39, 16), (40, 16), (41, 16), (42, 16), (43, 16), (44, 16), (45, 16), (46, 16), (47, 16), (48, 16), (49, 16), (50, 16), (51, 16), (52, 16), (53, 16), (54, 16), (55, 16), (56, 16), (57, 16), (58, 16), (59, 16), (60, 16), (61, 16), (62, 16), (63, 16), (64, 16), (65, 16), (66, 16), (67, 16), (68, 16), (69, 16), (70, 16), (71, 16), (72, 16), (73, 16), (74, 16), (75, 16), (76, 16), (77, 16), (78, 16), (79, 16), (80, 16), (81, 16), (82, 16), (83, 16), (84, 16), (85, 16), (86, 16), (87, 16), (88, 16), (89, 16)]"
"(0, 15)","(95, 78)",0.016277554055022847,96,121.09545652560791,0.0004171231380496465,3.909798424938603e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 16), (31, 17), (32, 18), (33, 19), (34, 20), (35, 21), (36, 22), (37, 23), (38, 24), (39, 24), (40, 25), (41, 26), (42, 27), (43, 28), (44, 29), (45, 30), (46, 31), (47, 32), (48, 33), (49, 34), (50, 35), (51, 36), (52, 37), (53, 38), (54, 39), (55, 40), (56, 41), (57, 42), (58, 43), (59, 44), (60, 45), (61, 46), (62, 47), (63, 48), (64, 49), (65, 50), (66, 51), (67, 52), (68, 53), (69, 54), (70, 55), (71, 56), (72, 57), (73, 57), (74, 57), (75, 58), (76, 59), (77, 60), (78, 61), (79, 62), (80, 63), (81, 64), (82, 65), (83, 66), (84, 67), (85, 68), (86, 69), (87, 70), (88, 71), (89, 72), (90, 73), (91, 74), (92, 75), (93, 76), (94, 77), (95, 78)]"
"(0, 15)","(116, 171)",0.01709640455567296,117,154.9360784596817,0.00048672917728254106,8.56614358453446e-08,"[(0, 15), (1, 14), (2, 13), (3, 12), (4, 11), (5, 10), (6, 9), (7, 8), (8, 7), (9, 6), (10, 5), (11, 4), (12, 3), (13, 2), (14, 1), (15, 0), (16, 249), (17, 248), (18, 247), (19, 246), (20, 245), (21, 244), (22, 243), (23, 242), (24, 241), (25, 240), (26, 239), (27, 238), (28, 237), (29, 236), (30, 235), (31, 234), (32, 233), (33, 232), (34, 231), (35, 230), (36, 229), (37, 228), (38, 227), (39, 226), (40, 225), (41, 224), (42, 223), (43, 222), (44, 221), (45, 220), (46, 219), (47, 218), (48, 217), (49, 216), (50, 215), (51, 214), (52, 213), (53, 212), (54, 211), (55, 210), (56, 209), (57, 208), (58, 207), (59, 206), (60, 205), (61, 204), (62, 203), (63, 203), (64, 203), (65, 203), (66, 203), (67, 203), (68, 203), (69, 203), (70, 203), (71, 203), (72, 203), (73, 203), (74, 203), (75, 203), (76, 203), (77, 203), (78, 203), (79, 203), (80, 203), (81, 203), (82, 202), (83, 201), (84, 200), (85, 199), (86, 198), (87, 197), (88, 196), (89, 195), (90, 194), (91, 193), (92, 192), (93, 191), (94, 190), (95, 189), (96, 188), (97, 187), (98, 186), (99, 185), (100, 184), (101, 183), (102, 182), (103, 181), (104, 180), (105, 179), (106, 178), (107, 177), (108, 176), (109, 175), (110, 174), (111, 173), (112, 172), (113, 171), (114, 171), (115, 171), (116, 171)]"
"(0, 15)","(118, 62)",0.014893156164589527,119,137.4680408459131,0.0004171231380496465,7.279671368223531e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 16), (31, 17), (32, 18), (33, 19), (34, 20), (35, 21), (36, 22), (37, 23), (38, 24), (39, 24), (40, 24), (41, 24), (42, 25), (43, 25), (44, 25), (45, 26), (46, 26), (47, 27), (48, 28), (49, 28), (50, 28), (51, 28), (52, 28), (53, 28), (54, 28), (55, 28), (56, 28), (57, 28), (58, 28), (59, 29), (60, 30), (61, 31), (62, 32), (63, 33), (64, 34), (65, 35), (66, 36), (67, 37), (68, 38), (69, 39), (70, 40), (71, 41), (72, 41), (73, 41), (74, 41), (75, 41), (76, 41), (77, 41), (78, 41), (79, 41), (80, 41), (81, 41), (82, 41), (83, 41), (84, 41), (85, 41), (86, 41), (87, 41), (88, 42), (89, 43), (90, 44), (91, 45), (92, 46), (93, 46), (94, 46), (95, 46), (96, 46), (97, 46), (98, 46), (99, 46), (100, 46), (101, 46), (102, 46), (103, 47), (104, 48), (105, 49), (106, 50), (107, 51), (108, 52), (109, 53), (110, 54), (111, 55), (112, 56), (113, 57), (114, 58), (115, 59), (116, 60), (117, 61), (118, 62)]"
"(0, 15)","(132, 45)",0.007917389174053824,119,130.42640747022,0.00011625403317339078,1.0485019364158261e-08,"[(0, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 30), (233, 30), (232, 30), (231, 30), (230, 30), (229, 30), (228, 30), (227, 30), (226, 30), (225, 30), (224, 30), (223, 30), (222, 30), (221, 30), (220, 30), (219, 30), (218, 30), (217, 30), (216, 30), (215, 30), (214, 30), (213, 30), (212, 30), (211, 30), (210, 30), (209, 30), (208, 30), (207, 30), (206, 30), (205, 30), (204, 30), (203, 30), (202, 30), (201, 30), (200, 30), (199, 30), (198, 30), (197, 30), (196, 30), (195, 30), (194, 30), (193, 30), (192, 30), (191, 30), (190, 30), (189, 30), (188, 30), (187, 30), (186, 30), (185, 30), (184, 30), (183, 30), (182, 30), (181, 30), (180, 30), (179, 30), (178, 30), (177, 30), (176, 30), (175, 30), (174, 30), (173, 30), (172, 30), (171, 30), (170, 30), (169, 30), (168, 30), (167, 30), (166, 30), (165, 30), (164, 30), (163, 30), (162, 30), (161, 30), (160, 30), (159, 30), (158, 30), (157, 30), (156, 30), (155, 30), (154, 30), (153, 30), (152, 30), (151, 30), (150, 30), (149, 30), (148, 30), (147, 30), (146, 31), (145, 32), (144, 33), (143, 34), (142, 35), (141, 36), (140, 37), (139, 38), (138, 39), (137, 40), (136, 41), (135, 42), (134, 43), (133, 44), (132, 45)]"
"(0, 15)","(135, 75)",0.007011750088395274,116,139.85281420089237,0.00020160254143775092,8.530135641592283e-09,"[(0, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 35), (229, 35), (228, 35), (227, 35), (226, 35), (225, 35), (224, 35), (223, 35), (222, 35), (221, 35), (220, 35), (219, 35), (218, 35), (217, 35), (216, 35), (215, 35), (214, 35), (213, 35), (212, 35), (211, 36), (210, 37), (209, 38), (208, 39), (207, 40), (206, 41), (205, 42), (204, 42), (203, 42), (202, 42), (201, 42), (200, 42), (199, 42), (198, 42), (197, 42), (196, 42), (195, 42), (194, 42), (193, 42), (192, 42), (191, 42), (190, 42), (189, 42), (188, 42), (187, 42), (186, 42), (185, 42), (184, 42), (183, 42), (182, 42), (181, 42), (180, 42), (179, 42), (178, 42), (177, 42), (176, 42), (175, 42), (174, 42), (173, 42), (172, 42), (171, 42), (170, 42), (169, 42), (168, 43), (167, 44), (166, 45), (165, 46), (164, 47), (163, 48), (162, 49), (161, 50), (160, 51), (159, 52), (158, 53), (157, 54), (156, 55), (155, 56), (154, 57), (153, 58), (152, 59), (151, 60), (150, 61), (149, 62), (148, 63), (147, 64), (146, 65), (145, 66), (144, 67), (143, 68), (142, 69), (141, 70), (140, 71), (139, 72), (138, 73), (137, 74), (136, 75), (135, 75)]"
"(0, 15)","(140, 104)",0.01249863378268401,111,146.86500938285485,0.0005906809929001611,5.045109555282789e-08,"[(0, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 35), (229, 36), (228, 37), (227, 38), (226, 39), (225, 40), (224, 41), (223, 42), (222, 43), (221, 44), (220, 45), (219, 46), (218, 47), (217, 48), (216, 49), (215, 50), (214, 51), (213, 52), (212, 53), (211, 54), (210, 55), (209, 56), (208, 57), (207, 58), (206, 59), (205, 60), (204, 61), (203, 62), (202, 63), (201, 64), (200, 65), (199, 66), (198, 67), (197, 68), (196, 69), (195, 70), (194, 71), (193, 72), (192, 73), (191, 74), (190, 75), (189, 76), (188, 77), (187, 78), (186, 79), (185, 80), (184, 81), (183, 82), (182, 83), (181, 84), (180, 85), (179, 86), (178, 87), (177, 88), (176, 89), (175, 90), (174, 90), (173, 90), (172, 90), (171, 90), (170, 90), (169, 90), (168, 90), (167, 90), (166, 90), (165, 91), (164, 92), (163, 93), (162, 93), (161, 93), (160, 93), (159, 93), (158, 93), (157, 93), (156, 93), (155, 93), (154, 93), (153, 93), (152, 93), (151, 94), (150, 95), (149, 96), (148, 97), (147, 98), (146, 99), (145, 99), (144, 100), (143, 101), (142, 102), (141, 103), (140, 104)]"
"(0, 15)","(141, 175)",0.017959482570176988,110,146.27922502391974,0.0005964453423530358,1.0256157392497597e-07,"[(0, 15), (249, 14), (248, 13), (247, 12), (246, 11), (245, 10), (244, 9), (243, 8), (242, 7), (241, 6), (240, 5), (239, 4), (238, 3), (237, 2), (236, 1), (235, 0), (234, 249), (233, 248), (232, 247), (231, 246), (230, 245), (229, 244), (228, 243), (227, 242), (226, 241), (225, 240), (224, 239), (223, 238), (222, 237), (221, 236), (220, 235), (219, 234), (218, 233), (217, 232), (216, 231), (215, 230), (214, 229), (213, 228), (212, 227), (211, 226), (210, 225), (209, 224), (208, 223), (207, 222), (206, 221), (205, 220), (204, 219), (203, 218), (202, 217), (201, 216), (200, 215), (199, 214), (198, 213), (197, 212), (196, 211), (195, 210), (194, 209), (193, 208), (192, 207), (191, 206), (190, 205), (189, 204), (188, 203), (187, 202), (186, 201), (185, 200), (184, 199), (183, 198), (182, 197), (181, 196), (180, 195), (179, 194), (178, 193), (177, 192), (176, 191), (175, 190), (174, 189), (173, 188), (172, 187), (171, 186), (170, 185), (169, 184), (168, 183), (167, 182), (166, 181), (165, 180), (164, 179), (163, 178), (162, 177), (161, 176), (160, 175), (159, 175), (158, 175), (157, 175), (156, 175), (155, 175), (154, 175), (153, 175), (152, 175), (151, 175), (150, 175), (149, 175), (148, 175), (147, 175), (146, 175), (145, 175), (144, 175), (143, 175), (142, 175), (141, 175)]"
