start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 18)","(98, 14)",0.012242342302442921,99,99.65685604645118,0.0002931995029484824,3.1417704961695674e-08,"[(0, 18), (1, 18), (2, 18), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (27, 18), (28, 18), (29, 18), (30, 18), (31, 18), (32, 18), (33, 18), (34, 18), (35, 18), (36, 18), (37, 18), (38, 18), (39, 18), (40, 18), (41, 18), (42, 18), (43, 18), (44, 18), (45, 18), (46, 18), (47, 18), (48, 18), (49, 18), (50, 18), (51, 18), (52, 18), (53, 18), (54, 18), (55, 18), (56, 18), (57, 18), (58, 18), (59, 18), (60, 18), (61, 18), (62, 18), (63, 18), (64, 18), (65, 18), (66, 18), (67, 18), (68, 18), (69, 18), (70, 18), (71, 18), (72, 18), (73, 18), (74, 18), (75, 18), (76, 18), (77, 18), (78, 18), (79, 18), (80, 18), (81, 18), (82, 18), (83, 17), (84, 16), (85, 15), (86, 14), (87, 14), (88, 14), (89, 14), (90, 14), (91, 14), (92, 14), (93, 14), (94, 14), (95, 14), (96, 14), (97, 14), (98, 14)]"
"(0, 18)","(99, 167)",0.018333763786472446,102,142.00714737257505,0.0004773633730792426,1.2946396880626455e-07,"[(0, 18), (1, 17), (2, 16), (3, 15), (4, 14), (5, 13), (6, 12), (7, 11), (8, 10), (9, 9), (10, 8), (11, 7), (12, 6), (13, 5), (14, 4), (15, 3), (16, 2), (17, 1), (18, 0), (19, 249), (20, 248), (21, 247), (22, 246), (23, 245), (24, 244), (25, 243), (26, 242), (27, 241), (28, 240), (29, 239), (30, 238), (31, 237), (32, 236), (33, 235), (34, 234), (35, 233), (36, 232), (37, 231), (38, 230), (39, 229), (40, 228), (41, 227), (42, 226), (43, 225), (44, 224), (45, 223), (46, 222), (47, 221), (48, 220), (49, 219), (50, 218), (51, 217), (52, 216), (53, 215), (54, 214), (55, 213), (56, 212), (57, 211), (58, 210), (59, 209), (60, 208), (61, 207), (62, 206), (63, 205), (64, 204), (65, 203), (66, 202), (67, 201), (68, 200), (69, 199), (70, 198), (71, 197), (72, 196), (73, 195), (74, 194), (75, 193), (76, 192), (77, 191), (77, 190), (77, 189), (78, 188), (79, 187), (80, 186), (81, 185), (82, 184), (83, 183), (84, 182), (85, 181), (86, 180), (87, 179), (88, 178), (89, 177), (90, 176), (91, 175), (92, 174), (93, 173), (94, 172), (95, 171), (96, 170), (97, 169), (98, 168), (99, 167)]"
"(0, 18)","(140, 34)",0.004422028845510795,111,116.62741727790991,0.00013516791204892797,4.894113601413728e-09,"[(0, 18), (249, 19), (248, 20), (247, 21), (246, 22), (245, 23), (244, 24), (243, 25), (242, 26), (241, 27), (240, 28), (239, 29), (238, 30), (237, 31), (236, 32), (235, 33), (234, 34), (233, 34), (232, 34), (231, 34), (230, 34), (229, 34), (228, 34), (227, 34), (226, 34), (225, 34), (224, 34), (223, 34), (222, 34), (221, 34), (220, 34), (219, 34), (218, 34), (217, 34), (216, 34), (215, 34), (214, 34), (213, 34), (212, 34), (211, 34), (210, 34), (209, 34), (208, 34), (207, 34), (206, 34), (205, 34), (204, 34), (203, 34), (202, 34), (201, 34), (200, 34), (199, 34), (198, 34), (197, 34), (196, 34), (195, 34), (194, 34), (193, 34), (192, 34), (191, 34), (190, 34), (189, 34), (188, 34), (187, 34), (186, 34), (185, 34), (184, 34), (183, 34), (182, 34), (181, 34), (180, 34), (179, 34), (178, 34), (177, 34), (176, 34), (175, 34), (174, 34), (173, 34), (172, 34), (171, 34), (170, 34), (169, 34), (168, 34), (167, 34), (166, 34), (165, 34), (164, 34), (163, 34), (162, 34), (161, 34), (160, 34), (159, 34), (158, 34), (157, 34), (156, 34), (155, 34), (154, 34), (153, 34), (152, 34), (151, 34), (150, 34), (149, 34), (148, 34), (147, 34), (146, 34), (145, 34), (144, 34), (143, 34), (142, 34), (141, 34), (140, 34)]"
"(0, 18)","(149, 249)",0.009235825426571864,102,108.87005855062377,0.00022558183809451293,1.4998122640512076e-08,"[(0, 18), (249, 18), (248, 18), (247, 18), (246, 18), (245, 18), (244, 18), (243, 18), (242, 18), (241, 18), (240, 18), (239, 18), (238, 18), (237, 18), (236, 18), (235, 18), (234, 18), (233, 18), (232, 18), (231, 18), (230, 18), (229, 18), (228, 18), (227, 18), (226, 18), (225, 18), (224, 18), (223, 18), (222, 18), (221, 18), (220, 18), (219, 18), (218, 18), (217, 18), (216, 18), (215, 18), (214, 18), (213, 18), (212, 18), (211, 18), (210, 18), (209, 18), (208, 18), (207, 18), (206, 18), (205, 18), (204, 18), (203, 18), (202, 18), (201, 18), (200, 18), (199, 18), (198, 18), (197, 18), (196, 18), (195, 18), (194, 18), (193, 18), (192, 18), (191, 18), (190, 18), (189, 18), (188, 18), (187, 18), (186, 18), (185, 18), (184, 18), (183, 18), (182, 18), (181, 18), (180, 18), (179, 18), (178, 18), (177, 18), (176, 18), (175, 18), (174, 18), (173, 17), (172, 16), (171, 15), (170, 14), (169, 13), (168, 12), (167, 11), (166, 10), (165, 9), (164, 8), (163, 7), (162, 6), (161, 5), (160, 4), (159, 3), (158, 2), (157, 1), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249), (149, 249)]"
"(0, 18)","(156, 158)",0.022536903294508193,111,148.93608070357348,0.0005885904749902693,1.434764737013931e-07,"[(0, 18), (0, 17), (0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (249, 9), (248, 8), (247, 7), (246, 6), (245, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 242), (239, 241), (238, 240), (237, 239), (236, 238), (235, 237), (234, 236), (233, 235), (232, 234), (231, 233), (230, 232), (229, 231), (228, 230), (227, 229), (226, 228), (225, 227), (224, 226), (223, 225), (222, 224), (221, 223), (220, 222), (219, 221), (218, 220), (217, 219), (216, 218), (215, 217), (214, 216), (213, 215), (212, 214), (211, 213), (210, 212), (209, 211), (208, 210), (207, 209), (206, 208), (205, 207), (204, 206), (203, 205), (202, 204), (201, 203), (200, 202), (199, 201), (198, 200), (197, 199), (196, 198), (195, 197), (194, 196), (193, 195), (192, 194), (191, 193), (190, 192), (189, 191), (188, 190), (187, 189), (186, 188), (185, 187), (184, 186), (183, 185), (182, 184), (181, 183), (180, 182), (179, 181), (178, 180), (177, 179), (176, 178), (175, 177), (174, 176), (173, 175), (172, 174), (171, 173), (170, 172), (169, 171), (168, 170), (167, 169), (166, 168), (165, 167), (164, 166), (163, 165), (162, 164), (161, 163), (160, 162), (159, 161), (158, 160), (157, 159), (156, 158)]"
"(0, 18)","(174, 66)",0.0034450379597501524,77,95.88225128771381,0.0001082038894537618,8.418457665454742e-09,"[(0, 18), (249, 19), (248, 20), (247, 21), (246, 22), (245, 23), (244, 24), (243, 25), (242, 26), (241, 27), (240, 28), (239, 29), (238, 30), (237, 31), (236, 32), (235, 33), (234, 34), (233, 35), (232, 36), (231, 37), (230, 38), (229, 39), (228, 40), (227, 41), (226, 42), (225, 43), (224, 44), (223, 45), (222, 46), (221, 47), (220, 48), (219, 49), (218, 50), (217, 50), (216, 50), (215, 50), (214, 50), (213, 50), (212, 50), (211, 50), (210, 50), (209, 50), (208, 51), (207, 52), (206, 53), (205, 54), (204, 55), (203, 56), (202, 57), (201, 58), (200, 59), (199, 60), (198, 60), (197, 60), (196, 60), (195, 60), (194, 60), (193, 60), (192, 60), (191, 60), (190, 60), (189, 60), (188, 60), (187, 60), (186, 60), (185, 60), (184, 60), (183, 60), (182, 60), (181, 60), (180, 60), (179, 61), (178, 62), (177, 63), (176, 64), (175, 65), (174, 66)]"
"(0, 18)","(232, 18)",0.0017450105897296453,19,18.000000111981244,1.1368683772161603e-13,3.223081230188735e-09,"[(0, 18), (249, 18), (248, 18), (247, 18), (246, 18), (245, 18), (244, 18), (243, 18), (242, 18), (241, 18), (240, 18), (239, 18), (238, 18), (237, 18), (236, 18), (235, 18), (234, 18), (233, 18), (232, 18)]"
"(0, 18)","(232, 249)",0.00031882341818345594,20,26.455844132779198,5.675857948972407e-05,1.579076827211431e-09,"[(0, 18), (0, 17), (249, 16), (248, 15), (247, 14), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 3), (235, 2), (234, 1), (233, 0), (232, 249)]"
"(0, 18)","(237, 176)",0.014933228190898262,93,97.384778038531,0.00031772108172845037,1.6653725275327884e-08,"[(0, 18), (0, 17), (0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0), (0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (249, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (249, 228), (249, 227), (249, 226), (249, 225), (249, 224), (249, 223), (248, 222), (247, 221), (246, 220), (245, 219), (244, 218), (243, 217), (242, 216), (241, 215), (240, 214), (239, 213), (238, 212), (237, 211), (237, 210), (237, 209), (237, 208), (237, 207), (237, 206), (237, 205), (237, 204), (237, 203), (237, 202), (237, 201), (237, 200), (237, 199), (237, 198), (237, 197), (237, 196), (237, 195), (237, 194), (237, 193), (237, 192), (237, 191), (237, 190), (237, 189), (237, 188), (237, 187), (237, 186), (237, 185), (237, 184), (237, 183), (237, 182), (237, 181), (237, 180), (237, 179), (237, 178), (237, 177), (237, 176)]"
"(98, 14)","(0, 18)",0.012242342302442921,99,99.65685604645115,0.00016225336241859623,3.1417704961695674e-08,"[(98, 14), (97, 14), (96, 14), (95, 14), (94, 14), (93, 14), (92, 14), (91, 14), (90, 14), (89, 14), (88, 14), (87, 14), (86, 14), (85, 15), (84, 16), (83, 17), (82, 18), (81, 18), (80, 18), (79, 18), (78, 18), (77, 18), (76, 18), (75, 18), (74, 18), (73, 18), (72, 18), (71, 18), (70, 18), (69, 18), (68, 18), (67, 18), (66, 18), (65, 18), (64, 18), (63, 18), (62, 18), (61, 18), (60, 18), (59, 18), (58, 18), (57, 18), (56, 18), (55, 18), (54, 18), (53, 18), (52, 18), (51, 18), (50, 18), (49, 18), (48, 18), (47, 18), (46, 18), (45, 18), (44, 18), (43, 18), (42, 18), (41, 18), (40, 18), (39, 18), (38, 18), (37, 18), (36, 18), (35, 18), (34, 18), (33, 18), (32, 18), (31, 18), (30, 18), (29, 18), (28, 18), (27, 18), (26, 18), (25, 18), (24, 18), (23, 18), (22, 18), (21, 18), (20, 18), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (14, 18), (13, 18), (12, 18), (11, 18), (10, 18), (9, 18), (8, 18), (7, 18), (6, 18), (5, 18), (4, 18), (3, 18), (2, 18), (1, 18), (0, 18)]"
