start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(10, 167)","(10, 229)",0.00366229327585188,63,62.000000545053666,0.00012571342369938066,1.780199090264608e-08,"[(10, 167), (10, 168), (10, 169), (10, 170), (10, 171), (10, 172), (10, 173), (10, 174), (10, 175), (10, 176), (10, 177), (10, 178), (10, 179), (10, 180), (10, 181), (10, 182), (10, 183), (10, 184), (10, 185), (10, 186), (10, 187), (10, 188), (10, 189), (10, 190), (10, 191), (10, 192), (10, 193), (10, 194), (10, 195), (10, 196), (10, 197), (10, 198), (10, 199), (10, 200), (10, 201), (10, 202), (10, 203), (10, 204), (10, 205), (10, 206), (10, 207), (10, 208), (10, 209), (10, 210), (10, 211), (10, 212), (10, 213), (10, 214), (10, 215), (10, 216), (10, 217), (10, 218), (10, 219), (10, 220), (10, 221), (10, 222), (10, 223), (10, 224), (10, 225), (10, 226), (10, 227), (10, 228), (10, 229)]"
"(10, 167)","(11, 12)",0.01071831174840554,96,95.41422034025352,0.00012733011237742176,1.8813123325017476e-07,"[(10, 167), (10, 168), (10, 169), (10, 170), (10, 171), (10, 172), (10, 173), (10, 174), (10, 175), (10, 176), (10, 177), (10, 178), (10, 179), (10, 180), (10, 181), (10, 182), (10, 183), (10, 184), (10, 185), (10, 186), (10, 187), (10, 188), (10, 189), (10, 190), (10, 191), (10, 192), (10, 193), (10, 194), (10, 195), (10, 196), (10, 197), (10, 198), (10, 199), (10, 200), (10, 201), (10, 202), (10, 203), (10, 204), (10, 205), (10, 206), (10, 207), (10, 208), (10, 209), (10, 210), (10, 211), (10, 212), (10, 213), (10, 214), (10, 215), (10, 216), (10, 217), (10, 218), (10, 219), (10, 220), (10, 221), (10, 222), (10, 223), (10, 224), (10, 225), (10, 226), (10, 227), (10, 228), (10, 229), (10, 230), (10, 231), (10, 232), (10, 233), (10, 234), (10, 235), (10, 236), (10, 237), (10, 238), (10, 239), (10, 240), (10, 241), (10, 242), (10, 243), (10, 244), (10, 245), (10, 246), (10, 247), (10, 248), (10, 249), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (11, 11), (11, 12)]"
"(10, 167)","(85, 17)",0.007167434087818947,101,131.06601827231253,0.00038031752615097503,2.9797803886832438e-08,"[(10, 167), (11, 168), (12, 169), (13, 170), (14, 171), (14, 172), (14, 173), (14, 174), (14, 175), (14, 176), (14, 177), (14, 178), (14, 179), (14, 180), (14, 181), (14, 182), (14, 183), (14, 184), (14, 185), (14, 186), (14, 187), (14, 188), (14, 189), (14, 190), (14, 191), (14, 192), (14, 193), (14, 194), (14, 195), (14, 196), (15, 197), (16, 198), (17, 199), (18, 200), (19, 201), (20, 202), (21, 203), (22, 204), (23, 205), (24, 206), (25, 207), (26, 208), (27, 209), (28, 210), (29, 211), (30, 212), (31, 213), (32, 214), (33, 215), (34, 216), (35, 217), (36, 218), (37, 219), (38, 220), (39, 221), (40, 222), (41, 223), (42, 224), (43, 225), (44, 226), (45, 227), (46, 228), (47, 229), (48, 230), (49, 231), (50, 232), (51, 233), (52, 234), (53, 235), (54, 236), (55, 237), (56, 238), (57, 239), (58, 240), (59, 241), (60, 242), (61, 243), (62, 244), (63, 245), (64, 246), (65, 247), (66, 248), (67, 249), (68, 0), (69, 1), (70, 2), (71, 3), (72, 4), (73, 5), (74, 6), (75, 7), (76, 8), (77, 9), (78, 10), (79, 11), (80, 12), (81, 13), (82, 14), (83, 15), (84, 16), (85, 17)]"
"(10, 167)","(92, 175)",0.008002177058074267,83,85.31370992237504,0.0003984051911629649,3.738560811308734e-08,"[(10, 167), (11, 167), (12, 167), (13, 167), (14, 167), (15, 168), (16, 169), (17, 170), (18, 171), (19, 172), (20, 172), (21, 172), (22, 172), (23, 172), (24, 172), (25, 172), (26, 172), (27, 172), (28, 172), (29, 172), (30, 172), (31, 172), (32, 172), (33, 172), (34, 172), (35, 172), (36, 172), (37, 172), (38, 172), (39, 172), (40, 172), (41, 172), (42, 172), (43, 172), (44, 172), (45, 172), (46, 172), (47, 172), (48, 172), (49, 172), (50, 172), (51, 172), (52, 172), (53, 172), (54, 172), (55, 172), (56, 172), (57, 172), (58, 172), (59, 173), (60, 174), (61, 175), (62, 175), (63, 175), (64, 175), (65, 175), (66, 175), (67, 175), (68, 175), (69, 175), (70, 175), (71, 175), (72, 175), (73, 175), (74, 175), (75, 175), (76, 175), (77, 175), (78, 175), (79, 175), (80, 175), (81, 175), (82, 175), (83, 175), (84, 175), (85, 175), (86, 175), (87, 175), (88, 175), (89, 175), (90, 175), (91, 175), (92, 175)]"
"(10, 167)","(99, 10)",0.008832918924781552,94,129.86500860043958,0.0004329019943725143,4.73816452481091e-08,"[(10, 167), (11, 168), (12, 169), (13, 170), (14, 171), (15, 172), (16, 173), (17, 174), (18, 175), (19, 176), (20, 177), (21, 178), (22, 179), (23, 180), (24, 181), (25, 182), (26, 183), (27, 184), (28, 185), (29, 186), (30, 187), (31, 188), (32, 189), (33, 190), (34, 191), (35, 192), (36, 193), (37, 194), (38, 195), (39, 196), (40, 197), (41, 198), (42, 199), (43, 200), (44, 201), (45, 202), (46, 203), (47, 204), (48, 205), (49, 206), (50, 207), (51, 208), (52, 209), (53, 210), (54, 211), (55, 212), (56, 213), (57, 214), (58, 215), (59, 216), (60, 217), (61, 218), (62, 219), (63, 220), (64, 221), (65, 222), (66, 223), (67, 224), (68, 225), (69, 226), (70, 227), (71, 228), (72, 229), (73, 230), (74, 231), (75, 232), (76, 233), (77, 234), (78, 235), (79, 236), (80, 237), (81, 238), (82, 239), (83, 240), (84, 241), (85, 242), (86, 243), (87, 244), (88, 245), (89, 246), (90, 247), (91, 248), (92, 249), (93, 0), (94, 1), (94, 2), (94, 3), (94, 4), (94, 5), (95, 6), (96, 7), (97, 8), (98, 9), (99, 10)]"
"(10, 167)","(104, 71)",0.014541479944796265,97,134.93607876256556,0.0006825199984632491,1.1603960921354766e-07,"[(10, 167), (11, 166), (12, 165), (13, 164), (14, 163), (15, 162), (16, 161), (17, 160), (18, 159), (19, 158), (20, 157), (21, 156), (22, 155), (23, 154), (24, 153), (25, 152), (26, 151), (27, 150), (28, 149), (29, 148), (30, 147), (31, 146), (32, 145), (33, 144), (34, 143), (35, 142), (36, 141), (37, 140), (38, 139), (39, 138), (40, 137), (41, 136), (42, 135), (43, 134), (44, 133), (45, 132), (46, 131), (47, 130), (48, 129), (49, 128), (50, 127), (51, 126), (52, 125), (53, 124), (54, 123), (55, 122), (56, 121), (57, 120), (58, 119), (59, 118), (60, 117), (61, 116), (62, 115), (63, 114), (64, 113), (65, 112), (66, 111), (67, 110), (68, 109), (69, 108), (70, 107), (71, 106), (72, 105), (73, 104), (74, 103), (75, 102), (76, 101), (77, 100), (78, 99), (79, 98), (80, 97), (81, 96), (82, 95), (83, 94), (84, 93), (85, 92), (86, 91), (87, 90), (87, 89), (87, 88), (88, 87), (89, 86), (90, 85), (91, 84), (92, 83), (93, 82), (94, 81), (95, 80), (96, 79), (97, 78), (98, 77), (99, 76), (100, 75), (101, 74), (102, 73), (103, 72), (104, 71)]"
"(10, 167)","(125, 169)",0.0076296013879755264,116,115.82842919274867,0.0003795306174652069,3.66056520800684e-08,"[(10, 167), (11, 167), (12, 167), (13, 167), (14, 167), (15, 167), (16, 167), (17, 167), (18, 167), (19, 167), (20, 167), (21, 167), (22, 167), (23, 167), (24, 167), (25, 167), (26, 167), (27, 167), (28, 167), (29, 167), (30, 167), (31, 167), (32, 167), (33, 167), (34, 167), (35, 167), (36, 167), (37, 167), (38, 167), (39, 167), (40, 167), (41, 167), (42, 167), (43, 167), (44, 167), (45, 167), (46, 167), (47, 167), (48, 167), (49, 167), (50, 167), (51, 167), (52, 167), (53, 167), (54, 167), (55, 167), (56, 167), (57, 167), (58, 167), (59, 167), (60, 167), (61, 167), (62, 167), (63, 167), (64, 167), (65, 167), (66, 167), (67, 167), (68, 167), (69, 167), (70, 167), (71, 167), (72, 167), (73, 167), (74, 167), (75, 167), (76, 167), (77, 167), (78, 167), (79, 167), (80, 167), (81, 167), (82, 167), (83, 167), (84, 167), (85, 167), (86, 167), (87, 167), (88, 167), (89, 167), (90, 167), (91, 167), (92, 167), (93, 167), (94, 167), (95, 167), (96, 167), (97, 167), (98, 167), (99, 167), (100, 167), (101, 167), (102, 167), (103, 167), (104, 167), (105, 167), (106, 167), (107, 167), (108, 168), (109, 169), (110, 169), (111, 169), (112, 169), (113, 169), (114, 169), (115, 169), (116, 169), (117, 169), (118, 169), (119, 169), (120, 169), (121, 169), (122, 169), (123, 169), (124, 169), (125, 169)]"
"(10, 167)","(129, 43)",0.019575817802092388,125,173.29141860502025,0.0006825199984632491,1.0595594078171564e-07,"[(10, 167), (11, 166), (12, 165), (13, 164), (14, 163), (15, 162), (16, 161), (17, 160), (18, 159), (19, 158), (20, 157), (21, 156), (22, 155), (23, 154), (24, 153), (25, 152), (26, 151), (27, 150), (28, 149), (29, 148), (30, 147), (31, 146), (32, 145), (33, 144), (34, 143), (35, 142), (36, 141), (37, 140), (38, 139), (39, 138), (40, 137), (41, 136), (42, 135), (43, 134), (44, 133), (45, 132), (46, 131), (47, 130), (48, 129), (49, 128), (50, 127), (51, 126), (52, 125), (53, 124), (54, 123), (55, 122), (56, 121), (57, 120), (58, 119), (59, 118), (60, 117), (61, 116), (62, 115), (63, 114), (64, 113), (65, 112), (66, 111), (67, 110), (68, 109), (69, 108), (70, 107), (71, 106), (72, 105), (73, 104), (74, 103), (75, 102), (76, 101), (77, 100), (78, 99), (79, 98), (80, 97), (81, 96), (82, 95), (83, 94), (84, 93), (85, 92), (86, 91), (86, 90), (86, 89), (86, 88), (86, 87), (86, 86), (87, 85), (88, 84), (89, 83), (90, 82), (91, 81), (92, 80), (93, 79), (94, 78), (95, 77), (96, 76), (97, 75), (98, 74), (99, 73), (100, 72), (101, 71), (102, 70), (103, 69), (104, 68), (105, 67), (106, 66), (107, 65), (108, 64), (109, 63), (110, 62), (111, 61), (112, 60), (113, 59), (114, 58), (115, 57), (116, 56), (117, 55), (118, 54), (119, 53), (120, 52), (121, 51), (122, 50), (123, 49), (124, 48), (125, 47), (126, 46), (127, 45), (128, 44), (129, 43)]"
"(10, 167)","(147, 35)",0.013945855282713637,119,164.80613508601095,0.0007087348793675119,5.953170202068262e-08,"[(10, 167), (9, 168), (8, 169), (7, 170), (6, 171), (5, 172), (4, 173), (3, 174), (2, 175), (1, 176), (0, 177), (249, 178), (248, 179), (247, 180), (246, 181), (245, 182), (244, 183), (243, 184), (242, 185), (241, 186), (240, 187), (239, 188), (238, 189), (237, 190), (236, 191), (235, 192), (234, 193), (233, 194), (232, 195), (231, 196), (230, 197), (229, 198), (228, 199), (227, 200), (226, 201), (225, 202), (225, 203), (225, 204), (225, 205), (225, 206), (224, 207), (223, 208), (222, 209), (221, 210), (220, 211), (219, 212), (218, 213), (217, 214), (216, 215), (215, 216), (214, 217), (213, 218), (212, 219), (211, 220), (210, 221), (209, 222), (208, 223), (207, 224), (206, 225), (205, 226), (204, 227), (203, 228), (202, 229), (201, 230), (200, 231), (199, 232), (198, 233), (197, 234), (196, 235), (195, 236), (194, 237), (193, 238), (192, 239), (191, 240), (190, 241), (189, 242), (188, 243), (187, 244), (186, 245), (185, 246), (184, 247), (183, 248), (182, 249), (182, 0), (181, 1), (180, 2), (179, 3), (178, 4), (177, 5), (176, 6), (175, 7), (174, 8), (173, 9), (172, 10), (171, 11), (170, 12), (169, 13), (168, 14), (167, 15), (166, 16), (165, 17), (164, 18), (163, 19), (162, 20), (161, 21), (160, 22), (159, 23), (158, 24), (157, 25), (156, 26), (155, 27), (154, 28), (153, 29), (152, 30), (151, 31), (150, 32), (149, 33), (148, 34), (147, 35)]"
"(10, 167)","(149, 169)",0.010173480062690032,112,111.82843007291326,0.0005962257109786151,5.4827292839870283e-08,"[(10, 167), (9, 167), (8, 167), (7, 167), (6, 167), (5, 167), (4, 167), (3, 167), (2, 167), (1, 167), (0, 167), (249, 167), (248, 167), (247, 167), (246, 167), (245, 167), (244, 168), (243, 169), (242, 169), (241, 169), (240, 169), (239, 169), (238, 169), (237, 169), (236, 169), (235, 169), (234, 169), (233, 169), (232, 169), (231, 169), (230, 169), (229, 169), (228, 169), (227, 169), (226, 169), (225, 169), (224, 169), (223, 169), (222, 169), (221, 169), (220, 169), (219, 169), (218, 169), (217, 169), (216, 169), (215, 169), (214, 169), (213, 169), (212, 169), (211, 169), (210, 169), (209, 169), (208, 169), (207, 169), (206, 169), (205, 169), (204, 169), (203, 169), (202, 169), (201, 169), (200, 169), (199, 169), (198, 169), (197, 169), (196, 169), (195, 169), (194, 169), (193, 169), (192, 169), (191, 169), (190, 169), (189, 169), (188, 169), (187, 169), (186, 169), (185, 169), (184, 169), (183, 169), (182, 169), (181, 169), (180, 169), (179, 169), (178, 169), (177, 169), (176, 169), (175, 169), (174, 169), (173, 169), (172, 169), (171, 169), (170, 169), (169, 169), (168, 169), (167, 169), (166, 169), (165, 169), (164, 169), (163, 169), (162, 169), (161, 169), (160, 169), (159, 169), (158, 169), (157, 169), (156, 169), (155, 169), (154, 169), (153, 169), (152, 169), (151, 169), (150, 169), (149, 169)]"
