start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 10)","(0, 172)",0.015285681281852703,89,88.0000025121235,0.00041481965456569014,3.577358054083624e-08,"[(0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0), (0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (0, 219), (0, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (0, 212), (0, 211), (0, 210), (0, 209), (0, 208), (0, 207), (0, 206), (0, 205), (0, 204), (0, 203), (0, 202), (0, 201), (0, 200), (0, 199), (0, 198), (0, 197), (0, 196), (0, 195), (0, 194), (0, 193), (0, 192), (0, 191), (0, 190), (0, 189), (0, 188), (0, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172)]"
"(0, 10)","(88, 12)",0.02803927623335767,89,88.8284374203048,0.0010943586319172027,1.899424764345627e-07,"[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (22, 10), (23, 10), (24, 10), (25, 10), (26, 10), (27, 10), (28, 10), (29, 10), (30, 10), (31, 10), (32, 10), (33, 10), (34, 10), (35, 10), (36, 10), (37, 10), (38, 10), (39, 10), (40, 10), (41, 10), (42, 10), (43, 10), (44, 10), (45, 10), (46, 10), (47, 10), (48, 10), (49, 10), (50, 10), (51, 10), (52, 10), (53, 10), (54, 10), (55, 10), (56, 10), (57, 10), (58, 10), (59, 10), (60, 10), (61, 10), (62, 10), (63, 10), (64, 10), (65, 10), (66, 11), (67, 12), (68, 12), (69, 12), (70, 12), (71, 12), (72, 12), (73, 12), (74, 12), (75, 12), (76, 12), (77, 12), (78, 12), (79, 12), (80, 12), (81, 12), (82, 12), (83, 12), (84, 12), (85, 12), (86, 12), (87, 12), (88, 12)]"
"(0, 10)","(90, 176)",0.025896345599221604,91,124.79394716405102,0.0007186270228203284,2.3056893478327628e-07,"[(0, 10), (1, 9), (2, 8), (3, 7), (4, 6), (5, 5), (6, 4), (7, 3), (8, 2), (9, 1), (10, 0), (11, 249), (12, 248), (13, 247), (14, 246), (15, 245), (16, 244), (17, 243), (18, 242), (19, 241), (20, 240), (21, 239), (22, 238), (23, 237), (24, 236), (25, 235), (26, 234), (27, 233), (28, 232), (29, 231), (30, 230), (31, 229), (32, 228), (33, 227), (34, 226), (35, 225), (36, 224), (37, 223), (38, 222), (39, 221), (40, 220), (41, 219), (42, 218), (43, 217), (44, 216), (45, 215), (46, 214), (47, 213), (48, 212), (49, 211), (50, 210), (51, 209), (52, 208), (53, 207), (54, 206), (55, 205), (56, 204), (57, 203), (58, 202), (59, 201), (60, 200), (61, 199), (62, 198), (63, 197), (64, 196), (65, 195), (66, 194), (67, 193), (68, 192), (69, 191), (70, 190), (71, 189), (72, 188), (73, 188), (74, 188), (75, 188), (76, 188), (77, 188), (78, 188), (79, 187), (80, 186), (81, 185), (82, 184), (83, 183), (84, 182), (85, 181), (86, 180), (87, 179), (88, 178), (89, 177), (90, 176)]"
"(0, 10)","(98, 3)",0.028267229227367352,99,100.89950482663981,0.0011232632192559322,1.6246740592044734e-07,"[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (22, 10), (23, 10), (24, 10), (25, 10), (26, 10), (27, 10), (28, 10), (29, 10), (30, 10), (31, 10), (32, 10), (33, 10), (34, 10), (35, 10), (36, 10), (37, 10), (38, 10), (39, 10), (40, 10), (41, 10), (42, 10), (43, 10), (44, 10), (45, 10), (46, 10), (47, 10), (48, 10), (49, 10), (50, 10), (51, 10), (52, 10), (53, 10), (54, 10), (55, 10), (56, 10), (57, 10), (58, 10), (59, 10), (60, 10), (61, 10), (62, 10), (63, 10), (64, 10), (65, 10), (66, 10), (67, 10), (68, 10), (69, 10), (70, 10), (71, 10), (72, 10), (73, 10), (74, 10), (75, 10), (76, 10), (77, 9), (78, 8), (79, 7), (80, 6), (81, 5), (82, 4), (83, 4), (84, 4), (85, 4), (86, 4), (87, 4), (88, 4), (89, 4), (90, 4), (91, 4), (92, 4), (93, 3), (94, 3), (95, 3), (96, 3), (97, 3), (98, 3)]"
"(0, 10)","(133, 47)",0.013102504908260926,118,132.32590327769444,0.0003853524220858162,2.1568184257556647e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 10), (243, 10), (242, 10), (241, 10), (240, 10), (239, 10), (238, 10), (237, 11), (236, 12), (235, 13), (234, 14), (233, 15), (232, 16), (231, 17), (230, 18), (229, 19), (228, 20), (227, 21), (226, 21), (225, 21), (224, 21), (223, 22), (222, 23), (221, 24), (220, 25), (219, 26), (218, 27), (217, 28), (216, 29), (215, 30), (214, 31), (213, 32), (212, 33), (211, 34), (210, 35), (209, 36), (208, 37), (207, 38), (206, 39), (205, 40), (204, 41), (203, 41), (202, 41), (201, 41), (200, 41), (199, 41), (198, 41), (197, 41), (196, 41), (195, 41), (194, 41), (193, 41), (192, 41), (191, 41), (190, 41), (189, 41), (188, 41), (187, 41), (186, 41), (185, 41), (184, 41), (183, 41), (182, 41), (181, 41), (180, 41), (179, 41), (178, 41), (177, 41), (176, 41), (175, 41), (174, 41), (173, 41), (172, 41), (171, 41), (170, 41), (169, 41), (168, 41), (167, 41), (166, 41), (165, 41), (164, 41), (163, 41), (162, 41), (161, 41), (160, 41), (159, 41), (158, 41), (157, 41), (156, 41), (155, 41), (154, 41), (153, 41), (152, 41), (151, 41), (150, 41), (149, 41), (148, 42), (147, 43), (146, 43), (145, 43), (144, 43), (143, 43), (142, 43), (141, 43), (140, 43), (139, 44), (138, 45), (137, 46), (136, 47), (135, 47), (134, 47), (133, 47)]"
"(0, 10)","(148, 170)",0.02357841568289132,103,139.27922613043972,0.0007086676456538044,1.3153891318108289e-07,"[(0, 10), (249, 9), (248, 8), (247, 7), (246, 6), (245, 5), (244, 4), (243, 3), (242, 2), (241, 1), (240, 0), (239, 249), (238, 248), (237, 247), (236, 246), (235, 245), (234, 244), (233, 243), (232, 242), (231, 241), (230, 240), (229, 239), (228, 238), (227, 237), (226, 236), (225, 235), (224, 234), (223, 233), (222, 232), (221, 231), (220, 230), (219, 229), (218, 228), (217, 227), (216, 226), (215, 225), (214, 224), (213, 223), (212, 222), (211, 221), (210, 220), (209, 219), (208, 218), (207, 217), (206, 216), (205, 215), (204, 214), (203, 213), (202, 212), (201, 211), (200, 210), (199, 209), (198, 208), (197, 207), (196, 206), (195, 205), (194, 204), (193, 203), (192, 202), (191, 201), (190, 200), (189, 199), (188, 198), (187, 197), (186, 196), (185, 195), (184, 194), (183, 193), (182, 192), (181, 191), (180, 190), (179, 189), (178, 188), (177, 187), (176, 186), (175, 185), (174, 184), (173, 183), (172, 183), (171, 183), (170, 183), (169, 183), (168, 183), (167, 183), (166, 183), (165, 183), (164, 183), (163, 183), (162, 183), (161, 183), (160, 182), (159, 181), (158, 180), (157, 179), (156, 178), (155, 177), (154, 176), (153, 175), (152, 174), (151, 173), (150, 172), (149, 171), (148, 170)]"
"(0, 10)","(150, 249)",0.018236755575230745,101,104.5563515100024,0.00047736498027006746,2.1649422043379574e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 10), (243, 10), (242, 10), (241, 10), (240, 10), (239, 10), (238, 10), (237, 10), (236, 10), (235, 10), (234, 9), (233, 8), (232, 7), (231, 6), (230, 5), (229, 4), (228, 4), (227, 4), (226, 4), (225, 4), (224, 4), (223, 4), (222, 4), (221, 4), (220, 4), (219, 4), (218, 4), (217, 4), (216, 4), (215, 4), (214, 4), (213, 4), (212, 4), (211, 3), (210, 2), (209, 1), (208, 0), (207, 249), (206, 249), (205, 249), (204, 249), (203, 249), (202, 249), (201, 249), (200, 249), (199, 249), (198, 249), (197, 249), (196, 249), (195, 249), (194, 249), (193, 249), (192, 249), (191, 249), (190, 249), (189, 249), (188, 249), (187, 249), (186, 249), (185, 249), (184, 249), (183, 249), (182, 249), (181, 249), (180, 249), (179, 249), (178, 249), (177, 249), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249), (168, 249), (167, 249), (166, 249), (165, 249), (164, 249), (163, 249), (162, 249), (161, 249), (160, 249), (159, 249), (158, 249), (157, 249), (156, 249), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(0, 10)","(168, 249)",0.018085909614796947,83,86.556351445362,0.00047736498027006746,1.2776279239875114e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 10), (243, 10), (242, 10), (241, 10), (240, 10), (239, 10), (238, 10), (237, 10), (236, 10), (235, 10), (234, 9), (233, 8), (232, 7), (231, 6), (230, 5), (229, 4), (228, 4), (227, 4), (226, 4), (225, 4), (224, 4), (223, 4), (222, 4), (221, 4), (220, 4), (219, 4), (218, 4), (217, 4), (216, 4), (215, 4), (214, 4), (213, 4), (212, 4), (211, 3), (210, 2), (209, 1), (208, 0), (207, 249), (206, 249), (205, 249), (204, 249), (203, 249), (202, 249), (201, 249), (200, 249), (199, 249), (198, 249), (197, 249), (196, 249), (195, 249), (194, 249), (193, 249), (192, 249), (191, 249), (190, 249), (189, 249), (188, 249), (187, 249), (186, 249), (185, 249), (184, 249), (183, 249), (182, 249), (181, 249), (180, 249), (179, 249), (178, 249), (177, 249), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249), (168, 249)]"
"(0, 10)","(173, 67)",0.012443849215856062,78,100.61017510240606,0.0004415412992102574,6.536367171062513e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 10), (243, 10), (242, 10), (241, 11), (240, 12), (239, 13), (238, 14), (237, 15), (236, 16), (235, 17), (234, 18), (233, 19), (232, 20), (231, 21), (230, 22), (229, 23), (228, 24), (227, 25), (226, 26), (225, 27), (224, 28), (223, 29), (222, 30), (221, 31), (220, 32), (219, 33), (218, 34), (217, 35), (216, 36), (215, 37), (214, 38), (213, 39), (212, 40), (211, 41), (210, 42), (209, 43), (208, 44), (207, 45), (206, 46), (205, 47), (204, 48), (203, 49), (202, 50), (201, 51), (200, 52), (199, 53), (198, 54), (197, 55), (196, 56), (195, 57), (194, 57), (193, 57), (192, 57), (191, 57), (190, 57), (189, 57), (188, 57), (187, 57), (186, 57), (185, 57), (184, 57), (183, 57), (182, 58), (181, 59), (180, 60), (179, 61), (178, 62), (177, 63), (176, 64), (175, 65), (174, 66), (173, 67)]"
"(0, 10)","(228, 177)",0.016559617042503305,84,92.11270090330281,0.000414819654679377,3.1588888569072954e-08,"[(0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0), (0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (249, 229), (249, 228), (249, 227), (249, 226), (249, 225), (249, 224), (249, 223), (249, 222), (249, 221), (249, 220), (249, 219), (249, 218), (249, 217), (249, 216), (249, 215), (249, 214), (249, 213), (249, 212), (249, 211), (249, 210), (249, 209), (249, 208), (249, 207), (249, 206), (249, 205), (249, 204), (249, 203), (249, 202), (249, 201), (249, 200), (249, 199), (249, 198), (248, 197), (247, 196), (246, 195), (245, 194), (244, 193), (243, 192), (242, 191), (241, 190), (240, 189), (239, 188), (238, 187), (237, 186), (236, 185), (235, 184), (234, 183), (233, 182), (232, 181), (231, 180), (230, 179), (229, 178), (228, 177)]"
