start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(43, 247)",0.01772423346847063,44,50.45585010266728,0.0009634728534138048,2.577712130108401e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 14), (8, 13), (9, 12), (10, 11), (11, 10), (12, 9), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1), (21, 0), (22, 249), (23, 248), (24, 248), (25, 248), (26, 248), (27, 248), (28, 248), (29, 248), (30, 248), (31, 248), (32, 248), (33, 248), (34, 248), (35, 248), (36, 248), (37, 248), (38, 248), (39, 248), (40, 248), (41, 248), (42, 248), (43, 247)]"
"(0, 15)","(55, 34)",0.02304873258697171,56,62.8700682336469,0.0012028041551275237,4.4192553121840483e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 16), (23, 17), (24, 18), (25, 19), (26, 20), (27, 21), (28, 22), (29, 23), (30, 24), (31, 24), (32, 24), (33, 24), (34, 24), (35, 24), (36, 24), (37, 24), (38, 24), (39, 24), (40, 24), (41, 24), (42, 24), (43, 25), (44, 26), (45, 27), (46, 28), (47, 29), (48, 30), (49, 31), (50, 32), (51, 33), (52, 34), (53, 34), (54, 34), (55, 34)]"
"(0, 15)","(79, 18)",0.022462091763372882,80,80.2426522286182,0.0011594883628731623,2.9261021596864825e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 16), (26, 17), (27, 17), (28, 17), (29, 17), (30, 17), (31, 17), (32, 17), (33, 17), (34, 17), (35, 17), (36, 17), (37, 17), (38, 17), (39, 17), (40, 17), (41, 17), (42, 17), (43, 17), (44, 17), (45, 17), (46, 17), (47, 17), (48, 17), (49, 17), (50, 17), (51, 17), (52, 17), (53, 17), (54, 17), (55, 17), (56, 17), (57, 18), (58, 18), (59, 18), (60, 18), (61, 18), (62, 18), (63, 18), (64, 18), (65, 18), (66, 18), (67, 18), (68, 18), (69, 18), (70, 18), (71, 18), (72, 18), (73, 18), (74, 18), (75, 18), (76, 18), (77, 18), (78, 18), (79, 18)]"
"(0, 15)","(90, 176)",0.02359923550250187,91,126.86501606932752,0.0010793886699502764,2.793282907888156e-07,"[(0, 15), (1, 15), (2, 14), (3, 13), (4, 12), (5, 11), (6, 10), (7, 9), (8, 8), (9, 7), (10, 6), (11, 5), (12, 4), (13, 3), (14, 2), (15, 1), (16, 0), (17, 249), (18, 248), (19, 247), (20, 246), (21, 245), (22, 244), (23, 243), (24, 242), (25, 241), (26, 240), (27, 239), (28, 238), (29, 237), (30, 236), (31, 235), (32, 234), (33, 233), (34, 232), (35, 231), (36, 230), (37, 229), (38, 228), (39, 227), (40, 226), (41, 225), (42, 224), (43, 223), (44, 222), (45, 221), (46, 220), (47, 219), (48, 218), (49, 217), (50, 216), (51, 215), (52, 214), (53, 213), (54, 212), (55, 211), (56, 210), (57, 209), (58, 208), (59, 207), (60, 206), (61, 205), (62, 204), (63, 203), (64, 202), (65, 201), (66, 200), (67, 199), (68, 198), (69, 197), (70, 196), (71, 195), (72, 194), (73, 193), (74, 192), (75, 191), (76, 190), (77, 189), (78, 188), (79, 187), (80, 186), (81, 185), (82, 184), (83, 183), (84, 182), (85, 181), (86, 180), (87, 179), (88, 178), (89, 177), (90, 176)]"
"(0, 15)","(90, 249)",0.01781136470583533,91,96.62742419003041,0.0009634728534138048,1.6456999580736704e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 14), (8, 13), (9, 12), (10, 11), (11, 10), (12, 9), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1), (21, 0), (22, 249), (23, 249), (24, 249), (25, 249), (26, 249), (27, 249), (28, 249), (29, 249), (30, 249), (31, 249), (32, 249), (33, 249), (34, 249), (35, 249), (36, 249), (37, 249), (38, 249), (39, 249), (40, 249), (41, 249), (42, 249), (43, 249), (44, 249), (45, 249), (46, 249), (47, 249), (48, 249), (49, 249), (50, 249), (51, 249), (52, 249), (53, 249), (54, 249), (55, 249), (56, 249), (57, 249), (58, 249), (59, 249), (60, 249), (61, 249), (62, 249), (63, 249), (64, 249), (65, 249), (66, 249), (67, 249), (68, 249), (69, 249), (70, 249), (71, 249), (72, 249), (73, 249), (74, 249), (75, 249), (76, 249), (77, 249), (78, 249), (79, 249), (80, 249), (81, 249), (82, 249), (83, 249), (84, 249), (85, 249), (86, 249), (87, 249), (88, 249), (89, 249), (90, 249)]"
"(0, 15)","(109, 68)",0.023220345585855284,110,130.95332808582245,0.0010721275926925955,2.2706212275061933e-07,"[(0, 15), (1, 16), (2, 17), (3, 18), (4, 19), (5, 20), (6, 21), (7, 22), (8, 23), (9, 24), (10, 25), (11, 26), (12, 27), (13, 28), (14, 29), (15, 30), (16, 31), (17, 32), (18, 33), (19, 34), (20, 35), (21, 36), (22, 37), (23, 38), (24, 39), (25, 40), (26, 41), (27, 42), (28, 43), (29, 44), (30, 45), (31, 46), (32, 47), (33, 48), (34, 49), (35, 50), (36, 50), (37, 50), (38, 50), (39, 50), (40, 50), (41, 51), (42, 52), (43, 53), (44, 54), (45, 55), (46, 56), (47, 57), (48, 58), (49, 59), (50, 60), (51, 61), (52, 61), (53, 61), (54, 61), (55, 61), (56, 61), (57, 61), (58, 61), (59, 61), (60, 61), (61, 61), (62, 61), (63, 61), (64, 61), (65, 61), (66, 61), (67, 61), (68, 61), (69, 61), (70, 61), (71, 61), (72, 61), (73, 61), (74, 61), (75, 61), (76, 61), (77, 61), (78, 61), (79, 61), (80, 61), (81, 61), (82, 61), (83, 61), (84, 61), (85, 61), (86, 61), (87, 61), (88, 61), (89, 61), (90, 61), (91, 61), (92, 61), (93, 61), (94, 61), (95, 61), (96, 61), (97, 61), (98, 61), (99, 61), (100, 61), (101, 61), (102, 61), (103, 62), (104, 63), (105, 64), (106, 65), (107, 66), (108, 67), (109, 68)]"
"(0, 15)","(114, 171)",0.023225977518450236,115,152.93608253721638,0.0009634728534138048,1.8194389278155427e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 14), (8, 13), (9, 12), (10, 11), (11, 10), (12, 9), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1), (21, 0), (22, 249), (23, 248), (24, 247), (25, 246), (26, 246), (27, 246), (28, 246), (29, 245), (30, 244), (31, 243), (32, 242), (33, 241), (34, 240), (35, 239), (36, 238), (37, 237), (38, 236), (39, 235), (40, 234), (41, 233), (42, 232), (43, 231), (44, 230), (45, 229), (46, 228), (47, 227), (48, 226), (49, 225), (50, 224), (51, 223), (52, 222), (53, 221), (54, 220), (55, 219), (56, 218), (57, 217), (58, 216), (59, 215), (60, 214), (61, 213), (62, 212), (63, 211), (64, 210), (65, 209), (66, 208), (67, 207), (68, 206), (69, 205), (70, 204), (71, 204), (72, 204), (73, 204), (74, 204), (75, 204), (76, 204), (77, 204), (78, 204), (79, 204), (80, 204), (81, 204), (82, 203), (83, 202), (84, 201), (85, 200), (86, 199), (87, 198), (88, 197), (89, 196), (90, 195), (91, 194), (92, 193), (93, 192), (94, 191), (95, 190), (96, 189), (97, 188), (98, 187), (99, 186), (100, 185), (101, 184), (102, 183), (103, 182), (104, 181), (105, 180), (106, 179), (107, 178), (108, 177), (109, 176), (110, 175), (111, 174), (112, 173), (113, 172), (114, 171)]"
"(0, 15)","(116, 246)",0.020991757905903796,117,123.87006983125717,0.0009634728534138048,2.2187406257917196e-07,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 14), (8, 13), (9, 12), (10, 11), (11, 10), (12, 9), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1), (21, 0), (22, 249), (23, 249), (24, 249), (25, 249), (26, 249), (27, 249), (28, 249), (29, 249), (30, 249), (31, 249), (32, 249), (33, 249), (34, 249), (35, 249), (36, 249), (37, 249), (38, 249), (39, 249), (40, 249), (41, 249), (42, 249), (43, 249), (44, 249), (45, 249), (46, 249), (47, 249), (48, 249), (49, 249), (50, 249), (51, 249), (52, 249), (53, 249), (54, 249), (55, 249), (56, 249), (57, 249), (58, 249), (59, 249), (60, 249), (61, 249), (62, 249), (63, 249), (64, 249), (65, 249), (66, 249), (67, 249), (68, 249), (69, 249), (70, 249), (71, 249), (72, 249), (73, 249), (74, 249), (75, 249), (76, 249), (77, 249), (78, 249), (79, 249), (80, 249), (81, 249), (82, 249), (83, 249), (84, 249), (85, 249), (86, 249), (87, 249), (88, 249), (89, 249), (90, 249), (91, 249), (92, 249), (93, 249), (94, 249), (95, 249), (96, 249), (97, 249), (98, 249), (99, 249), (100, 249), (101, 249), (102, 249), (103, 249), (104, 249), (105, 249), (106, 249), (107, 249), (108, 249), (109, 249), (110, 248), (111, 247), (112, 246), (113, 246), (114, 246), (115, 246), (116, 246)]"
"(0, 15)","(148, 249)",0.01830208175124426,103,108.62741969083079,0.0003713195187629026,3.233493043473769e-08,"[(0, 15), (249, 15), (248, 15), (247, 15), (246, 15), (245, 15), (244, 15), (243, 15), (242, 15), (241, 15), (240, 15), (239, 15), (238, 15), (237, 15), (236, 15), (235, 15), (234, 15), (233, 15), (232, 15), (231, 15), (230, 15), (229, 15), (228, 15), (227, 15), (226, 15), (225, 15), (224, 15), (223, 15), (222, 15), (221, 15), (220, 15), (219, 15), (218, 15), (217, 15), (216, 15), (215, 15), (214, 15), (213, 15), (212, 15), (211, 15), (210, 15), (209, 15), (208, 15), (207, 15), (206, 15), (205, 15), (204, 15), (203, 15), (202, 15), (201, 15), (200, 15), (199, 15), (198, 15), (197, 15), (196, 15), (195, 15), (194, 15), (193, 15), (192, 15), (191, 15), (190, 15), (189, 15), (188, 15), (187, 15), (186, 15), (185, 15), (184, 15), (183, 15), (182, 15), (181, 15), (180, 15), (179, 15), (178, 15), (177, 15), (176, 15), (175, 15), (174, 15), (173, 15), (172, 15), (171, 15), (170, 15), (169, 15), (168, 15), (167, 15), (166, 14), (165, 13), (164, 12), (163, 11), (162, 10), (161, 9), (160, 8), (159, 7), (158, 6), (157, 5), (156, 4), (155, 3), (154, 2), (153, 1), (152, 0), (151, 249), (150, 249), (149, 249), (148, 249)]"
"(0, 15)","(177, 67)",0.008917869688389146,74,94.53910652870933,0.000370320623119369,4.27083008011391e-08,"[(0, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 26), (238, 27), (237, 28), (236, 29), (235, 30), (234, 31), (233, 32), (232, 33), (231, 34), (230, 35), (229, 36), (228, 37), (227, 38), (226, 39), (225, 40), (224, 41), (223, 42), (222, 43), (221, 44), (220, 45), (219, 46), (218, 47), (217, 48), (216, 49), (215, 50), (214, 51), (213, 52), (212, 53), (211, 54), (210, 55), (209, 56), (208, 57), (207, 58), (206, 59), (205, 60), (204, 61), (203, 62), (202, 63), (201, 64), (200, 65), (199, 66), (198, 67), (197, 67), (196, 67), (195, 67), (194, 67), (193, 67), (192, 67), (191, 67), (190, 67), (189, 67), (188, 67), (187, 67), (186, 67), (185, 67), (184, 67), (183, 67), (182, 67), (181, 67), (180, 67), (179, 67), (178, 67), (177, 67)]"
