start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 249)","(80, 19)",0.0051334087161194475,81,88.28427160649373,0.00013503809384474152,7.77001834279563e-09,"[(0, 249), (1, 249), (2, 249), (3, 249), (4, 249), (5, 249), (6, 249), (7, 249), (8, 249), (9, 249), (10, 249), (11, 249), (12, 249), (13, 249), (14, 249), (15, 249), (16, 249), (17, 249), (18, 249), (19, 249), (20, 249), (21, 249), (22, 249), (23, 249), (24, 249), (25, 249), (26, 249), (27, 249), (28, 249), (29, 249), (30, 0), (31, 1), (32, 2), (33, 3), (34, 4), (35, 5), (36, 6), (37, 7), (38, 8), (39, 9), (40, 10), (41, 11), (42, 12), (43, 13), (44, 14), (45, 15), (46, 16), (47, 17), (48, 18), (49, 18), (50, 18), (51, 18), (52, 18), (53, 18), (54, 18), (55, 18), (56, 18), (57, 18), (58, 18), (59, 18), (60, 18), (61, 18), (62, 18), (63, 18), (64, 18), (65, 18), (66, 18), (67, 18), (68, 18), (69, 18), (70, 18), (71, 18), (72, 18), (73, 18), (74, 18), (75, 19), (76, 19), (77, 19), (78, 19), (79, 19), (80, 19)]"
"(0, 249)","(85, 175)",0.0126133656493721,86,115.6518062046508,0.00040636572225594136,8.172097675223266e-08,"[(0, 249), (1, 248), (2, 247), (3, 246), (4, 245), (5, 244), (6, 243), (7, 242), (8, 241), (9, 240), (10, 239), (11, 238), (12, 237), (13, 236), (14, 235), (15, 234), (16, 233), (17, 232), (18, 231), (19, 230), (20, 229), (21, 228), (22, 227), (23, 226), (24, 225), (25, 224), (26, 223), (27, 222), (28, 221), (29, 220), (30, 219), (31, 218), (32, 217), (33, 216), (34, 215), (35, 214), (36, 213), (37, 212), (38, 211), (39, 210), (40, 209), (41, 208), (42, 207), (43, 206), (44, 205), (45, 204), (46, 203), (47, 202), (48, 201), (49, 200), (50, 199), (51, 198), (52, 197), (53, 196), (54, 195), (55, 194), (56, 193), (57, 192), (58, 191), (59, 190), (60, 190), (61, 190), (62, 190), (63, 190), (64, 190), (65, 190), (66, 190), (67, 190), (68, 190), (69, 190), (70, 190), (71, 189), (72, 188), (73, 187), (74, 186), (75, 185), (76, 184), (77, 183), (78, 182), (79, 181), (80, 180), (81, 179), (82, 178), (83, 177), (84, 176), (85, 175)]"
"(0, 249)","(96, 8)",0.005984845852140097,97,99.72792257886574,0.00013442884471714933,1.0131181889203956e-08,"[(0, 249), (1, 249), (2, 249), (3, 249), (4, 249), (5, 249), (6, 249), (7, 249), (8, 249), (9, 249), (10, 249), (11, 249), (12, 249), (13, 249), (14, 249), (15, 249), (16, 249), (17, 249), (18, 249), (19, 249), (20, 249), (21, 249), (22, 249), (23, 249), (24, 249), (25, 249), (26, 249), (27, 249), (28, 249), (29, 249), (30, 249), (31, 249), (32, 249), (33, 249), (34, 249), (35, 0), (36, 0), (37, 0), (38, 1), (39, 2), (40, 3), (41, 4), (42, 5), (43, 6), (44, 7), (45, 8), (46, 8), (47, 8), (48, 8), (49, 8), (50, 8), (51, 8), (52, 8), (53, 8), (54, 8), (55, 8), (56, 8), (57, 8), (58, 8), (59, 8), (60, 8), (61, 8), (62, 8), (63, 8), (64, 8), (65, 8), (66, 8), (67, 8), (68, 8), (69, 8), (70, 8), (71, 8), (72, 8), (73, 8), (74, 8), (75, 8), (76, 8), (77, 8), (78, 8), (79, 8), (80, 8), (81, 8), (82, 8), (83, 8), (84, 8), (85, 8), (86, 8), (87, 8), (88, 8), (89, 8), (90, 8), (91, 8), (92, 8), (93, 8), (94, 8), (95, 8), (96, 8)]"
"(0, 249)","(146, 36)",0.0030654923986048743,105,119.3259020797718,6.856812080968666e-05,5.162222889576928e-09,"[(0, 249), (249, 249), (248, 249), (247, 249), (246, 249), (245, 249), (244, 249), (243, 249), (242, 0), (241, 0), (240, 0), (239, 0), (238, 0), (237, 0), (236, 0), (235, 0), (234, 0), (233, 0), (232, 0), (231, 0), (230, 0), (229, 0), (228, 0), (227, 0), (226, 0), (225, 0), (224, 0), (223, 0), (222, 0), (221, 0), (220, 0), (219, 0), (218, 0), (217, 1), (216, 2), (215, 3), (214, 4), (213, 5), (212, 6), (211, 7), (210, 8), (209, 9), (208, 10), (207, 11), (206, 12), (205, 13), (204, 14), (203, 15), (202, 16), (201, 17), (200, 18), (199, 19), (198, 20), (197, 21), (196, 22), (195, 23), (194, 24), (193, 25), (192, 26), (191, 27), (190, 28), (189, 29), (188, 30), (187, 31), (186, 32), (185, 32), (184, 32), (183, 32), (182, 32), (181, 32), (180, 32), (179, 32), (178, 32), (177, 32), (176, 32), (175, 32), (174, 32), (173, 32), (172, 32), (171, 32), (170, 32), (169, 32), (168, 32), (167, 32), (166, 32), (165, 32), (164, 32), (163, 32), (162, 32), (161, 32), (160, 32), (159, 32), (158, 32), (157, 32), (156, 32), (155, 32), (154, 32), (153, 32), (152, 32), (151, 32), (150, 32), (149, 33), (148, 34), (147, 35), (146, 36)]"
"(0, 249)","(149, 169)",0.01067397745703147,102,134.1370872272733,0.0004509909724674799,5.735593780934417e-08,"[(0, 249), (249, 248), (248, 247), (247, 246), (246, 245), (245, 244), (244, 243), (243, 242), (242, 241), (241, 240), (240, 239), (239, 238), (238, 237), (237, 236), (236, 235), (235, 234), (234, 233), (233, 232), (232, 231), (231, 230), (230, 229), (229, 228), (228, 227), (227, 226), (226, 225), (225, 224), (224, 223), (223, 222), (222, 221), (221, 220), (220, 219), (219, 218), (218, 217), (217, 216), (216, 215), (215, 214), (214, 213), (213, 212), (212, 211), (211, 210), (210, 209), (209, 208), (208, 207), (207, 206), (206, 205), (205, 204), (204, 203), (203, 202), (202, 201), (201, 200), (200, 199), (199, 198), (198, 197), (197, 196), (196, 195), (195, 194), (194, 193), (193, 192), (192, 191), (191, 190), (190, 189), (189, 188), (188, 187), (187, 186), (186, 185), (185, 184), (184, 183), (183, 182), (182, 181), (181, 180), (180, 179), (179, 178), (178, 177), (177, 177), (176, 177), (175, 177), (174, 177), (173, 177), (172, 177), (171, 177), (170, 177), (169, 177), (168, 177), (167, 177), (166, 177), (165, 177), (164, 177), (163, 177), (162, 177), (161, 177), (160, 177), (159, 177), (158, 177), (157, 177), (156, 176), (155, 175), (154, 174), (153, 173), (152, 172), (151, 171), (150, 170), (149, 169)]"
"(0, 249)","(150, 249)",0.005312379992801652,101,100.00000065419714,0.00015376433782421373,1.3063661029858229e-08,"[(0, 249), (249, 249), (248, 249), (247, 249), (246, 249), (245, 249), (244, 249), (243, 249), (242, 249), (241, 249), (240, 249), (239, 249), (238, 249), (237, 249), (236, 249), (235, 249), (234, 249), (233, 249), (232, 249), (231, 249), (230, 249), (229, 249), (228, 249), (227, 249), (226, 249), (225, 249), (224, 249), (223, 249), (222, 249), (221, 249), (220, 249), (219, 249), (218, 249), (217, 249), (216, 249), (215, 249), (214, 249), (213, 249), (212, 249), (211, 249), (210, 249), (209, 249), (208, 249), (207, 249), (206, 249), (205, 249), (204, 249), (203, 249), (202, 249), (201, 249), (200, 249), (199, 249), (198, 249), (197, 249), (196, 249), (195, 249), (194, 249), (193, 249), (192, 249), (191, 249), (190, 249), (189, 249), (188, 249), (187, 249), (186, 249), (185, 249), (184, 249), (183, 249), (182, 249), (181, 249), (180, 249), (179, 249), (178, 249), (177, 249), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249), (168, 249), (167, 249), (166, 249), (165, 249), (164, 249), (163, 249), (162, 249), (161, 249), (160, 249), (159, 249), (158, 249), (157, 249), (156, 249), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(0, 249)","(169, 249)",0.00513433291189358,82,81.000000553586,0.00015376433782421373,1.3073943615450224e-08,"[(0, 249), (249, 249), (248, 249), (247, 249), (246, 249), (245, 249), (244, 249), (243, 249), (242, 249), (241, 249), (240, 249), (239, 249), (238, 249), (237, 249), (236, 249), (235, 249), (234, 249), (233, 249), (232, 249), (231, 249), (230, 249), (229, 249), (228, 249), (227, 249), (226, 249), (225, 249), (224, 249), (223, 249), (222, 249), (221, 249), (220, 249), (219, 249), (218, 249), (217, 249), (216, 249), (215, 249), (214, 249), (213, 249), (212, 249), (211, 249), (210, 249), (209, 249), (208, 249), (207, 249), (206, 249), (205, 249), (204, 249), (203, 249), (202, 249), (201, 249), (200, 249), (199, 249), (198, 249), (197, 249), (196, 249), (195, 249), (194, 249), (193, 249), (192, 249), (191, 249), (190, 249), (189, 249), (188, 249), (187, 249), (186, 249), (185, 249), (184, 249), (183, 249), (182, 249), (181, 249), (180, 249), (179, 249), (178, 249), (177, 249), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249)]"
"(0, 249)","(176, 67)",0.008652793969304184,75,102.16652308912076,3.713335547672614e-05,1.813064167590661e-08,"[(0, 249), (249, 0), (248, 1), (247, 2), (246, 3), (245, 4), (244, 5), (243, 6), (242, 7), (241, 8), (240, 9), (239, 10), (238, 11), (237, 12), (236, 13), (235, 14), (234, 15), (233, 16), (232, 17), (231, 18), (230, 19), (229, 20), (228, 21), (227, 22), (226, 23), (225, 24), (224, 25), (223, 26), (222, 27), (221, 28), (220, 29), (219, 30), (218, 31), (217, 32), (216, 33), (215, 34), (214, 35), (213, 36), (212, 37), (211, 38), (210, 39), (209, 40), (208, 41), (207, 42), (206, 43), (205, 44), (204, 45), (203, 46), (202, 47), (201, 48), (200, 49), (199, 50), (198, 51), (197, 52), (196, 53), (195, 54), (194, 55), (193, 56), (192, 57), (191, 58), (190, 58), (189, 58), (188, 58), (187, 58), (186, 58), (185, 58), (184, 59), (183, 60), (182, 61), (181, 62), (180, 63), (179, 64), (178, 65), (177, 66), (176, 67)]"
"(0, 249)","(225, 16)",0.004415160543089769,26,32.04163093940695,5.684341886080801e-13,8.089394566129505e-09,"[(0, 249), (249, 249), (248, 249), (247, 249), (246, 249), (245, 249), (244, 249), (243, 249), (242, 0), (241, 1), (240, 1), (239, 2), (238, 3), (237, 4), (236, 5), (235, 6), (234, 7), (233, 8), (232, 9), (231, 10), (230, 11), (229, 12), (228, 13), (227, 14), (226, 15), (225, 16)]"
"(0, 249)","(238, 174)",0.010999083092542605,76,79.97056421960593,0.00031622670871911396,2.8772667017976347e-08,"[(0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (249, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (249, 228), (249, 227), (248, 226), (247, 225), (246, 224), (245, 223), (244, 222), (243, 221), (242, 220), (241, 219), (240, 218), (239, 217), (238, 216), (238, 215), (238, 214), (238, 213), (238, 212), (238, 211), (238, 210), (238, 209), (238, 208), (238, 207), (238, 206), (238, 205), (238, 204), (238, 203), (238, 202), (238, 201), (238, 200), (238, 199), (238, 198), (238, 197), (238, 196), (238, 195), (238, 194), (238, 193), (238, 192), (238, 191), (238, 190), (238, 189), (238, 188), (238, 187), (238, 186), (238, 185), (238, 184), (238, 183), (238, 182), (238, 181), (238, 180), (238, 179), (238, 178), (238, 177), (238, 176), (238, 175), (238, 174)]"
