start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(9, 15)","(10, 172)",0.00814996408848856,94,93.41421422088368,0.0002382198375698863,8.493317854097993e-09,"[(9, 15), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6), (9, 5), (9, 4), (9, 3), (9, 2), (9, 1), (9, 0), (9, 249), (9, 248), (9, 247), (9, 246), (9, 245), (9, 244), (9, 243), (9, 242), (9, 241), (9, 240), (10, 239), (10, 238), (10, 237), (10, 236), (10, 235), (10, 234), (10, 233), (10, 232), (10, 231), (10, 230), (10, 229), (10, 228), (10, 227), (10, 226), (10, 225), (10, 224), (10, 223), (10, 222), (10, 221), (10, 220), (10, 219), (10, 218), (10, 217), (10, 216), (10, 215), (10, 214), (10, 213), (10, 212), (10, 211), (10, 210), (10, 209), (10, 208), (10, 207), (10, 206), (10, 205), (10, 204), (10, 203), (10, 202), (10, 201), (10, 200), (10, 199), (10, 198), (10, 197), (10, 196), (10, 195), (10, 194), (10, 193), (10, 192), (10, 191), (10, 190), (10, 189), (10, 188), (10, 187), (10, 186), (10, 185), (10, 184), (10, 183), (10, 182), (10, 181), (10, 180), (10, 179), (10, 178), (10, 177), (10, 176), (10, 175), (10, 174), (10, 173), (10, 172)]"
"(9, 15)","(67, 171)",0.016225658500388818,95,118.02438992714777,0.000395916541265251,8.659640301343455e-08,"[(9, 15), (10, 14), (11, 13), (12, 12), (13, 11), (14, 10), (15, 9), (16, 8), (17, 7), (17, 6), (17, 5), (18, 4), (19, 3), (20, 2), (21, 1), (22, 0), (23, 249), (24, 248), (25, 247), (25, 246), (25, 245), (25, 244), (25, 243), (25, 242), (25, 241), (25, 240), (25, 239), (25, 238), (25, 237), (25, 236), (25, 235), (25, 234), (25, 233), (25, 232), (25, 231), (25, 230), (25, 229), (26, 228), (27, 227), (28, 226), (29, 225), (30, 224), (31, 223), (32, 222), (33, 221), (34, 220), (35, 219), (36, 218), (37, 217), (38, 216), (39, 215), (40, 214), (41, 213), (42, 212), (43, 211), (44, 210), (45, 209), (46, 208), (47, 207), (48, 206), (49, 205), (50, 204), (51, 203), (52, 202), (53, 201), (54, 200), (55, 199), (56, 198), (57, 197), (58, 196), (59, 195), (60, 194), (61, 193), (61, 192), (61, 191), (61, 190), (61, 189), (61, 188), (61, 187), (61, 186), (61, 185), (61, 184), (61, 183), (61, 182), (61, 181), (61, 180), (61, 179), (61, 178), (61, 177), (62, 176), (63, 175), (64, 174), (65, 173), (66, 172), (67, 171)]"
"(9, 15)","(110, 170)",0.01766833259057421,102,140.35029260277784,0.00046714080929177726,1.1603233955339086e-07,"[(9, 15), (10, 14), (11, 13), (12, 12), (13, 11), (14, 10), (15, 9), (16, 8), (17, 7), (18, 6), (19, 5), (20, 4), (21, 3), (22, 2), (23, 1), (24, 0), (25, 249), (26, 248), (27, 247), (28, 246), (29, 245), (30, 244), (31, 243), (32, 242), (33, 241), (34, 240), (35, 239), (36, 238), (37, 237), (38, 236), (39, 235), (40, 234), (41, 233), (42, 232), (43, 231), (44, 230), (45, 229), (46, 228), (47, 227), (48, 226), (49, 225), (50, 224), (51, 223), (52, 222), (53, 221), (54, 220), (55, 219), (56, 218), (57, 217), (58, 216), (59, 215), (60, 214), (61, 213), (62, 212), (63, 211), (64, 210), (65, 209), (66, 208), (67, 207), (68, 206), (69, 205), (70, 204), (71, 203), (72, 202), (73, 201), (74, 200), (75, 199), (76, 198), (77, 197), (78, 196), (79, 195), (80, 194), (81, 193), (82, 192), (83, 191), (84, 190), (85, 189), (86, 189), (87, 189), (88, 189), (89, 189), (90, 189), (91, 189), (92, 188), (93, 187), (94, 186), (95, 185), (96, 184), (97, 183), (98, 182), (99, 181), (100, 180), (101, 179), (102, 178), (103, 177), (104, 176), (105, 175), (106, 174), (107, 173), (108, 172), (109, 171), (110, 170)]"
"(9, 15)","(112, 245)",0.01672350394494515,104,111.28427411834565,0.0004268188029072917,4.729955500234903e-08,"[(9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 14), (47, 14), (48, 14), (49, 14), (50, 13), (51, 12), (52, 11), (53, 10), (54, 9), (55, 9), (56, 9), (57, 9), (58, 9), (59, 9), (60, 9), (61, 9), (62, 9), (63, 9), (64, 9), (65, 9), (66, 9), (67, 9), (68, 9), (69, 9), (70, 9), (71, 9), (72, 9), (73, 9), (74, 9), (75, 9), (76, 9), (77, 9), (78, 9), (79, 9), (80, 9), (81, 9), (82, 9), (83, 9), (84, 9), (85, 9), (86, 8), (87, 7), (88, 6), (89, 5), (90, 4), (91, 3), (92, 2), (93, 1), (94, 0), (95, 249), (96, 248), (97, 247), (98, 246), (99, 245), (100, 245), (101, 245), (102, 245), (103, 245), (104, 245), (105, 245), (106, 245), (107, 245), (108, 245), (109, 245), (110, 245), (111, 245), (112, 245)]"
"(9, 15)","(142, 36)",0.007402342824093466,118,125.6984872035688,0.0004340107723237452,5.3473930280771865e-08,"[(9, 15), (8, 16), (7, 17), (6, 18), (5, 19), (4, 20), (3, 21), (2, 22), (1, 23), (0, 24), (249, 25), (248, 26), (247, 27), (246, 28), (245, 29), (244, 30), (243, 31), (242, 32), (241, 33), (240, 34), (239, 35), (238, 36), (237, 36), (236, 36), (235, 36), (234, 36), (233, 36), (232, 36), (231, 36), (230, 36), (229, 36), (228, 36), (227, 36), (226, 36), (225, 36), (224, 36), (223, 36), (222, 36), (221, 36), (220, 36), (219, 36), (218, 36), (217, 36), (216, 36), (215, 36), (214, 36), (213, 36), (212, 36), (211, 36), (210, 36), (209, 36), (208, 36), (207, 36), (206, 36), (205, 36), (204, 36), (203, 36), (202, 36), (201, 36), (200, 36), (199, 36), (198, 36), (197, 36), (196, 36), (195, 36), (194, 36), (193, 36), (192, 36), (191, 36), (190, 36), (189, 36), (188, 36), (187, 36), (186, 36), (185, 36), (184, 36), (183, 36), (182, 36), (181, 36), (180, 36), (179, 36), (178, 36), (177, 36), (176, 36), (175, 36), (174, 36), (173, 36), (172, 36), (171, 36), (170, 36), (169, 36), (168, 36), (167, 36), (166, 36), (165, 36), (164, 36), (163, 36), (162, 36), (161, 36), (160, 36), (159, 36), (158, 36), (157, 36), (156, 36), (155, 36), (154, 36), (153, 36), (152, 36), (151, 36), (150, 36), (149, 36), (148, 36), (147, 36), (146, 36), (145, 36), (144, 36), (143, 36), (142, 36)]"
"(9, 15)","(146, 169)",0.017976248148329432,114,152.76450812750306,0.0005135090941621456,1.4761813157107548e-07,"[(9, 15), (8, 14), (7, 13), (6, 12), (5, 11), (4, 10), (3, 9), (2, 8), (1, 7), (0, 6), (249, 5), (248, 4), (247, 3), (246, 2), (245, 1), (244, 0), (243, 249), (242, 248), (241, 247), (240, 246), (239, 245), (238, 244), (237, 244), (236, 244), (235, 244), (234, 244), (233, 244), (232, 244), (231, 244), (230, 244), (229, 244), (228, 244), (227, 244), (226, 244), (225, 244), (224, 244), (223, 244), (222, 244), (221, 244), (220, 243), (219, 242), (218, 241), (217, 240), (216, 239), (215, 238), (214, 237), (213, 236), (212, 235), (211, 234), (210, 233), (209, 232), (208, 231), (207, 230), (206, 229), (205, 228), (204, 227), (203, 226), (202, 225), (201, 224), (200, 223), (199, 222), (198, 221), (197, 220), (196, 219), (195, 218), (194, 217), (193, 216), (192, 215), (191, 214), (190, 213), (189, 212), (188, 211), (187, 210), (186, 209), (185, 208), (184, 207), (183, 206), (182, 205), (181, 204), (180, 203), (179, 202), (178, 201), (177, 200), (176, 199), (175, 198), (174, 197), (173, 196), (172, 195), (171, 194), (170, 193), (169, 192), (168, 191), (167, 190), (166, 189), (165, 188), (164, 187), (163, 186), (162, 185), (161, 184), (160, 183), (159, 182), (158, 181), (157, 180), (156, 179), (155, 178), (154, 177), (153, 176), (152, 175), (151, 174), (150, 173), (149, 172), (148, 171), (147, 170), (146, 169)]"
"(9, 15)","(151, 249)",0.010171172694072084,109,114.62741964203231,0.00035527608565644186,5.7248014093017375e-08,"[(9, 15), (8, 14), (7, 13), (6, 12), (5, 11), (4, 10), (3, 9), (2, 8), (1, 7), (0, 6), (249, 5), (248, 4), (247, 3), (246, 2), (245, 1), (244, 1), (243, 1), (242, 1), (241, 1), (240, 0), (239, 249), (238, 249), (237, 249), (236, 249), (235, 249), (234, 249), (233, 249), (232, 249), (231, 249), (230, 249), (229, 249), (228, 249), (227, 249), (226, 249), (225, 249), (224, 249), (223, 249), (222, 249), (221, 249), (220, 249), (219, 249), (218, 249), (217, 249), (216, 249), (215, 249), (214, 249), (213, 249), (212, 249), (211, 249), (210, 249), (209, 249), (208, 249), (207, 249), (206, 249), (205, 249), (204, 249), (203, 249), (202, 249), (201, 249), (200, 249), (199, 249), (198, 249), (197, 249), (196, 249), (195, 249), (194, 249), (193, 249), (192, 249), (191, 249), (190, 249), (189, 249), (188, 249), (187, 249), (186, 249), (185, 249), (184, 249), (183, 249), (182, 249), (181, 249), (180, 249), (179, 249), (178, 249), (177, 249), (176, 249), (175, 249), (174, 249), (173, 249), (172, 249), (171, 249), (170, 249), (169, 249), (168, 249), (167, 249), (166, 249), (165, 249), (164, 249), (163, 249), (162, 249), (161, 249), (160, 249), (159, 249), (158, 249), (157, 249), (156, 249), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249)]"
"(9, 15)","(168, 67)",0.00899498724197656,92,112.53910841417398,0.00043655783815665927,9.325877916555282e-08,"[(9, 15), (8, 16), (7, 17), (6, 18), (5, 19), (4, 20), (3, 21), (2, 22), (1, 23), (0, 24), (249, 25), (248, 26), (247, 27), (246, 28), (245, 29), (244, 30), (243, 31), (242, 32), (241, 33), (240, 34), (239, 35), (238, 36), (237, 37), (236, 37), (235, 38), (234, 39), (233, 39), (232, 39), (231, 39), (230, 39), (229, 39), (228, 39), (227, 39), (226, 39), (225, 39), (224, 39), (223, 39), (222, 39), (221, 39), (220, 39), (219, 39), (218, 39), (217, 39), (216, 39), (215, 39), (214, 39), (213, 39), (212, 39), (211, 39), (210, 39), (209, 39), (208, 39), (207, 39), (206, 39), (205, 40), (204, 41), (203, 42), (202, 43), (201, 44), (200, 45), (199, 46), (198, 47), (197, 48), (196, 49), (195, 50), (194, 51), (193, 52), (192, 53), (191, 54), (190, 55), (189, 55), (188, 55), (187, 55), (186, 55), (185, 55), (184, 55), (183, 55), (182, 55), (181, 55), (180, 55), (179, 56), (178, 57), (177, 58), (176, 59), (175, 60), (174, 61), (173, 62), (172, 63), (171, 64), (170, 65), (169, 66), (168, 67)]"
"(9, 15)","(248, 15)",0.002393102343830833,12,11.000002280051607,3.20557801387622e-05,4.090738115417058e-07,"[(9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 15), (2, 15), (1, 15), (0, 15), (249, 15), (248, 15)]"
"(10, 172)","(9, 15)",0.00814996408848856,94,93.41421422088366,5.989585690713284e-05,8.493317854097993e-09,"[(10, 172), (10, 173), (10, 174), (10, 175), (10, 176), (10, 177), (10, 178), (10, 179), (10, 180), (10, 181), (10, 182), (10, 183), (10, 184), (10, 185), (10, 186), (10, 187), (10, 188), (10, 189), (10, 190), (10, 191), (10, 192), (10, 193), (10, 194), (10, 195), (10, 196), (10, 197), (10, 198), (10, 199), (10, 200), (10, 201), (10, 202), (10, 203), (10, 204), (10, 205), (10, 206), (10, 207), (10, 208), (10, 209), (10, 210), (10, 211), (10, 212), (10, 213), (10, 214), (10, 215), (10, 216), (10, 217), (10, 218), (10, 219), (10, 220), (10, 221), (10, 222), (10, 223), (10, 224), (10, 225), (10, 226), (10, 227), (10, 228), (10, 229), (10, 230), (10, 231), (10, 232), (10, 233), (10, 234), (10, 235), (10, 236), (10, 237), (10, 238), (10, 239), (9, 240), (9, 241), (9, 242), (9, 243), (9, 244), (9, 245), (9, 246), (9, 247), (9, 248), (9, 249), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (9, 15)]"
