start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 17)","(99, 14)",0.012216302157867176,100,100.24264249714066,0.00028855466950972186,3.176724383456235e-08,"[(0, 17), (1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17), (26, 17), (27, 17), (28, 17), (29, 17), (30, 17), (31, 17), (32, 17), (33, 17), (34, 17), (35, 17), (36, 17), (37, 17), (38, 17), (39, 17), (40, 17), (41, 17), (42, 17), (43, 17), (44, 17), (45, 17), (46, 17), (47, 17), (48, 17), (49, 17), (50, 17), (51, 17), (52, 17), (53, 17), (54, 17), (55, 17), (56, 17), (57, 17), (58, 17), (59, 17), (60, 17), (61, 17), (62, 17), (63, 17), (64, 17), (65, 17), (66, 17), (67, 17), (68, 17), (69, 17), (70, 17), (71, 17), (72, 17), (73, 17), (74, 17), (75, 17), (76, 17), (77, 17), (78, 17), (79, 17), (80, 17), (81, 17), (82, 17), (83, 17), (84, 16), (85, 15), (86, 14), (87, 14), (88, 14), (89, 14), (90, 14), (91, 14), (92, 14), (93, 14), (94, 14), (95, 14), (96, 14), (97, 14), (98, 14), (99, 14)]"
"(0, 17)","(101, 168)",0.017806987792596374,102,142.00714722638506,0.0004934950884489808,1.2697875829503744e-07,"[(0, 17), (1, 17), (2, 17), (3, 16), (4, 15), (5, 14), (6, 13), (7, 12), (8, 11), (9, 10), (10, 9), (11, 8), (12, 7), (13, 6), (14, 5), (15, 4), (16, 3), (17, 2), (18, 1), (19, 0), (20, 249), (21, 248), (22, 247), (23, 246), (24, 245), (25, 244), (26, 243), (27, 242), (28, 241), (29, 240), (30, 239), (31, 238), (32, 237), (33, 236), (34, 235), (35, 234), (36, 233), (37, 232), (38, 231), (39, 230), (40, 229), (41, 228), (42, 227), (43, 226), (44, 225), (45, 224), (46, 223), (47, 222), (48, 221), (49, 220), (50, 219), (51, 218), (52, 217), (53, 216), (54, 215), (55, 214), (56, 213), (57, 212), (58, 211), (59, 210), (60, 209), (61, 208), (62, 207), (63, 206), (64, 205), (65, 204), (66, 203), (67, 202), (68, 201), (69, 200), (70, 199), (71, 198), (72, 197), (73, 196), (74, 195), (75, 194), (76, 193), (77, 192), (78, 191), (79, 190), (80, 189), (81, 188), (82, 187), (83, 186), (84, 185), (85, 184), (86, 183), (87, 182), (88, 181), (89, 180), (90, 179), (91, 178), (92, 177), (93, 176), (94, 175), (95, 174), (96, 173), (97, 172), (98, 171), (99, 170), (100, 169), (101, 168)]"
"(0, 17)","(141, 34)",0.004396760655140497,110,116.04163084954655,0.00013524821292776323,5.322579452342654e-09,"[(0, 17), (249, 18), (248, 19), (247, 20), (246, 21), (245, 22), (244, 23), (243, 24), (242, 25), (241, 26), (240, 27), (239, 28), (238, 29), (237, 30), (236, 31), (235, 32), (234, 33), (233, 34), (232, 34), (231, 34), (230, 34), (229, 34), (228, 34), (227, 34), (226, 34), (225, 34), (224, 34), (223, 34), (222, 34), (221, 34), (220, 34), (219, 34), (218, 34), (217, 34), (216, 34), (215, 34), (214, 34), (213, 34), (212, 34), (211, 34), (210, 34), (209, 34), (208, 34), (207, 34), (206, 34), (205, 34), (204, 34), (203, 34), (202, 34), (201, 34), (200, 34), (199, 34), (198, 34), (197, 34), (196, 34), (195, 34), (194, 34), (193, 34), (192, 34), (191, 34), (190, 34), (189, 34), (188, 34), (187, 34), (186, 34), (185, 34), (184, 34), (183, 34), (182, 34), (181, 34), (180, 34), (179, 34), (178, 34), (177, 34), (176, 34), (175, 34), (174, 34), (173, 34), (172, 34), (171, 34), (170, 34), (169, 34), (168, 34), (167, 34), (166, 34), (165, 34), (164, 34), (163, 34), (162, 34), (161, 34), (160, 34), (159, 34), (158, 34), (157, 34), (156, 34), (155, 34), (154, 34), (153, 34), (152, 34), (151, 34), (150, 34), (149, 34), (148, 34), (147, 34), (146, 34), (145, 34), (144, 34), (143, 34), (142, 34), (141, 34)]"
"(0, 17)","(149, 249)",0.009182042975567128,102,108.45584500747003,0.00022398823284675018,1.56648917143028e-08,"[(0, 17), (249, 17), (248, 17), (247, 17), (246, 17), (245, 17), (244, 17), (243, 17), (242, 17), (241, 17), (240, 17), (239, 17), (238, 17), (237, 17), (236, 17), (235, 17), (234, 17), (233, 17), (232, 17), (231, 17), (230, 17), (229, 17), (228, 17), (227, 17), (226, 17), (225, 17), (224, 17), (223, 17), (222, 17), (221, 17), (220, 17), (219, 17), (218, 17), (217, 17), (216, 17), (215, 17), (214, 17), (213, 17), (212, 17), (211, 17), (210, 17), (209, 17), (208, 17), (207, 17), (206, 17), (205, 17), (204, 17), (203, 17), (202, 17), (201, 17), (200, 17), (199, 17), (198, 17), (197, 17), (196, 17), (195, 17), (194, 17), (193, 17), (192, 17), (191, 17), (190, 17), (189, 17), (188, 17), (187, 17), (186, 17), (185, 17), (184, 17), (183, 17), (182, 17), (181, 17), (180, 17), (179, 17), (178, 17), (177, 17), (176, 17), (175, 17), (174, 17), (173, 17), (172, 16), (171, 15), (170, 14), (169, 13), (168, 12), (167, 11), (166, 10), (165, 9), (164, 8), (163, 7), (162, 6), (161, 5), (160, 4), (159, 3), (158, 2), (157, 1), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249), (149, 249)]"
"(0, 17)","(156, 158)",0.021874296053397302,110,147.93608042013307,0.0005748567685941453,1.3777068653822037e-07,"[(0, 17), (0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (249, 9), (248, 8), (247, 7), (246, 6), (245, 5), (245, 4), (245, 3), (245, 2), (245, 1), (245, 0), (245, 249), (245, 248), (245, 247), (244, 246), (243, 245), (242, 244), (241, 243), (240, 242), (239, 241), (238, 240), (237, 239), (236, 238), (235, 237), (234, 236), (233, 235), (232, 234), (231, 233), (230, 232), (229, 231), (228, 230), (227, 229), (226, 228), (225, 227), (224, 226), (223, 225), (222, 224), (221, 223), (220, 222), (219, 221), (218, 220), (217, 219), (216, 218), (215, 217), (214, 216), (213, 215), (212, 214), (211, 213), (210, 212), (209, 211), (208, 210), (207, 209), (206, 208), (205, 207), (204, 206), (203, 205), (202, 204), (201, 203), (200, 202), (199, 201), (198, 200), (197, 199), (196, 198), (195, 197), (194, 196), (193, 195), (192, 194), (191, 193), (190, 192), (189, 191), (188, 190), (187, 189), (186, 188), (185, 187), (184, 186), (183, 185), (182, 184), (181, 183), (180, 182), (179, 181), (178, 180), (177, 179), (176, 178), (175, 177), (174, 176), (173, 175), (172, 174), (171, 173), (170, 172), (169, 171), (168, 170), (167, 169), (166, 168), (165, 167), (164, 166), (163, 165), (162, 164), (161, 163), (160, 162), (159, 161), (158, 160), (157, 159), (156, 158)]"
"(0, 17)","(174, 66)",0.003472920471153884,77,96.29646487708227,0.00011256557445449289,8.946206000726929e-09,"[(0, 17), (249, 18), (248, 19), (247, 20), (246, 21), (245, 22), (244, 23), (243, 24), (242, 25), (241, 26), (240, 27), (239, 28), (238, 29), (237, 30), (236, 31), (235, 32), (234, 33), (233, 34), (232, 35), (231, 36), (230, 37), (229, 38), (228, 39), (227, 40), (226, 41), (225, 42), (224, 43), (223, 44), (222, 45), (221, 46), (220, 47), (219, 48), (218, 49), (217, 50), (216, 50), (215, 50), (214, 50), (213, 50), (212, 50), (211, 50), (210, 51), (209, 52), (208, 53), (207, 54), (206, 55), (205, 56), (204, 57), (203, 58), (202, 59), (201, 60), (200, 60), (199, 60), (198, 60), (197, 60), (196, 60), (195, 60), (194, 60), (193, 60), (192, 60), (191, 60), (190, 60), (189, 60), (188, 60), (187, 60), (186, 60), (185, 60), (184, 60), (183, 60), (182, 60), (181, 60), (180, 60), (179, 61), (178, 62), (177, 63), (176, 64), (175, 65), (174, 66)]"
"(0, 17)","(232, 17)",0.0019364102738563815,19,18.00000013584229,1.052285369951278e-09,3.7275876667908735e-09,"[(0, 17), (249, 17), (248, 17), (247, 17), (246, 17), (245, 17), (244, 17), (243, 17), (242, 17), (241, 17), (240, 17), (239, 17), (238, 17), (237, 17), (236, 17), (235, 17), (234, 17), (233, 17), (232, 17)]"
"(0, 17)","(232, 249)",0.0004584202298474338,19,25.455844136733806,5.3540972089649586e-05,2.2171041182397723e-09,"[(0, 17), (249, 16), (248, 15), (247, 14), (246, 13), (245, 12), (244, 11), (243, 10), (242, 9), (241, 8), (240, 7), (239, 6), (238, 5), (237, 4), (236, 3), (235, 2), (234, 1), (233, 0), (232, 249)]"
"(0, 17)","(236, 177)",0.014648408470407048,91,95.7989915441951,0.0003175408904780852,1.5523536880683454e-08,"[(0, 17), (0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0), (0, 249), (0, 248), (0, 247), (0, 246), (0, 245), (0, 244), (0, 243), (0, 242), (0, 241), (0, 240), (249, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (249, 228), (249, 227), (249, 226), (249, 225), (248, 224), (247, 223), (246, 222), (245, 221), (244, 220), (243, 219), (242, 218), (241, 217), (240, 216), (239, 215), (238, 214), (237, 213), (236, 212), (236, 211), (236, 210), (236, 209), (236, 208), (236, 207), (236, 206), (236, 205), (236, 204), (236, 203), (236, 202), (236, 201), (236, 200), (236, 199), (236, 198), (236, 197), (236, 196), (236, 195), (236, 194), (236, 193), (236, 192), (236, 191), (236, 190), (236, 189), (236, 188), (236, 187), (236, 186), (236, 185), (236, 184), (236, 183), (236, 182), (236, 181), (236, 180), (236, 179), (236, 178), (236, 177)]"
"(99, 14)","(0, 17)",0.012216302157867176,100,100.24264249714065,0.00017098289970363112,3.176724383456234e-08,"[(99, 14), (98, 14), (97, 14), (96, 14), (95, 14), (94, 14), (93, 14), (92, 14), (91, 14), (90, 14), (89, 14), (88, 14), (87, 14), (86, 14), (85, 15), (84, 16), (83, 17), (82, 17), (81, 17), (80, 17), (79, 17), (78, 17), (77, 17), (76, 17), (75, 17), (74, 17), (73, 17), (72, 17), (71, 17), (70, 17), (69, 17), (68, 17), (67, 17), (66, 17), (65, 17), (64, 17), (63, 17), (62, 17), (61, 17), (60, 17), (59, 17), (58, 17), (57, 17), (56, 17), (55, 17), (54, 17), (53, 17), (52, 17), (51, 17), (50, 17), (49, 17), (48, 17), (47, 17), (46, 17), (45, 17), (44, 17), (43, 17), (42, 17), (41, 17), (40, 17), (39, 17), (38, 17), (37, 17), (36, 17), (35, 17), (34, 17), (33, 17), (32, 17), (31, 17), (30, 17), (29, 17), (28, 17), (27, 17), (26, 17), (25, 17), (24, 17), (23, 17), (22, 17), (21, 17), (20, 17), (19, 17), (18, 17), (17, 17), (16, 17), (15, 17), (14, 17), (13, 17), (12, 17), (11, 17), (10, 17), (9, 17), (8, 17), (7, 17), (6, 17), (5, 17), (4, 17), (3, 17), (2, 17), (1, 17), (0, 17)]"
