start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(249, 15)","(11, 169)",0.01467035478174239,97,100.97056481549528,0.00036563295429914433,3.021049569218635e-08,"[(249, 15), (0, 14), (1, 13), (2, 12), (3, 11), (4, 10), (5, 9), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3), (7, 2), (8, 1), (9, 0), (10, 249), (11, 248), (11, 247), (11, 246), (11, 245), (11, 244), (11, 243), (11, 242), (11, 241), (11, 240), (11, 239), (11, 238), (11, 237), (11, 236), (11, 235), (11, 234), (11, 233), (11, 232), (11, 231), (11, 230), (11, 229), (11, 228), (11, 227), (11, 226), (11, 225), (11, 224), (11, 223), (11, 222), (11, 221), (11, 220), (11, 219), (11, 218), (11, 217), (11, 216), (11, 215), (11, 214), (11, 213), (11, 212), (11, 211), (11, 210), (11, 209), (11, 208), (11, 207), (11, 206), (11, 205), (11, 204), (11, 203), (11, 202), (11, 201), (11, 200), (11, 199), (11, 198), (11, 197), (11, 196), (11, 195), (11, 194), (11, 193), (11, 192), (11, 191), (11, 190), (11, 189), (11, 188), (11, 187), (11, 186), (11, 185), (11, 184), (11, 183), (11, 182), (11, 181), (11, 180), (11, 179), (11, 178), (11, 177), (11, 176), (11, 175), (11, 174), (11, 173), (11, 172), (11, 171), (11, 170), (11, 169)]"
"(249, 15)","(78, 175)",0.018577002407141663,91,122.72287594568782,0.0005677364429175213,1.3102695509457596e-07,"[(249, 15), (0, 14), (1, 13), (2, 12), (3, 11), (4, 10), (5, 9), (6, 8), (7, 7), (8, 6), (9, 5), (10, 4), (11, 3), (12, 2), (13, 1), (14, 0), (15, 249), (16, 248), (17, 247), (18, 246), (19, 245), (19, 244), (19, 243), (19, 242), (19, 241), (19, 240), (19, 239), (19, 238), (19, 237), (19, 236), (19, 235), (19, 234), (20, 233), (21, 232), (22, 231), (23, 230), (24, 229), (25, 228), (26, 227), (27, 226), (28, 225), (29, 224), (30, 223), (31, 222), (32, 221), (33, 220), (34, 219), (35, 218), (36, 217), (37, 216), (38, 215), (39, 214), (40, 213), (41, 212), (42, 211), (43, 210), (44, 209), (45, 208), (46, 207), (47, 206), (48, 205), (49, 204), (50, 203), (51, 202), (52, 201), (53, 200), (54, 199), (55, 198), (56, 197), (57, 196), (58, 195), (59, 194), (60, 193), (61, 192), (62, 191), (63, 190), (64, 189), (65, 188), (66, 187), (67, 186), (68, 185), (69, 184), (70, 183), (71, 182), (72, 181), (73, 180), (74, 179), (75, 178), (76, 177), (77, 176), (78, 175)]"
"(249, 15)","(92, 15)",0.014913500636566823,94,93.00000228606626,0.0003823381982783758,2.8565301697528245e-08,"[(249, 15), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 15), (47, 15), (48, 15), (49, 15), (50, 15), (51, 15), (52, 15), (53, 15), (54, 15), (55, 15), (56, 15), (57, 15), (58, 15), (59, 15), (60, 15), (61, 15), (62, 15), (63, 15), (64, 15), (65, 15), (66, 15), (67, 15), (68, 15), (69, 15), (70, 15), (71, 15), (72, 15), (73, 15), (74, 15), (75, 15), (76, 15), (77, 15), (78, 15), (79, 15), (80, 15), (81, 15), (82, 15), (83, 15), (84, 15), (85, 15), (86, 15), (87, 15), (88, 15), (89, 15), (90, 15), (91, 15), (92, 15)]"
"(249, 15)","(106, 74)",0.018028499261845354,108,131.43860325201473,0.00046398704159855697,6.485479357533891e-08,"[(249, 15), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 16), (30, 17), (31, 18), (32, 19), (33, 20), (34, 21), (35, 22), (36, 23), (37, 24), (38, 25), (39, 26), (40, 27), (41, 28), (42, 29), (43, 30), (44, 31), (45, 32), (46, 33), (47, 33), (48, 33), (49, 33), (50, 33), (51, 33), (52, 33), (53, 33), (54, 33), (55, 33), (56, 34), (57, 35), (58, 36), (59, 37), (60, 38), (61, 39), (62, 40), (63, 41), (64, 42), (65, 43), (66, 44), (67, 45), (68, 46), (69, 47), (70, 48), (71, 49), (72, 49), (73, 49), (74, 49), (75, 49), (76, 49), (77, 49), (78, 49), (79, 49), (80, 49), (81, 49), (82, 50), (83, 51), (84, 52), (85, 53), (86, 54), (87, 55), (88, 56), (89, 57), (90, 58), (91, 59), (92, 60), (93, 61), (94, 62), (95, 63), (96, 64), (97, 65), (98, 66), (99, 67), (100, 68), (101, 69), (102, 70), (103, 71), (104, 72), (105, 73), (106, 74)]"
"(249, 15)","(121, 56)",0.016932118281147268,123,138.98275867260517,0.00046398704159855697,4.433911690459705e-08,"[(249, 15), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 16), (30, 17), (31, 18), (32, 19), (33, 20), (34, 21), (35, 22), (36, 23), (37, 24), (38, 25), (39, 26), (40, 27), (41, 28), (42, 29), (43, 30), (44, 30), (45, 30), (46, 30), (47, 30), (48, 30), (49, 30), (50, 30), (51, 30), (52, 30), (53, 30), (54, 30), (55, 30), (56, 30), (57, 30), (58, 30), (59, 30), (60, 31), (61, 32), (62, 33), (63, 34), (64, 35), (65, 36), (66, 37), (67, 38), (68, 39), (69, 40), (70, 41), (71, 42), (72, 42), (73, 42), (74, 42), (75, 42), (76, 42), (77, 42), (78, 42), (79, 42), (80, 42), (81, 42), (82, 42), (83, 42), (84, 42), (85, 42), (86, 42), (87, 42), (88, 42), (89, 42), (90, 43), (91, 44), (92, 45), (93, 46), (94, 46), (95, 46), (96, 46), (97, 46), (98, 46), (99, 46), (100, 46), (101, 46), (102, 46), (103, 46), (104, 47), (105, 48), (106, 49), (107, 50), (108, 51), (109, 52), (110, 53), (111, 54), (112, 55), (113, 56), (114, 56), (115, 56), (116, 56), (117, 56), (118, 56), (119, 56), (120, 56), (121, 56)]"
"(249, 15)","(150, 249)",0.010319426510022822,100,105.62741769118898,0.0002201084448643087,5.04162138863406e-09,"[(249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (238, 4), (237, 4), (236, 4), (235, 4), (234, 4), (233, 4), (232, 4), (231, 4), (230, 4), (229, 4), (228, 4), (227, 4), (226, 4), (225, 4), (224, 4), (223, 4), (222, 4), (221, 4), (220, 4), (219, 4), (218, 4), (217, 4), (216, 4), (215, 4), (214, 4), (213, 4), (212, 4), (211, 4), (210, 4), (209, 4), (208, 4), (207, 4), (206, 4), (205, 4), (204, 4), (203, 4), (202, 4), (201, 4), (200, 4), (199, 4), (198, 4), (197, 4), (196, 4), (195, 4), (194, 4), (193, 4), (192, 4), (191, 4), (190, 4), (189, 4), (188, 4), (187, 4), (186, 4), (185, 4), (184, 4), (183, 4), (182, 4), (181, 4), (180, 4), (179, 4), (178, 4), (177, 4), (176, 4), (175, 4), (174, 4), (173, 4), (172, 4), (171, 4), (170, 4), (169, 4), (168, 4), (167, 3), (166, 2), (165, 1), (164, 0), (163, 0), (162, 0), (161, 0), (160, 0), (159, 0), (158, 0), (157, 0), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(249, 15)","(151, 169)",0.01909846931937409,99,137.76450604851007,0.0006160971637427792,1.0412128124517113e-07,"[(249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (238, 4), (237, 3), (236, 2), (235, 1), (234, 0), (233, 249), (232, 248), (231, 247), (230, 246), (229, 245), (228, 244), (227, 243), (226, 242), (225, 241), (224, 240), (223, 239), (222, 238), (221, 237), (220, 236), (219, 235), (218, 234), (217, 233), (216, 232), (215, 231), (214, 230), (213, 229), (212, 228), (211, 227), (210, 226), (209, 225), (208, 224), (207, 223), (206, 222), (205, 221), (204, 220), (203, 219), (202, 218), (201, 217), (200, 216), (199, 215), (198, 214), (197, 213), (196, 212), (195, 211), (194, 210), (193, 209), (192, 208), (191, 207), (190, 206), (189, 205), (188, 204), (187, 203), (186, 202), (185, 201), (184, 200), (183, 199), (182, 198), (181, 197), (180, 196), (179, 195), (178, 194), (177, 193), (176, 192), (175, 191), (174, 190), (173, 189), (172, 188), (171, 187), (170, 186), (169, 185), (168, 184), (167, 183), (166, 182), (165, 182), (164, 182), (163, 181), (162, 180), (161, 179), (160, 178), (159, 177), (158, 176), (157, 175), (156, 174), (155, 173), (154, 172), (153, 171), (152, 170), (151, 169)]"
"(249, 15)","(177, 67)",0.004794965965857045,73,93.53910573769241,0.00018034949698630953,1.780290469870801e-08,"[(249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 22), (241, 23), (240, 24), (239, 25), (238, 26), (237, 27), (236, 28), (235, 29), (234, 30), (233, 31), (232, 32), (231, 33), (230, 34), (229, 35), (228, 36), (227, 37), (226, 38), (225, 38), (224, 38), (223, 38), (222, 38), (221, 38), (220, 38), (219, 38), (218, 38), (217, 38), (216, 38), (215, 39), (214, 40), (213, 41), (212, 42), (211, 43), (210, 44), (209, 45), (208, 46), (207, 47), (206, 48), (205, 49), (204, 50), (203, 51), (202, 52), (201, 53), (200, 54), (199, 55), (198, 56), (197, 57), (196, 58), (195, 59), (194, 60), (193, 60), (192, 60), (191, 60), (190, 60), (189, 60), (188, 60), (187, 60), (186, 60), (185, 60), (184, 60), (183, 61), (182, 62), (181, 63), (180, 64), (179, 65), (178, 66), (177, 67)]"
"(249, 15)","(241, 15)",6.839292530003149e-05,9,8.000000000353099,-1.9781606397373253e-06,1.7356993856656087e-11,"[(249, 15), (248, 15), (247, 15), (246, 15), (245, 15), (244, 15), (243, 15), (242, 15), (241, 15)]"
"(249, 15)","(0, 171)",0.015031709920549474,95,94.41421594927922,0.0003890346550861068,3.490194388078164e-08,"[(249, 15), (249, 14), (249, 13), (249, 12), (249, 11), (249, 10), (249, 9), (249, 8), (249, 7), (249, 6), (249, 5), (249, 4), (249, 3), (249, 2), (249, 1), (249, 0), (249, 249), (249, 248), (249, 247), (249, 246), (249, 245), (249, 244), (249, 243), (249, 242), (249, 241), (249, 240), (249, 239), (249, 238), (249, 237), (249, 236), (249, 235), (249, 234), (249, 233), (249, 232), (249, 231), (249, 230), (249, 229), (249, 228), (249, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (0, 221), (0, 220), (0, 219), (0, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (0, 212), (0, 211), (0, 210), (0, 209), (0, 208), (0, 207), (0, 206), (0, 205), (0, 204), (0, 203), (0, 202), (0, 201), (0, 200), (0, 199), (0, 198), (0, 197), (0, 196), (0, 195), (0, 194), (0, 193), (0, 192), (0, 191), (0, 190), (0, 189), (0, 188), (0, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (0, 171)]"
