protein_name,start,end,path_length,height,total_cost,smoothness,max_step,path
W.csv,"(249, 15)","(11, 169)",105,0.33245474376713047,0.3975588908058365,0.033958258498775984,0.00881655565455311,"[(249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (239, 4), (239, 3), (239, 2), (240, 1), (241, 0), (242, 249), (243, 248), (244, 247), (245, 246), (246, 245), (247, 244), (248, 243), (249, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (249, 221), (0, 220), (0, 219), (249, 218), (0, 217), (1, 216), (2, 215), (3, 214), (4, 213), (5, 212), (6, 211), (7, 210), (8, 209), (9, 208), (9, 207), (10, 206), (10, 205), (11, 204), (11, 203), (11, 202), (12, 201), (11, 200), (10, 199), (9, 198), (8, 197), (7, 196), (6, 195), (5, 194), (4, 193), (3, 192), (2, 191), (1, 190), (0, 189), (0, 188), (0, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (1, 171), (2, 170), (3, 169), (4, 169), (5, 168), (6, 168), (7, 168), (8, 168), (9, 168), (10, 168), (11, 169)]"
W.csv,"(249, 15)","(78, 175)",135,0.3388792991455269,0.5162517420267961,0.05901205942931381,0.011094295195629877,"[(249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (239, 4), (239, 3), (239, 2), (240, 1), (241, 0), (242, 249), (243, 248), (244, 247), (245, 246), (246, 245), (247, 244), (248, 243), (249, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (249, 221), (0, 220), (0, 219), (249, 218), (0, 217), (1, 216), (2, 215), (3, 214), (4, 213), (5, 212), (6, 211), (7, 210), (8, 209), (9, 208), (9, 207), (10, 206), (10, 205), (11, 204), (11, 203), (11, 202), (12, 201), (13, 200), (14, 200), (15, 199), (16, 198), (17, 197), (18, 196), (19, 195), (20, 194), (21, 193), (22, 192), (23, 191), (24, 190), (25, 189), (26, 188), (27, 187), (28, 186), (29, 185), (30, 184), (31, 183), (32, 182), (33, 181), (34, 180), (35, 179), (36, 178), (37, 177), (38, 176), (39, 175), (39, 174), (40, 173), (40, 172), (40, 171), (40, 170), (41, 169), (42, 168), (43, 167), (44, 166), (45, 165), (46, 164), (47, 163), (48, 162), (49, 161), (50, 160), (51, 159), (52, 159), (53, 159), (54, 159), (55, 159), (56, 159), (57, 159), (58, 159), (59, 159), (60, 159), (61, 159), (62, 159), (63, 160), (64, 161), (65, 162), (66, 163), (67, 164), (68, 165), (69, 166), (70, 167), (71, 168), (72, 169), (73, 170), (74, 171), (75, 172), (76, 173), (77, 174), (78, 175)]"
W.csv,"(249, 15)","(92, 15)",94,0.33337280967277916,0.36201631790710914,0.028152401560200324,0.008569832207026978,"[(249, 15), (0, 15), (1, 15), (2, 16), (3, 16), (4, 16), (5, 15), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (26, 16), (27, 16), (28, 16), (29, 16), (30, 16), (31, 16), (32, 16), (33, 17), (34, 17), (35, 17), (36, 17), (37, 17), (38, 17), (39, 17), (40, 17), (41, 17), (42, 18), (43, 18), (44, 18), (45, 18), (46, 19), (47, 19), (48, 19), (49, 19), (50, 20), (51, 20), (52, 20), (53, 21), (54, 21), (55, 21), (56, 21), (57, 22), (58, 22), (59, 22), (60, 22), (61, 22), (62, 21), (63, 20), (64, 19), (65, 18), (66, 17), (67, 16), (68, 15), (69, 15), (70, 15), (71, 14), (72, 14), (73, 14), (74, 14), (75, 14), (76, 13), (77, 13), (78, 13), (79, 13), (80, 13), (81, 13), (82, 13), (83, 13), (84, 13), (85, 13), (86, 13), (87, 13), (88, 13), (89, 13), (90, 13), (91, 14), (92, 15)]"
W.csv,"(249, 15)","(106, 74)",147,0.25589034542483136,0.2687538862205492,0.042996786769606055,0.004212392220040058,"[(249, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 24), (228, 23), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 48), (198, 47), (197, 46), (196, 45), (195, 44), (194, 43), (193, 42), (192, 41), (191, 40), (190, 39), (189, 38), (188, 37), (187, 36), (186, 35), (185, 34), (184, 33), (183, 32), (182, 31), (181, 30), (180, 29), (179, 28), (178, 27), (177, 26), (176, 25), (175, 24), (174, 23), (173, 22), (172, 21), (171, 20), (170, 20), (169, 20), (168, 19), (167, 19), (166, 19), (165, 19), (164, 19), (163, 19), (162, 19), (161, 20), (160, 21), (159, 22), (158, 23), (157, 24), (156, 25), (155, 26), (154, 27), (153, 28), (152, 29), (151, 30), (150, 31), (149, 32), (148, 33), (147, 34), (146, 35), (145, 36), (144, 37), (143, 38), (142, 39), (141, 40), (140, 41), (139, 42), (138, 43), (137, 44), (136, 45), (135, 46), (134, 47), (133, 48), (132, 49), (131, 50), (130, 51), (129, 52), (128, 53), (127, 53), (126, 54), (125, 55), (124, 56), (123, 57), (122, 58), (121, 59), (120, 60), (119, 61), (118, 62), (117, 63), (116, 64), (115, 65), (114, 66), (113, 67), (112, 68), (111, 69), (110, 69), (109, 70), (108, 71), (107, 71), (106, 72), (105, 73), (106, 74)]"
W.csv,"(249, 15)","(121, 56)",130,0.2469312599345376,0.2475749836227486,0.0294730979135496,0.004212392220040058,"[(249, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 24), (228, 23), (227, 24), (226, 25), (225, 26), (224, 27), (223, 28), (222, 29), (221, 30), (220, 31), (219, 32), (218, 33), (217, 34), (216, 35), (215, 36), (214, 37), (213, 38), (212, 39), (211, 40), (210, 41), (209, 42), (208, 43), (207, 44), (206, 45), (205, 46), (204, 47), (203, 48), (202, 49), (201, 50), (200, 49), (199, 48), (198, 47), (197, 46), (196, 45), (195, 44), (194, 43), (193, 42), (192, 41), (191, 40), (190, 39), (189, 38), (188, 37), (187, 36), (186, 35), (185, 34), (184, 33), (183, 32), (182, 31), (181, 30), (180, 29), (179, 28), (178, 27), (177, 26), (176, 25), (175, 24), (174, 23), (173, 22), (172, 21), (171, 20), (170, 20), (169, 20), (168, 19), (167, 19), (166, 19), (165, 19), (164, 19), (163, 19), (162, 19), (161, 20), (160, 21), (159, 22), (158, 23), (157, 24), (156, 25), (155, 26), (154, 27), (153, 28), (152, 29), (151, 30), (150, 31), (149, 32), (148, 33), (147, 34), (146, 35), (145, 36), (144, 37), (143, 38), (142, 39), (141, 40), (140, 41), (139, 42), (138, 43), (137, 44), (136, 45), (135, 46), (134, 47), (133, 48), (132, 49), (131, 50), (130, 51), (129, 52), (128, 53), (127, 53), (126, 54), (125, 54), (124, 54), (123, 54), (122, 55), (121, 56)]"
W.csv,"(249, 15)","(150, 249)",101,0.2338655359686714,0.24638230039976383,0.030636991467768954,0.00560908929059914,"[(249, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 24), (228, 23), (227, 22), (226, 21), (225, 20), (224, 19), (223, 18), (222, 17), (221, 16), (220, 15), (219, 15), (218, 15), (217, 15), (216, 15), (215, 16), (214, 16), (213, 16), (212, 16), (211, 17), (210, 18), (209, 19), (208, 20), (207, 21), (206, 22), (205, 23), (204, 24), (203, 25), (202, 26), (201, 27), (200, 28), (199, 29), (198, 30), (197, 31), (196, 32), (195, 33), (194, 34), (193, 35), (192, 36), (191, 35), (190, 34), (189, 33), (188, 32), (187, 31), (186, 30), (185, 29), (184, 28), (183, 27), (182, 26), (181, 25), (180, 24), (179, 23), (178, 22), (177, 21), (176, 20), (175, 19), (174, 18), (173, 17), (172, 16), (171, 15), (170, 14), (169, 13), (168, 12), (167, 11), (166, 10), (165, 9), (164, 8), (163, 7), (162, 6), (161, 5), (160, 4), (159, 3), (158, 2), (157, 1), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
W.csv,"(249, 15)","(151, 169)",167,0.35890146618154034,0.4567636884831288,0.06941019111714396,0.009065570916756527,"[(249, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 24), (228, 25), (227, 26), (226, 27), (225, 28), (224, 29), (223, 30), (222, 31), (221, 32), (220, 33), (219, 34), (218, 35), (219, 36), (218, 37), (217, 38), (216, 39), (215, 40), (214, 41), (213, 42), (212, 43), (211, 44), (210, 45), (209, 46), (208, 47), (207, 48), (206, 49), (205, 50), (204, 51), (203, 52), (203, 53), (203, 54), (203, 55), (203, 56), (203, 57), (203, 58), (204, 59), (204, 60), (204, 61), (204, 62), (204, 63), (204, 64), (204, 65), (204, 66), (204, 67), (204, 68), (204, 69), (204, 70), (204, 71), (204, 72), (204, 73), (204, 74), (204, 75), (204, 76), (204, 77), (204, 78), (204, 79), (204, 80), (204, 81), (203, 82), (202, 83), (201, 84), (200, 85), (199, 86), (198, 87), (197, 88), (196, 89), (195, 90), (194, 91), (194, 92), (195, 93), (196, 94), (197, 95), (198, 96), (199, 97), (200, 98), (201, 99), (202, 100), (202, 101), (202, 102), (202, 103), (202, 104), (202, 105), (202, 106), (201, 107), (201, 108), (200, 109), (200, 110), (199, 111), (199, 112), (198, 113), (197, 114), (196, 115), (195, 116), (194, 117), (193, 118), (192, 119), (191, 120), (190, 121), (189, 122), (188, 123), (187, 124), (186, 125), (185, 126), (184, 127), (183, 128), (182, 129), (181, 130), (180, 131), (179, 132), (178, 133), (177, 134), (176, 135), (175, 136), (174, 137), (173, 138), (172, 139), (171, 140), (170, 141), (169, 142), (168, 143), (167, 144), (166, 145), (165, 146), (164, 147), (163, 148), (162, 149), (161, 150), (160, 151), (159, 152), (158, 153), (157, 154), (156, 155), (155, 156), (154, 157), (153, 158), (152, 159), (151, 160), (150, 161), (149, 162), (148, 163), (147, 164), (147, 165), (148, 166), (149, 167), (150, 168), (151, 169)]"
W.csv,"(249, 15)","(177, 67)",89,0.10859406297360939,0.19369892545518475,0.03681248451746756,0.006050833690471734,"[(249, 15), (249, 16), (248, 17), (247, 18), (246, 19), (245, 20), (244, 21), (243, 22), (242, 23), (241, 24), (240, 25), (239, 25), (238, 25), (237, 25), (236, 25), (235, 25), (234, 25), (233, 25), (232, 25), (231, 25), (230, 25), (229, 24), (228, 24), (227, 25), (226, 26), (225, 27), (224, 28), (223, 29), (222, 30), (221, 31), (220, 32), (219, 33), (218, 34), (217, 35), (216, 36), (215, 37), (214, 38), (213, 39), (212, 40), (211, 41), (210, 42), (209, 43), (208, 44), (207, 45), (206, 46), (205, 47), (204, 48), (203, 49), (202, 50), (201, 51), (200, 51), (199, 51), (198, 51), (197, 51), (196, 51), (195, 51), (194, 51), (193, 51), (192, 51), (191, 51), (190, 51), (189, 51), (188, 51), (187, 51), (186, 51), (185, 51), (184, 51), (183, 51), (182, 51), (181, 51), (180, 51), (179, 51), (178, 51), (177, 52), (176, 53), (175, 54), (174, 55), (173, 56), (172, 57), (171, 58), (170, 59), (170, 60), (171, 61), (172, 62), (173, 63), (174, 64), (175, 65), (176, 66), (177, 67)]"
W.csv,"(249, 15)","(241, 15)",9,0.0015499648276212008,0.0015499648276212008,0.000463979154956222,0.00029164319915937385,"[(249, 15), (248, 15), (247, 15), (246, 15), (245, 15), (244, 15), (243, 15), (242, 15), (241, 15)]"
W.csv,"(249, 15)","(0, 171)",95,0.33245474376713047,0.3893998261652763,0.029759809117093694,0.00881655565455311,"[(249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (240, 6), (239, 5), (239, 4), (239, 3), (239, 2), (240, 1), (241, 0), (242, 249), (243, 248), (244, 247), (245, 246), (246, 245), (247, 244), (248, 243), (249, 242), (0, 241), (0, 240), (0, 239), (0, 238), (0, 237), (0, 236), (0, 235), (0, 234), (0, 233), (0, 232), (0, 231), (0, 230), (0, 229), (0, 228), (0, 227), (0, 226), (0, 225), (0, 224), (0, 223), (0, 222), (249, 221), (0, 220), (0, 219), (249, 218), (0, 217), (1, 216), (2, 215), (3, 214), (4, 213), (5, 212), (6, 211), (7, 210), (8, 209), (9, 208), (9, 207), (10, 206), (10, 205), (11, 204), (11, 203), (11, 202), (12, 201), (11, 200), (10, 199), (9, 198), (8, 197), (7, 196), (6, 195), (5, 194), (4, 193), (3, 192), (2, 191), (1, 190), (0, 189), (0, 188), (0, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (0, 171)]"
